name,headquarters,founded,industry,sector,notes,founders,key_people,number_of_employees,operating_income,revenue,services,total_assets,type,website,area_served
lactalis,laval,1933,consumer goods,food products,,,,,,,,,,,
lafarge,paris,1833,industrials,building materials & fixtures,,,,,,,,,,,
lafuma,paris,1930,consumer goods,recreational products,,,,,,,,,,,
lagardère group,paris,1922,consumer services,broadcasting & entertainment,,,,,,,,,,,
lancôme,paris,1935,consumer goods,personal products,,,,,,,,,,,
le coq sportif,entzheim,1882,consumer goods,clothing & accessories,,,,,,,,,,,
le zèbre,suresnes,1907,consumer goods,automobiles,,,,,,,,,,,
l'oréal,clichy,1909,consumer goods,personal products,,,,,,,,,,,
louis vuitton,paris,1854,consumer goods,clothing & accessories,,,,,,,,,,,
lvmh,paris,1987,consumer goods,clothing & accessories,,,,,,,,,,,
mandriva,paris,1995,technology,software,,,,,,,,,,,
manuloc,metz,1964,industrials,logistics,,,,,,,,,,,
maritima ferries,marseille,1969,industrials,marine transportation,,,,,,,,,,,
matra marconi space,toulouse,1996,industrials,aerospace,,,,,,,,,,,
matra,romorantin-lanthenay,1964,consumer goods,automobiles,,,,,,,,,,,
mavic,annecy,1889,consumer goods,recreational products,,,,,,,,,,,
mc2 france,montrouge,1985,technology,software,,,,,,,,,,,
michelin,clermont-ferrand,1889,consumer goods,tires,,,,,,,,,,,
microïds,montreuil,1984,technology,software,,,,,,,,,,,
montagut,saint-sauveur-de-montagut,1880,consumer goods,clothing & accessories,,,,,,,,,,,
moonscoop group,paris,2003,consumer services,broadcasting & entertainment,,,,,,,,,,,
naval group,paris,1631,industrials,defense,,,,,,,,,,,
nicox,valbonne,1996,health care,pharmaceuticals,,,,,,,,,,,
norauto,lesquin,1970,consumer goods,auto parts,,,,,,,,,,,
orange s.a.,paris,1988,telecommunications,mobile telecommunications,,,,,,,,,,,
orano,courbevoie,2017,nuclear industries,nuclear cycle,,,,,,,,,,,
oxbow,mérignac,1985,consumer goods,recreational products,,,,,,,,,,,
parrot sa,paris,1994,industrials,diversified industrials,,,,,,,,,,,
pathé,paris,1896,consumer services,broadcasting & entertainment,,,,,,,,,,,
pentalog,orléans,1993,industrials,business support services,,,,,,,,,,,
pernod ricard,paris,1975,consumer goods,distillers & vintners,,,,,,,,,,,
peugeot,rueil-malmaison,1810,consumer goods,automobiles,,,,,,,,,,,
psa group,rueil-malmaison,1976,consumer goods,automobiles,,,,,,,,,,,
publicis,paris,1926,industrials,business support services,,,,,,,,,,,
quantic dream,paris,1997,technology,software,,,,,,,,,,,
ratp group,paris,1948,consumer services,travel & tourism,,,,,,,,,,,
renault,boulogne-billancourt,1899,consumer goods,automobiles,,,,,,,,,,,
rexel,paris,1967,industrials,electrical components & equipment,,,,,,,,,,,
rhodia,la défense,1998,basic materials,specialty chemicals,,,,,,,,,,,
rhône-poulenc,paris,1928,basic materials,specialty chemicals,,,,,,,,,,,
safran,paris,2005,industrials,aerospace,,,,,,,,,,,
sagem,paris,1924,technology,telecommunications equipment,,,,,,,,,,,
saint-gobain,la défense,1665,industrials,building materials & fixtures,,,,,,,,,,,
salomon group,épagny-metz-tessy,1947,consumer goods,recreational products,,,,,,,,,,,
sanofi,paris,2004,health care,pharmaceuticals,,,,,,,,,,,
schneider electric,rueil-malmaison,1836,industrials,electrical components & equipment,,,,,,,,,,,
sdv international logistics,puteaux,1885,industrials,delivery services,,,,,,,,,,,
sephora,paris,1969,consumer services,specialty retailers,,,,,,,,,,,
servier,suresnes,1954,health care,pharmaceuticals,,,,,,,,,,,
sfr,paris,1987,telecommunications,fixed line telecommunications,,,,,,,,,,,
sigfox,labège,2009,technology,telecommunications equipment,,,,,,,,,,,
sncf,saint-denis,1938,consumer services,travel & tourism,,,,,,,,,,,
snecma,courcouronnes,1945,industrials,aerospace,,,,,,,,,,,
société bic,clichy,1945,consumer goods,nondurable household products,,,,,,,,,,,
société générale,la défense,1864,financials,banks,,,,,,,,,,,
sodexo,issy-les-moulineaux,1966,industrials,specialized consumer services,,,,,,,,,,,
sogeti,paris,2002,technology,software,,,,,,,,,,,
sopra steria,annecy,1968,technology,software,,,,,,,,,,,
suez,paris,1997,utilities,multiutilities,,,,,,,,,,,
technicolor sa,issy-les-moulineaux,1893,consumer services,broadcasting & entertainment,,,,,,,,,,,
technip,paris,1958,industrials,business support services,,,,,,,,,,,
tf1 group,boulogne-billancourt,1987,consumer services,broadcasting & entertainment,,,,,,,,,,,
thales group,la défense,2000,industrials,aerospace,,,,,,,,,,,
thomson-csf,paris,1879,industrials,defense,,,,,,,,,,,
totalenergies,courbevoie,1924,oil & gas,integrated oil & gas,,,,,,,,,,,
ubisoft,rennes,1986,technology,software,,,,,,,,,,,
veolia,paris,1853,utilities,water,,,,,,,,,,,
vinci sa,rueil-malmaison,1899,industrials,heavy construction,,,,,,,,,,,
vivendi,paris,1853,consumer services,broadcasting & entertainment,,,,,,,,,,,
waterman,paris,1884,consumer goods,nondurable household products,,,,,,,,,,,
yoplait,boulogne-billancourt,1965,consumer goods,food products,,,,,,,,,,,
ahlstrom,helsinki,1851,basic materials,basic resources,,,,,,,,,,,
aktia bank,helsinki,1991,financials,banks,,,,,,,,,,,
alko,helsinki,1932,consumer services,specialty retailers,,,,,,,,,,,
alma media,helsinki,1849,consumer services,publishing,,,,,,,,,,,
altia,helsinki,1999,consumer goods,distillers & vintners,,,,,,,,,,,
amer sports,helsinki,1950,consumer goods,recreational products,,,,,,,,,,,
bank of åland,mariehamn,1919,financials,banks,,,,,,,,,,,
basware,espoo,1985,technology,software,,,,,,,,,,,
bittium,oulu,1985,consumer goods,consumer electronics,,,,,,,,,,,
cargotec,helsinki,2005,industrials,transportation services,,,,,,,,,,,
codenomicon,oulu,2001,technology,software,,,,,,,,,,,
dna oyj,helsinki,2000,telecommunications,mobile telecommunications,,,,,,,,,,,
eckerö line,helsinki,1995,industrials,marine transportation,,,,,,,,,,,
eks,espoo,1955,consumer goods,consumer electronics,,,,,,,,,,,
elisa,helsinki,1882,telecommunications,fixed line telecommunications,,,,,,,,,,,
fazer,helsinki,1891,consumer services,restaurants & bars,,,,,,,,,,,
fingrid,helsinki,1996,utilities,conventional electricity,,,,,,,,,,,
finnair,vantaa,1923,consumer services,airlines,,,,,,,,,,,
finnlines,helsinki,1947,industrials,marine transportation,,,,,,,,,,,
fiskars,helsinki,1649,consumer goods,durable household products,,,,,,,,,,,
fortum,espoo,1998,utilities,alternative electricity,,,,,,,,,,,
f-secure,helsinki,1988,technology,software,,,,,,,,,,,
hartwall,helsinki,1836,consumer goods,soft drinks,,,,,,,,,,,
hesburger,turku,1966,consumer services,retail,,,,,,,,,,,
hkscan,turku,1913,consumer goods,restaurants & bars,,,,,,,,,,,
holvi,helsinki,2011,financials,banking,,,,,,,,,,,
huhtamäki,espoo,1920,industrials,containers & packaging,,,,,,,,,,,
kemira,helsinki,1920,basic materials,specialty chemicals,,,,,,,,,,,
kemppi,lahti,1949,industrials,business support services,,,,,,,,,,,
kesko,helsinki,1940,consumer services,broadline retailers,,,,,,,,,,,
kone,helsinki,1910,industrials,industrial machinery,,,,,,,,,,,
konecranes,hyvinkää,1994,industrials,industrial machinery,,,,,,,,,,,
kotipizza,helsinki,1987,consumer services,restaurants & bars,,,,,,,,,,,
lemminkäinen group,helsinki,1910,industrials,heavy construction,,,,,,,,,,,
marimekko,helsinki,1951,consumer goods,clothing & accessories,,,,,,,,,,,
metsä group,helsinki,1947,basic materials,paper,,,,,,,,,,,
metso,helsinki,1999,industrials,business support services,,,,,,,,,,,
neste,espoo,1948,oil & gas,exploration & production,,,,,,,,,,,
nokia,espoo,1865,industrials,telecommunications equipment,,,,,,,,,,,
nokia networks,espoo,2007,technology,telecommunications equipment,,,,,,,,,,,
nokian jalkineet,helsinki,1898,consumer goods,footwear,,,,,,,,,,,
nokian tyres,nokia,1932,consumer goods,automobiles,,,,,,,,,,,
olvi,helsinki,1878,consumer goods,soft drinks,,,,,,,,,,,
op financial group,helsinki,1891,financials,financial services,,,,,,,,,,,
orion corporation,espoo,1917,health care,pharmaceuticals,,,,,,,,,,,
outokumpu,helsinki,1932,basic materials,iron & steel,,,,,,,,,,,
outotec,espoo,2006,industrials,business support services,,,,,,,,,,,
patria,helsinki,1997,industrials,defense,,,,,,,,,,,
planmeca,helsinki,1971,health care,medical equipment,,,,,,,,,,,
pohjolan voima,helsinki,1943,utilities,alternative electricity,,,,,,,,,,,
polar electro,kempele,1977,consumer goods,recreational products,,,,,,,,,,,
ponsse corporation,vieremä,1970,industrials,commercial vehicles & trucks,,,,,,,,,,,
posiva,eurajoki,1995,industrials,waste & disposal services,,,,,,,,,,,
posti group,helsinki,1638,logistics,delivery services,,,,,,,,,,,
pöyry,vantaa,1958,industrials,business support services,,,,,,,,,,,
process vision,helsinki,1993,technology,business support services,,,,,,,,,,,
raisio group,raisio,1939,consumer goods,food products,,,,,,,,,,,
rautaruukki,helsinki,1960,industrials,building materials & fixtures,,,,,,,,,,,
rovio entertainment,espoo,2003,technology,software,,,,,,,,,,,
s group,helsinki,1904,consumer services,hotels,,,,,,,,,,,
sampo group,helsinki,1909,financials,full line insurance,,,,,,,,,,,
sanoma,helsinki,1999,consumer services,publishing,,,,,,,,,,,
silja line,helsinki,1957,industrials,marine transportation,,,,,,,,,,,
sisu auto,helsinki,1931,industrials,commercial vehicles & trucks,,,,,,,,,,,
solidium,helsinki,2008,financials,investment services,,,,,,,,,,,
ssh communications security,helsinki,1995,technology,software,,,,,,,,,,,
st1,helsinki,1995,oil & gas,exploration & production,,,,,,,,,,,
stenfors,oulu,1969,industrials,heavy construction,,,,,,,,,,,
stockmann,helsinki,1862,consumer services,broadline retailers,,,,,,,,,,,
stonesoft corporation,helsinki,1990,technology,software,,,,,,,,,,,
stora enso,helsinki,1998,basic materials,paper,,,,,,,,,,,
suominen corporation,helsinki,1898,consumer goods,clothing & accessories,,,,,,,,,,,
supercell,helsinki,2010,technology,software,,,,,,,,,,,
suunto,vantaa,1936,consumer goods,recreational services,,,,,,,,,,,
talvivaara mining company,espoo,2004,basic materials,nonferrous metals,,,,,,,,,,,
tieto,helsinki,1968,technology,software,,,,,,,,,,,
tikkurila,vantaa,1862,basic materials,commodity chemicals,,,,,,,,,,,
upm-kymmene,helsinki,1996,basic materials,paper,,,,,,,,,,,
vacon,vaasa,1993,industrials,electrical components & equipment,,,,,,,,,,,
vaisala,vantaa,1936,technology,software,,,,,,,,,,,
valio,helsinki,1905,consumer goods,food products,,,,,,,,,,,
valmet automotive,uusikaupunki,1968,consumer goods,automobiles,,,,,,,,,,,
valmet,espoo,2013,industrials,industrial machinery,,,,,,,,,,,
valtra,äänekoski,1951,industrials,commercial vehicles & trucks,,,,,,,,,,,
verkkokauppa.com,helsinki,1992,consumer services,broadline retailers,,,,,,,,,,,
viking line,mariehamn,1963,industrials,marine transportation,,,,,,,,,,,
vr,helsinki,1862,industrials,railroads,,,,,,,,,,,
wärtsilä,helsinki,1834,industrials,electronic equipment,,,,,,,,,,,
a. le coq,tartu,1807,consumer goods,brewers,,,,,,,,,,,
airest,tallinn,2002,consumer services,airlines,,,,,,,,,,,
alexela,tallinn,1990,oil & gas,exploration & production,,,,,,,,,,,
aqris,tallinn,1999,technology,software,,,,,,,,,,,
as starman,tallinn,1992,telecommunications,fixed line telecommunications,,,,,,,,,,,
avies,tallinn,1991,consumer services,airlines,,,,,,,,,,,
baltika group,tallinn,1928,consumer services,apparel retailers,,,,,,,,,,,
blrt grupp,tallinn,1912,industrials,commercial vehicles & trucks,,,,,,,,,,,
bolt,tallinn,2013,technology,transportation,,,,,,,,,,,
copterline,tallinn,2010,consumer services,airlines,,,,,,,,,,,
eesti energia,tallinn,1939,utilities,conventional electricity,,,,,,,,,,,
eesti gaas,tallinn,1990,utilities,gas distribution,,,,,,,,,,,
eesti raudtee,tallinn,1992,industrials,railroads,,,,,,,,,,,
elering,tallinn,1998,utilities,conventional electricity,,,,,,,,,,,
elron,tallinn,1998,consumer services,travel & tourism,,,,,,,,,,,
enefit kaevandused,jõhvi,1945,basic materials,general mining,,,,,,,,,,,
enefit solutions,jõhvi,1959,industrials,business support services,,,,,,,,,,,
enimex,tallinn,1994,consumer services,airlines,,,,,,,,,,,
estdomains,tartu,?,technology,internet,,,,,,,,,,,
estonia piano factory,tallinn,1950,consumer goods,recreational products,,,,,,,,,,,
estonian record productions,tallinn,2001,consumer services,broadcasting & entertainment,,,,,,,,,,,
fortumo,tartu,2007,financials,financial services,,,,,,,,,,,
gorail,tallinn,1998,consumer services,travel & tourism,,,,,,,,,,,
kalev,lehmja,1806,consumer goods,food products,,,,,,,,,,,
liviko,tallinn,1898,consumer goods,distillers & vintners,,,,,,,,,,,
moonwalk records,tallinn,2005,consumer services,broadcasting & entertainment,,,,,,,,,,,
narva oil plant,auvere,1980,oil & gas,exploration & production,,,,,,,,,,,
nortal,tallinn,2000,technology,software,,,,,,,,,,,
olerex,tartu,1994,consumer services,specialty retailers,,,,,,,,,,,
omniva,tallinn,1638,logistics,delivery services,,,,,,,,,,,
publishing house ersen,tallinn,?,consumer services,publishing,,,,,,,,,,,
quattromed,tartu,1999,health care,biotechnology,,,,,,,,,,,
rakvere lihakombinaat,roodevälja,1890,consumer goods,food products,,,,,,,,,,,
saaremaa shipping company,kuressaare,1992,industrials,marine transportation,,,,,,,,,,,
saku brewery,saku,1820,consumer goods,brewers,,,,,,,,,,,
seb pank,tallinn,2008,financials,banks,,,,,,,,,,,
selver,tallinn,1995,consumer services,food retailers & wholesalers,,,,,,,,,,,
sky media group,tallinn,1995,consumer services,broadcasting & entertainment,,,,,,,,,,,
smartpost,tallinn,2006,industrials,delivery services,,,,,,,,,,,
stv,tallinn,1991,consumer services,broadcasting & entertainment,,,,,,,,,,,
tallink,tallinn,1989,industrials,marine transportation,,,,,,,,,,,
tallinna linnatranspordi as,tallinn,1991,consumer services,travel & tourism,,,,,,,,,,,
tänapäev,tallinn,1999,consumer services,publishing,,,,,,,,,,,
tartu mill,tartu,2000,consumer goods,food products,,,,,,,,,,,
telia eesti,tallinn,1993,telecommunications,fixed line telecommunications,,,,,,,,,,,
tondi elektroonika,tallinn,1959,industrials,electronic equipment,,,,,,,,,,,
topten,tallinn,?,consumer services,broadcasting & entertainment,,,,,,,,,,,
ülemiste keskus,tallinn,?,consumer services,broadline retailers,,,,,,,,,,,
varrak,tallinn,1991,consumer services,publishing,,,,,,,,,,,
viru keemia grupp,kohtla-järve,1924,oil & gas,exploration & production,,,,,,,,,,,
vkg elektrivõrgud,narva,1993,utilities,conventional electricity,,,,,,,,,,,
zeroturnaround,tartu,2007,technology,software,,,,,,,,,,,
alectia,virum,1912,industrials,business support services,,,,,,,,,,,
alk-abelló,hørsholm,1923,health care,pharmaceuticals,,,,,,,,,,,
aller media,copenhagen,1873,consumer services,publishing,,,,,,,,,,,
alm. brand,copenhagen,1792,financials,full line insurance,,,,,,,,,,,
ambu,copenhagen,1937,health care,medical equipment,,,,,,,,,,,
arkitema architects,aarhus,1969,industrials,business support services,,,,,,,,,,,
arla foods,viby j,2000,consumer goods,food products,,,,,,,,,,,
arp-hansen hotel group,copenhagen,1959,consumer services,hotels,,,,,,,,,,,
bang & olufsen,struer,1925,consumer goods,consumer electronics,,,,,,,,,,,
bestseller a/s,brande,1975,consumer goods,clothing & accessories,,,,,,,,,,,
bjarke ingels group,copenhagen,2005,industrials,business support services,,,,,,,,,,,
boconcept,herning,1952,consumer services,specialty retailers,,,,,,,,,,,
brødrene hartmann,gentofte,1917,industrials,containers & packaging,,,,,,,,,,,
c. f. møller architects,aarhus,1922,industrials,business support services,,,,,,,,,,,
carlsberg group,copenhagen,1847,consumer goods,brewers,,,,,,,,,,,
cembrit,aalborg,1927,industrials,building materials & fixtures,,,,,,,,,,,
chr. hansen,hørsholm,1874,consumer goods,food products,,,,,,,,,,,
cobe architects,copenhagen,2005,industrials,business support services,,,,,,,,,,,
coloplast,fredensborg,1957,health care,medical equipment,,,,,,,,,,,
coop amba,copenhagen,1896,consumer services,food retailers & wholesalers,,,,,,,,,,,
copenhagen airport,copenhagen,1925,industrials,transportation services,,,,,,,,,,,
co-ro food,frederikssund,1942,consumer goods,food products,,,,,,,,,,,
cowex,gentofte,1992,technology,software,,,,,,,,,,,
cowi a/s,kongens lyngby,1930,industrials,business support services,,,,,,,,,,,
daloon,nyborg,1960,consumer goods,food products,,,,,,,,,,,
d/s norden,hellerup,1871,industrials,marine transportation,,,,,,,,,,,
dampskibsselskabet torm,copenhagen,1889,industrials,marine transportation,,,,,,,,,,,
danfoss,nordborg,1933,industrials,industrial machinery,,,,,,,,,,,
danisco,copenhagen,1989,health care,biotechnology,,,,,,,,,,,
danish agro,karise,1901,industrials,industrial machinery,,,,,,,,,,,
danish crown amba,randers,1998,consumer goods,food products,,,,,,,,,,,
dansk supermarked,højbjerg,1964,consumer services,broadline retailers,,,,,,,,,,,
danske bank,copenhagen,1871,financials,banks,,,,,,,,,,,
dantherm,skive,1958,industrials,industrial machinery,,,,,,,,,,,
dfds,copenhagen,1866,industrials,marine transportation,,,,,,,,,,,
dissing+weitling,copenhagen,1971,industrials,business support services,,,,,,,,,,,
dlf,roskilde,1906,consumer goods,farming & fishing,,,,,,,,,,,
dsb,copenhagen,1885,industrials,railroads,,,,,,,,,,,
dsv,hedehusene,1976,industrials,delivery services,,,,,,,,,,,
dt group,copenhagen,1896,industrials,building materials & fixtures,,,,,,,,,,,
ecco,bredebro,1963,consumer goods,footwear,,,,,,,,,,,
egmont group,copenhagen,1878,consumer services,publishing,,,,,,,,,,,
falck,copenhagen,1906,health care,health care providers,,,,,,,,,,,
flsmidth,copenhagen,1882,industrials,industrial machinery,,,,,,,,,,,
flying tiger copenhagen,copenhagen,1995,consumer services,braodline retailers,,,,,,,,,,,
foss a/s,hillerød,1956,industrials,business support services,,,,,,,,,,,
global risk management,middelfart,2004,industrials,business support services,,,,,,,,,,,
gn store nord,ballerup,1869,health care,health care providers,,,,,,,,,,,
grundfos,bjerringbro,1945,industrials,industrial machinery,,,,,,,,,,,
gryphon audio designs,ry,1985,consumer goods,consumer electronics,,,,,,,,,,,
haldor topsoe,copenhagen,1940,basic materials,specialty chemicals,,,,,,,,,,,
hempel group,lyngby-taarbæk,1915,basic materials,specialty chemicals,,,,,,,,,,,
henning larsen architects,copenhagen,1959,industrials,business support services,,,,,,,,,,,
house of amber,copenhagen,1933,consumer goods,clothing & accessories,,,,,,,,,,,
hummel,aarhus,1923,consumer goods,clothing & accessories,,,,,,,,,,,
ic group,copenhagen,2001,consumer goods,clothing & accessories,,,,,,,,,,,
io interactive,copenhagen,1990,technology,software,,,,,,,,,,,
iss a/s,copenhagen,1901,industrials,business support services,,,,,,,,,,,
jet time,copenhagen,2006,consumer services,airlines,,,,,,,,,,,
jorgensen engineering,odense,1933,industrials,business support services,,,,,,,,,,,
jysk,aarhus,1979,consumer services,specialty retailers,,,,,,,,,,,
jyske bank,silkeborg,1967,financials,banks,,,,,,,,,,,
kemp & lauritzen,copenhagen,1882,industrials,business support services,,,,,,,,,,,
kopenhagen fur,copenhagen,1930,consumer goods,clothing & accessories,,,,,,,,,,,
lastobject,copenhagen,2016,consumer goods,personal products,,,,,,,,,,,
leo pharma,copenhagen,1908,health care,pharmaceuticals,,,,,,,,,,,
lm glasfiber,lunderskov,1940,industrials,industrial machinery,,,,,,,,,,,
louis poulsen,copenhagen,1874,industrials,building materials & fixtures,,,,,,,,,,,
lundbeck,copenhagen,1915,health care,pharmaceuticals,,,,,,,,,,,
lundgaard & tranberg,copenhagen,1983,industrials,business support services,,,,,,,,,,,
maersk,copenhagen,1904,conglomerates,ocean and inland freight transportation,,,,,,,,,,,
martin professional,aarhus,1987,industrials,building materials & fixtures,,,,,,,,,,,
matas,allerød,1949,consumer services,drug retailers,,,,,,,,,,,
netcompany,copenhagen,1999,technology,software,,,,,,,,,,,
nkt holding,copenhagen,1891,conglomerates,-,,,,,,,,,,,
nnit,gladsaxe,1994,technology,software,,,,,,,,,,,
nordic adult entertainment,copenhagen,1972,consumer goods,recreational products,,,,,,,,,,,
nordisk film,copenhagen,1906,consumer services,broadcasting & entertainment,,,,,,,,,,,
north media,gladsaxe,1978,consumer services,publishing,,,,,,,,,,,
north sea capital,copenhagen,2001,financials,financial services,,,,,,,,,,,
novo nordisk,copenhagen,1923,health care,pharmaceuticals,,,,,,,,,,,
novozymes,copenhagen,2000,health care,biotechnology,,,,,,,,,,,
nykredit,copenhagen,1985,financials,financial services,,,,,,,,,,,
ørsted,fredericia,2006,utilities,conventional electricity,,,,,,,,,,,
parken sport & entertainment,copenhagen,1992,consumer services,recreational services,,,,,,,,,,,
pharma nord,vejle,1981,health care,pharmaceuticals,,,,,,,,,,,
pharmacosmos,holbæk,1965,health care,pharmaceuticals,,,,,,,,,,,
phase one,copenhagen,1993,consumer goods,recreational products,,,,,,,,,,,
plesner,copenhagen,1918,industrials,business support services,,,,,,,,,,,
post danmark,copenhagen,1624,industrials,delivery services,,,,,,,,,,,
ramboll,copenhagen,1945,industrials,business support services,,,,,,,,,,,
roskilde forsyning,roskilde,2000,utilities,conventional electricity,,,,,,,,,,,
royal copenhagen,copenhagen,1775,consumer goods,durable household products,,,,,,,,,,,
royal unibrew,faxe,1989,consumer goods,brewers,,,,,,,,,,,
sampension,copenhagen,1945,financials,asset managers,,,,,,,,,,,
santa fe group,copenhagen,1897,industrials,logistics,,,,,,,,,,,
saxo bank,copenhagen,1992,financials,banks,,,,,,,,,,,
scandinavian tobacco group,copenhagen,1961,consumer goods,tobacco,,,,,,,,,,,
schmidt hammer lassen,copenhagen,1986,industrials,business support services,,,,,,,,,,,
select sport,copenhagen,1947,consumer goods,recreational products,,,,,,,,,,,
simonsen & weel,vallensbæk,1817,health care,medical equipment,,,,,,,,,,,
stylepit,copenhagen,2000,consumer services,apparel retailers,,,,,,,,,,,
stibo,århus,1794,technology,enterprise software,,,,,,,,,,,
tdc a/s,copenhagen,1879,telecommunications,fixed line telecommunications,,,,,,,,,,,
terma a/s,lystrup,1949,industrials,aerospace,,,,,,,,,,,
the lego group,billund,1932,consumer goods,toys,,,,,,,,,,,
thorco shipping,copenhagen,2003,industrials,marine transportation,,,,,,,,,,,
tuborg brewery,fredericia,1873,consumer goods,brewers,,,,,,,,,,,
united shipping & trading company,middelfart,1876,industrials,marine transportation,,,,,,,,,,,
velux,hørsholm,1941,industrials,building materials & fixtures,,,,,,,,,,,
vestas,aarhus,1945,industrials,industrial machinery,,,,,,,,,,,
welltec,allerød,1994,oil & gas,oil equipment & services,,,,,,,,,,,
widex,lynge,1956,health care,medical equipment,,,,,,,,,,,
william demant,ledøje-smørum,1904,health care,health care providers,,,,,,,,,,,
zentropa,hvidovre,1992,consumer services,broadcasting & entertainment,,,,,,,,,,,
aero vodochody,odolena voda,1919,industrials,aerospace,,,,,,,,,,,
ahold czech republic,prague,1991,consumer services,food retailers & wholesalers,,,,,,,,,,,
asix s.r.o.,prague,1991,industrials,electronic equipment,,,,,,,,,,,
avast,prague,1988,technology,software,,,,,,,,,,,
barrandov studios,prague,1921,consumer services,broadcasting & entertainment,,,,,,,,,,,
budweiser bier bürgerbräu,české budějovice,1795,consumer goods,brewers,,,,,,,,,,,
budweiser budvar brewery,české budějovice,1785,consumer goods,brewers,,,,,,,,,,,
česká pošta,prague,1918,industrials,delivery services,,,,,,,,,,,
česká spořitelna,prague,1825,financials,banks,,,,,,,,,,,
česká zbrojovka firearms,uherský brod,1936,industrials,defense,,,,,,,,,,,
české dráhy,prague,2003,industrials,railroads,,,,,,,,,,,
české radiokomunikace,prague,1963,telecommunications,fixed line telecommunications,,,,,,,,,,,
československá obchodní banka,prague,1964,financials,banks,,,,,,,,,,,
cetin,prague,2015,telecommunications,fixed line telecommunications,,,,,,,,,,,
cinema city czech republic,prague,1999,consumer services,recreational services,,,,,,,,,,,
čkd,prague,1927,industrials,commercial vehicles & trucks,,,,,,,,,,,
cs link,prague,2006,telecommunications,mobile telecommunications,,,,,,,,,,,
czech airlines,prague,1923,consumer services,airlines,,,,,,,,,,,
czech national bank,prague,1919,financials,banks,,,,,,,,,,,
dominant cz,studenec,1989,consumer goods,farming & fishing,,,,,,,,,,,
indies records,brno,1990,consumer services,broadcasting & entertainment,,,,,,,,,,,
jablotron,jablonec nad nisou,1990,consumer goods,consumer electronics,,,,,,,,,,,
jan becher,karlovy vary,1807,consumer goods,distillers & vintners,,,,,,,,,,,
jihostroj,velešín,1919,industrials,aerospace,,,,,,,,,,,
josef lidl,brno,1892,consumer goods,recreational products,,,,,,,,,,,
kaden models,nový hrádek,1950,consumer goods,toys,,,,,,,,,,,
kenvelo,prague,1991,consumer services,apparel retailers,,,,,,,,,,,
kofola,ostrava,1960,consumer goods,soft drinks,,,,,,,,,,,
komerční banka,prague,1990,financials,banks,,,,,,,,,,,
leo express,prague,2010,industrials,railroads,,,,,,,,,,,
liaz,jablonec nad nisou,1951,industrials,commercial vehicles & trucks,,,,,,,,,,,
mafra,prague,1992,consumer services,publishing,,,,,,,,,,,
meopta,přerov,1933,industrials,electronic equipment,,,,,,,,,,,
metrostav,prague,1971,industrials,heavy construction,,,,,,,,,,,
moser,karlovy vary,1857,consumer goods,furnishings,,,,,,,,,,,
o2 czech republic,prague,2006,telecommunications,telecommunications,,,,,,,,,,,
okd,ostrava,1952,basic materials,coal,,,,,,,,,,,
petrof,hradec králové,1864,consumer goods,recreational products,,,,,,,,,,,
pilsner urquell brewery,plzeň,1842,consumer goods,brewers,,,,,,,,,,,
preciosa,jablonec nad nisou,1948,consumer goods,furnishings,,,,,,,,,,,
racom,nové město na moravě,1989,consumer goods,consumer electronics,,,,,,,,,,,
red hat czech,brno,2006,technology,software,,,,,,,,,,,
royal brewery of krušovice,krušovice,1581,consumer goods,brewers,,,,,,,,,,,
rudolf kämpf,nové sedlo,1907,consumer goods,furnishings,,,,,,,,,,,
škoda transportation,plzeň,1995,industrials,commercial vehicles & trucks,,,,,,,,,,,
škoda works,plzeň,1859,industrials,diversified industrials,,,,,,,,,,,
skylink,prague,2007,telecommunications,mobile telecommunications,,,,,,,,,,,
student agency,brno,1996,consumer services,travel & tourism,,,,,,,,,,,
supraphon,prague,1932,consumer services,broadcasting & entertainment,,,,,,,,,,,
tatra,kopřivnice,1850,industrials,commercial vehicles & trucks,,,,,,,,,,,
telekom austria czech republic,prague,1995,telecommunications,fixed line telecommunications,,,,,,,,,,,
toyota peugeot citroën automobile czech,kolín,2002,consumer goods,automobiles,,,,,,,,,,,
trinec iron and steel works,třinec,1836,basic materials,iron & steel,,,,,,,,,,,
unicredit bank czech republic and slovakia,prague,2006,financials,banks,,,,,,,,,,,
via chem group,české budějovice,2002,basic materials,specialty chemicals,,,,,,,,,,,
vodafone czech republic,prague,1982,telecommunications,mobile telecommunications,,,,,,,,,,,
walter aircraft engines,prague,1911,industrials,industrial machinery,,,,,,,,,,,
zetor,brno,1946,industrials,commercial vehicles & trucks,,,,,,,,,,,
živnostenská banka,prague,1868,financials,banks,,,,,,,,,,,
ac omonia,nicosia,1948,consumer services,sports,,,,,,,,,,,
aek larnaca fc,larnaca,1994,consumer services,sports,,,,,,,,,,,
ael f.c.,limassol,1930,consumer services,sports,,,,,,,,,,,
allbiz,nicosia,1999,industrials,business support services,,,,,,,,,,,
anorthosis f.c.,larnaca,1911,consumer services,sports,,,,,,,,,,,
apoel b.c.,nicosia,1947,consumer services,sports,,,,,,,,,,,
apoel fc,nicosia,1926,consumer services,sports,,,,,,,,,,,
apoel v.c.,nicosia,1928,consumer services,sports,,,,,,,,,,,
apollon limassol,limassol,1954,consumer services,sports,,,,,,,,,,,
armida publications,nicosia,1997,consumer services,publishing,,,,,,,,,,,
