name,headquarters,founded,industry,sector,notes,founders,key_people,number_of_employees,operating_income,revenue,services,total_assets,type,website,area_served
kotipizza,helsinki,1987,consumer services,restaurants & bars,restaurants,,,,,,,,,,
lemminkäinen group,helsinki,1910,industrials,heavy construction,construction,,,,,,,,,,
marimekko,helsinki,1951,consumer goods,clothing & accessories,fashion design,,,,,,,,,,
metsä group,helsinki,1947,basic materials,paper,"paper, pulp, timber",,,,,,,,,,
metso,helsinki,1999,industrials,business support services,equipment and services for process industries,,,,,,,,,,
neste,espoo,1948,oil & gas,exploration & production,"petroleum, biofuels",,,,,,,,,,
nokia,espoo,1865,industrials,telecommunications equipment,telecommunications infrastructure and equipment,,,,,,,,,,
nokia networks,espoo,2007,technology,telecommunications equipment,part of nokia,,,,,,,,,,
nokian jalkineet,helsinki,1898,consumer goods,footwear,boots,,,,,,,,,,
nokian tyres,nokia,1932,consumer goods,automobiles,tyres,,,,,,,,,,
olvi,helsinki,1878,consumer goods,soft drinks,beverages,,,,,,,,,,
op financial group,helsinki,1891,financials,financial services,finance and insurance,,,,,,,,,,
orion corporation,espoo,1917,health care,pharmaceuticals,pharmaceuticals,,,,,,,,,,
outokumpu,helsinki,1932,basic materials,iron & steel,steel,,,,,,,,,,
outotec,espoo,2006,industrials,business support services,mineral and metals processing technology,,,,,,,,,,
patria,helsinki,1997,industrials,defense,military technology,,,,,,,,,,
planmeca,helsinki,1971,health care,medical equipment,dental and medical technology,,,,,,,,,,
pohjolan voima,helsinki,1943,utilities,alternative electricity,energy,,,,,,,,,,
polar electro,kempele,1977,consumer goods,recreational products,fitness equipment,,,,,,,,,,
ponsse corporation,vieremä,1970,industrials,commercial vehicles & trucks,forestry vehicles,,,,,,,,,,
posiva,eurajoki,1995,industrials,waste & disposal services,nuclear waste management,,,,,,,,,,
posti group,helsinki,1638,logistics,delivery services,postal service,,,,,,,,,,
pöyry,vantaa,1958,industrials,business support services,consulting and engineering,,,,,,,,,,
process vision,helsinki,1993,technology,business support services,it for energy companies,,,,,,,,,,
raisio group,raisio,1939,consumer goods,food products,food,,,,,,,,,,
rautaruukki,helsinki,1960,industrials,building materials & fixtures,steel products,,,,,,,,,,
rovio entertainment,espoo,2003,technology,software,video games,,,,,,,,,,
s group,helsinki,1904,consumer services,hotels,"retailing, hotels",,,,,,,,,,
sampo group,helsinki,1909,financials,full line insurance,insurance,,,,,,,,,,
sanoma,helsinki,1999,consumer services,publishing,books and magazines,,,,,,,,,,
silja line,helsinki,1957,industrials,marine transportation,"shipping, part of tallink (estonia)",,,,,,,,,,
sisu auto,helsinki,1931,industrials,commercial vehicles & trucks,heavy duty trucks & military vehicles,,,,,,,,,,
solidium,helsinki[7],2008,financials,investment services,investments,,,,,,,,,,
ssh communications security,helsinki,1995,technology,software,computer software,,,,,,,,,,
st1,helsinki,1995,oil & gas,exploration & production,petroleum,,,,,,,,,,
stenfors,oulu,1969,industrials,heavy construction,construction,,,,,,,,,,
stockmann,helsinki,1862,consumer services,broadline retailers,retailing,,,,,,,,,,
stonesoft corporation,helsinki,1990,technology,software,"network security, defunct, now part of forcepoint (usa)",,,,,,,,,,
stora enso,helsinki,1998,basic materials,paper,"paper, pulp, timber",,,,,,,,,,
suominen corporation,helsinki,1898,consumer goods,clothing & accessories,convenience and care nonwovens,,,,,,,,,,
supercell,helsinki,2010,technology,software,video games,,,,,,,,,,
suunto,vantaa,1936,consumer goods,recreational services,"technical sports equipment, part of amer sports",,,,,,,,,,
talvivaara mining company,espoo,2004,basic materials,nonferrous metals,nickel mining,,,,,,,,,,
tieto,helsinki,1968,technology,software,information technology,,,,,,,,,,
tikkurila,vantaa,1862,basic materials,commodity chemicals,paints,,,,,,,,,,
upm-kymmene,helsinki,1996,basic materials,paper,"paper, pulp, timber, biofuels",,,,,,,,,,
vacon,vaasa,1993,industrials,electrical components & equipment,variable-speed ac drives,,,,,,,,,,
vaisala,vantaa,1936,technology,software,environmental measuring technology,,,,,,,,,,
valio,helsinki,1905,consumer goods,food products,food,,,,,,,,,,
valmet automotive,uusikaupunki,1968,consumer goods,automobiles,car assembly,,,,,,,,,,
valmet,espoo,2013,industrials,industrial machinery,industrial equipment,,,,,,,,,,
valtra,äänekoski,1951,industrials,commercial vehicles & trucks,tractors,,,,,,,,,,
verkkokauppa.com,helsinki,1992,consumer services,broadline retailers,storefront and online retail,,,,,,,,,,
viking line,mariehamn,1963,industrials,marine transportation,shipping,,,,,,,,,,
vr,helsinki,1862,industrials,railroads,rail transport,,,,,,,,,,
wärtsilä,helsinki,1834,industrials,electronic equipment,power plants and marine propulsion systems,,,,,,,,,,
woikoski,voikoski[8],1882,basic materials,basic resources,helium,,,,,,,,,,
yit,helsinki,1912,industrials,heavy construction,construction,,,,,,,,,,
accor,paris,1967,consumer services,hospitality,hotels,,,,,,,,,,
aéropostale,toulouse,1918,consumer services,airlines,"aviation, defunct 1933",,,,,,,,,,
aérospatiale-matra,paris[7],1999,industrials,defense,"military contractor, defunct 2000",,,,,,,,,,
air france,tremblay-en-france,1933,consumer services,airlines,part of air france–klm,,,,,,,,,,
air france–klm,tremblay-en-france,2004,consumer services,airlines,aviation,,,,,,,,,,
airbus,toulouse,1970,industrials,aerospace,aeronautical products,,,,,,,,,,
air liquide,paris,1902,industrial,chemical,industrial gas,,,,,,,,,,
alcatel-lucent,boulogne-billancourt,2006,technology,telecommunications equipment,"defunct 2016, now part of nokia (finland)",,,,,,,,,,
ales groupe,paris,1969,consumer goods,personal products,cosmetics,,,,,,,,,,
alstom,saint-ouen,1928,industrials,railroads,railway transport,,,,,,,,,,
