,market_cap,revenue,net_income,gbp
280,doll_7.465000000000001 b,0,0,doll_5.599 b
281,doll_5.083 b,0,0,doll_5.617 b
282,doll_35.878 b,0,0,doll_5.638 b
283,doll_5.648 b,0,0,0
284,doll_5.654999999999999 b,0,0,0
285,doll_7.106999999999999 b,0,0,doll_5.6770000000000005 b
286,doll_21.338 b,0,0,doll_5.689 b
287,doll_5.694 b,0,0,0
288,doll_5.7090000000000005 b,0,0,0
289,doll_5.718 b,0,0,0
290,doll_7.161 b,0,0,doll_5.720000000000001 b
291,doll_7011.0 b,0,0,doll_5.723 b
292,doll_36.525999999999996 b,0,0,doll_5.74 b
293,doll_5.743 b,0,0,0
294,doll_5.745 b,0,0,0
295,doll_5.215 b,0,0,doll_5.762 b
296,doll_5.763 b,0,0,0
297,doll_5.227 b,0,0,doll_5.775 b
298,doll_5.782 b,0,0,0
299,doll_5.836 b,0,0,0
300,doll_6017.0 b,0,0,doll_4.911 b
301,doll_4.923 b,0,0,0
302,doll_4.932 b,0,0,0
303,doll_4.942 b,0,0,0
304,doll_4.965999999999999 b,0,0,0
305,doll_5541.0 b,0,0,doll_4.983 b
306,doll_4.991 b,0,0,0
307,doll_4.527 b,0,0,doll_5.002000000000001 b
308,doll_5.018 b,0,0,0
309,doll_4304.0 b,0,0,doll_5.019 b
310,doll_5.029 b,0,0,0
311,doll_32.108 b,0,0,doll_5.046 b
312,doll_1455.0 b,0,0,doll_5.075 b
313,doll_6.768000000000001 b,0,0,doll_5.076 b
314,doll_5.095000000000001 b,0,0,0
315,doll_5.103 b,0,0,0
316,doll_3.9219999999999997 b,0,0,doll_5.143 b
317,doll_5.149 b,0,0,0
318,doll_5.151 b,0,0,0
319,doll_6316.0 b,0,0,doll_5.154999999999999 b
320,doll_6319.0 b,0,0,doll_5.1579999999999995 b
321,doll_6.473000000000001 b,0,0,doll_5.171 b
322,doll_4.688000000000001 b,0,0,doll_5.18 b
323,doll_4.706 b,0,0,doll_5.2 b
324,doll_6394.0 b,0,0,doll_5.218999999999999 b
325,doll_5.218999999999999 b,0,0,0
326,doll_5.228 b,0,0,0
327,doll_6406.0 b,0,0,doll_5.229 b
328,doll_5.2299999999999995 b,0,0,0
329,doll_5.2299999999999995 b,0,0,0
330,doll_5.247 b,0,0,0
331,doll_4.776 b,0,0,doll_5.276 b
332,doll_6.672 b,0,0,doll_5.33 b
333,doll_4.067 b,0,0,doll_5.333 b
334,doll_4.976 b,0,0,doll_5.3759999999999994 b
335,doll_4.868 b,0,0,doll_5.378 b
336,doll_5.386 b,0,0,0
337,doll_5.386 b,0,0,0
338,doll_5.43 b,0,0,0
339,doll_5.431 b,0,0,0
340,doll_5.454 b,0,0,0
341,doll_6.8340000000000005 b,0,0,doll_5.4590000000000005 b
