,market_value_jan_2020,market_value_jan_2021,annual_revenue_usd,annual_net_income_usd,revenue,market_capitalization_2022,total_assets_in_usd,total_equity_in_usd,total_liabilities_in_usd
235,,,doll_174.270 m,doll_5.365 m,,,doll_154.890 m,doll_47.112 m,doll_107.780 m
236,,,doll_9.168 m,doll_4.058 m,,,doll_193.500 m,doll_22.709 m,doll_170.790 m
237,,,doll_6.606 m,517 million usd,,,doll_6.364 m,doll_1.995 m,doll_4.369 m
238,,,doll_78.849 m,doll_7.947 m,,,doll_148.110 m,doll_49.788 m,doll_98.325 m
239,,,doll_28.945 m,doll_4.546 m,,,doll_40.620 m,doll_15.579 m,doll_24.681 m
240,,,doll_3.928 m,doll_1.048 m,,,doll_5.237 m,doll_3.676 m,doll_1.561 m
241,,,doll_11.142 m,doll_3.005 m,,,doll_38.493 m,doll_13.641 m,doll_24.852 m
242,,,doll_20.248 m,doll_2.092 m,,,doll_53.866 m,doll_23.677 m,doll_30.189 m
243,,,doll_23.113 m,doll_2.408 m,,,doll_127.530 m,doll_28.165 m,doll_99.369 m
244,,,doll_35.258 m,doll_7.874 m,,,doll_79.037 m,doll_50.969 m,doll_28.068 m
245,,,doll_11.848 m,doll_2.445 m,,,doll_15.114 m,doll_9.516 m,doll_5.598 m
246,,,doll_2.484 m,doll_1.599 m,,,doll_50.951 m,doll_6.332 m,doll_44.619 m
247,,,doll_14.545 m,doll_3.139 m,,,doll_206.010 m,doll_20.627 m,doll_185.380 m
248,,,doll_20.692 m,doll_5.775 m,,,doll_759.870 m,doll_44.233 m,doll_715.640 m
249,,,doll_111.660 m,doll_7.098 m,,,doll_775.260 m,doll_75.206 m,doll_700.060 m
250,,,doll_6.386 m,doll_2.278 m,,,doll_54.460 m,doll_27.023 m,doll_27.437 m
251,,,doll_111.210 m,doll_12.378 m,,,doll_229.460 m,doll_75.110 m,doll_154.350 m
252,,,doll_203.750 m,doll_4.974 m,,,doll_127.510 m,doll_39.931 m,doll_87.579 m
253,,,doll_17.421 m,doll_2.166 m,,,doll_15.040 m,609 million usd,doll_14.431 m
254,,,doll_5.356 m,852 million usd,,,doll_15.668 m,doll_6.829 m,doll_8.839 m
255,,,doll_15.137 m,doll_3.649 m,,,doll_29.578 m,doll_25.023 m,doll_4.555 m
