,market_cap,revenue
188,doll_1.2 b,doll_1.1 b
189,doll_2.6 b,doll_1.1 b
190,doll_945.4 m,doll_1.1 b
191,doll_1.1 b,doll_1.1 b
192,doll_1.3 b,doll_1.1 b
193,doll_2.6 b,doll_1.1 b
194,doll_250.6 m,doll_1.1 b
195,doll_554.2 m,doll_1.1 b
196,doll_1.1 b,doll_1.1 b
197,doll_3.5 b,doll_1.1 b
198,doll_6.6 b,doll_1.1 b
199,doll_1.4 b,doll_1.1 b
200,doll_1.1 b,doll_1.1 b
201,doll_253.1 m,doll_1.1 b
202,doll_905.6 m,doll_1.1 b
203,doll_874.9 m,doll_1.1 b
204,doll_383.2 m,doll_1.1 b
205,doll_20.1 b,doll_1.1 b
206,doll_39.7 m,doll_1.1 b
207,doll_661.7 m,doll_1.1 b
208,doll_324.8 m,doll_1.1 b
209,doll_1.2 b,doll_1.1 b
210,doll_1.0 b,doll_1.1 b
211,doll_5.4 b,doll_1.1 b
212,doll_1.4 b,doll_1.1 b
213,doll_925.9 m,doll_1.1 b
214,doll_3.1 b,doll_1.1 b
215,doll_212.8 m,doll_1.1 b
216,doll_885.8 m,doll_1.1 b
217,doll_653.7 m,doll_1.1 b
218,doll_1.2 b,doll_1.1 b
219,0,doll_1.1 b
220,doll_2.4 b,doll_1.1 b
221,doll_12.6 b,doll_1.1 b
222,doll_3.7 b,doll_1.1 b
223,doll_18.6 b,doll_1.1 b
224,doll_5.3 b,doll_1.1 b
225,doll_2.2 b,doll_1.1 b
226,doll_226.4 m,doll_1.1 b
227,doll_4.3 b,doll_1.1 b
228,doll_3.4 b,doll_1.1 b
229,doll_3.6 b,doll_1.1 b
230,doll_762.7 m,doll_1.1 b
231,doll_831.6 m,doll_1.1 b
232,doll_5.0 b,doll_1.1 b
233,doll_3.6 b,doll_1.1 b
234,doll_4.0 b,doll_1.1 b
235,doll_533.6 m,doll_1.1 b
236,doll_268.9 m,doll_1.1 b
237,doll_2.8 b,doll_1.1 b
238,doll_1.6 b,doll_1.1 b
239,doll_655.7 m,doll_1.1 b
240,doll_2.5 b,doll_1.1 b
241,doll_696.7 m,doll_1.1 b
242,doll_550.7 m,doll_1.1 b
243,doll_803.7 m,doll_1.1 b
244,doll_1.0 b,doll_1.1 b
245,doll_7.3 b,doll_1.1 b
246,doll_526.5 m,doll_1.1 b
247,doll_241.4 m,doll_1.1 b
248,doll_293.3 m,doll_1.1 b
249,doll_274.3 m,doll_1.1 b
250,0,doll_1.1 b
251,doll_3.0 b,doll_1.1 b
252,0,doll_1.1 b
253,doll_615.6 m,doll_1.1 b
254,doll_948.3 m,doll_1.1 b
255,doll_371.0 m,doll_1.1 b
256,doll_706.9 m,doll_1.1 b
257,doll_5.5 b,doll_1.1 b
258,doll_1.6 b,doll_1.1 b
259,doll_5.3 b,doll_1.1 b
260,doll_2.8 b,doll_1.1 b
261,doll_1.2 b,doll_1.1 b
262,doll_1.1 b,doll_1.1 b
263,doll_3.6 b,doll_1.1 b
264,doll_1.4 b,doll_1.1 b
265,doll_3.0 b,doll_1.1 b
266,doll_1.8 b,doll_1.1 b
267,doll_346.1 m,doll_1.1 b
268,doll_512.0 m,doll_1.1 b
269,0,doll_1.1 b
270,doll_3.3 b,doll_1.1 b
271,doll_2.1 b,doll_1.1 b
272,doll_2.4 b,doll_1.1 b
273,doll_3.6 b,doll_1.1 b
274,doll_10.4 b,doll_1.1 b
275,doll_2.3 b,doll_1.1 b
276,0,doll_1.1 b
277,doll_5.9 b,doll_1.1 b
278,doll_281.9 m,doll_1.1 b
279,doll_3.0 b,doll_1.1 b
280,doll_3.2 b,doll_1.1 b
281,doll_497.1 m,doll_1.1 b
282,doll_1.4 b,doll_1.1 b
283,doll_1.4 b,doll_1.1 b
284,doll_4.0 b,doll_1.1 b
285,doll_2.3 b,doll_1.1 b
286,doll_298.3 m,doll_1.1 b
287,doll_819.0 m,doll_1.1 b
288,doll_2.4 b,doll_1.1 b
289,doll_1.7 b,doll_1.1 b
290,doll_3.0 b,doll_1.1 b
291,doll_377.7 m,doll_1.1 b
292,doll_12.3 b,doll_1.1 b
293,doll_4.0 b,doll_1.1 b
294,doll_2.8 b,doll_1.1 b
295,doll_1.5 b,doll_1.1 b
296,doll_3.0 b,doll_1.1 b
297,doll_52.7 m,doll_1.1 b
298,doll_1.1 b,doll_1.1 b
299,doll_707.6 m,doll_1.1 b
300,doll_1.3 b,doll_1.1 b
301,doll_1.4 b,doll_1.1 b
302,doll_325.3 m,doll_1.1 b
303,doll_276.1 m,doll_1.2 b
304,0,doll_1.2 b
305,doll_5.1 b,doll_1.2 b
306,doll_1.3 b,doll_1.2 b
307,doll_219.4 m,doll_1.2 b
308,doll_6.7 b,doll_1.2 b
309,doll_173.2 m,doll_1.2 b
310,doll_6.7 b,doll_1.2 b
311,doll_1.6 b,doll_1.2 b
312,doll_4.7 b,doll_1.2 b
313,doll_505.8 m,doll_1.2 b
314,doll_13.1 b,doll_1.2 b
315,0,doll_1.2 b
316,doll_207.5 m,doll_1.2 b
317,doll_854.5 m,doll_1.2 b
318,doll_1.2 b,doll_1.2 b
319,doll_130.3 m,doll_1.2 b
320,doll_2.0 b,doll_1.2 b
321,doll_403.4 m,doll_1.2 b
322,doll_1.7 b,doll_1.2 b
323,doll_37.2 m,doll_1.2 b
324,doll_2.7 b,doll_1.2 b
325,doll_890.2 m,doll_1.2 b
326,doll_1.8 b,doll_1.2 b
327,doll_11.0 b,doll_1.2 b
328,doll_337.6 m,doll_1.2 b
329,doll_5.4 b,doll_1.2 b
330,doll_2.9 b,doll_1.2 b
331,doll_577.4 m,doll_1.2 b
332,doll_1.3 b,doll_1.2 b
333,doll_249.5 m,doll_1.2 b
334,doll_2.3 b,doll_1.2 b
335,0,doll_1.2 b
336,doll_3.1 b,doll_1.2 b
337,doll_5.8 b,doll_1.2 b
338,doll_1.9 b,doll_1.2 b
339,doll_251.5 m,doll_1.2 b
340,doll_840.0 m,doll_1.2 b
341,doll_4.5 b,doll_1.2 b
342,doll_1.5 b,doll_1.2 b
343,doll_26.7 m,doll_1.2 b
344,doll_1.4 b,doll_1.2 b
345,doll_1.1 b,doll_1.2 b
346,doll_1.5 b,doll_1.2 b
347,doll_6.2 b,doll_1.2 b
348,doll_841.3 m,doll_1.2 b
349,doll_11.1 b,doll_1.2 b
350,doll_331.4 m,doll_1.2 b
351,doll_6.2 b,doll_1.2 b
352,doll_2.3 b,doll_1.2 b
353,doll_1.8 b,doll_1.2 b
354,doll_402.5 m,doll_1.2 b
355,0,doll_1.2 b
356,doll_1.5 b,doll_1.2 b
357,doll_459.4 m,doll_1.2 b
358,doll_2.4 b,doll_1.2 b
359,doll_1.6 b,doll_1.2 b
360,doll_794.8 m,doll_1.2 b
361,doll_3.1 b,doll_1.2 b
362,doll_4.0 b,doll_1.2 b
363,0,doll_1.2 b
364,doll_1.1 b,doll_1.2 b
365,doll_1.5 b,doll_1.2 b
366,doll_6.8 b,doll_1.2 b
367,doll_3.6 b,doll_1.2 b
368,doll_5.2 b,doll_1.2 b
369,doll_6.7 b,doll_1.2 b
370,doll_1.5 b,doll_1.2 b
371,doll_1.7 b,doll_1.2 b
372,doll_6.3 b,doll_1.2 b
373,doll_20.5 b,doll_1.2 b
374,doll_797.6 m,doll_1.2 b
375,doll_2.6 b,doll_1.2 b
376,doll_3.3 b,doll_1.2 b
377,doll_1.1 b,doll_1.2 b
378,doll_9.1 b,doll_1.2 b
379,0,doll_1.2 b
380,doll_1.1 b,doll_1.2 b
