,index,foundation_year,headquarter,industry,name,ownership
151,151,1960,"ypsilanti, michigan, united states (usa)",hospitality,dominos pizza,public
152,152,1978,"chennai, tamil nadu, india",nbfc,cholamandalam investment & finance,private
153,153,1945,"bangalore/bengaluru, karnataka, india",fmcg,wipro consumer care & lighting,private
154,154,1994,"mumbai, maharashtra, india",nbfc,l&t financial services,public
155,155,2001,"mumbai, maharashtra, india",insurance,sbi life insurance company,government
156,156,0,,,capgemini technology services india limited,
157,157,1996,"southborough, massachusetts, united states (usa)",it services & consulting,virtusa consulting services,private
158,158,2011,"san mateo,california, united states",financial services,axis direct,private
159,159,1945,"mumbai, maharashtra, india",real estate,kec international,public
160,160,1993,"hyderabad/secunderabad, telangana, india",pharma,hetero drugs,private
161,161,1958,"seoul, seoul, south korea",consumer electronics & appliances,lg electronics,public
162,162,1945,"bangalore, india",it services & consulting,wipro infotech,private
163,163,1986,"noida, uttar pradesh, india",auto components,motherson sumi systems,public
164,164,2008,"issy les moulineaux, france",facility management services,sodexo,private
165,165,2014,"bangalore,karnataka, india",internet,swiggy,private
166,166,1980,"pune, maharashtra, india",industrial machinery,thermax,public
167,167,1977,"minnesota, united states (usa)",healthcare,optum,private
168,168,1991,"illinois city, illinois, united states (usa)",pharma,abbott healthcare,public
169,169,2000,"ahmedabad, gujrat, india",pharma,intas pharmaceuticals,private
170,170,1986,"mumbai, maharashtra, india",pharma,macleods pharmaceuticals,public
171,171,1985,"noida, uttar pradesh, india",auto components,subros,public
172,172,1949,"new jersey, united states",it services & consulting,automatic data processing (adp),
173,173,2008,"gurgaon/gurugram, haryana, india",automobile,ve commercial vehicles,private
174,174,1995,"gurgaon/gurugram, haryana, india",beverage,varun beverages,public
175,175,1997,"bangalore, india",beverage,hindustan coca cola beverages,private
176,176,2020,"mumbai, india",nbfc,piramal capital housing finance,
177,177,2012,"vadodara/baroda, gujarat, india",it services & consulting,l&t technology services,public
178,178,1954,"bangalore/bengaluru, karnataka, india",consumer electronics & appliances,bel,private
179,179,1992,"chennai, tamil nadu, india",,randstad,private
180,180,1959,"mumbai, maharashtra, india",chemicals / agri inputs,pidilite industries,public
181,181,2014,"bangalore,karnataka, india",it services & consulting,cms it services,private
182,182,1932,"new delhi, delhi, india",defence & aerospace,indian air force,private
183,183,2015,"gurgaon,haryana, india",internet,cars24,private
184,184,1976,"montreal, quebec, canada",it services & consulting,cgi group,private
185,185,1850,"new york city,new york, united states",financial services,american express,private
186,186,1907,"vadodara/baroda, gujrat, india",pharma,alembic pharmaceuticals,public
187,187,0,,banking,natwest group,government
188,188,1973,"mumbai, maharashtra, india",pharma,alkem laboratories,public
189,189,2012,"hyderabad/secunderabad, telangana, india",logistics,gati kwe,private
190,190,1983,"noida, uttar pradesh, india",electrical equipment,havells,public
191,191,1977,"mumbai, maharashtra, india",pharma,glenmark pharmaceuticals,public
192,192,2001,"zurich, switzerland",electrical equipment,abb group,public
193,193,1870,"frankfurt, germany",banking,deutsche bank,private
194,194,1991,"mumbai, maharashtra, india",retail,shoppers stop,public
195,195,1924,"kolkata, west bengal, india",engineering & construction,simplex infrastructures,public
196,196,1949,"mumbai, maharashtra, india",pharma,ipca laboratories,public
197,197,1999,"gurgaon/gurugram, haryana, india",automobile,honda motorcycle & scooter,private
198,198,1997,"vilnius,vilniaus apskritis, lithuania",it services & consulting,atos,private
199,199,1990,"bangalore/bengaluru, karnataka, india",logistics,dtdc express,private
200,200,1930,"mumbai, maharashtra, india",banking,dcb bank,private
201,201,2000,"mumbai, maharashtra, india",insurance,reliance nippon life insurance,private
202,202,1931,"ahmedabad, gujrat, india",fashion & textile,arvind group,public
203,203,1958,"mumbai, maharashtra, india",metals & mining,hindalco industries,public
204,204,1955,"chicago, illinois, united states (usa)",hospitality,mcdonald's,private
205,205,1995,"pune,maharashtra, india",power,suzlon group,public
206,206,1887,"wedel,schleswig-holstein, germany",nbfc,muthoot group,public
207,207,2017,"florham park, new jersey, united states (usa)",bpo,conduent,private
208,208,1945,"bangalore, india",it services & consulting,wipro enterprises ltd,
209,209,1969,"london, united kingdom (uk)",financial services,standard chartered bank,private
210,210,2016,"bangalore/bengaluru, karnataka, india",recruitment,team lease,public
211,211,1969,"london, united kingdom (uk)",financial services,standard chartered bank,private
212,212,2000,"san jose,california, united states",software product,24/7 customer,private
213,213,1904,"copenhagen, denmark",logistics,maersk,private
214,214,2008,"gurgaon/gurugram, haryana, india",retail,vishal mega mart,private
215,215,1995,"gurgaon/gurugram, haryana, india",it services & consulting,kochartech,private
216,216,2009,"san francisco,california, united states",logistics,ekart logistics,private
217,217,1946,"chennai, tamil nadu, india",auto components,mrf tyres,public
218,218,1938,"mumbai, maharashtra, india",consumer electronics & appliances,bajaj electricals,public
219,219,2018,"mumbai,maharashtra, india",other,titan company,public
220,220,2009,"noida,uttar pradesh, india",telecom,lava international,public
221,221,1990,"new york, new york, united states (usa)",it services & consulting,publicis sapient,private
222,222,1998,"charlotte, unitedstates",banking,bank of america,private
223,223,1958,"mumbai, maharashtra, india",auto components,ceat tyres,public
224,224,2002,"gurgaon/gurugram, haryana, india",it services & consulting,huawei technologies,private
225,225,2001,"mumbai, maharashtra, india",insurance,tata aia life insurance,private
226,226,1952,"delhi/ncr, new delhi, india",iron & steel,jindal steel and power,private
227,227,1987,"mumbai, maharashtra, india",fmcg,rspl group,private
228,228,1971,"ahmedabad, gujrat, india",pharma,torrent pharmaceuticals,public
229,229,2000,"bangalore/bengaluru, karnataka, india",it services & consulting,itc infotech india,private
230,230,2001,"mumbai, maharashtra, india",insurance,pnb metlife,private
231,231,1960,"chennai, tamil nadu, india",automobile,tractors and farm equipment,public
232,232,1943,"mumbai, maharashtra, india",banking,rbl bank,public
233,233,1936,"mumbai, maharashtra, india",building material,acc,public
234,234,2004,"mumbai, india",financial services,state street syntel,private
235,235,1978,"bangalore/bengaluru, karnataka, india",biotechnology,biocon biologics india,public
236,236,2005,"indore, madhya pradesh, india",bpo/kpo,capita,private
237,237,2005,"boston,massachusetts, united states",logistics,indigo,private
238,238,2009,"varanasi,uttar pradesh, india",banking,utkarsh small finance bank,public
239,239,1923,"kolkata, west bengal, india",chemicals,berger paints,public
240,240,1987,"san francisco,california, united states",retail,future retail,public
241,241,2001,"mumbai, maharashtra, india",insurance,kotak mahindara life insurance,public
242,242,1975,"mumbai, maharashtra, india",chemicals,aarti industries,public
243,243,2002,"mumbai, maharashtra, india",insurance,hdfc ergo general insurance,public
244,244,1884,"ghaziabad, uttar pradesh, india",fmcg,dabur,public
245,245,2004,"noida, uttar pradesh, india",bpo,cogent e services,private
246,246,2005,"culver city, california, united states (usa)",bpo,gebbs healthcare solutions,private
247,247,1972,"gurgaon/gurugram, haryana, india",auto components,apollo tyres,public
248,248,1990,"pune, maharashtra, india",it services & consulting,persistent systems,public
249,249,1990,"pune, maharashtra, india",software product,kpit technologies,public
250,250,1974,"gurgaon/gurugram, haryana, india",building material,jk cement,public
251,251,2003,"murray, utah, united states (usa)",accounting & auditing,r1 rcm,private
252,252,2006,"haridwar, uttarakhand, india",fmcg,patanjali ayurved,private
253,253,1987,"bhopal, madhya pradesh, india",engineering & construction,dilip buildcon,public
254,254,1969,"san jose, singapore",electronics manufacturing,flex,private
255,255,2008,"gurgaon,haryana, india",fintech,policybazaar,public
256,256,2014,"gurgaon,haryana, india",internet,rivigo,private
257,257,2007,"mumbai, maharashtra, india",retail,reliance digital,private
258,258,1996,"mumbai, maharashtra, india",telecom,tata teleservices,public
259,259,2010,"bangalore, india",internet,ola cabs,private
260,260,2011,"dallas,texas, united states",it services & consulting,access healthcare,private
261,261,2000,"mumbai, maharashtra, india",insurance,tata aig,private
262,262,1988,"new delhi, delhi, india",edtech,aakash educational services,private
263,263,1959,"mumbai, maharashtra, india",real estate,afcons infrastructure,partnership
264,264,1982,"mumbai, maharashtra, india",consumer electronics & appliances,eureka forbes,private
265,265,1983,"mumbai, maharashtra, india",logistics,blue dart express,public
266,266,1909,"minnetonka, minnesota, united states (usa)",hospitality,radisson hotels,private
267,267,1973,"dubai marina, dubai, united arab emirates (uae)",retail,landmark group,private
268,268,2006,"gurgaon/gurugram, haryana, india",healthcare,paras hospital,private
269,269,1982,"mumbai, maharashtra, india",engineering & construction,jmc projects,public
270,270,1960,"faridabad, haryana, india",automobile,escorts group,public
271,271,1995,"new delhi, delhi, india",pharma,mankind pharma,private
272,272,2017,"bangalore/bengaluru, karnataka, india",healthcare,legato health technologies,llp
273,273,1959,"vevey, switzerland",food processing,nestle,public
274,274,1999,"bangalore/bengaluru, karnataka, india",retail,lifestyle,private
275,275,2001,"delhi/ncr, new delhi, india",healthcare,max healthcare,partnership
276,276,2001,"new york, new york, united states (usa)",it services & consulting,synechron,private
277,277,2012,"new delhi, india",bpo,statestreet hcl services,private
278,278,2005,"mumbai, maharashtra, india",recruitment,i process services,private
279,279,1995,"pune, maharashtra, india",it services & consulting,birlasoft,public
280,280,1984,"brookfield,wisconsin, united states",financial services,fiserv,private
281,281,1996,"gurgaon/gurugram, haryana, india",financial services,g4s,private
282,282,1954,"mumbai, maharashtra, india",consumer electronics & appliances,voltas,public
283,283,2001,"pune, maharashtra, india",it services & consulting,zensar technologies,public
284,284,2000,"mumbai, maharashtra, india",insurance,birla sun life insurance,private
285,285,1969,"mumbai, maharashtra, india",agro chemicals,united phosphorus,public
286,286,2004,"chennai, tamil nadu, india",pharma,pfizer,public
287,287,2011,"washington dc, united states (usa)",software product,ags health,private
288,288,2009,"bangalore/bengaluru, karnataka, india",retail,walmart,private
289,289,2010,"faridabad, haryana, india",other,lenskart,private
290,290,1956,"mumbai, india",insurance,life insurance corporation of india,private
291,291,1976,"noida, uttar pradesh, india",it services & consulting,hcl infosystems,public
292,292,1857,"mumbai, maharashtra, india",metals & mining,aditya birla group,
293,293,2004,"mumbai, maharashtra, india",financial services,hdfc sales,private
294,294,2007,"mumbai, india",bpo,reliance smsl,public
295,295,1998,"greater noida, uttar pradesh, india",education & training,delhi public school,public
296,296,1989,"singapore, singapore",it services & consulting,tata technologies,private
297,297,2000,"bengaluru/bangalore, karnataka, india",telecom,act fibernet,private
298,298,1973,"bangalore/bengaluru, karnataka, india",pharma,micro labs,private
299,299,0,,,samsung electronics,
300,300,0,,,samsung electronics,
301,301,1896,"chennai, tamil nadu, india",logistics,tvs supply chain solutions,
302,302,1973,"mumbai, maharashtra, india",pharma,ajanta pharma,public
303,303,2007,"noida,uttar pradesh, india",edtech,extramarks education,private
304,304,1947,"kolkata, west bengal, india",auto components,exide industries,public
305,305,1989,"harrison, new york, united states (usa)",food processing,pepsico,private
306,306,2001,"chennai, tamil nadu, india",insurance,cholamandalam ms general insurance,jv
307,307,0,,financial services,bajaj allianz general insurance company ltd,
308,308,2000,"bangalore/bengaluru, karnataka, india",financial services,societe generale,private
309,309,1864,"chicago, illinois, united states (usa)",bpo,r.r. donnelley,private
310,310,1964,"bangalore/bengaluru, karnataka, india",electrical equipment,bhel,private
311,311,1892,"reading,reading, united kingdom",food processing,britannia,public
312,312,1943,"mumbai, maharashtra, india",consumer electronics & appliances,blue star,public
313,313,1993,india,metals & mining,kalyan jewellers,private
314,314,2007,"mumbai,maharashtra, india",financial services,mahindra rural housing finance,public
315,315,1930,"san francisco,california, united states",pharma,the himalaya drug company,private
316,316,2007,"chennai, tamil nadu, india",automobile,renault-nissan,private
317,317,1981,"pune, india",pharma,emcure pharmaceuticals,private
318,318,1996,"mumbai, maharashtra, india",hospitality,mahindra holidays & resorts,private
319,319,1997,"gurgaon, india",media & entertainment,pvr cinemas,public
320,320,1925,"new york, united states",fashion & textile,raymond,public
321,321,2015,"bangalore,karnataka, india",logistics,blackbuck,private
322,322,1988,"mumbai, maharashtra, india",nbfc,poonawalla fincorp,public
323,323,1935,"delhi/ncr, new delhi, india",building material,dalmia bharat cement,public
324,324,1998,"gurgaon/gurugram, haryana, india",it services & consulting,igt solutions,private
325,325,1969,"hoshiarpur, punjab, india",automobile,sonalika tractors,private
326,326,1792,"boston,massachusetts, united states",financial services,state street corporation,private
327,327,1941,"tokyo, tokyo, japan",auto components,yazaki,private
328,328,1966,"chennai, tamil nadu, india",auto components,tvs sundram fasteners,public
329,329,2001,"bangalore/bengaluru, karnataka, india",insurance,exide life insurance,private
330,330,1927,"mumbai, india",real estate,sterling & wilson,private
331,331,1983,"mumbai, maharashtra, india",building material,ambuja cements,public
332,332,1958,"gurgaon, india",auto components,uno minda,
333,333,1984,"mumbai, maharashtra, india",food processing,parle agro,private
334,334,1937,"mumbai, maharashtra, india",electronics manufacturing,cg power and industrial solutions,public
335,335,2008,"chennai,tamil nadu, india",nbfc,tvs credit,public
336,336,1979,"kolkata, west bengal, india",building material,shree cement,public
337,337,2020,"lucknow, uttar pradesh, india",edtech,exotic learning,private
338,338,1974,"faridabad, haryana, india",import & export,shahi exports,private
339,339,2002,"gurgaon/gurugram, haryana, india",retail,v-mart,public
340,340,1958,"pune, maharashtra, india",automobile,force motors,public
341,341,1975,"mumbai, india",it services & consulting,datamatics global services,public
342,342,1962,"chennai, tamil nadu, india",auto components,brakes india,partnership
343,343,2007,"gurgaon,haryana, india",telecom,indus towers,private
344,344,2000,"mumbai,maharashtra, india",other,mahindra logistics,public
345,345,1947,"nagda, india",building material,grasim industries,public
346,346,2006,"navi mumbai, maharashtra, india",retail,reliance trends,private
347,347,1929,"noida, uttar pradesh, india",fmcg,ds group,private
348,348,1996,"bengaluru, karnataka, india",beverage,café coffee day,private
349,349,1986,"chennai, tamil nadu, india",financial services,shriram city,public
350,350,1911,"michigan, united states (usa)",consumer electronics & appliances,whirlpool,public
351,351,2001,"mumbai, maharashtra, india",retail,big bazaar,private
352,352,1950,"delhi/ncr, delhi, india",defence & aerospace,indian navy,private
353,353,2004,"noida, uttar pradesh, india",it services & consulting,niit technologies,public
354,354,2007,"mumbai,maharashtra, india",healthcare,iks health,private
355,355,2016,"pune,maharashtra, india",logistics,elasticrun,private
356,356,2006,"mumbai, india",insurance,bharti axa life insurance,private
357,357,1989,"kanchipuram, tamil nadu, india",auto components,delphi tvs,private
358,358,1988,"pune, maharashtra, india",hardware & networking,sterlite technologies,public
359,359,2007,"bangalore,karnataka, india",retail,myntra,private
360,360,2015,"pune,maharashtra, india",logistics,xpressbees,private
361,361,1985,"greater noida, uttar pradesh, india",automobile,honda,private
362,362,1993,"mumbai, maharashtra, india",it services & consulting,3i infotech,public
363,363,1995,"bangalore/bengaluru, karnataka, india",real estate,sobha,public
364,364,1846,"london, united kingdom (uk)",telecom,bt group,private
365,365,1920,"mumbai, maharashtra, india",chemicals,kansai nerolac paints,public
366,366,1957,"mumbai, maharashtra, india",nbfc,tata motors finance,private
367,367,1995,"mumbai, maharashtra, india",,icici securities,public
368,368,2000,"gurgaon/gurugram, haryana, india",nbfc,indiabulls,public
369,369,2008,"toronto, canada",printing & publishing,thomson reuters,private
370,370,1951,"new delhi, india",auto components,jk tyres,private
371,371,1995,"pune, maharashtra, india",it services & consulting,cybage,private
372,372,1970,"gurgaon/gurugram, haryana, india",chemicals / agri inputs,srf,public
373,373,2004,"london, england, india",oil & gas,shell,public
374,374,1952,"mumbai, maharashtra, india",oil & gas,bharat petroleum,private
375,375,2007,"mumbai, india",insurance,future generali india life insurance,private
376,376,1980,"mumbai, maharashtra, india",real estate,lodha group,private
377,377,1970,"delhi/ncr, new delhi, india",iron & steel,bhushan power & steel,private
378,378,1995,"cork, ireland",it services & consulting,johnson controls,public
379,379,1985,"aurangabad, maharashtra, india",auto components,endurance technologies,public
380,380,2013,"gurgaon,haryana, india",internet,blinkit,private
381,381,1892,"boston, massachusetts, united states (usa)",engineering & construction,ge,private
382,382,1945,"rocester, staffordshire, england",industrial machinery,jcb,private
383,383,1999,"mumbai, maharashtra, india",pharma,wockhardt,public
384,384,2005,"hyderabad/secunderabad, telangana, india",non-profit,gvk emergency management and research institute,private
385,385,2006,"mumbai, maharashtra, india",retail,crom?,private
386,386,1690,"london, unitedkingdom",banking,barclays,private
387,387,2008,"gurgaon,haryana, india",internet,zomato,public
388,388,1961,"pune, maharashtra, india",auto components,gabriel india,public
389,389,1996,"san jose, california, united states (usa)",it services & consulting,css corp,private
390,390,1961,"chennai, tamil nadu, india",auto components,lucas-tvs,private
391,391,1961,"hyderabad/secunderabad, telangana, india",agriculture,coromandel international,public
392,392,1981,"mumbai, maharashtra, india",power,kalpataru power transmission,public
393,393,1995,"noida, uttar pradesh, india",internet,info edge,public
394,394,1951,"ahmedabad, gujrat, india",pharma,cadila pharmaceuticals,public
395,395,1665,"paris, france",building material,saint-gobain,private
396,396,2004,"noida, uttar pradesh, india",it services & consulting,coforge,public
397,397,1968,"paris, ile-de-france, france",it services & consulting,sopra steria,private
398,398,2013,"gurgaon,haryana, india",real estate,square yards,private
399,399,1828,"la défense, france",accounting & auditing,bureau veritas,private
400,400,2007,"hyderabad/secunderabad, telangana, india",engineering & construction,power mech projects,public
401,401,1929,"mumbai, india",food processing,parle products,private
402,402,1995,"paris, france",insurance,axa business services,private
403,403,1993,"bangalore/bengaluru, karnataka, india",pharma,syngene international,public
404,404,2007,"mumbai, india",financial services,tata capital financial services,public
405,405,2003,"gurgaon/gurugram, haryana, india",it services & consulting,ba continuum,private
406,406,1982,"garner, north carolina, united states (usa)",industrial machinery,sigma electric manufacturing corporation,private
407,407,1997,"hyderabad/secunderabad, telangana, india",it services & consulting,valuelabs,private
408,408,1992,"noida, uttar pradesh, india",it services & consulting,rmsi,private
409,409,2007,"iwata, shizuoka, japan",automobile,yamaha motor,private
