,index,founded,industry,headquarters,name,size,website
763,763,2011,staffing & recruiting,"milwaukee, wi",experis careers,"10,000+ employees",www.experis.us
764,764,1919,food & beverages,"chicago, il",conagra brands careers,"10,000+ employees",www.conagrabrands.com
765,765,2008,"health, wellness & fitness","dallas, tx",healthmine careers,51 to 200 employees,www.healthmine.com
766,766,2008,financial services,"toronto, on",thomson reuters careers,"10,000+ employees",www.thomsonreuters.com
767,767,1980,information technology & services,"troy, mi",syntel careers,"10,000+ employees",www.atos-syntel.net
768,768,1973,computer software,"detroit, mi",compuware careers,"501 to 1,000 employees",www.compuware.com
769,769,1992,information technology & services,"powell, oh",ohio computer medix careers,1 to 50 employees,www.ohiocomputermedix.com
770,770,1902,consumer goods,"london, united kingdom",british american tobacco careers,"10,000+ employees",www.bat.com
771,771,2011,information technology & services,"san jose, ca",zoom careers,"1,001 to 5,000 employees",www.zoom.com
772,772,2003,oil & energy,"the woodlands, tx",strike careers,"5,001 to 10,000 employees",www.strikeusa.com
773,773,1994,management consulting,"london, united kingdom",proxima careers,201 to 500 employees,www.proximagroup.com
774,774,2017,automotive,"torrance, ca",canoo careers,201 to 500 employees,www.canoo.com
775,775,2015,computer software,"evora, portugal",datasonar careers,1 to 50 employees,www.datasonar.eu
776,776,2015,computer software,"oakland, ca",worklete careers,1 to 50 employees,www.worklete.com
777,777,1978,trade & development,"the hague, netherlands",netherlands foreign investment agency careers,51 to 200 employees,investinholland.com
778,778,1999,defense & space,"huntsville, al",radiance technologies careers,"501 to 1,000 employees",www.radiancetech.com
779,779,2017,internet,"chicago, il",veo careers,51 to 200 employees,www.veoride.com
780,780,2000,internet,"new york, ny",admarketplace careers,51 to 200 employees,www.admarketplace.com
781,781,1997,information technology & services,"san francisco, ca",heflin search partners careers,1 to 50 employees,www.heflinsearch.com
782,782,2005,entertainment,"simi valley, ca",tangerine global careers,1 to 50 employees,tangerineglobal.com
783,783,1959,retail,"enon, oh",speedway careers,"10,000+ employees",speedway.com
784,784,1998,computer software,"princeto, nj",zycus careers,"1,001 to 5,000 employees",www.zycus.com
785,785,2018,materials & manufacturing,"tempe, az",renature careers,51 to 200 employees,www.renatureinc.com
786,786,1807,newspapers & publishing,"hoboken, nj",wiley careers,"1,001 to 5,000 employees",www.wiley.com
787,787,2000,information technology & services,"nanterre, france",thales careers,"10,000+ employees",www.thalesgroup.com
788,788,2015,internet,"austin, tx",outdoorsy careers,51 to 200 employees,www.outdoorsy.com
789,789,2014,internet,"palo alto, ca",arc.dev careers,1 to 50 employees,www.arc.dev
790,790,2010,e-learning,"new york, ny",voxy careers,51 to 200 employees,voxy.com
791,791,1983,automotive,"paris, il",north american lighting careers,"1,001 to 5,000 employees",www.nal.com
792,792,1989,investment management,"toronto, ontario",ontario teachers'â pension plan careers,"1,001 to 5,000 employees",www.otpp.com
793,793,2011,computer software,"berkeley, ca",leadgenius careers,1 to 50 employees,leadgenius.com
794,794,2013,computer software,"zagreb, croatia",sartura careers,1 to 50 employees,www.sartura.hr
795,795,2016,hospital & health care,"jacksonville, fl",revmed group careers,1 to 50 employees,www.revmed.com
796,796,1867,pharmaceuticals,"dublin, ireland",mallinckrodt pharmaceuticals careers,"1,001 to 5,000 employees",www.mallinckrodt.com
