,index,founded,industry,headquarters,name,size,website
0,0,2004,pharmaceuticals,"redwood city, ca",proteus digital health careers,201 to 500 employees,www.proteus.com
1,1,2016,information technology & services,"bedminster, nj",zelis careers,"1,001 to 5,000 employees",www.zelis.com
2,2,2013,real estate,"burlingame, ca",upnest careers,1 to 50 employees,www.upnest.com
3,3,2013,broadcast & online media,"menlo park, ca",conferacity careers,1 to 50 employees,conferacity.com
4,4,2010,computer software,"bellevue, wa",zenoti careers,"501 to 1,000 employees",www.zenoti.com
5,5,2016,insurance,"marina del rey, ca",leaselock careers,51 to 200 employees,leaselock.com
6,6,2013,computer software,"menlo park, ca",kespry careers,51 to 200 employees,www.kespry.com
7,7,2008,marketing & advertising,"new york, ny",newscred careers,201 to 500 employees,www.newscred.com
8,8,2017,information technology & services,"hyderabad, india",brane enterprises careers,201 to 500 employees,nslhub.com
9,9,1930,insurance,"glen allen, va",markel careers,"1,001 to 5,000 employees",www.markel.com
10,10,2012,venture capital & private equity,"san mateo, ca",eso fund careers,1 to 50 employees,www.esofund.com
11,11,2013,food & beverages,"boston, ma",indigo ag careers,"501 to 1,000 employees",www.indigoag.com
12,12,1988,insurance,"warren, nj","msig holdings (americas), inc. careers",201 to 500 employees,www.msigusa.com
13,13,2004,internet,"luxembourg city, luxembourg",mindgeek careers,"1,001 to 5,000 employees",mindgeek.com
14,14,2000,computer & network security,"san jose, ca",forescout technologies careers,"1,001 to 5,000 employees",www.crunchbase.com/rank_/entity
15,15,1989,broadcast & online media,"los angeles, ca",marketplace careers,51 to 200 employees,www.marketplace.org
16,16,1988,semiconductors,"milpitas, ca",sandisk careers,"5,001 to 10,000 employees",www.sandisk.com
17,17,2014,consumer goods,"mountain view, ca",wag careers,51 to 200 employees,www.wagwalking.com
18,18,2017,"apparel, fashion & luxury","brooklyn, ny",maisonette careers,51 to 200 employees,www.maisonette.com
19,19,1994,industrial automation,"marina, ca",fox thermal careers,1 to 50 employees,www.foxthermal.com
20,20,2009,management consulting,"washington, dc",optimity advisors careers,201 to 500 employees,www.optimityadvisors.com
21,21,2010,information technology & services,"san jose, ca",potenit careers,1 to 50 employees,potenit.com
22,22,1979,computer hardware,"neenah, wi",plexus careers,"10,000+ employees",www.plexus.com
23,23,2015,biotechnology,"san diego, ca",curematch careers,1 to 50 employees,www.curematch.com
24,24,1991,marketing & advertising,"long beach, ca",intertrend communications careers,51 to 200 employees,www.intertrend.com
25,25,2018,computer software,"los angeles, ca",emotive careers,51 to 200 employees,emotive.io
26,26,2010,internet,"new york, ny",joor careers,51 to 200 employees,www.joor.com
27,27,2016,marketing & advertising,"columbia, md",blend360 careers,201 to 500 employees,www.blend360.com
28,28,1983,telecommunications,"dallas, tx",at&t careers,"10,000+ employees",www.att.com
29,29,1993,computer software,"chicago, il",nvisia careers,51 to 200 employees,www.nvisia.com
30,30,2019,computer software,"chicago, il",mastery careers,51 to 200 employees,mastery.net
31,31,1853,"apparel, fashion & luxury","san francisco, ca",levi strauss & co. careers,"10,000+ employees",www.levi.com
32,32,2004,internet,"austin, tx",x-team careers,201 to 500 employees,x-team.com
33,33,1960,marketing & advertising,"sacramento, ca",rse careers,51 to 200 employees,www.rs-e.com
34,34,1968,legal services,"miami, fl",holland & knight careers,"1,001 to 5,000 employees",www.hklaw.com
35,35,2011,e-learning,"san francisco, ca",mystery science careers,1 to 50 employees,www.mystery.org
36,36,2013,information technology & services,"southborough, ma",rxadvance corp careers,51 to 200 employees,www.rxadvance.com
37,37,2006,materials & manufacturing,"luxembourg, luxembourg",arcelormittal careers,"10,000+ employees",corporate.arcelormittal.com
38,38,2012,computer software,"san francisco, ca",webflow careers,51 to 200 employees,www.webflow.com
39,39,1969,electrical & electronic manufacturing,"amityville, ny",napco careers,"501 to 1,000 employees",napcosecurity.com
40,40,2005,food & beverages,"oak brook, il",treehouse foods careers,"10,000+ employees",www.treehousefoods.com
41,41,1987,information technology & services,"madrid, spain",amadeus careers,"10,000+ employees",www.amadeus.com
42,42,2012,information technology & services,"plano, tx",critical start careers,201 to 500 employees,www.criticalstart.com
43,43,1969,management consulting,"los angeles, ca",korn ferry careers,"5,001 to 10,000 employees",www.kornferry.com
44,44,2009,information technology & services,"vadodara, india",l&t technology services careers,"10,000+ employees",www.ltts.com
45,45,2012,internet,"new york, ny",mparticle careers,51 to 200 employees,www.mparticle.com
46,46,2007,computer software,"foster city, ca",brightedge careers,201 to 500 employees,www.brightedge.com
47,47,1986,wholesale,"las vegas, nv",js products careers,51 to 200 employees,www.jsproducts.com
48,48,2010,computer software,"new york, ny",workfusion careers,201 to 500 employees,www.workfusion.com
49,49,1887,oil & energy,"findlay, oh",marathon petroleum careers,"10,000+ employees",www.marathonpetroleum.com
50,50,1844,broadcast & online media,"london, united kingdom",pearson careers,"10,000+ employees",www.pearson.com
51,51,1898,materials & manufacturing,"memphis, tn",international paper careers,"10,000+ employees",www.internationalpaper.com
52,52,2006,computer software,"boise, id",intelliscience careers,1 to 50 employees,www.intelliscience.com
53,53,2012,internet,"boston, ma",klaviyo careers,201 to 500 employees,www.klaviyo.com
54,54,2017,information technology & services,"cincinnati, oh",narwal careers,51 to 200 employees,www.narwalinc.com
55,55,2019,human resources,"san francisco, ca",expanded impact careers,1 to 50 employees,www.expandedimpact.com
56,56,2012,computer software,"palo alto, ca",carta careers,"501 to 1,000 employees",www.carta.com
57,57,2016,"transportation, trucking & rail","san francisco, ca",embark trucks careers,51 to 200 employees,embarktrucks.com
58,58,2008,information technology & services,"durham, nc",spreedly careers,51 to 200 employees,spreedly.com
59,59,2009,information technology & services,"doral, fl",key lime interactive careers,1 to 50 employees,www.keylimeinteractive.com
60,60,2002,computer hardware,"santa barbara, ca",sonos careers,"1,001 to 5,000 employees",www.sonos.com
61,61,1955,insurance,"columbus, ga",aflac careers,"10,000+ employees",www.aflac.com
62,62,2013,logistics & supply chain,"new york, ny",transfix careers,51 to 200 employees,transfix.io
63,63,2008,information technology & services,"chicago, il",clarity insights careers,201 to 500 employees,www.accenture.com
64,64,1908,religious institutions,"vaughan, ontario",ahmadiyya muslim community careers,"10,000+ employees",ahmadiyya.ca
65,65,1946,automotive,"pennsauken, nj",holman parts distribution careers,"501 to 1,000 employees",holmanparts.com
66,66,1880,materials & manufacturing,"broomfield, co",ball corporation careers,"10,000+ employees",www.ball.com
67,67,2005,automotive,"long beach, ca",alliance inspection management careers,"1,001 to 5,000 employees",homepage.aiminspections.com
68,68,2001,staffing & recruiting,"chicago, il",medix careers,201 to 500 employees,www.medixteam.com
69,69,1984,semiconductors,"san jose, ca",xilinx careers,"1,001 to 5,000 employees",www.xilinx.com
70,70,1984,information technology & services,"brookfield, wi",fiserv careers,"10,000+ employees",www.fiserv.com
71,71,1972,civil engineering,"guelph, ontario",rwdi careers,201 to 500 employees,www.rwdi.com
72,72,2015,computer software,"san francisco, ca",instabase careers,1 to 50 employees,www.instabase.com
73,73,2017,computer software,"redwood city, ca",joveo careers,51 to 200 employees,www.joveo.com
74,74,2005,computer software,"pleasanton, ca",workday careers,"10,000+ employees",www.workday.com
75,75,2013,internet,"new york, ny",ns1 careers,51 to 200 employees,ns1.com
76,76,2011,internet,"san francisco, ca",helpshift careers,51 to 200 employees,www.helpshift.com
77,77,1972,information technology & services,"montreal, qc",syntax careers,"1,001 to 5,000 employees",www.syntax.com
78,78,1992,investment management,"san francisco, ca",tpg careers,"501 to 1,000 employees",www.tpg.com
79,79,1859,insurance,"new york, ny",axa equitable life careers,"10,000+ employees",axa-equitable.com
80,80,2018,"health, wellness & fitness","santa monica, ca",heali careers,1 to 50 employees,heali.ai
81,81,1991,retail,"bethesda, md",total wine & more careers,"5,001 to 10,000 employees",www.totalwine.com
82,82,1994,marketing & advertising,"beijing, china",hylink digital solutions careers,"1,001 to 5,000 employees",www.hylinkgroup.com
83,83,2012,financial services,"chicago, il",advyzon careers,1 to 50 employees,www.advyzon.com
84,84,2001,computer software,"lehi, ut",workfront careers,"1,001 to 5,000 employees",www.workfront.com
85,85,2002,food & beverages,"american canyon, ca",winedirect careers,51 to 200 employees,www.winedirect.com
86,86,2010,internet,"san jose, ca",thousandeyes careers,201 to 500 employees,www.thousandeyes.com
87,87,2010,computer & network security,"san jose, ca",vectra ai careers,201 to 500 employees,www.crunchbase.com
88,88,1992,information technology & services,"clear lake, ia",kingland systems careers,51 to 200 employees,www.kingland.com
89,89,1999,computer software,"san francisco, ca",wideorbit careers,"501 to 1,000 employees",www.wideorbit.com
90,90,1989,financial services,"king of prussia, pa",sila careers,"501 to 1,000 employees",www.sila.com
91,91,1946,mechanical & industrial engineering,"herzogenaurach, germany",schaeffler careers,"10,000+ employees",www.schaeffler.com
92,92,2007,information technology & services,"addison, tx",securonix careers,201 to 500 employees,www.securonix.com
93,93,2006,financial services,"paris, france",natixis careers,"10,000+ employees",www.natixis.com
94,94,1849,automotive,"weinheim, germany",freudenberg group careers,"10,000+ employees",www.freudenberg.com
95,95,1970,legal services,"chicago, il",much careers,51 to 200 employees,www.muchlaw.com
96,96,1996,logistics & supply chain,"grand prairie, tx",ops careers,51 to 200 employees,www.opstrax.com
97,97,2015,computer software,"san francisco, ca",voicy.ai careers,1 to 50 employees,www.voicy.ai
98,98,2014,information technology & services,"burlington, ma",128 technology careers,51 to 200 employees,www.128technology.com
99,99,2009,"leisure, travel & tourism","portland, or",vacasa careers,"1,001 to 5,000 employees",www.vacasa.com
100,100,2012,computer software,"san francisco, ca",quip careers,51 to 200 employees,quip.com
101,101,2006,environmental services,"san mateo, ca",solarcity careers,"10,000+ employees",www.solarcity.com
102,102,1986,information technology & services,"pune, india",tech mahindra careers,"10,000+ employees",www.techmahindra.com
103,103,1984,information technology & services,"arlington, va",airlines reporting corp. careers,201 to 500 employees,www.arccorp.com
104,104,2016,staffing & recruiting,"los angeles, ca",the organic recruiter careers,1 to 50 employees,www.theorganicrecruiter.com
105,105,none,internet,"boston, ny",tomorrowish careers,1 to 50 employees,www.tomorrowish.com
106,106,2016,financial services,"san francisco, ca",upgrade careers,201 to 500 employees,upgrade.com
107,107,1996,telecommunications,"chicago, il",sac wireless careers,"1,001 to 5,000 employees",www.sacw.com
108,108,1993,information technology & services,"toronto, canada",tucows careers,"501 to 1,000 employees",www.tucows.com
109,109,2001,computer software,"atlanta, ga",sixth man careers,1 to 50 employees,www.sixthman.net
110,110,1845,financial services,"pittsburgh, pa",hawthorn careers,"10,000+ employees",www.pnc.com
111,111,2012,internet,"redwood city, ca",opengov inc. careers,51 to 200 employees,opengov.com
112,112,1910,consumer goods,"kolkata, india",itc limited careers,"10,000+ employees",www.itcportal.com
113,113,2010,entertainment,"seoul, south korea",smartstudy careers,201 to 500 employees,www.smartstudy.co.kr
114,114,2012,e-learning,"san francisco, ca",masterclass careers,201 to 500 employees,www.masterclass.com
115,115,1998,information technology & services,"duluth, ga",acs solutions careers,"10,000+ employees",www.acsicorp.com
116,116,2017,consumer electronics,"san francisco, ca",zuumers careers,1 to 50 employees,www.zuumers.com
117,117,2003,computer software,"seattle, wa",docusign careers,"1,001 to 5,000 employees",www.docusign.com
118,118,1995,investment management,"new york, ny",king street capital management careers,201 to 500 employees,www.kingstreet.com
119,119,2018,internet,"san jose, ca",inknown careers,1 to 50 employees,www.inknown.com
120,120,2001,financial services,"pleasanton, ca",blackhawk network careers,"1,001 to 5,000 employees",www.blackhawknetwork.com
121,121,1946,banking,"gardena, ca",northrop grumman federal credit union careers,51 to 200 employees,www.ngfcu.us
122,122,2008,information technology & services,"san francisco, ca",syapse careers,51 to 200 employees,www.syapse.com
123,123,2003,environmental services,"needham, ma",bigbelly careers,51 to 200 employees,www.bigbelly.com
124,124,2015,information technology & services,"san francisco, ca",track revenue careers,1 to 50 employees,www.trackrevenue.com
125,125,1929,information services,"arlington, va",bloomberg industry group careers,"1,001 to 5,000 employees",www.bloombergindustry.com
126,126,2005,consumer electronics,"san jose, ca",neato robotics careers,51 to 200 employees,neatorobotics.com
127,127,2012,information technology & services,"winnipeg, canada",bold commerce careers,201 to 500 employees,boldcommerce.com
128,128,2014,computer hardware,"santa rosa, ca",keysight technologies careers,"10,000+ employees",www.keysight.com
129,129,2007,marketing & advertising,"virginia beach, va",viziworx creative careers,1 to 50 employees,www.viziworx.com
130,130,2013,financial services,"newark, nj",credibility capital careers,1 to 50 employees,www.credibilitycapital.com
131,131,2018,financial services,"new york, ny",melio careers,51 to 200 employees,www.meliopayments.com
132,132,1981,hospital & health care,"lincoln, ne",nrc health careers,201 to 500 employees,www.nrchealth.com
133,133,1997,financial services,"eschborn, germany",qontigo careers,"501 to 1,000 employees",www.qontigo.com
134,134,2009,hospital & health care,"new york, ny",cipherhealth careers,51 to 200 employees,cipherhealth.com
135,135,1932,retail,"omaha, ne",oriental trading company careers,"1,001 to 5,000 employees",www.orientaltrading.com
136,136,2008,computer software,"new york, ny",hhaexchange careers,201 to 500 employees,www.hhaexchange.com
137,137,2018,internet,"san francisco, ca",postscript careers,51 to 200 employees,postscript.io
138,138,2021,internet,"ingapore, singapore",leap careers,51 to 200 employees,leapcommerce.com
139,139,1987,computer & network security,"santa clara, ca",mcafee careers,"5,001 to 10,000 employees",www.mcafee.com
140,140,1964,electrical & electronic manufacturing,"mansfield, tx",mouser electronics careers,"1,001 to 5,000 employees",www.mouser.com
141,141,2005,management consulting,"seattle, wa",logic20/20 careers,201 to 500 employees,www.logic2020.com
142,142,2004,computer & network security,"fairfax, va",lp3 careers,51 to 200 employees,www.lp3.com
143,143,2013,computer software,"san mateo, ca",elementum careers,201 to 500 employees,www.elementum.com
144,144,2014,internet,"hangzhou, china",ant financial careers,1 to 50 employees,www.antfinancialservices.com.au
145,145,1999,information technology & services,"hanoi, vietnam",fpt software careers,"10,000+ employees",www.fpt-software.com
146,146,1993,broadcast & online media,"milan, italy",mediaset careers,201 to 500 employees,www.mediaset.it
147,147,2001,computer software,"san francisco, ca",lithium technologies careers,201 to 500 employees,www.lithium.com
148,148,1998,hospital & health care,"denver, co",healthgrades careers,"501 to 1,000 employees",www.healthgrades.com
149,149,2009,marketing & advertising,"new york, ny",kinesso careers,"1,001 to 5,000 employees",www.kinesso.com
150,150,2009,marketing & advertising,"brooklyn, ny",prolific interactive careers,51 to 200 employees,www.prolificinteractive.com
151,151,2013,environmental services,"newport beach, ca","edison energy, llc careers",51 to 200 employees,www.edisonenergy.com
152,152,1909,legal services,"chicago, il",kirkland & ellis llp careers,"1,001 to 5,000 employees",www.kirkland.com
153,153,2016,computer software,"san francisco, ca",serverless inc. careers,1 to 50 employees,www.serverless.com
154,154,2011,financial services,"london, united kingdom",wise ltd. careers,"1,001 to 5,000 employees",wise.com
155,155,1865,financial services,"toronto, canada",sun life financial careers,"10,000+ employees",www.sunlife.com
156,156,2013,information technology & services,"san francisco, ca",fundbox careers,51 to 200 employees,fundbox.com
157,157,1999,investment banking,"new york, ny",greenhill & co. careers,201 to 500 employees,www.greenhill.com
158,158,1999,computer software,"san francisco, ca",softfinity careers,1 to 50 employees,www.softfinity.com
159,159,2017,financial services,"jersey city, nj",voyager careers,1 to 50 employees,www.investvoyager.com
160,160,2015,internet,"washington, dc",dnsfilter careers,1 to 50 employees,www.dnsfilter.com
161,161,2015,information technology & services,"palo alto, ca",leetcode careers,1 to 50 employees,www.leetcode.com
162,162,2003,hospital & health care,"chicago, il",r1 rcm careers,"10,000+ employees",www.r1rcm.com
163,163,2016,financial services,"london, united kingdom",nex careers,"1,001 to 5,000 employees",www.nex.com
164,164,1973,financial services,"vancouver, bc",icbc careers,"1,001 to 5,000 employees",www.icbc.com
165,165,1974,retail,"new york, ny",foot locker careers,"10,000+ employees",www.footlocker.com
166,166,2011,e-learning,"mountain view, ca",class central careers,1 to 50 employees,www.classcentral.com
167,167,2016,entertainment,"dublin, ireland",paddy power betfair careers,"5,001 to 10,000 employees",www.paddypowerbetfair.jobs
168,168,1904,cosmetics,"amsterdam, netherlands",coty careers,"10,000+ employees",www.coty.com
169,169,2002,computer software,"san jose, ca",dtex systems careers,51 to 200 employees,www.dtexsystems.com
170,170,2008,religious institutions,"la porte, tx",harvest point ministries careers,1 to 50 employees,harvestpointministries.org
171,171,1983,financial services,"portland, me",wex careers,"1,001 to 5,000 employees",www.wexinc.com
172,172,1897,insurance,"chicago, il",cna insurance careers,"5,001 to 10,000 employees",www.cna.com
173,173,2000,design,"seattle, wa",blinkux careers,51 to 200 employees,blinkux.com
174,174,2015,computer software,"new york, ny",alloy careers,1 to 50 employees,alloy.co
175,175,2014,computer software,"lehi, ut",podium careers,"501 to 1,000 employees",www.podium.com
176,176,1993,semiconductors,"livermore, ca",formfactor careers,"1,001 to 5,000 employees",www.formfactor.com
177,177,1994,telecommunications,"norcross, ga",adva careers,"1,001 to 5,000 employees",www.adva.com
178,178,1999,computer software,"santa monica, ca",cornerstone careers,"1,001 to 5,000 employees",www.cornerstoneondemand.com
179,179,2014,computer software,"new york, ny",asapp careers,201 to 500 employees,www.asapp.com
180,180,2011,computer software,"seattle, wa",pike13 careers,1 to 50 employees,www.pike13.com
181,181,1929,consumer services,"memphis, tn",servicemaster careers,"10,000+ employees",www.servicemaster.com
182,182,2010,hospital & health care,"boston, ma",kyruus careers,201 to 500 employees,www.kyruus.com
183,183,1981,computer hardware,"lausanne, switzerland",logitech careers,"1,001 to 5,000 employees",www.logitech.com
184,184,2013,telecommunications,"santa monica, ca",ring careers,"1,001 to 5,000 employees",www.ring.com
185,185,1904,financial services,"baltimore, md",transamerica careers,"5,001 to 10,000 employees",www.transamerica.com
186,186,2019,internet,"vancouver, bc",plantx careers,1 to 50 employees,www.plantx.com
187,187,1976,computer hardware,"austin, tx",national instruments careers,"5,001 to 10,000 employees",www.ni.com
188,188,1980,semiconductors,"san jose, ca",integrated device technology careers,"1,001 to 5,000 employees",www.idt.com
189,189,2017,computer & network security,"new york, ny",far careers,1 to 50 employees,www.farsecurity.com
190,190,2015,e-learning,"santa clara, ca",bittiger careers,1 to 50 employees,bittiger.io
191,191,1979,real estate,"new york, ny",philips international careers,201 to 500 employees,www.pihc.com
192,192,1896,computer networking,"zug, switzerland",landis+gyr careers,"5,001 to 10,000 employees",www.landisgyr.com
193,193,2019,information technology & services,"san francisco, ca",area51 careers,1 to 50 employees,www.area51cloud.co
194,194,1973,oil & energy,"navi mumbai, india",reliance industries careers,"10,000+ employees",www.ril.com
195,195,2009,financial services,"irvine, ca",ten-x careers,"501 to 1,000 employees",www.ten-x.com
196,196,2013,hospital & health care,"san francisco, ca",calico careers,1 to 50 employees,www.calicolabs.com
197,197,2007,financial services,"fort mill, sc",roundpoint careers,"501 to 1,000 employees",www.roundpointmortgage.com
198,198,2014,computer software,"chicago, il",new coast ventures careers,1 to 50 employees,www.newcoastventures.com
199,199,2016,hospital & health care,"los angeles, ca",gento careers,1 to 50 employees,www.gento.io
200,200,1948,automotive,"graz, austria",avl careers,"5,001 to 10,000 employees",www.avl.com
201,201,1992,computer software,"burlington, ma",nuance communications careers,"10,000+ employees",www.nuance.com
202,202,2001,education management,"singapore, singapore",nususc careers,"501 to 1,000 employees",www.nususc.com
203,203,2012,consumer electronics,"san francisco, ca",august home careers,51 to 200 employees,www.august.com
204,204,2006,internet,"foster city, ca",conviva careers,201 to 500 employees,www.conviva.com
205,205,2010,hospital & health care,"alexandria, va",umr careers,1 to 50 employees,www.umr.com
206,206,1976,newspapers & publishing,"north billerica, ma",curriculum associates careers,"1,001 to 5,000 employees",www.curriculumassociates.com
207,207,2014,computer software,"montreal, canada",algolux careers,51 to 200 employees,www.algolux.com
208,208,2013,information technology & services,"san francisco, ca",cloudacademy careers,51 to 200 employees,cloudacademy.com
209,209,1999,retail,"plymouth, ma",smartpak equine llc careers,"501 to 1,000 employees",www.smartpakequine.com
210,210,2005,internet,"san francisco, ca",myfitnesspal careers,51 to 200 employees,www.myfitnesspal.com
211,211,1886,utilities,"rosemead, ca",sce careers,"10,000+ employees",www.sce.com
212,212,1919,financial services,"detroit, mi",ally financial careers,"5,001 to 10,000 employees",www.ally.com
213,213,2013,medical device,"new york, ny",autonomous healthcare careers,1 to 50 employees,www.autonomoushealthcare.com
214,214,2007,financial services,"lake success, ny",broadridge careers,"10,000+ employees",www.broadridge.com
215,215,2017,logistics & supply chain,"austin, tx",mothership careers,51 to 200 employees,www.mothership.com
216,216,2011,computer software,"london, united kingdom",scrumconnect careers,51 to 200 employees,www.scrumconnect.com
217,217,1840,government administration,"austin, tx",texas education agency careers,"501 to 1,000 employees",www.tea.texas.gov
218,218,2014,higher education,"los angeles, ca",state careers,1 to 50 employees,www.statedesign.tv
219,219,1922,broadcast & online media,none,bbc careers,"10,000+ employees",www.bbc.co.uk
220,220,1995,internet,"reston, va",verisign careers,"501 to 1,000 employees",www.verisign.com
221,221,2018,food & beverages,"camarillo, california",zume pizza careers,51 to 200 employees,zumepizza.com
222,222,1961,management consulting,"new york, ny",nera economic consulting careers,"501 to 1,000 employees",www.nera.com
223,223,2013,information technology & services,"walpole, ma",webby central careers,1 to 50 employees,www.webbycentral.com
224,224,1898,financial services,"raleigh, nc",first citizens bank careers,"5,001 to 10,000 employees",www.firstcitizens.com
225,225,2001,information technology & services,"jacksonville, fl",availity careers,"501 to 1,000 employees",www.availity.com
226,226,2006,internet,"new york, ny",oath careers,"10,000+ employees",www.oath.com
227,227,1873,retail,"moorabbin, australia",st kilda football club careers,51 to 200 employees,www.saints.com.au
228,228,2012,information technology & services,"taipei, taiwan",appier careers,201 to 500 employees,www.appier.com
229,229,2013,computer software,"san francisco, ca",aha! careers,51 to 200 employees,www.aha.io
230,230,2018,industrial automation,"davis, ca",advanced.farm careers,1 to 50 employees,www.advanced.farm
231,231,2013,internet,"singapore, singapore",picocandy careers,1 to 50 employees,picocandy.com
232,232,2008,staffing & recruiting,"lenexa, ks",viceroy solutions careers,1 to 50 employees,www.viceroysolutions.com
233,233,1941,food & beverages,"chertsey, england",compass group careers,"10,000+ employees",www.compass-group.com
234,234,2000,hospital & health care,"rockville, md",drfirst careers,201 to 500 employees,www.drfirst.com
235,235,2002,information technology & services,"arlington, va",excella careers,201 to 500 employees,www.excella.com
236,236,2006,internet,"san francisco, ca",twitter careers,"1,001 to 5,000 employees",www.twitter.com
237,237,1997,financial services,"new york, ny",annaly careers,51 to 200 employees,www.annaly.com
238,238,2013,computer software,"san francisco, ca",paravision careers,1 to 50 employees,www.paravision.ai
239,239,2011,information technology & services,"toronto, canada",joist careers,1 to 50 employees,www.joist.com
240,240,2003,computer software,"ann arbor, mi",blue newt software careers,1 to 50 employees,www.blue-newt.com
241,241,2010,hospital & health care,"new york, ny",citymd careers,"1,001 to 5,000 employees",www.citymd.com
242,242,1973,real estate,"norfolk, va",homes.com careers,201 to 500 employees,www.homes.com
243,243,1887,hospital & health care,"new brunswick, nj",johnson & johnson careers,"10,000+ employees",www.jnj.com
244,244,1985,entertainment,"new york, ny",discovery careers,"10,000+ employees",www.discovery.com
245,245,1955,automotive,"herndon, va",volkswagen of america careers,"1,001 to 5,000 employees",www.volkswagengroupofamerica.com
246,246,1909,automotive,"ingolstadt, germany",audi careers,"10,000+ employees",www.audi.com
247,247,2019,hospital & health care,"waltham, ma",waltham clinic careers,1 to 50 employees,www.walthamclinic.com
248,248,2001,staffing & recruiting,"columbus, in",ler techforce careers,201 to 500 employees,www.lertechforce.com
249,249,1986,financial services,"boston, ma",nepc careers,201 to 500 employees,www.nepc.com
250,250,2012,computer software,"san diego, ca",whova careers,51 to 200 employees,whova.com
251,251,2007,information technology & services,"hamburg, germany",statista careers,"1,001 to 5,000 employees",www.statista.com
252,252,1983,computer hardware,"lisle, il",molex careers,"10,000+ employees",www.molex.com
253,253,1881,"transportation, trucking & rail","calgary, alberta",canadian pacific railway careers,"10,000+ employees",www.cpr.ca
254,254,1973,government administration,"washington, dc",dc government careers,"10,000+ employees",dc.gov
255,255,2013,internet,"san francisco, ca",signal careers,1 to 50 employees,www.signal.org
256,256,2009,information technology & services,"san francisco, ca",litmus7 careers,201 to 500 employees,www.litmus7.com
257,257,2013,information technology & services,"san francisco, ca",6sense careers,51 to 200 employees,www.6sense.com
258,258,2019,financial services,"san francisco, ca",dapi careers,1 to 50 employees,www.dapi.com
259,259,1906,mechanical & industrial engineering,"gerlingen, germany",bosch careers,"10,000+ employees",www.bosch.com
260,260,2014,financial services,"stamford, ct",point72 careers,"1,001 to 5,000 employees",www.point72.com
261,261,2017,information technology & services,"box elder, sd",black hills solutions careers,1 to 50 employees,blackhillssolutions.com
262,262,2015,primary & secondary education,"decatur, ga",city schools of decatur careers,"501 to 1,000 employees",www.csdecatur.net
263,263,1996,non-profit organization,"charlotte, nc",girls on the run international careers,1 to 50 employees,www.girlsontherun.org
264,264,1994,information technology & services,"teaneck, nj",cognizant careers,"10,000+ employees",www.cognizant.com
265,265,2013,hospital & health care,"scottsdale, az",honorhealth careers,"10,000+ employees",honorhealth.com
266,266,2000,information technology & services,"holmdel, nj",vonage careers,"1,001 to 5,000 employees",www.vonage.com
267,267,1976,hospital & health care,"warwick, ri",cme corp. careers,201 to 500 employees,www.cmecorp.com
268,268,2002,defense & space,"clarksburg, md",robotic research careers,51 to 200 employees,rr.ai
269,269,2012,computer software,"ahmedabad, india",ajmerainfotech careers,1 to 50 employees,www.ajmerainfotech.com
270,270,2014,information technology & services,"brooklyn, ny",strongarm tech careers,1 to 50 employees,www.strongarmtech.com
271,271,2013,internet,"boulder, co",bonusly careers,51 to 200 employees,www.bonus.ly
272,272,2013,information technology & services,"san jose, ca",fixstream careers,51 to 200 employees,www.fixstream.com
273,273,1938,banking,"westbury, ny",jovia careers,201 to 500 employees,www.joviafinancial.com
274,274,1975,financial services,"east coast, new england, northeastern us",bridgewater associates careers,none,www.bridgewater.com
275,275,1996,marketing & advertising,"london, united kingdom",iprospect careers,"5,001 to 10,000 employees",www.iprospect.com
276,276,2003,information technology & services,"washington, dc",evans & chambers careers,51 to 200 employees,www.evanschambers.com
277,277,2009,newspapers & publishing,"savannah, ga",phone booth press careers,1 to 50 employees,phoneboothpress.com
278,278,2013,information technology & services,"atlanta, ga",ironscales careers,51 to 200 employees,ironscales.com
279,279,1933,automotive,"yokohama-shi, japan",nissan motor corporation careers,"10,000+ employees",www.nissan-global.com
280,280,2009,food & beverages,"san francisco, ca",hello vino careers,1 to 50 employees,hellovino.com
281,281,2006,internet,"sacramento, ca",emtrain careers,1 to 50 employees,www.emtrain.com
282,282,2011,consumer electronics,"mountain view, ca",boosted careers,51 to 200 employees,www.boostedusa.com
283,283,2010,computer software,"palo alto, ca",instart careers,201 to 500 employees,www.instartlogic.com
284,284,2002,"transportation, trucking & rail","vienna, austria",kapsch trafficcom careers,"1,001 to 5,000 employees",www.kapsch.net
285,285,1997,insurance,"boston, ma",risk strategies careers,"1,001 to 5,000 employees",www.risk-strategies.com
286,286,2009,computer software,"springfield, mo",britecore careers,201 to 500 employees,www.britecore.com
287,287,2012,computer hardware,"san francisco, ca",lambda careers,1 to 50 employees,www.lambdalabs.com
288,288,2019,information technology & services,"allen, sd",maverit careers,1 to 50 employees,maverit.com
289,289,1992,management consulting,"atlanta, ga",north highland careers,"1,001 to 5,000 employees",www.northhighland.com
290,290,1931,retail,"duluth, mn",maurices careers,"5,001 to 10,000 employees",www.maurices.com
291,291,2010,marketing & advertising,"new york, ny",wunderkind careers,201 to 500 employees,www.wunderkind.co
292,292,2011,internet,"san francisco, ca",mapbox careers,201 to 500 employees,www.mapbox.com
293,293,1992,computer & network security,"lanham, md",ngen careers,1 to 50 employees,www.ngen.com
294,294,1903,hospital & health care,"orange, ca",western dental & orthodontics careers,"1,001 to 5,000 employees",westerndentalcareers.com
295,295,1967,information technology & services,"dublin, oh",oclc careers,"1,001 to 5,000 employees",oc.lc
