04-iGMM-code,02-GioPonSpiz-stock,03-gren-stock,05-MalPatSaj-stock,07-silvestri-stock,10-DeBiGa-stock
sibn,abc,abc,abc,abc,cbre
ibkr,0688,0688,0688,688,fitb
603501,2269,2269,2269,2269,ba.
002460,0267,0267,0267,267,ferg
9613,clnx,clnx,clnx,clnx,7309
mkc,600690,600690,600690,600690,ctra
knebv,z74,z74,z74,z74,b3sa3
600406,2020,2020,2020,2020,tdy
gww,barc,barc,barc,barc,key
dhi,bf.b,bf.b,bf.b,bf.b,mtb
srt,wege3,wege3,wege3,wege3,8750
exr,pcar,pcar,pcar,pcar,ulta
sampo,601633,601633,601633,601633,zbra
cabk,0960,0960,0960,960,mpwr
on,7182,7182,7182,7182,qsp.un
wkl,ppg,ppg,ppg,ppg,dre
eix,tlk,tlk,tlk,tlk,hban
sren,mtd,mtd,mtd,mtd,cnhi
y92,oke,oke,oke,oke,njb
gwo,gmg,gmg,gmg,gmg,cf
phia,glw,glw,glw,glw,cinf
frc,2914,2914,2914,2914,6201
sivb,601138,601138,601138,601138,gebn
601919,es,es,es,es,zto
rwe,0728,0728,0728,728,8113
lvs,crh,crh,crh,crh,xpbr31
600438,6178,6178,6178,6178,swks
rci.b,biib,biib,biib,biib,601766
edf,scmn,scmn,scmn,scmn,clr
ams,dsm,dsm,dsm,dsm,hu3
4503,6505,6505,6505,6505,femsaub
keys,600436,600436,600436,600436,tep
bll,ame,ame,ame,ame,bio
5110,eoaa,eoaa,eoaa,eoaa,hm.b
wy,601601,601601,601601,601601,bbas3
ndaq,zs,zs,zs,zs,ttm
spot,600585,600585,600585,600585,8053
cprt,fnv,fnv,fnv,fnv,601985
2882,engi,engi,engi,engi,okta
ucg,stt,stt,stt,stt,emsn
kdb,600104,600104,600104,600104,ess
mtch,nokia.sek,nokia.sek,nokia.sek,nokia.sek,ccep
wltw,twtr,twtr,twtr,twtr,0003
1010,veev,veev,veev,veev,6301
vws,l,l,l,l,gfnorteo
