00-avengers-name,02-GioPonSpiz-name,03-gren-name,04-iGMM-name,05-MalPatSaj-name,06-MarScoToc-name,07-silvestri-name,08-slytherin-name,10-DeBiGa-name
starbucks,"industria de diseño textil, sa","industria de diseño textil, sa",ecolab inc.,"industria de diseño textil, sa",computacenter plc,"industria de diseã±o textil, sa",amiad water systems ltd.,pinduoduo inc.
volkswagen,the boeing company,the boeing company,china tourism group duty free corp ltd,the boeing company,frasers group plc,the boeing company,g. willi-food international ltd.,"marriott international, inc."
citigroup inc.,glaxosmithkline plc,glaxosmithkline plc,hon hai precision industry co. ltd,glaxosmithkline plc,man group plc,glaxosmithkline plc,euro ceramics ltd,canadian imperial bank of commerce
glaxosmithkline plc,citigroup inc.,citigroup inc.,fortescue metals group limited,citigroup inc.,royal mail plc,citigroup inc.,kaushalya infrastructure development corp ltd,mitsubishi corp
the boeing company,volkswagen ag,volkswagen ag,"american electric power company, inc.",volkswagen ag,softcat plc,volkswagen ag,sanco industries ltd,foshan haitian flavouring and food company ltd
"industria de diseño textil, sa",starbucks corporation,starbucks corporation,archer-daniels-midland company,starbucks corporation,itv plc,starbucks corporation,tarapur transformers ltd,enterprise products partners l.p.
transurban group,vale sa,vale sa,hp inc.,vale sa,diploma plc,vale sa,gangotri textiles ltd,itaú unibanco holding sa
"the goldman sachs group, inc.","servicenow, inc.","servicenow, inc.",zijin mining group co ltd,"servicenow, inc.",rotork plc,"servicenow, inc.",metkore alloys & industries ltd,"marvell technology, inc."
keyence,target corporation,target corporation,wipro limited,target corporation,abcam plc,target corporation,ramsarup industries ltd,schlumberger limited
meituan,infosys limited,infosys limited,"samsung biologics co.,ltd.",infosys limited,future plc,infosys limited,talwalkars better value fitness ltd,pernod ricard sa
siemens,al rajhi banking and investment corp,al rajhi banking and investment corp,"sumitomo mitsui financial group, inc.",al rajhi banking and investment corp,darktrace plc,al rajhi banking and investment corp,sophia genetics sa,"air products and chemicals, inc."
american tower,"airbnb, inc.","airbnb, inc.","chipotle mexican grill, inc.","airbnb, inc.",3i infrastructure plc,"airbnb, inc.",regency ceramics ltd,marvell technology group ltd.
diageo plc,"charter communications, inc.","charter communications, inc.","cadence design systems, inc.","charter communications, inc.",drax group plc,"charter communications, inc.",sportradar group ag,relx plc
hdfc bank,byd co ltd,byd co ltd,cintas corporation,byd co ltd,ig group holdings plc,byd co ltd,melstar information technologies ltd,"workday, inc."
blackrock,saudi basic industries corp,saudi basic industries corp,iqvia holdings inc.,saudi basic industries corp,polar capital technology trust,saudi basic industries corp,"ses solar, inc.",vinci sa
unilever,nippon telegraph & telephone corp,nippon telegraph & telephone corp,"autozone, inc.",nippon telegraph & telephone corp,nomad foods limited,nippon telegraph & telephone corp,psl ltd,shenzhen mindray bio-medical electronics co. ltd
international business machines corporation,"altria group, inc.","altria group, inc.",te connectivity ltd.,"altria group, inc.",tate & lyle plc,"altria group, inc.",barry callebaut ag,southern copper corporation
"anthem, inc.",british american tobacco plc,british american tobacco plc,intesa sanpaolo s.p.a.,british american tobacco plc,livanova plc,british american tobacco plc,on holding ag,saudi telecom company
applied materials,stryker corporation,stryker corporation,pjsc lukoil,stryker corporation,william hill plc,stryker corporation,compagnie financière richemont sa,nongfu spring co. ltd
prologis,s&p global inc.,s&p global inc.,saudi arabian mining company,s&p global inc.,bellway plc,s&p global inc.,holcim ltd,reckitt benckiser group plc
dior,the estée lauder companies inc.,the estée lauder companies inc.,mitsui & co. ltd,the estée lauder companies inc.,alliance trust plc,the estã©e lauder companies inc.,wyld networks ab ,australia and new zealand banking group limited
