00-avengers-name,02-GioPonSpiz-name,03-gren-name,04-iGMM-name,05-MalPatSaj-name,06-MarScoToc-name,07-silvestri-name,08-slytherin-name,10-DeBiGa-name
,,,,,,,bank of shanghai co. ltd,
,,,,,,,ningxia baofeng energy group co. ltd,
,,,,,,,beigene ltd,
,,,,,,,china united network communications ltd,
,,,,,,,"huaneng lancang river hydropower, inc.",
,,,,,,,avic shenyang aircraft company ltd,
,,,,,,,hoshine silicon industry co. ltd,
,,,,,,,china longyuan power group corp ltd,
,,,,,,,"yum china holdings, inc.",
,,,,,,,gf securities co. ltd,
,,,,,,,haitong securities co. ltd,
,,,,,,,china merchants securities co. ltd,
,,,,,,,cavatina holding spólka akcyjna,
,,,,,,,forever entertainment sa,
,,,,,,,bloober team sa,
,,,,,,,polwax sa,
,,,,,,,biomed-lublin wytwórnia surowic i szczepionek sa,
,,,,,,,ci games sa,
,,,,,,,dp poland plc,
,,,,,,,energiedienst holding ag,
,,,,,,,medartis holding ag,
,,,,,,,valiant holding ag,
,,,,,,,tx group ag,
,,,,,,,bobst group sa,
,,,,,,,aevis victoria sa,
,,,,,,,huber+suhner ag,
,,,,,,,burckhardt compression holding ag,
,,,,,,,bossard holding ag,
,,,,,,,landis+gyr group ag,
,,,,,,,bell food group ag,
,,,,,,,walliser kantonalbank,
,,,,,,,hbm healthcare investments ag,
,,,,,,,sensirion holding ag,
,,,,,,,mobimo holding ag,
,,,,,,,zug estates holding ag,
,,,,,,,cembra money bank ag,
,,,,,,,bystronic ag,
,,,,,,,dormakaba holding ag,
,,,,,,,softwareone holding ag,
,,,,,,,comet holding ag,
,,,,,,,medacta group sa,
,,,,,,,berner kantonalbank ag,
,,,,,,,zuger kantonalbank,
,,,,,,,polypeptide group ag,
,,,,,,,swissquote group holding ltd,
,,,,,,,interroll holding ag,
,,,,,,,forbo holding ag,
,,,,,,,inficon holding ag,
,,,,,,,lem holding sa,
,,,,,,,transocean ltd.,
,,,,,,,st. galler kantonalbank ag,
,,,,,,,idorsia ltd,
,,,,,,,also holding ag,
,,,,,,,siegfried holding ag,
,,,,,,,iwg plc,
,,,,,,,allreal holding ag,
,,,,,,,dufry ag,
,,,,,,,dottikon es holding ag,
,,,,,,,vz holding ag,
,,,,,,,stadler rail ag,
,,,,,,,galenica ag,
,,,,,,,luzerner kantonalbank ag,
,,,,,,,bb biotech ag,
,,,,,,,bucher industries ag,
,,,,,,,tecan group ltd,
,,,,,,,vontobel holding ag,
,,,,,,,addnode group ab,
,,,,,,,k-fast holding ab ,
,,,,,,,bilia ab,
,,,,,,,volati ab,
,,,,,,,skistar ab,
,,,,,,,diös fastigheter ab,
,,,,,,,biotage ab,
,,,,,,,modern times group mtg ab,
,,,,,,,hexatronic group ab,
,,,,,,,troax group ab,
,,,,,,,ncc ab,
,,,,,,,ratos ab,
,,,,,,,lindab international ab,
,,,,,,,electrolux professional ab,
,,,,,,,mycronic ab,
,,,,,,,instalco ab,
,,,,,,,np3 fastigheter ab,
,,,,,,,nolato ab ,
,,,,,,,paradox interactive ab,
,,,,,,,hms networks ab,
,,,,,,,loomis ab,
,,,,,,,jm ab,
,,,,,,,olink holding ab ,
,,,,,,,afry ab,
,,,,,,,arjo ab,
,,,,,,,lagercrantz group ab,
,,,,,,,bravida holding ab,
,,,,,,,mips ab,
,,,,,,,bure equity ab,
,,,,,,,catena ab,
,,,,,,,dometic group ab,
,,,,,,,nyfosa ab,
,,,,,,,atrium ljungberg ab,
,,,,,,,cellink ab,
,,,,,,,pandox ab,
,,,,,,,peab ab,
,,,,,,,billerudkorsnas ab,
,,,,,,,hufvudstaden ab,
,,,,,,,elekta ab,
,,,,,,,john mattson fastighetsforetagen ab,
,,,,,,,alimak group ab,
,,,,,,,resurs holding ab,
,,,,,,,nordic entertainment group ab,
,,,,,,,svenska nyttobostäder ab,
,,,,,,,mekonomen ab,
,,,,,,,storytel ab,
,,,,,,,karnov group ab,
,,,,,,,bonava ab,
,,,,,,,know it ab,
,,,,,,,nederman holding ab,
,,,,,,,svolder ab,
,,,,,,,surgical science sweden ab ,
,,,,,,,fasadgruppen group ab ,
,,,,,,,nobia ab,
,,,,,,,cassona se,
,,,,,,,dustin group ab,
,,,,,,,clas ohlson ab,
,,,,,,,fastighets ab trianon ,
,,,,,,,cellavision ab,
,,,,,,,investment ab oresund,
,,,,,,,cloetta ab,
,,,,,,,garo aktiebolag ,
,,,,,,,invisio ab,
,,,,,,,bhg group ab,
,,,,,,,sas ab,
,,,,,,,concentric ab,
,,,,,,,boozt ab,
,,,,,,,betsson ab,
,,,,,,,scandic hotels group ab,
,,,,,,,collector ab,
,,,,,,,amasten fastighets ab,
,,,,,,,ab fagerhult,
,,,,,,,inwido ab,
,,,,,,,powercell sweden ab,
,,,,,,,stillfront group ab ,
,,,,,,,camurus ab,
,,,,,,,bioarctic ab,
,,,,,,,nobina ab,
,,,,,,,vestum ab ,
,,,,,,,gränges ab,
,,,,,,,eolus vind ab,
,,,,,,,genovis ab,
,,,,,,,ctt systems ab,
,,,,,,,scandi standard ab,
,,,,,,,ovzon ab,
,,,,,,,bioinvent international ab ,
,,,,,,,tethys oil ab ,
,,,,,,,odd molly international ab,
,,,,,,,besqab ab,
,,,,,,,smart eye ab,
,,,,,,,balco group ab,
,,,,,,,hoist finance ab,
,,,,,,,stenhus fastigheter i norden ab ,
,,,,,,,itab shop concept ab ,
,,,,,,,fortinova fastigheter ab ,
,,,,,,,medcap ab,
,,,,,,,humana ab,
,,,,,,,hansa biopharma ab,
,,,,,,,thunderful group ab,
,,,,,,,magnolia bostad ab,
,,,,,,,tobii ab,
,,,,,,,bonesupport holding ab,
,,,,,,,idun industrier ab ,
,,,,,,,wästbygg gruppen ab,
,,,,,,,fm mattsson mora group ab,
,,,,,,,bayn group ab,
,,,,,,,plejd ab ,
,,,,,,,lime technologies ab,
,,,,,,,systemair ab,
,,,,,,,catella ab,
,,,,,,,acq bure ab ,
,,,,,,,tf bank ab,
,,,,,,,nordic waterproofing holding ab ,
,,,,,,,probi ab,
,,,,,,,absolent group ab,
,,,,,,,byggmax group ab,
,,,,,,,leovegas ab,
,,,,,,,ambea ab,
,,,,,,,synact pharma ab,
,,,,,,,formpipe software ab,
,,,,,,,fingerprint cards ab,
,,,,,,,transtema group ab,
,,,,,,,torslanda property investment ab,
,,,,,,,net insight ab,
,,,,,,,soltech energy sweden ab,
,,,,,,,acconeer ab,
,,,,,,,alcadon group ab,
,,,,,,,fastator ab,
,,,,,,,isofol medical ab,
,,,,,,,studentbostäder i norden ab,
,,,,,,,vicore pharma holding ab,
,,,,,,,hanza holding ab,
,,,,,,,bambuser ab,
,,,,,,,raysearch laboratories ab,
,,,,,,,midsona ab ,
,,,,,,,teqnion ab,
,,,,,,,cantargia ab,
,,,,,,,rottneros ab,
,,,,,,,enad global 7 ab ,
,,,,,,,bergs timber ab,
,,,,,,,doxa ab,
,,,,,,,c-rad ab ,
,,,,,,,g5 entertainment ab,
,,,,,,,arise ab,
,,,,,,,proact it group ab ,
,,,,,,,bredband2 i skandinavien ab ,
,,,,,,,iar systems group ab,
,,,,,,,mangold ab,
,,,,,,,beijer electronics group ab,
,,,,,,,haldex ab,
,,,,,,,ework group ab,
,,,,,,,eltel ab,
,,,,,,,mentice ab,
,,,,,,,semcon ab,
,,,,,,,awardit ab,
,,,,,,,maha energy ab,
,,,,,,,minesto ab,
,,,,,,,pricer ab,
,,,,,,,be group ab,
,,,,,,,q-linea ab,
,,,,,,,nordic paper holding ab ,
,,,,,,,intervacc ab,
,,,,,,,elos medtech ab,
,,,,,,,polygiene ab,
,,,,,,,ferronordic ab,
,,,,,,,urb-it ab,
,,,,,,,spectracure ab,
,,,,,,,contextvision ab ,
,,,,,,,eql pharma ab ,
,,,,,,,midsummer ab,
,,,,,,,dedicare ab,
,,,,,,,upsales technology ab,
,,,,,,,biovica international ab ,
,,,,,,,sintercast ab,
,,,,,,,sleep cycle ab ,
,,,,,,,immunovia ab ,
,,,,,,,atvexa ab ,
,,,,,,,sensys gatso group ab,
,,,,,,,integrum ab ,
,,,,,,,ferroamp elektronik ab,
,,,,,,,arla plast ab,
,,,,,,,piezomotor uppsala ab,
,,,,,,,duroc ab,
,,,,,,,checkin.com group ab ,
,,,,,,,b3 consulting group ab,
,,,,,,,distit ab,
,,,,,,,enzymatica ab,
,,,,,,,paxman ab,
,,,,,,,byggpartner i dalarna holding ab,
,,,,,,,azelio ab,
,,,,,,,scandinavian enviro systems ab,
,,,,,,,pierce group ab ,
,,,,,,,gapwaves ab,
,,,,,,,skane-mollan ab,
,,,,,,,24storage ab,
,,,,,,,maxfastigheter i sverige ab,
,,,,,,,nimbus group ab ,
,,,,,,,desenio group ab ,
,,,,,,,xspray pharma ab,
,,,,,,,inzile ab,
,,,,,,,swedish stirling ab ,
,,,,,,,jetpak top holding ab,
,,,,,,,sivers ima holding ab,
,,,,,,,senzime ab ,
,,,,,,,stockwik forvaltning ab,
,,,,,,,impact coatings ab,
,,,,,,,spectrumone ab,
,,,,,,,advenica ab,
,,,,,,,consilium ab,
,,,,,,,i-tech ab,
,,,,,,,organoclick ab,
,,,,,,,stille ab,
,,,,,,,nepa ab,
,,,,,,,gomspace group ab,
,,,,,,,crunchfish ab,
,,,,,,,hövding sverige ab,
,,,,,,,mag interactive ab,
,,,,,,,nexam chemical holding ab,
,,,,,,,karolinska development ab,
,,,,,,,infrea ab,
,,,,,,,misen energy ab,
,,,,,,,solnaberg property ab,
,,,,,,,maven wireless sweden ab ,
,,,,,,,infant bacterial therapeutics ab,
,,,,,,,generic sweden ab,
,,,,,,,doro ab,
,,,,,,,avensia ab,
,,,,,,,cag group ab,
,,,,,,,24sevenoffice group ab ,
,,,,,,,slitevind ab,
,,,,,,,bio-works technologies ab,
,,,,,,,bimobject ab,
,,,,,,,kopy goldfields ab,
,,,,,,,orexo ab,
,,,,,,,oncopeptides ab,
,,,,,,,hastings group holdings plc,
,,,,,,,starbreeze ab,
,,,,,,,seafire ab,
,,,,,,,scandinavian biogas fuels international ab ,
,,,,,,,oasmia pharmaceutical ab,
,,,,,,,episurf medical ab,
,,,,,,,naxs ab,
,,,,,,,bokusgruppen ab ,
,,,,,,,strax ab,
,,,,,,,aegirbio ab,
,,,,,,,acousort ab ,
,,,,,,,corline biomedical ab,
,,,,,,,prostalund ab,
,,,,,,,clavister holding ab,
,,,,,,,drillcon ab,
,,,,,,,tourn international ab,
,,,,,,,rls global ab,
,,,,,,,freja eid group ab,
,,,,,,,tempest security ab,
,,,,,,,axichem ab,
,,,,,,,qlife holding ab,
,,,,,,,zignsec ab,
,,,,,,,terranet holding ab,
,,,,,,,ewpg holding ab,
,,,,,,,artificial solutions international ab,
,,,,,,,nilar international ab,
,,,,,,,klaria pharma holding ab,
,,,,,,,scibase holding ab,
,,,,,,,guard therapeutics international ab,
,,,,,,,seatwirl ab,
,,,,,,,electra gruppen ab,
,,,,,,,bonasudden holding ab,
,,,,,,,new nordic healthbrands ab,
,,,,,,,fluicell ab,
,,,,,,,qliro ab,
,,,,,,,seamless distribution systems ab,
,,,,,,,moment group ab,
,,,,,,,kancera ab,
,,,,,,,precise biometrics ab,
,,,,,,,isr immune system regulation holding ab,
,,,,,,,wise group ab,
,,,,,,,unibap ab,
,,,,,,,sotkamo silver ab,
,,,,,,,ossdsign ab,
,,,,,,,aac clyde space ab,
,,,,,,,speqta ab,
,,,,,,,immunicum ab,
,,,,,,,lmk group ab ,
,,,,,,,dignitana ab,
,,,,,,,cortus energy ab,
,,,,,,,nanexa ab,
,,,,,,,nordic iron ore ab,
,,,,,,,scout gaming group ab,
,,,,,,,anoto group ab,
,,,,,,,irras ab,
,,,,,,,actic group ab,
,,,,,,,ivisys ab,
,,,,,,,veg of lund ab,
,,,,,,,incoax networks ab,
,,,,,,,enorama pharma ab,
,,,,,,,xintela ab,
,,,,,,,bioservo technologies ab,
,,,,,,,waystream holding ab,
,,,,,,,myfc holding ab,
,,,,,,,tessin nordic holding ab,
,,,,,,,sprint bioscience ab,
,,,,,,,abliva ab,
,,,,,,,duearity ab ,
,,,,,,,multiq international ab,
,,,,,,,transcendent group ab,
,,,,,,,safeture ab,
,,,,,,,moberg pharma ab,
,,,,,,,combigene ab,
,,,,,,,bong ab,
,,,,,,,ranplan group ab,
,,,,,,,eurobattery minerals ab,
,,,,,,,jondetech sensors ab,
,,,,,,,auriant mining ab,
,,,,,,,lidds ab,
,,,,,,,ngs group ab,
,,,,,,,alelion energy systems ab,
,,,,,,,safello group ab ,
,,,,,,,lexington co ab-the,
,,,,,,,saxlund group ab,
,,,,,,,tradedoubler ab,
,,,,,,,quartiers properties ab,
,,,,,,,litium ab ,
,,,,,,,jlt mobile computers ab,
,,,,,,,link prop investment ab,
,,,,,,,botnia exploration holding,
,,,,,,,adventure box technology ab,
,,,,,,,curando nordic ab,
,,,,,,,divio technologies ab,
,,,,,,,eniro ab,
,,,,,,,gasporox ab,
,,,,,,,spiffbet ab,
,,,,,,,cyber security 1 ab,
,,,,,,,moba network ab,
,,,,,,,heliospectra ab,
,,,,,,,stayble therapeutics ab,
,,,,,,,polyplank ab,
,,,,,,,unltd. travel group ab,
,,,,,,,ziccum ab ,
,,,,,,,mavshack ab,
,,,,,,,lipum ab ,
,,,,,,,lohilo foods ab ,
,,,,,,,oncozenge ab ,
,,,,,,,serstech ab,
,,,,,,,northbaze group ab,
,,,,,,,ngenic ab ,
,,,,,,,acarix ab,
,,,,,,,qiiwi games ab ,
,,,,,,,scandidos ab,
,,,,,,,codemill ab ,
,,,,,,,sozap ab ,
,,,,,,,gaming corps ab,
,,,,,,,xmreality ab,
,,,,,,,diadrom holding ab,
,,,,,,,arcoma ab,
,,,,,,,annexin pharmaceuticals ab,
,,,,,,,nord insuretech group ab,
,,,,,,,invajo technologies ab,
,,,,,,,insplorion ab ,
,,,,,,,kentima holding ab,
,,,,,,,paynova ab,
,,,,,,,capacent holding ab,
,,,,,,,rnb retail and brands ab,
,,,,,,,alzecure pharma ab,
,,,,,,,spago nanomedical ab ,
,,,,,,,prostatype genomics ab ,
,,,,,,,image systems ab,
,,,,,,,binero group ab,
,,,,,,,scandbook ab,
,,,,,,,pharmiva ab ,
,,,,,,,aino health ab,
,,,,,,,obducat ab,
,,,,,,,newton nordic ab,
,,,,,,,nordic flanges group ab,
,,,,,,,papilly ab,
,,,,,,,hemcheck sweden ab,
,,,,,,,luxbright ab ,
,,,,,,,quiapeg pharmaceuticals holding ab,
,,,,,,,frisq holding ab,
,,,,,,,goodbye kansas group ab ,
,,,,,,,chromogenics ab,
,,,,,,,asarina pharma ab,
,,,,,,,online brands nordic ab,
,,,,,,,simris alg ab,
,,,,,,,liv ihop ab,
,,,,,,,arocell ab,
,,,,,,,redwood pharma ab,
,,,,,,,bomill ab ,
,,,,,,,ytrade group ab ,
,,,,,,,cyxone ab,
,,,,,,,promore pharma ab,
,,,,,,,axolot solutions holding ab,
,,,,,,,th1ng ab ,
,,,,,,,ellwee ab ,
,,,,,,,arctic minerals ab,
,,,,,,,kakel max ab,
,,,,,,,hedera group ab,
,,,,,,,s2medical ab,
,,,,,,,guideline geo ab,
,,,,,,,svenska aerogel holding ab,
,,,,,,,lipigon pharmaceuticals ab ,
,,,,,,,nicoccino holding ab,
,,,,,,,rolling optics holding ab,
,,,,,,,sensec holding ab,
,,,,,,,tc tech sweden ab,
,,,,,,,euroafrica digital ventures ab ,
,,,,,,,secits holding ab,
,,,,,,,godsinlösen nordic ab,
,,,,,,,elicera therapeutics ab ,
,,,,,,,circhem ab ,
,,,,,,,readly international ab ,
,,,,,,,savelend group ab ,
,,,,,,,profoto holding ab ,
,,,,,,,permascand top holding ab ,
,,,,,,,fragbite group ab ,
,,,,,,,freemelt holding ab ,
,,,,,,,horizon discovery group plc,
,,,,,,,green landscaping group ab ,
,,,,,,,hemnet group ab ,
,,,,,,,cary group holding ab ,
,,,,,,,aros bostadsutveckling ab ,
,,,,,,,björn borg ab,
,,,,,,,diagonal bio ab ,
,,,,,,,corem property group ab,
,,,,,,,ab electrolux ,
,,,,,,,swedish match ab ,
,,,,,,,sdiptech ab ,
,,,,,,,petrotarg ab,
,,,,,,,qleanair ab,
,,,,,,,oatly group ab,
,,,,,,,investor ab ,
,,,,,,,mildef group ab ,
,,,,,,,tbd30 ab ,
,,,,,,,axfood ab ,
,,,,,,,ox2 ab ,
,,,,,,,clean industry solutions holding europe ab,
,,,,,,,cibus nordic real estate ab ,
,,,,,,,linc ab,
,,,,,,,goobit group ab ,
,,,,,,,fuud ab ,
,,,,,,,söder sportfiske ab,
,,,,,,,vef ab ,
,,,,,,,sedana medical ab ,
,,,,,,,rvrc holding ab ,
,,,,,,,modus therapeutics holding ab ,
,,,,,,,vimian group ab ,
,,,,,,,uswe sports ab ,
,,,,,,,emplicure ab ,
,,,,,,,kiliaro ab ,
,,,,,,,brilliant future ab ,
,,,,,,,amniotics ab ,
,,,,,,,appspotr ab ,
,,,,,,,intellego technologies ab,
,,,,,,,twiik ab ,
,,,,,,,vo2 cap holding ab,
,,,,,,,netjobs group ab,
,,,,,,,sonetel ab,
,,,,,,,clean motion ab,
,,,,,,,plexian ab ,
,,,,,,,gpx medical ab,
,,,,,,,nilsson special vehicles ab,
,,,,,,,tangiamo touch technology ab,
,,,,,,,idogen ab,
,,,,,,,ekobot ab ,
,,,,,,,ellen ab,
,,,,,,,brighter ab,
,,,,,,,dlaboratory sweden ab ,
,,,,,,,toleranzia ab,
,,,,,,,alzinova ab,
,,,,,,,hoylu ab,
,,,,,,,ll lucky games ab ,
,,,,,,,fantasma games ab ,
,,,,,,,tellusgruppen ab ,
,,,,,,,zaplox ab,
,,,,,,,gabather ab,
,,,,,,,westpay ab,
,,,,,,,kontigo care ab,
,,,,,,,confidence international ab,
,,,,,,,clemondo group ab,
,,,,,,,modern ekonomi sverige holding ab,
,,,,,,,active biotech ab,
,,,,,,,adderacare ab,
,,,,,,,lifeclean international ab,
,,,,,,,mantex ab,
,,,,,,,eos russia,
,,,,,,,senzagen ab,
,,,,,,,nextcell pharma ab,
,,,,,,,cedergrenska ab ,
,,,,,,,clinical laserthermia systems ab,
,,,,,,,magle chemoswed holding ab,
,,,,,,,lipidor ab,
,,,,,,,saltx technology holding ab,
,,,,,,,alligator bioscience ab,
,,,,,,,medivir ab,
,,,,,,,oxe marine ab,
,,,,,,,nelly group ab,
,,,,,,,firefly ab,
,,,,,,,railcare group ab,
,,,,,,,iconovo ab,
,,,,,,,index pharmaceuticals holding ab,
,,,,,,,ascelia pharma ab,
,,,,,,,flexqube ab,
,,,,,,,embellence group ab ,
,,,,,,,zetadisplay ab,
,,,,,,,fractal gaming group ab ,
,,,,,,,climeon ab,
,,,,,,,egetis therapeutics ab,
,,,,,,,kalleback property invest ab,
,,,,,,,neonode inc.,
,,,,,,,studsvik ab,
,,,,,,,opticept technologies ab ,
,,,,,,,arcane crypto ab,
,,,,,,,crown energy ab,
,,,,,,,diamyd medical ab,
,,,,,,,copperstone resources ab,
,,,,,,,greater than ab,
,,,,,,,zinzino ab ,
,,,,,,,bulten ab,
,,,,,,,irisity ab,
,,,,,,,rugvista group ab ,
,,,,,,,softronic ab,
,,,,,,,acast ab ,
,,,,,,,cdon ab,
,,,,,,,eastnine ab,
,,,,,,,xbrane biopharma ab,
,,,,,,,calliditas therapeutics ab,
,,,,,,,ghp specialty care ab,
,,,,,,,exsitec holding ab,
,,,,,,,calliditas therapeutics ab (publ),
,,,,,,,genova property group ab,
,,,,,,,attendo ab,
,,,,,,,duni ab,
,,,,,,,note ab,
,,,,,,,vnv global ab ,
,,,,,,,academedia ab,
,,,,,,,aq group ab,
,,,,,,,munters group ab,
,,,,,,,biogaia ab,
,,,,,,,new wave group ab,
,,,,,,,karo pharma ab,
,,,,,,,alm equity ab,
,,,,,,,oem international ab ,
,,,,,,,ncab group ab,
,,,,,,,swedencare ab ,
,,,,,,,medicover ab,
,,,,,,,bufab ab,
,,,,,,,wihlborgs fastigheter ab,
,,,,,,,cint group ab ,
,,,,,,,hexpol ab,
,,,,,,,intrum ab,
,,,,,,,embracer group ab,
,,,,,,,vitrolife ab,
,,,,,,,addlife ab,
,,,,,,,avanza bank holding ab,
,,,,,,,securitas ab,
,,,,,,,lucas bols n.v.,
,,,,,,,"veoneer, inc.",
,,,,,,,holland colours n.v.,
,,,,,,,envipco holding n.v.,
,,,,,,,avantium n.v.,
,,,,,,,ict group n.v.,
,,,,,,,afc ajax nv,
,,,,,,,neways electronics international n.v.,
,,,,,,,european biotech acquisition corp,
,,,,,,,kendrion n.v.,
,,,,,,,sif holding n.v.,
,,,,,,,forfarmers n.v.,
,,,,,,,european fintech ipo company 1 b.v.,
,,,,,,,esg core investments b.v.,
,,,,,,,heijmans n.v.,
,,,,,,,la perla fashion holding n.v.,
,,,,,,,lastminute.com nv,
,,,,,,,nedap n.v.,
,,,,,,,ordina n.v.,
,,,,,,,oranjewoud n.v.,
,,,,,,,vastned retail n.v.,
,,,,,,,pharming group n.v.,
,,,,,,,pharvaris n.v.,
,,,,,,,brunel international n.v.,
,,,,,,,nx filtration n.v.,
,,,,,,,frank's international n.v.,
,,,,,,,cm.com n.v.,
,,,,,,,pegasus acquisition company europe b.v.,
,,,,,,,fastned b.v.,
,,,,,,,pphe hotel group limited,
,,,,,,,amsterdam commodities n.v.,
,,,,,,,nsi n.v.,
,,,,,,,koninklijke bam groep nv,
,,,,,,,uniqure n.v.,
,,,,,,,wereldhave n.v.,
,,,,,,,sligro food group n.v.,
,,,,,,,merus n.v.,
,,,,,,,van lanschot kempen n.v.,
,,,,,,,brack capital properties nv,
,,,,,,,tomtom n.v.,
,,,,,,,fugro n.v.,
,,,,,,,veon ltd.,
,,,,,,,amg advanced metallurgical group n.v.,
,,,,,,,flow traders n.v.,
,,,,,,,eurocommercial properties n.v.,
,,,,,,,altia consultores sa,
,,,,,,,atrys health sa,
,,,,,,,"making science group, sa",
,,,,,,,"deoleo, sa",
,,,,,,,izertis sa,
,,,,,,,highfield resources limited,
,,,,,,,"tubacex, sa",
,,,,,,,"aspy global services, sa",
,,,,,,,"laboratorio reig jofre, sa",
,,,,,,,iberpapel gestion sa,
,,,,,,,"prim, sa",
,,,,,,,"árima real estate socimi, sa",
,,,,,,,"amper, sa",
,,,,,,,"pescanova, sa",
,,,,,,,"squirrel media, sa",
,,,,,,,"grupo ecoener, s.a.u.",
,,,,,,,"grupo empresarial san josé, sa",
,,,,,,,"ercros, sa",
,,,,,,,greenalia sa,
,,,,,,,miquel y costas & miquel sa,
,,,,,,,"técnicas reunidas, sa",
,,,,,,,vertice trescientos sesenta grados sa,
,,,,,,,"clínica baviera, sa",
,,,,,,,"lar españa real estate socimi, sa",
,,,,,,,"promotora de informaciones, sa",
,,,,,,,"renta 4 banco, sa",
,,,,,,,talgo sa,
,,,,,,,"soltec power holdings, sa",
,,,,,,,"barón de ley, sa",
,,,,,,,"obrascón huarte lain, sa",
,,,,,,,"audax renovables, sa",
,,,,,,,alantra partners sa,
,,,,,,,"global dominion access, sa",
,,,,,,,"realia business, sa",
,,,,,,,"zambal spain socimi, sa",
,,,,,,,"proeduca altus, sa",
,,,,,,,"ence energía y celulosa, sa",
,,,,,,,"prosegur cash, sa",
,,,,,,,"neinor homes, sa",
,,,,,,,"distribuidora internacional de alimentación, sa",
,,,,,,,amrest holdings se,
,,,,,,,solarpack corp tecnologica sa,
,,,,,,,"construcciones y auxiliar de ferrocarriles, sa",
,,,,,,,"atresmedia corporación de medios de comunicación, sa",
,,,,,,,"prosegur compañía de seguridad, sa",
,,,,,,,elecnor sa,
,,,,,,,"applus services, sa",
,,,,,,,"aedas homes, sa",
,,,,,,,financiera independencia s.a.b. de c.v. sofom e.n.r.,
,,,,,,,dd3 acquisition corp. ii,
,,,,,,,fibra shop,
,,,,,,,"grupo gicsa, s.a. de c.v.",
,,,,,,,"consorcio ara, s. a. b. de c. v.",
,,,,,,,"the mexico fund, inc.",
,,,,,,,"corporación interamericana de entretenimiento, s.a.b. de c.v.",
,,,,,,,"compañía minera autlán, s.a.b. de c.v.",
,,,,,,,"proteak uno, s.a.b. de c.v.",
,,,,,,,"vinte viviendas integrales, s.a.b. de c.v.",
,,,,,,,"organización cultiba, s.a.b. de c.v.",
,,,,,,,fibrahotel,
,,,,,,,"médica sur, s.a.b. de c.v.",
,,,,,,,"banco actinver s.a., institución de banca múltiple, grupo financiero actinver",
,,,,,,,"cydsa, s.a.b. de c.v.",
,,,,,,,"corporación actinver, s. a. b. de c. v.",
,,,,,,,"tv azteca, s.a.b. de c.v.",
,,,,,,,"internacional de cerámica, s.a.b. de c.v.",
,,,,,,,"grupo industrial saltillo, s.a.b. de c.v.",
,,,,,,,"invex controladora, s.a.b. de c.v.",
,,,,,,,grupo rotoplas s.a.b. de c.v.,
,,,,,,,"unifin financiera, s. a. b. de c. v.",
,,,,,,,"betterware de mexico, s.a.b. de c.v.",
,,,,,,,"dine, s.a.b. de c.v.",
,,,,,,,"vitro, s.a.b. de c.v.",
,,,,,,,"value grupo financiero, s.a.b. de c.v.",
,,,,,,,"rlh properties, s.a.b. de c.v.",
,,,,,,,"grupo posadas, s.a.b. de c.v.",
,,,,,,,"vista oil & gas, s.a.b. de c.v.",
,,,,,,,"grupo traxión, s.a.b. de c.v.",
,,,,,,,fideicomiso irrevocable f/2061 fhipo,
,,,,,,,"nemak, s. a. b. de c. v.",
,,,,,,,"grupo minsa, s.a.b. de c.v.",
,,,,,,,fibra macquarie méxico,
,,,,,,,"american oil & gas, inc.",
,,,,,,,"urbi, desarrollos urbanos, s.a.b. de c.v.",
,,,,,,,"desarrolladora homex, s.a.b. de c.v.",
,,,,,,,"grupo sports world, s.a.b. de c.v.",
,,,,,,,"grupo tmm, s.a.b.",
,,,,,,,maxcom telecomunicaciones s.a.b. de c.v.,
,,,,,,,"cmr, s.a.b. de c.v.",
,,,,,,,"crédito real, s.a.b. de c.v., sociedad financiera de objeto múltiple, entidad no regulada",
,,,,,,,"grupo famsa, s.a.b. de c.v.",
,,,,,,,mexico equity & income fund inc.,
,,,,,,,"grupo pochteca, s.a.b. de c.v.",
,,,,,,,"corpovael, s.a.b. de c.v.",
,,,,,,,"promotora ambiental, s.a.b. de c.v.",
,,,,,,,fibra inn,
,,,,,,,fideicomiso irrevocable no. f/1523,
,,,,,,,liv capital acquisition corp.,
,,,,,,,"grupe, s.a.b. de c.v.",
,,,,,,,"grupo vasconia, s.a.b.",
,,,,,,,"grupo bafar, s.a.b. de c.v.",
,,,,,,,"grupo mexicano de desarrollo, s.a.b.",
,,,,,,,"grupo kuo, s.a.b. de c.v.",
,,,,,,,"grupo hotelero santa fe, s.a.b. de c.v.",
,,,,,,,"corporación inmobiliaria vesta, s.a.b. de c.v.",
,,,,,,,"grupo profuturo, s.a.b. de c.v.",
,,,,,,,"fibra mty, s.a.p.i. de c.v.",
,,,,,,,fibra terrafina,
,,,,,,,fibra plus,
,,,,,,,"genomma lab internacional, s.a.b. de c.v.",
,,,,,,,"bolsa mexicana de valores, s.a.b. de c.v.",
,,,,,,,"gentera, s.a.b. de c.v.",
,,,,,,,"grupo nacional provincial, s.a.b.",
,,,,,,,"grupo gigante, s. a. b. de c. v.",
,,,,,,,"corporativo gbm, s.a.b. de c.v.",
,,,,,,,"corporativo fragua, s.a.b. de c.v.",
,,,,,,,"aleatica, s.a.b. de c.v.",
,,,,,,,"elementia, s.a.b. de c.v.",
,,,,,,,fibra danhos,
,,,,,,,metair investments ltd,
,,,,,,,tiger brands ltd,
,,,,,,,aveng ltd,
,,,,,,,african rainbow minerals ltd,
,,,,,,,wilson bayly holmes-ovcon ltd,
,,,,,,,libstar holdings ltd,
,,,,,,,mpact ltd,
