02-GioPonSpiz-stock,03-gren-stock,05-MalPatSaj-stock,07-silvestri-stock,10-DeBiGa-stock
femsaub,femsaub,femsaub,tep,600011
hu3,hu3,hu3,femsaub,s32
clr,clr,clr,hu3,8zn
601766,601766,601766,clr,601669
swks,swks,swks,601766,601111
xpbr31,xpbr31,xpbr31,swks,csgn
8113,8113,8113,xpbr31,lsxmb
zto,zto,zto,8113,8725
gebn,gebn,gebn,zto,peak
6201,6201,6201,gebn,ntap
cinf,cinf,cinf,6201,wn
cf,cf,cf,cinf,smt
njb,njb,njb,cf,inpap
cnhi,cnhi,cnhi,njb,600893
hban,hban,hban,cnhi,omc
dre,dre,dre,hban,asja
qsp.un,qsp.un,qsp.un,dre,066570
mpwr,mpwr,mpwr,qsp.un,6502
zbra,zbra,zbra,mpwr,chkp
ulta,ulta,ulta,zbra,cfg
8750,8750,8750,ulta,ten
mtb,mtb,mtb,8750,4578
key,key,key,mtb,wat
tdy,tdy,tdy,key,nice
b3sa3,b3sa3,b3sa3,tdy,carl.a
ctra,ctra,ctra,b3sa3,ssnc
7309,7309,7309,ctra,603799
pow,pow,pow,7309,wmg
jbht,jbht,jbht,pow,eqnr
8801,8801,8801,jbht,1299
1060,1060,1060,8801,lmt
sgsn,sgsn,sgsn,1060,cat
teck.b,teck.b,teck.b,sgsn,abi
rdor3,rdor3,rdor3,teck.b,cdi
3659,3659,3659,rdor3,rio
coo,coo,coo,3659,6758
lgen,lgen,lgen,coo,ba
rf,rf,rf,lgen,itx
wpm,wpm,wpm,rf,tcl
zi,zi,zi,wpm,gs
viaca,viaca,viaca,zi,6861
600111,600111,600111,viaca,3690
stx,stx,stx,600111,lfc
2319,2319,2319,stx,intu
ir,ir,ir,2319,dhr
sgro,sgro,sgro,ir,mrk
yndx,yndx,yndx,sgro,bhp
mchp,mchp,mchp,yndx,nke
hubs,hubs,hubs,mchp,abt
flt,flt,flt,hubs,vz
ftv,ftv,ftv,flt,cmcsa
app,app,app,ftv,acn
rcl,rcl,rcl,app,or
rep,rep,rep,rcl,orcl
8002,8002,8002,rep,tmo
stan,stan,stan,8002,csco
2331,2331,2331,stan,pep
cms,cms,cms,2331,dis
s1te34,s1te34,s1te34,cms,601398
advanc,advanc,advanc,s1te34,novo.b
6971,6971,6971,advanc,cost
ppl,ppl,ppl,6971,avgo
fltr,fltr,fltr,ppl,lly
2768,2768,2768,fltr,ko
bxp,bxp,bxp,2768,asml
syf,syf,syf,bxp,9988
1150,1150,1150,syf,abbv
lato.b,lato.b,lato.b,1150,pfe
8802,8802,8802,lato.b,cvx
601211,601211,601211,8802,hd
4612,4612,4612,601211,600519
cvna,cvna,cvna,4612,xom
mkl,mkl,mkl,cvna,rog
bro,bro,bro,mkl,bac
4307,4307,4307,bro,ma
mgm,mgm,mgm,4307,mc
2886,2886,2886,mgm,005930
viv,viv,viv,2886,pg
slhn,slhn,slhn,viv,jpm
tel,tel,tel,slhn,wmt
0390,0390,0390,tel,0700
2891,2891,2891,390,jnj
imb,imb,imb,2891,v
pfg,pfg,pfg,imb,unh
nhy,nhy,nhy,pfg,2330
pki,pki,pki,nhy,meta
hnrb,hnrb,hnrb,pki,nvda
sui,sui,sui,hnrb,brk.a
tw,tw,tw,sui,tsla
688599,688599,688599,tw,amzn
vedl,vedl,vedl,688599,goog
payc,payc,payc,vedl,2222
klbn11,klbn11,klbn11,payc,msft
4452,4452,4452,klbn11,aapl
ter,ter,ter,4452,amd
0291,0291,0291,ter,de
601800,601800,601800,291,san
av.,av.,av.,601800,pypl
sbk,sbk,sbk,av.,sap
ry4c,ry4c,ry4c,sbk,601318
holx,holx,holx,ry4c,cvs
krz,krz,krz,holx,cop
6723,6723,6723,krz,hon
bip.un,bip.un,bip.un,6723,tte
4911,4911,4911,bip.un,0941
gib.a,gib.a,gib.a,4911,hsba
0012,0012,0012,gib.a,601988
bill,bill,bill,12,amgn
600196,600196,600196,bill,low
akam,akam,akam,600196,cba
0788,0788,0788,akam,601857
601688,601688,601688,788,td
mro,mro,mro,601688,rms
acgl,acgl,acgl,mro,axp
tru,tru,tru,acgl,rtx
jbss3,jbss3,jbss3,tru,mdt
2313,2313,2313,jbss3,pm
avtr,avtr,avtr,2313,schw
moh,moh,moh,avtr,ry
fer,fer,fer,moh,nflx
edp,edp,edp,fer,ms
fme,fme,fme,edp,tmus
shb.a,shb.a,shb.a,fme,601288
105560,105560,105560,shb.a,nee
mg,mg,mg,105560,lin
srg,srg,srg,mg,prx
003816,003816,003816,srg,bmy
crda,crda,crda,3816,txn
wmg,wmg,wmg,crda,qcom
603799,603799,603799,wmg,t
ssnc,ssnc,ssnc,603799,unp
carl.a,carl.a,carl.a,ssnc,300750
nice,nice,nice,carl.a,600036
wat,wat,wat,nice,mcd
4578,4578,4578,wat,601939
ten,ten,ten,4578,ups
cfg,cfg,cfg,ten,crm
chkp,chkp,chkp,cfg,adbe
6502,6502,6502,chkp,wfc
066570,066570,066570,6502,intc
asja,asja,asja,66570,azn
omc,omc,omc,asja,novn
600893,600893,600893,omc,shel
inpap,inpap,inpap,600893,air
smt,smt,smt,inpap,pbr
wn,wn,wn,smt,alv
ntap,ntap,ntap,wn,cb
peak,peak,peak,ntap,dai
8725,8725,8725,peak,ge
lsxmb,lsxmb,lsxmb,8725,el
csgn,csgn,csgn,lsxmb,spgi
601111,601111,601111,csgn,syk
601669,601669,601669,601111,bats
8zn,8zn,8zn,601669,mo
s32,s32,s32,8zn,9432
600011,600011,600011,s32,2010
1928,1928,1928,600011,002594
hei,hei,hei,hei,chtr
000776,000776,000776,776,abnb
gpc,gpc,gpc,gpc,1120
vod,vod,vod,vod,infy
ttwo,ttwo,ttwo,ttwo,tgt
600999,600999,600999,600999,now
alny,alny,alny,alny,vale3
8267,8267,8267,8267,sbux
0823,0823,0823,823,vow3
4507,4507,4507,4507,c
ui,ui,ui,ui,gsk
pwr,pwr,pwr,pwr,sie
ctlt,ctlt,ctlt,ctlt,amt
600837,600837,600837,600837,dge
2502,2502,2502,2502,hdb
cpi,cpi,cpi,cpi,blk
qsr,qsr,qsr,qsr,ulvr
yumc,yumc,yumc,yumc,ibm
cez,cez,cez,cez,antm
vie,vie,vie,vie,amat
car,car,car,car,pld
