02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry
chemicals,banks,insurance—life,banks,specialty industrial machinery,banks
beverages—wineries & distilleries,oil & gas integrated,software—application,oil & gas integrated,restaurants,banks
oil & gas equipment & services,banks,utilities—diversified,banks,publishing,banks
semiconductors,home improvement retail,medical devices,home improvement retail,grocery stores,waste management
banks,drug manufacturers—general,integrated freight & logistics,drug manufacturers—general,asset management,electrical equipment & parts
oil & gas midstream,banks,chemicals,banks,home improvement retail,banks
packaged foods,banks,marine shipping,banks,internet content & information,insurance—property & casualty
conglomerates,telecom services,semiconductors,telecom services,telecom services,specialty industrial machinery
banks,oil & gas integrated,leisure,oil & gas integrated,residential construction,biotechnology
lodging,specialty industrial machinery,software—application,specialty industrial machinery,asset management,specialty chemicals
internet retail,oil & gas e&p,utilities—diversified,oil & gas e&p,industrial distribution,drug manufacturers—general
consulting services,healthcare plans,household & personal products,healthcare plans,reitdiversified,staffing & employment services
banks,insurance—life,auto manufacturers,insurance—life,gold,utilities—diversified
oil & gas midstream,software—application,gold,software—application,residential construction,information technology services
healthcare plans,credit services,reit—specialty,credit services,asset management,banks
semiconductor equipment & materials,drug manufacturers—general,capital markets,drug manufacturers—general,reitdiversified,banks
banks,farm & heavy construction machinery,auto manufacturers,farm & heavy construction machinery,asset management,reit—industrial
auto manufacturers,semiconductors,banks,semiconductors,residential construction,telecom services
capital markets,software—application,semiconductor equipment & materials,software—application,asset management,banks
consumer electronics,consumer electronics,healthcare plans,consumer electronics,discount stores,utilities—diversified
other industrial metals & mining,other industrial metals & mining,oil & gas midstream,other industrial metals & mining,"furnishings, fixtures & appliances",utilities—diversified
insurance—life,insurance—life,banks,insurance—life,electrical equipment & parts,insurance—diversified
aerospace & defense,aerospace & defense,consulting services,aerospace & defense,capital markets,aerospace & defense
farm & heavy construction machinery,farm & heavy construction machinery,internet retail,farm & heavy construction machinery,utilitiesregulated water,biotechnology
beverages—brewers,beverages—brewers,lodging,beverages—brewers,packaging & containers,other industrial metals & mining
,oil & gas integrated,banks,oil & gas integrated,specialty industrial machinery,diagnostics & research
luxury goods,luxury goods,conglomerates,luxury goods,drug manufacturersgeneral,oil & gas e&p
reit—industrial,reit—industrial,packaged foods,reit—industrial,biotechnology,banks
semiconductor equipment & materials,semiconductor equipment & materials,oil & gas midstream,semiconductor equipment & materials,medical instruments & supplies,discount stores
healthcare plans,healthcare plans,banks,healthcare plans,reitretail,copper
information technology services,information technology services,semiconductors,information technology services,internet retail,railroads
household & personal products,household & personal products,auto manufacturers,household & personal products,asset management,telecom services
asset management,asset management,staffing & employment services,asset management,softwareinfrastructure,aerospace & defense
banks,banks,healthcare plans,banks,gambling,insurance brokers
beverages—wineries & distilleries,beverages—wineries & distilleries,packaged foods,beverages—wineries & distilleries,insurancediversified,auto manufacturers
reit—specialty,reit—specialty,specialty industrial machinery,reit—specialty,reitoffice,banks
specialty industrial machinery,specialty industrial machinery,internet retail,specialty industrial machinery,specialty industrial machinery,semiconductor equipment & materials
internet retail,internet retail,diagnostics & research,internet retail,specialty chemicals,healthcare plans
scientific & technical instruments,scientific & technical instruments,aerospace & defense,scientific & technical instruments,asset management,oil & gas midstream
capital markets,capital markets,software—infrastructure,capital markets,airlines,banks
infrastructure operations,infrastructure operations,oil & gas e&p,infrastructure operations,electronic components,consulting services
apparel retail,apparel retail,specialty chemicals,apparel retail,information technology services,internet retail
aerospace & defense,aerospace & defense,travel services,aerospace & defense,specialty retail,lodging
drug manufacturers—general,drug manufacturers—general,electronic components,drug manufacturers—general,asset management,banks
banks,banks,other industrial metals & mining,banks,integrated freight & logistics,conglomerates
auto manufacturers,auto manufacturers,utilities—regulated electric,auto manufacturers,information technology services,packaged foods
restaurants,restaurants,farm products,restaurants,broadcasting,oil & gas midstream
other industrial metals & mining,other industrial metals & mining,computer hardware,other industrial metals & mining,industrial distribution,banks
software—application,software—application,gold,software—application,specialty industrial machinery,semiconductors
discount stores,discount stores,information technology services,discount stores,biotechnology,oil & gas equipment & services
information technology services,information technology services,biotechnology,information technology services,publishing,beverages—wineries & distilleries
banks,banks,banks,banks,softwareinfrastructure,chemicals
internet content & information,internet content & information,restaurants,internet content & information,asset management,                                        semiconductors                                    
entertainment,entertainment,software—application,entertainment,utilitiesrenewable,publishing
auto manufacturers,auto manufacturers,specialty business services,auto manufacturers,capital markets,software—application
chemicals,chemicals,diagnostics & research,chemicals,asset management,engineering & construction
telecom services,telecom services,specialty retail,telecom services,packaged foods,medical devices
tobacco,tobacco,electronic components,tobacco,packaged foods,copper
tobacco,tobacco,banks,tobacco,medical devices,telecom services
medical devices,medical devices,oil & gas integrated,medical devices,gambling,beverages—non-alcoholic
financial data & stock exchanges,financial data & stock exchanges,other industrial metals & mining,financial data & stock exchanges,residential construction,household & personal products
household & personal products,household & personal products,oil & gas e&p,household & personal products,asset management,banks
specialty industrial machinery,specialty industrial machinery,software—application,specialty industrial machinery,asset management,software—infrastructure
auto manufacturers,auto manufacturers,chemicals,auto manufacturers,utilitiesrenewable,specialty industrial machinery
insurance—property & casualty,insurance—property & casualty,chemicals,insurance—property & casualty,reitindustrial,credit services
insurance—diversified,insurance—diversified,banks,insurance—diversified,specialty business services,financial data & stock exchanges
oil & gas integrated,oil & gas integrated,utilities—regulated electric,oil & gas integrated,asset management,internet content & information
aerospace & defense,aerospace & defense,reit—healthcare facilities,aerospace & defense,asset management,integrated freight & logistics
insurance—life,insurance—life,financial data & stock exchanges,insurance—life,scientific & technical instruments,software—infrastructure
staffing & employment services,staffing & employment services,banks,staffing & employment services,building products & equipment,agricultural inputs
oil & gas integrated,oil & gas integrated,medical instruments & supplies,oil & gas integrated,oil & gas equipment & services,oil & gas e&p
thermal coal,thermal coal,capital markets,thermal coal,luxury goods,specialty industrial machinery
travel services,travel services,specialty business services,travel services,reitindustrial,software—infrastructure
railroads,railroads,diagnostics & research,railroads,insuranceproperty & casualty,marine shipping
oil & gas midstream,oil & gas midstream,pharmaceutical retailers,oil & gas midstream,asset management,banks
specialty industrial machinery,specialty industrial machinery,reit—office,specialty industrial machinery,asset management,information technology services
telecom services,telecom services,banks,telecom services,auto & truck dealerships,semiconductors
drug manufacturers—specialty & generic,drug manufacturers—specialty & generic,building products & equipment,drug manufacturers—specialty & generic,travel services,specialty industrial machinery
confectioners,confectioners,asset management,confectioners,mortgage finance,oil & gas e&p
internet retail,internet retail,oil & gas midstream,internet retail,grocery stores,electronic gaming & multimedia
chemicals,chemicals,grocery stores,chemicals,airlines,financial data & stock exchanges
drug manufacturers—specialty & generic,drug manufacturers—specialty & generic,medical instruments & supplies,drug manufacturers—specialty & generic,banks,software—application
biotechnology,biotechnology,consulting services,biotechnology,reitdiversified,electronic gaming & multimedia
specialty industrial machinery,specialty industrial machinery,medical instruments & supplies,specialty industrial machinery,footwear & accessories,staffing & employment services
utilities—regulated electric,utilities—regulated electric,oil & gas refining & marketing,utilities—regulated electric,asset management,healthcare plans
banks,banks,beverages—wineries & distilleries,banks,leisure,packaged foods
asset management,asset management,software—application,asset management,reitretail,specialty industrial machinery
asset management,asset management,auto manufacturers,asset management,aerospace & defense,internet retail
other industrial metals & mining,other industrial metals & mining,software—infrastructure,other industrial metals & mining,beveragesnon-alcoholic,diagnostics & research
financial data & stock exchanges,financial data & stock exchanges,packaged foods,financial data & stock exchanges,specialty retail,aerospace & defense
insurance brokers,insurance brokers,specialty chemicals,insurance brokers,oil & gas e&p,software—infrastructure
semiconductors,semiconductors,waste management,semiconductors,asset management,oil & gas e&p
banks,banks,aerospace & defense,banks,beveragesnon-alcoholic,specialty chemicals
healthcare plans,healthcare plans,utilities—diversified,healthcare plans,residential construction,travel services
software—application,software—application,telecom services,software—application,staffing & employment services,electronic components
chemicals,chemicals,banks,chemicals,real estate services,other industrial metals & mining
medical care facilities,medical care facilities,oil & gas e&p,medical care facilities,electronic components,utilities—regulated electric
banks,banks,telecom services,banks,reithealthcare facilities,farm products
reit—specialty,reit—specialty,financial data & stock exchanges,reit—specialty,asset management,insurance—property & casualty
medical instruments & supplies,medical instruments & supplies,oil & gas integrated,medical instruments & supplies,asset management,credit services
banks,banks,auto parts,banks,asset management,aerospace & defense
semiconductor equipment & materials,semiconductor equipment & materials,specialty industrial machinery,semiconductor equipment & materials,internet retail,auto manufacturers
banks,banks,insurance—diversified,banks,packaged foods,auto parts
luxury goods,luxury goods,specialty industrial machinery,luxury goods,reitoffice,telecom services
utilities—independent power producers,utilities—independent power producers,telecom services,utilities—independent power producers,asset management,auto manufacturers
oil & gas integrated,oil & gas integrated,real estate—development,oil & gas integrated,other precious metals & mining,oil & gas integrated
utilities—regulated electric,utilities—regulated electric,communication equipment,utilities—regulated electric,specialty retail,conglomerates
semiconductor equipment & materials,semiconductor equipment & materials,specialty chemicals,semiconductor equipment & materials,asset management,semiconductors
banks,banks,real estate—development,banks,residential construction,semiconductors
medical instruments & supplies,medical instruments & supplies,grocery stores,medical instruments & supplies,gambling,apparel retail
drug manufacturers—general,drug manufacturers—general,oil & gas integrated,drug manufacturers—general,capital markets,banks
biotechnology,biotechnology,internet retail,biotechnology,specialty retail,oil & gas e&p
banks,banks,household & personal products,banks,restaurants,utilities—diversified
oil & gas e&p,oil & gas e&p,oil & gas midstream,oil & gas e&p,reithealthcare facilities,chemicals
financial data & stock exchanges,financial data & stock exchanges,grocery stores,financial data & stock exchanges,personal services,consulting services
apparel retail,apparel retail,health information services,apparel retail,asset management,financial data & stock exchanges
software—application,software—application,internet content & information,software—application,specialty business services,diagnostics & research
insurance—diversified,insurance—diversified,communication equipment,insurance—diversified,leisure,auto manufacturers
medical devices,medical devices,auto manufacturers,medical devices,restaurants,internet content & information
conglomerates,insurance brokers,asset management,insurance brokers,oil & gas refining & marketing,software—infrastructure
reit—retail,aerospace & defense,utilities—diversified,aerospace & defense,aerospace & defense,discount stores
semiconductors,telecom services,gold,telecom services,asset management,insurance—diversified
apparel retail,railroads,building materials,railroads,asset management,oil & gas refining & marketing
chemicals,copper,software—infrastructure,copper,engineering & construction,railroads
oil & gas integrated,discount stores,insurance—life,discount stores,softwareapplication,beverages—brewers
medical distribution,banks,utilities—diversified,banks,rental & leasing services,beverages—brewers
oil & gas integrated,oil & gas e&p,specialty industrial machinery,oil & gas e&p,asset management,telecom services
software—infrastructure,diagnostics & research,travel services,diagnostics & research,engineering & construction,staffing & employment services
engineering & construction,other industrial metals & mining,insurance—property & casualty,other industrial metals & mining,asset management,beverages—non-alcoholic
specialty retail,biotechnology,conglomerates,biotechnology,asset management,drug manufacturers—general
other industrial metals & mining,aerospace & defense,airports & air services,aerospace & defense,staffing & employment services,building products & equipment
software—infrastructure,insurance—diversified,broadcasting,insurance—diversified,asset management,utilities—diversified
internet content & information,utilities—diversified,grocery stores,utilities—diversified,gambling,gold
software—application,utilities—diversified,auto manufacturers,utilities—diversified,engineering & construction,information technology services
insurance—life,banks,semiconductors,banks,specialty retail,biotechnology
specialty industrial machinery,telecom services,consulting services,telecom services,specialty chemicals,banks
information technology services,reit—industrial,rental & leasing services,reit—industrial,advertising agencies,restaurants
steel,banks,health information services,banks,real estate services,software—application
diagnostics & research,banks,packaged foods,banks,internet retail,specialty business services
banks,information technology services,utilities—regulated gas,information technology services,asset management,diagnostics & research
specialty industrial machinery,utilities—diversified,utilities—regulated gas,utilities—diversified,electrical equipment & parts,specialty retail
footwear & accessories,staffing & employment services,tools & accessories,staffing & employment services,asset management,electronic components
specialty chemicals,drug manufacturers—general,railroads,drug manufacturers—general,asset management,banks
internet content & information,specialty chemicals,internet content & information,specialty chemicals,advertising agencies,oil & gas integrated
drug manufacturers—specialty & generic,biotechnology,banks,biotechnology,reitretail,other industrial metals & mining
confectioners,specialty industrial machinery,reit—retail,specialty industrial machinery,asset management,oil & gas e&p
electronic components,insurance—property & casualty,medical instruments & supplies,insurance—property & casualty,reitdiversified,software—application
residential construction,banks,banks,banks,railroads,beverages—wineries & distilleries
telecom services,electrical equipment & parts,chemicals,electrical equipment & parts,consulting services,semiconductors
diagnostics & research,waste management,computer hardware,waste management,building products & equipment,insurance—property & casualty
insurance—property & casualty,banks,banks,banks,asset management,diagnostics & research
semiconductors,banks,insurance—property & casualty,banks,residential construction,telecom services
beverages—wineries & distilleries,banks,utilities—regulated electric,banks,softwareinfrastructure,residential construction
software—application,reit—specialty,airlines,reit—specialty,consulting services,electronic components
oil & gas e&p,gold,aerospace & defense,gold,asset management,confectioners
other industrial metals & mining,auto manufacturers,software—application,auto manufacturers,restaurants,drug manufacturers—specialty & generic
oil & gas integrated,household & personal products,railroads,household & personal products,asset management,internet content & information
banks,utilities—diversified,utilities—regulated electric,utilities—diversified,advertising agencies,specialty chemicals
electronic components,software—application,oil & gas midstream,software—application,softwareinfrastructure,footwear & accessories
specialty retail,leisure,electronic components,leisure,reitretail,specialty industrial machinery
diagnostics & research,semiconductors,farm & heavy construction machinery,semiconductors,real estate services,banks
specialty business services,marine shipping,building materials,marine shipping,building materials,diagnostics & research
software—application,chemicals,telecom services,chemicals,asset management,steel
restaurants,integrated freight & logistics,business equipment & supplies,integrated freight & logistics,electrical equipment & parts,information technology services
banks,medical devices,medical care facilities,medical devices,asset management,specialty industrial machinery
biotechnology,utilities—diversified,reit—residential,utilities—diversified,asset management,insurance—life
information technology services,software—application,software—application,software—application,building products & equipment,software—application
gold,insurance—life,asset management,insurance—life,asset management,internet content & information
computer hardware,auto manufacturers,auto manufacturers,auto manufacturers,semiconductors,software—infrastructure
oil & gas integrated,electronic gaming & multimedia,airports & air services,electronic gaming & multimedia,asset management,other industrial metals & mining
drug manufacturers—general,software—application,marine shipping,software—application,mortgage finance,specialty retail
drug manufacturers—general,financial data & stock exchanges,oil & gas e&p,financial data & stock exchanges,utilitiesrenewable,engineering & construction
semiconductors,electronic gaming & multimedia,entertainment,electronic gaming & multimedia,specialty chemicals,software—infrastructure
banks,oil & gas e&p,banks,oil & gas e&p,semiconductor equipment & materials,oil & gas integrated
software—infrastructure,specialty industrial machinery,utilities—regulated electric,specialty industrial machinery,capital markets,medical distribution
software—application,semiconductors,railroads,semiconductors,telecom services,oil & gas integrated
integrated freight & logistics,information technology services,beverages—brewers,information technology services,personal services,chemicals
banks,banks,agricultural inputs,banks,reitoffice,apparel retail
restaurants,marine shipping,biotechnology,marine shipping,insuranceproperty & casualty,semiconductors
banks,software—infrastructure,textile manufacturing,software—infrastructure,softwareapplication,reit—retail
electrical equipment & parts,specialty industrial machinery,utilities—regulated electric,specialty industrial machinery,publishing,conglomerates
railroads,oil & gas e&p,specialty industrial machinery,oil & gas e&p,softwareinfrastructure,chemicals
telecom services,agricultural inputs,apparel manufacturing,agricultural inputs,asset management,banks
semiconductors,software—infrastructure,medical instruments & supplies,software—infrastructure,telecom services,utilities—regulated electric
semiconductors,integrated freight & logistics,biotechnology,integrated freight & logistics,advertising agencies,reit—healthcare facilities
drug manufacturers—general,internet content & information,reit—residential,internet content & information,medical distribution,financial data & stock exchanges
internet content & information,financial data & stock exchanges,capital markets,financial data & stock exchanges,travel services,banks
specialty chemicals,credit services,medical instruments & supplies,credit services,asset management,medical instruments & supplies
utilities—regulated electric,specialty industrial machinery,banks,specialty industrial machinery,information technology services,capital markets
banks,software—infrastructure,farm products,software—infrastructure,asset management,specialty business services
telecom services,banks,broadcasting,banks,education & training services,diagnostics & research
capital markets,household & personal products,insurance—life,household & personal products,specialty industrial machinery,pharmaceutical retailers
entertainment,beverages—non-alcoholic,leisure,beverages—non-alcoholic,real estate services,reit—office
banks,telecom services,thermal coal,telecom services,utilitiesdiversified,banks
capital markets,copper,financial data & stock exchanges,copper,asset management,building products & equipment
tobacco,medical devices,scientific & technical instruments,medical devices,capital markets,asset management
medical devices,engineering & construction,banks,engineering & construction,engineering & construction,internet content & information
aerospace & defense,software—application,banks,software—application,softwareapplication,communication equipment
credit services,publishing,insurance—life,publishing,telecom services,other industrial metals & mining
luxury goods,semiconductors,specialty retail,semiconductors,real estate services,banks
banks,chemicals,communication equipment,chemicals,asset management,oil & gas refining & marketing
oil & gas integrated,beverages—wineries & distilleries,semiconductors,beverages—wineries & distilleries,asset management,banks
banks,oil & gas equipment & services,restaurants,oil & gas equipment & services,asset management,insurance—property & casualty
home improvement retail,semiconductors,reit—industrial,semiconductors,asset management,oil & gas midstream
drug manufacturers—general,banks,banks,banks,asset management,oil & gas e&p
banks,oil & gas midstream,farm & heavy construction machinery,oil & gas midstream,asset management,semiconductors
banks,packaged foods,building products & equipment,packaged foods,auto manufacturers,biotechnology
telecom services,conglomerates,telecom services,conglomerates,textile manufacturing,insurance—life
oil & gas integrated,banks,banks,banks,oil & gas integrated,grocery stores
specialty industrial machinery,lodging,resorts & casinos,lodging,oil & gas e&p,food distribution
oil & gas e&p,internet retail,information technology services,internet retail,marine shipping,diagnostics & research
healthcare plans,consulting services,insurance brokers,consulting services,asset management,lodging
insurance—life,banks,insurance—property & casualty,banks,oil & gas e&p,integrated freight & logistics
software—application,oil & gas midstream,internet retail,oil & gas midstream,engineering & construction,grocery stores
credit services,healthcare plans,specialty chemicals,healthcare plans,asset management,packaged foods
drug manufacturers—general,semiconductor equipment & materials,capital markets,semiconductor equipment & materials,asset management,agricultural inputs
farm & heavy construction machinery,banks,real estate—diversified,banks,financial data & stock exchanges,semiconductor equipment & materials
semiconductors,auto manufacturers,asset management,auto manufacturers,rental & leasing services,beverages—non-alcoholic
software—application,capital markets,banks,capital markets,other industrial metals & mining,packaged foods
insurance brokers,utilities—diversified,credit services,utilities—diversified,"furnishings, fixtures & appliances",medical instruments & supplies
aerospace & defense,building products & equipment,reit—office,building products & equipment,asset management,waste management
telecom services,drug manufacturers—general,conglomerates,drug manufacturers—general,internet content & information,home improvement retail
railroads,beverages—non-alcoholic,gambling,beverages—non-alcoholic,gold,consumer electronics
copper,staffing & employment services,specialty chemicals,staffing & employment services,drug manufacturersgeneral,household & personal products
discount stores,telecom services,utilities—independent power producers,telecom services,softwareapplication,oil & gas midstream
banks,beverages—brewers,utilities—regulated gas,beverages—brewers,reitretail,electronic components
oil & gas e&p,beverages—brewers,auto parts,beverages—brewers,specialty retail,gold
diagnostics & research,railroads,banks,railroads,biotechnology,insurance—life
other industrial metals & mining,oil & gas refining & marketing,banks,oil & gas refining & marketing,asset management,reit—retail
biotechnology,insurance—diversified,medical care facilities,insurance—diversified,packaged foods,banks
aerospace & defense,discount stores,utilities—diversified,discount stores,specialty retail,grocery stores
insurance—diversified,software—infrastructure,infrastructure operations,software—infrastructure,packaged foods,medical instruments & supplies
utilities—diversified,internet content & information,healthcare plans,internet content & information,restaurants,consulting services
utilities—diversified,auto manufacturers,specialty chemicals,auto manufacturers,waste management,medical instruments & supplies
banks,diagnostics & research,textile manufacturing,diagnostics & research,asset management,oil & gas refining & marketing
telecom services,financial data & stock exchanges,packaged foods,financial data & stock exchanges,asset management,beverages—wineries & distilleries
reit—industrial,consulting services,consulting services,consulting services,auto parts,software—application
banks,chemicals,insurance—diversified,chemicals,asset management,auto manufacturers
banks,utilities—diversified,oil & gas e&p,utilities—diversified,medical care facilities,software—infrastructure
information technology services,oil & gas e&p,rental & leasing services,oil & gas e&p,specialty chemicals,packaged foods
utilities—diversified,banks,waste management,banks,asset management,specialty chemicals
staffing & employment services,apparel retail,utilities—renewable,apparel retail,integrated freight & logistics,waste management
drug manufacturers—general,semiconductors,restaurants,semiconductors,asset management,aerospace & defense
specialty chemicals,semiconductors,restaurants,semiconductors,steel,utilities—diversified
biotechnology,conglomerates,banks,conglomerates,real estatedevelopment,telecom services
specialty industrial machinery,oil & gas integrated,beverages—brewers,oil & gas integrated,marine shipping,packaged foods
insurance—property & casualty,auto manufacturers,capital markets,auto manufacturers,asset management,software—application
banks,telecom services,drug manufacturers—specialty & generic,telecom services,reitdiversified,banks
electrical equipment & parts,auto parts,engineering & construction,auto parts,asset management,internet content & information
waste management,auto manufacturers,communication equipment,auto manufacturers,asset management,insurance—reinsurance
banks,aerospace & defense,drug manufacturers—specialty & generic,aerospace & defense,insurancespecialty,railroads
banks,credit services,reit—retail,credit services,asset management,drug manufacturers—general
banks,insurance—property & casualty,department stores,insurance—property & casualty,electronic gaming & multimedia,insurance—property & casualty
reit—specialty,farm products,biotechnology,farm products,biotechnology,specialty industrial machinery
gold,utilities—regulated electric,capital markets,utilities—regulated electric,specialty industrial machinery,specialty industrial machinery
auto manufacturers,other industrial metals & mining,electronic gaming & multimedia,other industrial metals & mining,electrical equipment & parts,specialty industrial machinery
household & personal products,electronic components,telecom services,electronic components,asset management,oil & gas refining & marketing
utilities—diversified,travel services,specialty retail,travel services,health information services,electronic gaming & multimedia
software—application,specialty chemicals,capital markets,specialty chemicals,asset management,banks
leisure,oil & gas e&p,aerospace & defense,oil & gas e&p,softwareinfrastructure,medical instruments & supplies
semiconductors,software—infrastructure,resorts & casinos,software—infrastructure,asset management,restaurants
marine shipping,aerospace & defense,utilities—independent power producers,aerospace & defense,capital markets,drug manufacturers—general
chemicals,diagnostics & research,other industrial metals & mining,diagnostics & research,aerospace & defense,information technology services
integrated freight & logistics,internet retail,medical care facilities,internet retail,real estate services,reit—specialty
medical devices,specialty industrial machinery,engineering & construction,specialty industrial machinery,building products & equipment,discount stores
utilities—diversified,packaged foods,airlines,packaged foods,asset management,banks
software—application,healthcare plans,banks,healthcare plans,household & personal products,farm & heavy construction machinery
insurance—life,staffing & employment services,broadcasting,staffing & employment services,asset management,broadcasting
auto manufacturers,auto manufacturers,insurance—property & casualty,auto manufacturers,asset management,computer hardware
utilities—diversified,conglomerates,reit—healthcare facilities,conglomerates,asset management,banks
building products & equipment,reit—retail,computer hardware,reit—retail,asset management,oil & gas equipment & services
drug manufacturers—general,semiconductors,grocery stores,semiconductors,asset management,                                        oil & gas integrated                                    
beverages—non-alcoholic,apparel retail,asset management,apparel retail,specialty business services,medical instruments & supplies
staffing & employment services,chemicals,packaging & containers,chemicals,asset management,insurance—life
telecom services,oil & gas integrated,aerospace & defense,oil & gas integrated,advertising agencies,chemicals
beverages—brewers,medical distribution,advertising agencies,medical distribution,asset management,specialty chemicals
beverages—brewers,oil & gas integrated,auto parts,oil & gas integrated,medical care facilities,internet retail
railroads,software—infrastructure,consumer electronics,software—infrastructure,marine shipping,grocery stores
oil & gas refining & marketing,engineering & construction,specialty industrial machinery,engineering & construction,asset management,asset management
insurance—diversified,specialty retail,software—infrastructure,specialty retail,asset management,oil & gas e&p
discount stores,other industrial metals & mining,banks,other industrial metals & mining,biotechnology,telecom services
software—infrastructure,software—infrastructure,oil & gas equipment & services,software—infrastructure,beverageswineries & distilleries,financial data & stock exchanges
internet content & information,internet content & information,drug manufacturers—general,internet content & information,credit services,oil & gas integrated
auto manufacturers,software—application,diagnostics & research,software—application,asset management,auto parts
diagnostics & research,insurance—life,software—application,insurance—life,leisure,specialty industrial machinery
financial data & stock exchanges,specialty industrial machinery,beverages—brewers,specialty industrial machinery,asset management,insurance—diversified
consulting services,information technology services,software—application,information technology services,oil & gas e&p,specialty industrial machinery
chemicals,steel,other industrial metals & mining,steel,capital markets,telecom services
utilities—diversified,diagnostics & research,entertainment,diagnostics & research,oil & gas e&p,real estate—development
oil & gas e&p,banks,capital markets,banks,asset management,communication equipment
banks,specialty industrial machinery,telecom services,specialty industrial machinery,asset management,specialty chemicals
apparel retail,footwear & accessories,software—infrastructure,footwear & accessories,information technology services,real estate—development
semiconductors,specialty chemicals,drug manufacturers—specialty & generic,specialty chemicals,asset management,grocery stores
semiconductors,internet content & information,software—application,internet content & information,asset management,oil & gas integrated
conglomerates,drug manufacturers—specialty & generic,real estate services,drug manufacturers—specialty & generic,reitindustrial,banks
oil & gas integrated,confectioners,information technology services,confectioners,asset management,asset management
auto manufacturers,electronic components,household & personal products,electronic components,asset management,real estate—development
telecom services,residential construction,utilities—diversified,residential construction,asset management,railroads
auto parts,telecom services,semiconductors,telecom services,asset management,specialty industrial machinery
auto manufacturers,diagnostics & research,packaged foods,diagnostics & research,specialty chemicals,integrated freight & logistics
aerospace & defense,insurance—property & casualty,medical instruments & supplies,insurance—property & casualty,building materials,credit services
credit services,semiconductors,airlines,semiconductors,electronic gaming & multimedia,farm products
insurance—property & casualty,beverages—wineries & distilleries,banks,beverages—wineries & distilleries,residential construction,oil & gas equipment & services
farm products,software—application,insurance—diversified,software—application,security & protection services,asset management
utilities—regulated electric,oil & gas e&p,engineering & construction,oil & gas e&p,uranium,telecom services
other industrial metals & mining,other industrial metals & mining,beverages—brewers,other industrial metals & mining,asset management,reit—residential
electronic components,oil & gas integrated,semiconductor equipment & materials,oil & gas integrated,asset management,biotechnology
travel services,banks,household & personal products,banks,electronic components,insurance brokers
specialty chemicals,electronic components,paper & paper products,electronic components,specialty chemicals,internet retail
oil & gas e&p,specialty retail,software—application,specialty retail,medical care facilities,consulting services
software—infrastructure,diagnostics & research,other industrial metals & mining,diagnostics & research,softwareinfrastructure,airports & air services
aerospace & defense,specialty business services,solar,specialty business services,restaurants,                                        utilities—renewable                                    
diagnostics & research,software—application,capital markets,software—application,asset management,medical devices
internet retail,restaurants,reit—residential,restaurants,residential construction,industrial distribution
specialty industrial machinery,banks,insurance—reinsurance,banks,biotechnology,asset management
packaged foods,biotechnology,diagnostics & research,biotechnology,packaged foods,                                        steel                                    
healthcare plans,information technology services,aluminum,information technology services,gambling,beverages—brewers
staffing & employment services,gold,insurance—diversified,gold,gold,banks
auto manufacturers,computer hardware,tobacco,computer hardware,asset management,utilities—regulated electric
banks,banks,insurance—life,banks,drug manufacturersspecialty & generic,oil & gas midstream
reit—retail,reit—retail,engineering & construction,reit—retail,asset management,trucking
insurance—life,insurance—life,telecom services,insurance—life,biotechnology,real estate—development
gold,gold,insurance—diversified,gold,building products & equipment,restaurants
electronic components,electronic components,oil & gas midstream,electronic components,specialty business services,oil & gas integrated
oil & gas midstream,oil & gas midstream,consumer electronics,oil & gas midstream,asset management,reit—residential
household & personal products,household & personal products,telecom services,household & personal products,asset management,insurance—diversified
consumer electronics,consumer electronics,medical devices,consumer electronics,asset management,scientific & technical instruments
home improvement retail,home improvement retail,utilities—regulated electric,home improvement retail,internet content & information,telecom services
waste management,waste management,leisure,waste management,real estatediversified,household & personal products
medical instruments & supplies,medical instruments & supplies,banks,medical instruments & supplies,consumer electronics,internet content & information
packaged foods,packaged foods,conglomerates,packaged foods,beveragesnon-alcoholic,oil & gas midstream
beverages—non-alcoholic,beverages—non-alcoholic,oil & gas integrated,beverages—non-alcoholic,medical instruments & supplies,grocery stores
semiconductor equipment & materials,semiconductor equipment & materials,travel services,semiconductor equipment & materials,asset management,health information services
agricultural inputs,agricultural inputs,software—application,agricultural inputs,asset management,communication equipment
packaged foods,packaged foods,scientific & technical instruments,packaged foods,engineering & construction,auto manufacturers
grocery stores,grocery stores,information technology services,grocery stores,publishing,asset management
integrated freight & logistics,integrated freight & logistics,software—application,integrated freight & logistics,banks,utilities—diversified
lodging,lodging,semiconductors,lodging,mortgage finance,building materials
diagnostics & research,diagnostics & research,internet content & information,diagnostics & research,reitdiversified,gold
food distribution,food distribution,reit—industrial,food distribution,insurance brokers,insurance—life
grocery stores,grocery stores,specialty industrial machinery,grocery stores,farm products,software—infrastructure
insurance—life,insurance—life,packaged foods,insurance—life,confectioners,utilities—diversified
biotechnology,biotechnology,computer hardware,biotechnology,railroads,specialty industrial machinery
semiconductors,semiconductors,other industrial metals & mining,semiconductors,engineering & construction,drug manufacturers—general
oil & gas e&p,oil & gas e&p,entertainment,oil & gas e&p,oil & gas e&p,oil & gas refining & marketing
oil & gas midstream,oil & gas midstream,software—application,oil & gas midstream,asset management,specialty chemicals
insurance—property & casualty,insurance—property & casualty,gold,insurance—property & casualty,biotechnology,telecom services
