02-GioPonSpiz-industry,03-gren-industry,04-iGMM-industry,05-MalPatSaj-industry,06-MarScoToc-industry,10-DeBiGa-industry
telecom services,telecom services,specialty industrial machinery,telecom services,other precious metals & mining,financial data & stock exchanges
leisure,leisure,specialty industrial machinery,leisure,reitdiversified,scientific & technical instruments
banks,banks,industrial distribution,banks,credit services,banks
beverages—wineries & distilleries,beverages—wineries & distilleries,residential construction,beverages—wineries & distilleries,insurancediversified,banks
specialty industrial machinery,specialty industrial machinery,medical instruments & supplies,specialty industrial machinery,asset management,insurance—life
farm & heavy construction machinery,farm & heavy construction machinery,reit—industrial,farm & heavy construction machinery,asset management,specialty retail
auto manufacturers,auto manufacturers,insurance—diversified,auto manufacturers,asset management,communication equipment
real estate—development,real estate—development,banks,real estate—development,"furnishings, fixtures & appliances",semiconductors
banks,banks,semiconductors,banks,drug manufacturersspecialty & generic,restaurants
specialty chemicals,specialty chemicals,publishing,specialty chemicals,consulting services,reit—industrial
telecom services,telecom services,utilities—regulated electric,telecom services,asset management,banks
diagnostics & research,diagnostics & research,insurance—reinsurance,diagnostics & research,shell companies,farm & heavy construction machinery
oil & gas midstream,oil & gas midstream,beverages—wineries & distilleries,oil & gas midstream,electrical equipment & parts,building products & equipment
reit—diversified,reit—diversified,insurance—life,reit—diversified,leisure,agricultural inputs
electronic components,electronic components,diagnostics & research,electronic components,asset management,insurance—property & casualty
tobacco,tobacco,banks,tobacco,asset management,auto manufacturers
communication equipment,communication equipment,banks,communication equipment,auto & truck dealerships,building products & equipment
utilities—regulated electric,utilities—regulated electric,marine shipping,utilities—regulated electric,asset management,integrated freight & logistics
telecom services,telecom services,utilities—diversified,telecom services,asset management,household & personal products
building materials,building materials,resorts & casinos,building materials,reitdiversified,capital markets
banks,banks,farm products,banks,internet content & information,semiconductors
drug manufacturers—general,drug manufacturers—general,telecom services,drug manufacturers—general,softwareapplication,railroads
telecom services,telecom services,utilities—diversified,telecom services,asset management,oil & gas e&p
specialty chemicals,specialty chemicals,information technology services,specialty chemicals,capital markets,banks
oil & gas refining & marketing,oil & gas refining & marketing,drug manufacturers—general,oil & gas refining & marketing,asset management,beverages—brewers
drug manufacturers—general,drug manufacturers—general,scientific & technical instruments,drug manufacturers—general,electrical equipment & parts,consulting services
specialty industrial machinery,specialty industrial machinery,packaging & containers,specialty industrial machinery,reitindustrial,medical devices
utilities—diversified,utilities—diversified,utilities—regulated electric,utilities—diversified,pollution & treatment controls,apparel manufacturing
insurance—life,insurance—life,reit—specialty,insurance—life,consulting services,banks
