00-avengers-employees,04-iGMM-employees,08-slytherin-employees,10-DeBiGa-employees
"99,600","21,000",not found," 58,975"
"6,695","27,318",9," 35,000"
"92,000","15,198",13," 21,000"
"18,500","9,982",not found," 46,631"
"20,000","8,001",257," 3,458"
"6,695","3,280",402," 34,389"
"211,374","18,000",366," 37,245"
"15,000",743,11," 35,000"
"72,500","19,463",51," 122,000"
"36,000","16,813",4," 33,427"
"19,300","4,000",18," 45,000"
"29,957","18,248",50," 10,529"
"9,800","3,388",93," 77,398"
"77,008","158,000",37," 18,421"
"16,361","25,428",86," 12,447"
,"10,793",20," 2,400"
"47,000","122,909",130," 57,955"
"14,217","12,236",34," 210,067"
,"18,680",7," 9,793"
"10,232","14,000",302," 20,000"
"16,688","13,500",40," 7,970"
"39,218","94,400",2," 4,719"
,"250,000",51," 12,614"
,"10,200",72," 3,730"
"47,000","5,200",128," 7,763"
"371,365","1,531",2," 2,440"
"168,391","16,000",53," 98,105"
"49,781","171,450",55," 19,100"
,"28,000",not found," 19,998"
"31,495","147,000",296," 13,300"
"125,944","5,700",54," 12,684"
"4,890","14,789",184," 90,800"
"31,000","30,020",40," 59,159"
"55,589","11,282",not found," 16,000"
,"17,300",2," 61,686"
"11,678","43,700",not found," 8,600"
"15,390","1,223",63," 39,281"
"108,718","5,485",715, 57
"24,400","1,100",13," 28,903"
"24,158","155,578",819," 43,257"
"16,218","1,665",not found," 54,640"
"4,609","10,169",60," 20,619"
"5,661","6,495",not found," 37,000"
"10,195","7,642",26," 14,000"
"163,000","52,000",32," 11,000"
"36,600","12,307",not found," 79,398"
"17,700","5,600",not found," 10,409"
"11,834","25,751",102," 480,000"
"53,000","57,513",47," 16,033"
"81,070","13,576","1,349"," 324,700"
"58,786","2,576",91," 1,596"
,"132,125",not found," 61,886"
"27,500","89,373",85," 75,975"
"7,664","50,110",not found," 92,144"
"84,870",84,52," 27,125"
"23,683","41,501",21," 133,000"
"101,374",196,12," 110,432"
,"11,000",50," 54,000"
"44,509","215,298",not found," 18,000"
"3,200",,17," 24,389"
"9,300","49,300",50," 23,000"
"50,280","34,977",not found," 6,184"
"30,184","71,700",not found," 16,842"
"10,350","123,894",not found," 10,800"
"105,000","37,245",63," 98,000"
,"117,300",91," 1,059"
"90,000","6,000",92," 1,545"
"16,620","17,463",18," 132,002"
"47,099","22,776",16," 8,855"
"45,500","33,151",not found," 5,938"
"26,272","7,800",51," 155,000"
"53,870","6,800",56," 24,500"
758,"39,000",90," 22,719"
"85,264","24,900",not found," 70,000"
"6,300","8,079",394," 6,787"
"28,800","5,900",46," 47,537"
"330,600","7,375",172," 100,454"
,"20,500",77," 24,000"
,"8,700",22," 140,565"
"12,600","32,258",742," 144,550"
