04-iGMM-link,08-slytherin-link
['https://www.maaden.com.sa'],https://disfold.com/company/holcim-ltd/
['https://www.mitsui.com/jp/en'],https://disfold.com/company/wyld-networks-ab/
"['https://www.datadoghq.com', 'https://www.facebook.com/datadoghq', 'https://twitter.com/datadoghq', 'https://www.linkedin.com/company/datadog', 'https://en.wikipedia.org/wiki/datadog']",https://disfold.com/company/ina-invest-holding-ag/
"['https://www.dupont.com', 'https://www.facebook.com/dupontco', 'https://twitter.com/dupont_news', 'https://www.linkedin.com/company/dupont', 'https://en.wikipedia.org/wiki/dupont']",https://disfold.com/company/noxel-corp/
['https://www.whchem.com'],https://disfold.com/company/bettwork-industries-inc/
['https://www.uobgroup.com'],https://disfold.com/company/zhongjin-gold-corp-ltd/
"['https://www.xcelenergy.com', 'https://en.wikipedia.org/wiki/xcel_energy']",https://disfold.com/company/inner-mongolia-junzheng-energy-chemical-group-coltd/
"['https://www.welltower.com', 'https://www.facebook.com/welltowerinc/', 'https://twitter.com/welltower', 'https://www.linkedin.com/company/welltower', 'https://en.wikipedia.org/wiki/welltower']",https://disfold.com/company/srp-groupe-sa/
"['https://www.msci.com', 'https://en.wikipedia.org/wiki/msci']",https://disfold.com/company/solocal-group-sa/
['https://www.bochk.com'],https://disfold.com/company/generix-group-sadir/
"['https://www.baxter.com', 'https://www.facebook.com/baxterinternationalinc/', 'https://twitter.com/baxter_intl', 'https://www.linkedin.com/company/baxter-healthcare/', 'https://en.wikipedia.org/wiki/baxter_international']",https://disfold.com/company/vranken-pommery-monopole-sa/
['https://www.cs.ecitic.com'],https://disfold.com/company/poujoulat-sa/
"['https://www.globalpaymentsinc.com', 'https://www.facebook.com/globalpaymentsinc', 'https://twitter.com/globalpayinc', 'https://www.linkedin.com/company/global-payments', 'https://en.wikipedia.org/wiki/global_payments']",https://disfold.com/company/ose-immunotherapeutics-sa/
"['https://www.agilent.com', 'https://www.facebook.com/agilent.tech', 'https://twitter.com/agilent', 'https://www.linkedin.com/company/1526', 'https://en.wikipedia.org/wiki/agilent_technologies']",https://disfold.com/company/airo-lam-ltd/
"['https://www.walgreensbootsalliance.com', 'https://en.wikipedia.org/wiki/walgreens_boots_alliance']",https://disfold.com/company/icds-ltd/
"['https://www.digitalrealty.com', 'https://www.facebook.com/digitalrealty', 'https://twitter.com/digitalrealty', 'https://www.linkedin.com/company/digitalrealty', 'https://en.wikipedia.org/wiki/digital_realty']",https://disfold.com/company/hindcon-chemicals-ltd/
['https://www.ocbc.com'],https://disfold.com/company/renew-energy-global-plc/
"['https://www.corporate.carrier.com', 'https://en.wikipedia.org/wiki/carrier_global']",https://disfold.com/company/shanti-overseas/
"['https://www.bnymellon.com', 'https://en.wikipedia.org/wiki/bank_of_new_york_mellon']",https://disfold.com/company/par-drugs-and-chemicals-ltd/
"['https://www.mplx.com', 'https://en.wikipedia.org/wiki/markwest_energy']",https://disfold.com/company/pansari-developers-ltd/
"['https://www.woolworthsgroup.com.au', 'https://en.wikipedia.org/wiki/sca_property_group']",https://disfold.com/company/lagnam-spintex-ltd/
"['https://www.intuitive.com', 'https://en.wikipedia.org/wiki/intuitive_surgical']",https://disfold.com/company/sel-manufacturing-company-ltd/
"['https://www.experianplc.com', 'https://en.wikipedia.org/wiki/experian']",https://disfold.com/company/nitiraj-engineers-ltd/
