00-avengers-market_cap,06-MarScoToc-master_cap,09-wissel-earnings,02-GioPonSpiz-pricecap,03-gren-market_capitalization_usd,09-wissel-revenue,01-DDD-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap,09-wissel-marketcap
doll_500.96 b,doll_196.33 b,doll_0.17 b,doll_196.94 b,doll_191.82 b,doll_1.27 b,doll_5.06 b,doll_70.77 b,doll_193.98 b,doll_2.54 b
doll_696.53 b,doll_192.17 b,doll_0.39 b,doll_195.87 b,doll_184.84 b,doll_3.49 b,doll_4.17 b,doll_70.61 b,doll_183.78 b,doll_4.64 b
doll_960.28 b,doll_190.26 b,doll_0.65 b,doll_191.42 b,doll_183.8 b,doll_1.10 b,doll_3.60 b,doll_71.08 b,doll_177.11 b,doll_6.84 b
doll_1.901 t,doll_188.70 b,-doll_0.17 b,doll_186.22 b,doll_177.19 b,doll_1.25 b,doll_4.16 b,doll_72.26 b,doll_174.37 b,doll_45.4 m
doll_1.303 t,doll_180.55 b,doll_1.60 b,doll_184.59 b,doll_175.67 b,doll_4.10 b,doll_4.17 b,doll_73.63 b,doll_172.98 b,doll_2.49 b
doll_1.938 t,doll_176.76 b,doll_0.50 b,doll_181.26 b,doll_171.27 b,doll_1.32 b,doll_4.18 b,doll_73.45 b,doll_171.69 b,doll_4.19 b
doll_125.25 b,doll_175.76 b,-doll_1.7 b,doll_177.81 b,doll_169.66 b,doll_1.48 b,doll_4.16 b,doll_73.26 b,doll_170.61 b,doll_1.11 b
doll_126.75 b,doll_170.21 b,doll_0.10 b,doll_175.80 b,doll_167.11 b,doll_0.86 b,doll_4.15 b,doll_74.11 b,doll_168.46 b,doll_0.59 b
doll_125.66 b,doll_168.38 b,doll_0.61 b,doll_175.31 b,doll_166.22 b,doll_15.34 b,doll_4.17 b,doll_74.57 b,doll_164.01 b,doll_9.75 b
doll_128.87 b,doll_167.99 b,doll_0.54 b,doll_168.49 b,doll_163.81 b,doll_4.89 b,doll_4.16 b,doll_75.49 b,doll_160.72 b,doll_4.54 b
doll_129.63 b,doll_165.55 b,doll_0.10 b,doll_168.31 b,doll_163.08 b,doll_1.76 b,doll_3.88 b,doll_75.85 b,doll_159.56 b,doll_0.47 b
doll_130.04 b,doll_164.76 b,-doll_33.66 m,doll_168.27 b,doll_161.34 b,doll_1.21 b,doll_2.47 b,doll_74.10 b,doll_159.41 b,doll_3.20 b
doll_129.91 b,doll_164.08 b,-doll_10.08 m,doll_164.56 b,doll_160.43 b,doll_1.41 b,doll_2.47 b,doll_75.98 b,doll_158.83 b,doll_0.24 b
doll_131.50 b,doll_163.15 b,doll_91.07 m,doll_164.36 b,doll_158.97 b,doll_0.88 b,doll_2.45 b,doll_76.68 b,doll_158.02 b,doll_1.27 b
doll_131.15 b,doll_162.58 b,doll_3.62 b,doll_163.46 b,doll_157.81 b,doll_4.95 b,doll_2.45 b,doll_76.33 b,doll_157.92 b,doll_63.17 b
doll_132.01 b,doll_161.86 b,doll_0.13 b,doll_162.80 b,doll_155.72 b,doll_3.28 b,doll_2.47 b,doll_55.33 b,doll_157.28 b,doll_0.94 b
doll_133.25 b,doll_161.20 b,-doll_39.91 m,doll_162.46 b,doll_155.2 b,doll_1.35 b,doll_2.47 b,doll_51.08 b,doll_152.95 b,doll_1.33 b
doll_133.48 b,doll_157.91 b,doll_1.60 b,doll_160.10 b,doll_154.77 b,doll_6.22 b,doll_2.47 b,doll_50.96 b,doll_152.83 b,doll_53.29 b
doll_133.26 b,doll_157.84 b,doll_84.12 m,doll_160.03 b,doll_154.69 b,doll_1.71 b,doll_2.46 b,doll_51.18 b,doll_151.30 b,doll_1.98 b
doll_134.78 b,doll_157.65 b,doll_2.81 b,doll_157.65 b,doll_153.64 b,doll_44.22 b,doll_2.98 b,doll_51.05 b,doll_150.61 b,doll_5.54 b
doll_134.49 b,doll_157.00 b,-doll_36.19 m,doll_157.54 b,doll_153.35 b,doll_0.23 b,doll_2.47 b,doll_51.76 b,doll_148.55 b,doll_0.10 b
doll_135.84 b,doll_156.78 b,-doll_1.28 b,doll_154.91 b,doll_150.62 b,doll_1.34 b,doll_2.47 b,doll_52.21 b,doll_146.93 b,doll_7.78 b
doll_135.55 b,doll_156.60 b,doll_0.63 b,doll_154.90 b,doll_150.08 b,doll_2.69 b,doll_2.45 b,doll_51.90 b,doll_146.67 b,doll_4.00 b
doll_139.63 b,doll_155.20 b,doll_1.20 b,doll_154.54 b,doll_149.06 b,doll_3.91 b,doll_3.15 b,doll_52.26 b,doll_144.66 b,doll_5.02 b
doll_136.36 b,doll_154.06 b,doll_0.72 b,doll_154.16 b,doll_147.98 b,doll_3.67 b,doll_2.47 b,doll_51.92 b,doll_144.38 b,doll_2.64 b
doll_140.86 b,doll_152.41 b,doll_98.6 m,doll_152.13 b,doll_147.32 b,doll_1.24 b,doll_2.47 b,doll_51.86 b,doll_144.36 b,doll_1.92 b
doll_142.58 b,doll_151.77 b,doll_0.10 b,doll_151.36 b,doll_146.84 b,doll_5.28 b,doll_2.47 b,doll_52.27 b,doll_144.33 b,doll_0.93 b
doll_140.40 b,doll_151.45 b,doll_24.55 m,doll_151.16 b,doll_146.2 b,doll_0.89 b,doll_2.80 b,doll_52.56 b,doll_142.12 b,doll_1.94 b
doll_144.55 b,doll_151.24 b,-doll_1.65 b,doll_150.14 b,doll_144.72 b,doll_1.85 b,doll_2.81 b,doll_52.65 b,doll_141.44 b,doll_6.33 b
doll_147.29 b,doll_150.24 b,doll_0.33 b,doll_149.59 b,doll_142.35 b,doll_0.88 b,doll_2.82 b,doll_52.66 b,doll_140.76 b,doll_5.51 b
doll_148.49 b,doll_147.12 b,-doll_0.24 b,doll_149.50 b,doll_142.16 b,doll_0.84 b,doll_2.81 b,doll_53.14 b,doll_140.64 b,doll_5.61 b
doll_149.18 b,doll_143.79 b,-doll_43.36 m,doll_148.11 b,doll_142.0 b,doll_0.31 b,doll_2.81 b,doll_52.86 b,doll_139.46 b,doll_15.48 m
