,absolute_growth_rate_pct,compound_annual_growth_rate_cagr_pct,country,employees,employees_2017,employees_2020,employees_number_2017,employees_number_2020,founded,founding_year,industry,link,name,number_of_employees_2017,number_of_employees_2020,revenue,revenue_2017,revenue_2017_eu,revenue_2017_euro,revenue_2020,revenue_2020_eu,revenue_2020_euro,sector
number_of_employees_2017,0.043478260869565216,0.03125,0.045454545454545456,0.06666666666666667,0.1,0.08333333333333333,0.06666666666666667,0.058823529411764705,0.045454545454545456,0.047619047619047616,0.045454545454545456,0.043478260869565216,0.047619047619047616,0.0,0.5,0.047619047619047616,0.0625,0.05263157894736842,0.047619047619047616,0.05555555555555555,0.05,0.047619047619047616,0.045454545454545456
number_of_employees_2020,0.043478260869565216,0.03125,0.045454545454545456,0.06666666666666667,0.08333333333333333,0.1,0.058823529411764705,0.06666666666666667,0.045454545454545456,0.047619047619047616,0.045454545454545456,0.043478260869565216,0.047619047619047616,0.5,0.0,0.047619047619047616,0.05555555555555555,0.047619047619047616,0.047619047619047616,0.0625,0.05263157894736842,0.047619047619047616,0.045454545454545456
revenue,0.045454545454545456,0.030303030303030304,0.14285714285714285,0.125,0.07692307692307693,0.07692307692307693,0.058823529411764705,0.058823529411764705,0.16666666666666666,0.09090909090909091,0.125,0.16666666666666666,0.16666666666666666,0.047619047619047616,0.047619047619047616,0.0,0.2,0.125,0.1,0.2,0.125,0.1,0.16666666666666666
revenue_2017,0.047619047619047616,0.03125,0.09090909090909091,0.09090909090909091,0.125,0.1,0.08333333333333333,0.07142857142857142,0.1,0.08333333333333333,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0625,0.05555555555555555,0.2,0.0,0.3333333333333333,0.2,0.5,0.2,0.14285714285714285,0.09090909090909091
revenue_2017_eu,0.05263157894736842,0.03225806451612903,0.07142857142857142,0.07692307692307693,0.09090909090909091,0.07692307692307693,0.06666666666666667,0.058823529411764705,0.07692307692307693,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07692307692307693,0.05263157894736842,0.047619047619047616,0.125,0.3333333333333333,0.0,0.5,0.2,0.5,0.25,0.07142857142857142
revenue_2017_euro,0.05263157894736842,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.07692307692307693,0.06666666666666667,0.058823529411764705,0.05555555555555555,0.06666666666666667,0.07142857142857142,0.06666666666666667,0.0625,0.06666666666666667,0.047619047619047616,0.047619047619047616,0.1,0.2,0.5,0.0,0.14285714285714285,0.25,0.5,0.06666666666666667
revenue_2020,0.047619047619047616,0.03125,0.09090909090909091,0.09090909090909091,0.1,0.125,0.07142857142857142,0.08333333333333333,0.1,0.08333333333333333,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.05555555555555555,0.0625,0.2,0.5,0.2,0.14285714285714285,0.0,0.3333333333333333,0.2,0.09090909090909091
revenue_2020_eu,0.05263157894736842,0.03225806451612903,0.07142857142857142,0.07692307692307693,0.08333333333333333,0.09090909090909091,0.058823529411764705,0.06666666666666667,0.07692307692307693,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07692307692307693,0.05,0.05263157894736842,0.125,0.2,0.5,0.25,0.3333333333333333,0.0,0.5,0.07142857142857142
revenue_2020_euro,0.05263157894736842,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.07142857142857142,0.07692307692307693,0.05555555555555555,0.058823529411764705,0.06666666666666667,0.07142857142857142,0.06666666666666667,0.0625,0.06666666666666667,0.047619047619047616,0.047619047619047616,0.1,0.14285714285714285,0.25,0.5,0.2,0.5,0.0,0.06666666666666667
sector,0.05,0.030303030303030304,0.16666666666666666,0.125,0.07692307692307693,0.07692307692307693,0.05263157894736842,0.05263157894736842,0.14285714285714285,0.08333333333333333,0.14285714285714285,0.16666666666666666,0.16666666666666666,0.045454545454545456,0.045454545454545456,0.16666666666666666,0.09090909090909091,0.07142857142857142,0.06666666666666667,0.09090909090909091,0.07142857142857142,0.06666666666666667,0.0
