01-DDD-totalraised,01-DDD-valuation,04-iGMM-valuation
doll_400 m,doll_7.1 b,doll_1 b
doll_583 m,doll_7.25 b,doll_1 b
non e,doll_7.3 b,doll_1 b
doll_1.158 b,doll_7.4 b,doll_1 b
non e,doll_7.75 b,doll_1 b
doll_676.96 m,doll_7.6 b,doll_1 b
doll_2.437 b,doll_8 b,doll_1 b
doll_1.222 b,doll_7.4 b,doll_1 b
doll_1.314 b,doll_7.83 b,doll_1 b
doll_741.62 m,doll_7.5 b,doll_1 b
doll_861.69 m,doll_7.5 b,doll_1 b
doll_427 m,doll_8 b,doll_1 b
doll_1.039 b,doll_8 b,doll_1 b
doll_559.74 m,doll_10.88 b,doll_1 b
doll_545 m,doll_10.2 b,doll_1 b
doll_3.571 b,doll_10.7 b,doll_1 b
doll_1.165 b,doll_8 b,doll_1 b
doll_1.377 b,doll_8.1 b,doll_1 b
doll_6.255 b,doll_11.1 b,doll_1 b
doll_963 m,doll_11 b,doll_1 b
doll_5.04 b,doll_12 b,doll_1 b
doll_1.94 b,doll_11.8 b,doll_1 b
doll_1.8 b,doll_12 b,doll_1 b
doll_697.12 m,doll_11.25 b,doll_1 b
doll_675.15 m,doll_12 b,doll_1 b
doll_561.5 m,doll_12 b,doll_1 b
doll_367.83 m,doll_11.4 b,doll_1 b
doll_1.353 b,doll_11.7 b,doll_1 b
doll_1.49 b,doll_12.3 b,doll_1 b
doll_1.969 b,doll_12.6 b,doll_1 b
doll_450 m,doll_12 b,doll_1 b
doll_1.692 b,doll_12.59 b,doll_1 b
doll_15.372 b,doll_12 b,doll_1 b
doll_400 m,doll_13 b,doll_1 b
doll_2.368 b,doll_13 b,doll_1 b
doll_4.044 b,doll_15.5 b,doll_1 b
doll_293.9 m,doll_15 b,doll_1 b
doll_979.3 m,doll_15 b,doll_1 b
doll_734.8 m,doll_13.5 b,doll_1 b
doll_425.12 m,doll_13.3 b,doll_1 b
doll_3.397 b,doll_15 b,doll_1 b
doll_490.5 m,doll_14 b,doll_1 b
doll_721.31 m,doll_15 b,doll_1 b
doll_1.135 b,doll_15 b,doll_1 b
doll_917.5 m,doll_20 b,doll_1 b
doll_5.833 b,doll_22 b,doll_1 b
doll_475 m,doll_17.5 b,doll_1 b
doll_4.653 b,doll_20 b,doll_1 b
doll_1.553 b,doll_100 b,doll_1 b
doll_1.716 b,doll_33 b,doll_1 b
doll_571.26 m,doll_40 b,doll_1 b
doll_1.83 b,doll_40 b,doll_1 b
doll_6.377 b,doll_31.5 b,doll_1 b
doll_2.599 b,doll_25 b,doll_1 b
doll_9.704 b,doll_127 b,doll_1 b
doll_4.89 b,doll_31 b,doll_1 b
doll_2.686 b,doll_39 b,doll_1 b
doll_3.497 b,doll_38 b,doll_1 b
doll_2.901 b,doll_95 b,doll_1 b
,,doll_1 b
,,doll_1 b
,,doll_1 b
,,doll_1 b
,,doll_1 b
,,doll_1 b
,,doll_1 b
,,doll_1 b
,,doll_1 b
,,doll_1 b
,,doll_1 b
,,doll_1 b
,,doll_1 b
,,doll_1 b
,,doll_1 b
,,doll_1 b
,,doll_1 b
