01-DDD-totalraised,01-DDD-valuation,04-iGMM-valuation
doll_111.5 m,doll_1 b,doll_4 b
doll_304.58 m,doll_1 b,doll_4 b
doll_178.6 m,doll_1 b,doll_4 b
doll_251 m,doll_1 b,doll_3.92 b
doll_156.52 m,doll_1 b,doll_3.8 b
doll_277.8 m,doll_1 b,doll_3.8 b
doll_315 m,doll_1.7 b,doll_3.8 b
doll_100 m,doll_1 b,doll_3.8 b
doll_597 m,doll_1 b,doll_3.75 b
doll_62 m,doll_1 b,doll_3.75 b
non e,doll_1 b,doll_3.7 b
doll_140.23 m,doll_1 b,doll_3.7 b
doll_370 m,doll_1 b,doll_3.7 b
doll_247.61 m,doll_1 b,doll_3.7 b
doll_361 m,doll_1.7 b,doll_3.7 b
doll_800 m,doll_1 b,doll_3.7 b
doll_192 m,doll_1 b,doll_3.7 b
doll_479 m,doll_1 b,doll_3.7 b
doll_588.61 m,doll_1 b,doll_3.7 b
doll_130.3 m,doll_1 b,doll_3.66 b
doll_127.6 m,doll_1 b,doll_3.6 b
doll_297.5 m,doll_1 b,doll_3.6 b
doll_306.16 m,doll_1 b,doll_3.6 b
doll_539.68 m,doll_1 b,doll_3.6 b
non e,doll_1 b,doll_3.6 b
non e,doll_1 b,doll_3.52 b
doll_310.3 m,doll_1 b,doll_3.5 b
doll_393.4 m,doll_1 b,doll_3.5 b
doll_614.44 m,doll_3 b,doll_3.5 b
doll_2.036 b,doll_1 b,doll_3.5 b
doll_460 m,doll_1 b,doll_3.5 b
doll_95.91 m,doll_1 b,doll_3.5 b
doll_287.85 m,doll_1 b,doll_3.5 b
doll_696.76 m,doll_1 b,doll_3.5 b
doll_629.58 m,doll_1 b,doll_3.5 b
doll_170 m,doll_1 b,doll_3.5 b
doll_339 m,doll_1 b,doll_3.5 b
doll_368.6 m,doll_1 b,doll_3.5 b
doll_522.8 m,doll_1 b,doll_3.50 b
doll_394 m,doll_1 b,doll_3.5 b
doll_82 m,doll_1 b,doll_3.44 b
doll_63 m,doll_1 b,doll_3.4 b
doll_253.02 m,doll_1 b,doll_3.4 b
doll_138.53 m,doll_1 b,doll_3.36 b
doll_896 m,doll_1 b,doll_3.35 b
doll_15.4 m,doll_1 b,doll_3.35 b
doll_1.283 b,doll_1 b,doll_3.35 b
doll_546.97 m,doll_1 b,doll_3.34 b
doll_361.25 m,doll_1 b,doll_3.31 b
doll_649 m,doll_1 b,doll_3.3 b
doll_182.05 m,doll_1 b,doll_3.3 b
doll_51.93 m,doll_1 b,doll_3.3 b
doll_476 m,doll_1 b,doll_3.3 b
doll_255 m,doll_1 b,doll_3.3 b
non e,doll_1 b,doll_3.25 b
doll_259.64 m,doll_1 b,doll_3.24 b
doll_199 m,doll_1 b,doll_3.21 b
doll_300 m,doll_1 b,doll_3.2 b
doll_315 m,doll_1 b,doll_3.2 b
doll_672 m,doll_1 b,doll_3.2 b
doll_320 m,doll_1 b,doll_3.2 b
doll_613.16 m,doll_1 b,doll_3.2 b
doll_324.65 m,doll_1 b,doll_3.2 b
doll_308 m,doll_1 b,doll_3.2 b
doll_300 m,doll_1 b,doll_3.2 b
doll_330 m,doll_1 b, doll_3.2 b
doll_393.79 m,doll_1 b,doll_3.2 b
doll_990 m,doll_1 b,doll_3.2 b
doll_223.29 m,doll_1 b,doll_3.15 b
