00-avengers-market_cap,08-slytherin-market_cap,10-DeBiGa-market_cap,07-silvestri-market_value_apr_2022,03-gren-market_capitalization_usd,06-MarScoToc-mastercap,02-GioPonSpiz-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap
cdoll_68.34 b,0,doll_37.73 b,doll_50.18 b,doll_50.18 b,0,,doll_18.52 b,doll_50.18 b
rdoll_254.79 b,0,doll_37.79 b,doll_50.02 b,doll_50.02 b,doll_1.13 b,doll_64.40 b,doll_18.57 b,doll_50.02 b
doll_€49.66 b,0,doll_37.82 b,doll_49.91 b,doll_49.91 b,doll_1.13 b,doll_63.43 b,doll_18.67 b,doll_49.91 b
doll_¥6.730 t,doll_7.6 m,doll_37.93 b,doll_49.83 b,doll_49.83 b,doll_1.11 b,doll_63.25 b,doll_18.69 b,doll_49.83 b
doll_55.23 b,0,doll_38.00 b,doll_49.66 b,doll_49.66 b,doll_1.09 b,doll_63.08 b,doll_18.69 b,doll_49.66 b
doll_55.28 b,doll_8.2 m,doll_38.01 b,doll_49.42 b,doll_49.42 b,doll_1.09 b,doll_62.87 b,doll_18.72 b,doll_49.42 b
doll_¥6.776 t,doll_7.9 m,doll_38.13 b,doll_49.32 b,doll_49.32 b,doll_1.08 b,doll_62.75 b,doll_18.72 b,doll_49.32 b
doll_¥6.809 t,doll_7.7 m,doll_38.15 b,doll_49.23 b,doll_49.23 b,doll_1.07 b,doll_62.69 b,doll_18.74 b,doll_49.23 b
doll_£42.61 b,doll_8.0 m,doll_38.16 b,doll_49.11 b,doll_49.11 b,doll_1.06 b,doll_62.69 b,doll_18.75 b,doll_49.11 b
doll_₽3.855 t,doll_8.0 m,doll_38.25 b,doll_48.92 b,doll_48.92 b,doll_1.06 b,doll_55.88 b,doll_18.76 b,doll_48.92 b
doll_sr168.80 b,doll_8.3 m,doll_38.39 b,doll_48.83 b,doll_48.83 b,doll_1.06 b,doll_55.58 b,doll_18.76 b,doll_48.83 b
doll_¥5.524 t,doll_8.6 m,doll_38.69 b,doll_48.74 b,doll_48.74 b,doll_1.06 b,doll_55.31 b,doll_18.77 b,doll_48.74 b
doll_45.13 b,doll_8.9 m,doll_38.90 b,doll_48.52 b,doll_48.52 b,doll_1.05 b,doll_55.28 b,doll_18.78 b,doll_48.52 b
doll_45.21 b,doll_8.9 m,doll_39.00 b,doll_48.50 b,doll_48.5 b,doll_1.04 b,,doll_18.78 b,doll_48.50 b
doll_€41.04 b,doll_8.6 m,doll_39.03 b,doll_48.50 b,doll_48.5 b,doll_1.04 b,doll_54.93 b,doll_18.79 b,doll_48.50 b
doll_45.56 b,doll_8.6 m,doll_39.29 b,doll_48.46 b,doll_48.46 b,doll_1.04 b,doll_54.87 b,doll_18.80 b,doll_48.46 b
doll_45.64 b,doll_9.3 m,doll_39.34 b,doll_48.27 b,doll_48.27 b,doll_1.04 b,doll_54.69 b,doll_18.90 b,doll_48.27 b
doll_£34.88 b,doll_9.1 m,doll_39.56 b,doll_48.17 b,doll_48.17 b,doll_1.03 b,doll_54.59 b,doll_18.91 b,doll_48.17 b
