link,name,industry,founded,country,ceo,employees,revenue
https://www.forbes.com/companies/merck-co,Merck & Co.,Drugs & Biotechnology,1891,United States,Robert M. Davis,"27,000",$50.4B
https://www.forbes.com/companies/elevance-health,Elevance Health,Drugs & Biotechnology,2004,United States,Gail K. Boudreaux,"98,200",$144.3B
https://www.forbes.com/companies/bank-of-nova-scotia,Bank of Nova Scotia,Banking,1832,Canada,Brian Johnston Porter,"89,488",$30.4B
https://www.forbes.com/companies/american-international-group,American International Group,Insurance,1919,United States,Peter S. Zaffino,"36,600",$52.1B
https://www.forbes.com/companies/glencore-international,Glencore International,Materials,1974,Switzerland,Gary Nagle,"135,000",$203.4B
https://www.forbes.com/companies/cisco-systems,Cisco Systems,"IT, Internet, Software & Services",1984,United States,Chuck Robbins,"38,000",$51.5B
https://www.forbes.com/companies/anheuser-busch-inbev,Anheuser-Busch InBev,"Food, Soft Beverages, Alcohol & Tobacco",2008,Belgium,Michel Dimitrios Doukeris,"169,000",$54.3B
https://www.forbes.com/companies/walt-disney,Walt Disney,Media & Advertising,1923,United States,Robert A. Chapek,"190,000",$73B
https://www.forbes.com/companies/chubb,Chubb,Insurance,1985,Switzerland,Evan G. Greenberg,"31,000",$41B
https://www.forbes.com/companies/citic,CITIC,Trading Companies,1979,Hong Kong,Zhen Ming Chang,"310,000",$91.2B
https://www.forbes.com/companies/lloyds-banking-group,Lloyds Banking Group,Banking,2009,United Kingdom,Charlie Nunn,"57,955",$58.5B
https://www.forbes.com/companies/ibm,IBM,"IT, Internet, Software & Services",1911,United States,Arvind Krishna,"282,100",$67.3B
https://www.forbes.com/companies/sanofi,Sanofi ,Drugs & Biotechnology,2004,France,Paul Hudson,"95,000",$44.6B
https://www.forbes.com/companies/united-parcel-service,United Parcel Service,Transportation and Logistics,1907,United States,Carol B. Tomé,"534,000",$97.2B
https://www.forbes.com/companies/british-american-tobacco,British American Tobacco,"Food, Drink & Tobacco",1902,United Kingdom,Jack Bowles,"55,981",$35.3B
https://www.forbes.com/companies/ubs,UBS,Banking,1862,Switzerland,Ralph Hamers,"71,385",$35.2B
https://www.forbes.com/companies/honda-motor,Honda Motor,Automotive (Automotive and Suppliers),1959,Japan,Toshihiro Mibe,"211,374",$130.2B
https://www.forbes.com/companies/mitsubishi,Mitsubishi,Trading Companies,1870,Japan,Takehiko Kakiuchi,"82,997",$146.9B
https://www.forbes.com/companies/china-state-construction-engineering,China State Construction Engineering,Construction,1982,China,Xiang Ming Wang,"335,038",$205.8B
