,revenue,team
654,$1.03 B,09-wissel
655,$1.46 B,09-wissel
656,$0.43 B,09-wissel
657,$0.73 B,09-wissel
658,$0.61 B,09-wissel
659,$0.32 B,09-wissel
660,$0.49 B,09-wissel
661,$0.44 B,09-wissel
662,$3.09 B,09-wissel
663,$1.70 B,09-wissel
664,$0.23 B,09-wissel
665,$1.43 B,09-wissel
666,$0.27 B,09-wissel
667,$1.90 B,09-wissel
668,$2.90 B,09-wissel
669,$3.82 B,09-wissel
670,$1.13 B,09-wissel
671,$0.69 B,09-wissel
672,$0.81 B,09-wissel
673,$0.37 B,09-wissel
674,$0.76 B,09-wissel
675,$0.23 B,09-wissel
676,$2.58 B,09-wissel
677,$0.69 B,09-wissel
678,$0.32 B,09-wissel
679,$0.36 B,09-wissel
680,$0.35 B,09-wissel
681,$0.75 B,09-wissel
682,$0.38 B,09-wissel
683,$0.37 B,09-wissel
684,$0.44 B,09-wissel
685,$0.46 B,09-wissel
686,$0.91 B,09-wissel
687,$0.15 B,09-wissel
688,$0.81 B,09-wissel
689,$0.37 B,09-wissel
690,$0.49 B,09-wissel
691,$0.29 B,09-wissel
692,$1.45 B,09-wissel
693,$1.03 B,09-wissel
694,$0.85 B,09-wissel
695,$0.34 B,09-wissel
696,$1.82 B,09-wissel
697,$3.19 B,09-wissel
698,,09-wissel
699,$0.85 B,09-wissel
700,$0.50 B,09-wissel
701,$0.29 B,09-wissel
702,$0.20 B,09-wissel
703,$0.48 B,09-wissel
704,$0.34 B,09-wissel
705,$0.47 B,09-wissel
706,$0.61 B,09-wissel
707,$0.43 B,09-wissel
708,$0.68 B,09-wissel
709,$0.64 B,09-wissel
710,$0.82 B,09-wissel
711,$0.67 B,09-wissel
712,$0.91 B,09-wissel
713,$1.38 B,09-wissel
714,$0.51 B,09-wissel
715,$0.71 B,09-wissel
716,$0.54 B,09-wissel
717,$0.89 B,09-wissel
718,$0.64 B,09-wissel
719,$0.43 B,09-wissel
720,$0.46 B,09-wissel
721,$0.96 B,09-wissel
722,$0.50 B,09-wissel
723,$0.61 B,09-wissel
724,$0.26 B,09-wissel
725,$1.08 B,09-wissel
726,$0.26 B,09-wissel
727,$0.49 B,09-wissel
728,$9.74 B,09-wissel
729,$0.11 B,09-wissel
730,$0.30 B,09-wissel
731,$0.48 B,09-wissel
732,$0.32 B,09-wissel
733,$2.31 B,09-wissel
734,$1.17 B,09-wissel
735,$0.41 B,09-wissel
736,$0.29 B,09-wissel
737,$0.21 B,09-wissel
738,$0.27 B,09-wissel
739,$0.45 B,09-wissel
740,$1.46 B,09-wissel
741,$0.28 B,09-wissel
742,$0.38 B,09-wissel
743,$0.59 B,09-wissel
744,$0.25 B,09-wissel
745,$0.36 B,09-wissel
746,$1.10 B,09-wissel
747,$0.51 B,09-wissel
748,$2.60 B,09-wissel
749,$0.33 B,09-wissel
750,$0.65 B,09-wissel
751,$0.29 B,09-wissel
752,$0.30 B,09-wissel
753,$0.26 B,09-wissel
754,$0.27 B,09-wissel
755,$0.16 B,09-wissel
756,$0.51 B,09-wissel
757,$4.14 B,09-wissel
758,$0.75 B,09-wissel
759,$0.45 B,09-wissel
760,$0.63 B,09-wissel
761,$0.30 B,09-wissel
762,$0.31 B,09-wissel
763,$0.61 B,09-wissel
764,$0.47 B,09-wissel
765,$1.20 B,09-wissel
766,$0.20 B,09-wissel
767,$0.23 B,09-wissel
768,$0.59 B,09-wissel
769,$1.63 B,09-wissel
770,$0.25 B,09-wissel
771,$0.41 B,09-wissel
772,$2.57 B,09-wissel
773,$3.15 B,09-wissel
774,$0.30 B,09-wissel
775,$1.86 B,09-wissel
776,$0.22 B,09-wissel
777,$0.12 B,09-wissel
778,$0.28 B,09-wissel
779,$0.20 B,09-wissel
780,$0.79 B,09-wissel
781,$1.63 B,09-wissel
782,$0.44 B,09-wissel
783,$0.46 B,09-wissel
784,$0.46 B,09-wissel
785,$0.34 B,09-wissel
786,$0.28 B,09-wissel
787,$0.39 B,09-wissel
788,$0.53 B,09-wissel
789,$0.28 B,09-wissel
790,$0.76 B,09-wissel
791,$14.56 B,09-wissel
792,$0.54 B,09-wissel
793,$8.99 B,09-wissel
794,$0.27 B,09-wissel
795,$0.79 B,09-wissel
796,$0.11 B,09-wissel
797,$0.28 B,09-wissel
798,$0.29 B,09-wissel
799,$0.38 B,09-wissel
800,$0.23 B,09-wissel
801,$1.39 B,09-wissel
802,$0.87 B,09-wissel
803,-$0.15 B,09-wissel
804,$2.61 B,09-wissel
805,$0.88 B,09-wissel
806,$44.26 M,09-wissel
807,$0.23 B,09-wissel
808,$0.34 B,09-wissel
809,$0.30 B,09-wissel
810,$2.17 B,09-wissel
811,,09-wissel
812,$0.24 B,09-wissel
813,$0.38 B,09-wissel
814,$0.17 B,09-wissel
815,$0.14 B,09-wissel
816,$0.40 B,09-wissel
817,$0.21 B,09-wissel
818,$1.66 B,09-wissel
819,$0.13 B,09-wissel
820,$0.82 B,09-wissel
821,$0.38 B,09-wissel
822,$0.23 B,09-wissel
823,$0.28 B,09-wissel
824,$0.16 B,09-wissel
825,$0.20 B,09-wissel
826,$0.14 B,09-wissel
827,$0.34 B,09-wissel
828,$0.37 B,09-wissel
829,$0.56 B,09-wissel
830,$0.31 B,09-wissel
831,$0.35 B,09-wissel
832,$0.59 B,09-wissel
833,$1.27 B,09-wissel
834,$9.63 B,09-wissel
835,$0.36 B,09-wissel
836,$0.31 B,09-wissel
837,$0.58 B,09-wissel
838,$0.25 B,09-wissel
839,$3.55 B,09-wissel
840,$0.16 B,09-wissel
841,$0.28 B,09-wissel
842,$0.62 B,09-wissel
843,$0.69 B,09-wissel
844,$0.43 B,09-wissel
845,$0.23 B,09-wissel
846,$0.93 B,09-wissel
847,$1.37 B,09-wissel
848,$0.22 B,09-wissel
849,$0.17 B,09-wissel
850,$0.58 B,09-wissel
851,$0.24 B,09-wissel
852,$9.21 B,09-wissel
853,$0.69 B,09-wissel
854,$0.37 B,09-wissel
855,$0.53 B,09-wissel
856,$0.87 B,09-wissel
857,$0.27 B,09-wissel
