,earnings,team
394,$0.34 B,09-wissel
395,-$2.3 M,09-wissel
396,-$65.6 M,09-wissel
397,$0.30 B,09-wissel
398,$0.10 B,09-wissel
399,-$35.03 M,09-wissel
400,$0.36 B,09-wissel
401,$92.96 M,09-wissel
402,-$0.18 B,09-wissel
403,-$35.09 M,09-wissel
404,$0.34 B,09-wissel
405,$0.37 B,09-wissel
406,-$0.46 B,09-wissel
407,$0.11 B,09-wissel
408,$0.33 B,09-wissel
409,$0.10 B,09-wissel
410,-$11.34 M,09-wissel
411,$0.12 B,09-wissel
412,$0.17 B,09-wissel
413,$21.95 M,09-wissel
414,$43.63 M,09-wissel
415,$0.21 B,09-wissel
416,$44.76 M,09-wissel
417,-$27.35 M,09-wissel
418,$9.20 B,09-wissel
419,$34.6 M,09-wissel
420,,09-wissel
421,$67.54 M,09-wissel
422,$0.17 B,09-wissel
423,-$0.12 B,09-wissel
424,$6.73 M,09-wissel
425,-$91.84 M,09-wissel
426,$0.24 B,09-wissel
427,$7.27 M,09-wissel
428,$0.23 B,09-wissel
429,$0.25 B,09-wissel
430,-$68.76 M,09-wissel
431,-$32.94 M,09-wissel
432,$0.18 B,09-wissel
433,$0.11 B,09-wissel
434,$80.88 M,09-wissel
435,$1.72 B,09-wissel
436,$0.20 B,09-wissel
437,$75.82 M,09-wissel
438,-$0.47 B,09-wissel
439,$2.31 B,09-wissel
440,$0.34 B,09-wissel
441,$87.68 M,09-wissel
442,$18.04 M,09-wissel
443,$49.57 M,09-wissel
444,$0.22 B,09-wissel
445,-$0.63 B,09-wissel
446,$0.26 B,09-wissel
447,$0.19 B,09-wissel
448,$5.48 M,09-wissel
449,-$0.11 B,09-wissel
450,-$0.37 B,09-wissel
451,-$50.36 M,09-wissel
452,$1.07 B,09-wissel
453,$7.25 M,09-wissel
454,-$1.43 M,09-wissel
455,-$0.14 B,09-wissel
456,$0.16 B,09-wissel
457,-$9.45 M,09-wissel
458,-$0.15 B,09-wissel
459,-$0.14 B,09-wissel
460,$0.21 B,09-wissel
461,$0.36 B,09-wissel
462,$0.41 B,09-wissel
463,$1.25 B,09-wissel
464,$0.10 B,09-wissel
465,$0.10 B,09-wissel
466,$0.24 B,09-wissel
467,-$6.19 M,09-wissel
468,$96.18 M,09-wissel
469,-$0.23 B,09-wissel
470,$0.43 B,09-wissel
471,$0.61 B,09-wissel
472,$31.5 M,09-wissel
473,$0.23 B,09-wissel
474,-$0.11 B,09-wissel
475,$0.11 B,09-wissel
476,-$0.25 B,09-wissel
477,$0.10 B,09-wissel
478,$0.90 B,09-wissel
479,$3.83 B,09-wissel
480,$45.03 M,09-wissel
481,-$38.38 M,09-wissel
482,-$0.19 B,09-wissel
483,$16.92 M,09-wissel
484,$0.83 B,09-wissel
485,-$0.2 B,09-wissel
486,-$0.14 B,09-wissel
487,-$0.13 B,09-wissel
488,-$0.12 B,09-wissel
489,$89.43 M,09-wissel
490,$0.24 B,09-wissel
491,-$0.76 B,09-wissel
492,-$0.11 B,09-wissel
493,$57.48 M,09-wissel
494,-$0.34 B,09-wissel
495,$15.73 M,09-wissel
496,-$24.11 M,09-wissel
497,$92.59 M,09-wissel
498,-$0.4 B,09-wissel
499,-$1.02 B,09-wissel
500,$0.61 B,09-wissel
501,-$50.31 M,09-wissel
502,$0.31 B,09-wissel
503,$0.16 B,09-wissel
504,$0.14 B,09-wissel
505,$0.14 B,09-wissel
506,-$0.21 B,09-wissel
507,-$0.15 B,09-wissel
508,$0.11 B,09-wissel
509,-$69.67 M,09-wissel
510,-$53.38 M,09-wissel
511,-$0.46 B,09-wissel
512,$51.5 M,09-wissel
513,-$70.23 M,09-wissel
514,-$0.76 B,09-wissel
515,-$42.14 M,09-wissel
516,-$1.69 B,09-wissel
517,-$0.12 B,09-wissel
518,$0.79 B,09-wissel
519,$36.91 M,09-wissel
520,-$0.14 B,09-wissel
521,-$10.86 M,09-wissel
522,$82.01 M,09-wissel
523,$99.69 M,09-wissel
524,$8.25 B,09-wissel
