,employees,team
379,2.072,09-wissel
380,2.065,09-wissel
381,2.063,09-wissel
382,2.061,09-wissel
383,2.058,09-wissel
384,2.053,09-wissel
385,2.049,09-wissel
386,2.04,09-wissel
387,2.032,09-wissel
388,2.025,09-wissel
389,2.024,09-wissel
390,2.023,09-wissel
391,2.021,09-wissel
392,2.02,09-wissel
393,2.011,09-wissel
394,2.003,09-wissel
395,2.0,09-wissel
396,2.0,09-wissel
397,2.0,09-wissel
398,2.0,09-wissel
399,2.0,09-wissel
400,2.0,09-wissel
401,2.0,09-wissel
402,2.0,09-wissel
403,1.993,09-wissel
404,1.992,09-wissel
405,1.992,09-wissel
406,1.981,09-wissel
407,1.978,09-wissel
408,1.97,09-wissel
409,1.969,09-wissel
410,1.967,09-wissel
411,1.962,09-wissel
412,1.962,09-wissel
413,1.95,09-wissel
414,1.949,09-wissel
415,1.948,09-wissel
416,1.945,09-wissel
417,1.934,09-wissel
418,1.932,09-wissel
419,1.915,09-wissel
420,,09-wissel
421,1.901,09-wissel
422,1.9,09-wissel
423,1.9,09-wissel
424,1.9,09-wissel
425,1.893,09-wissel
426,1.892,09-wissel
427,1.892,09-wissel
428,1.891,09-wissel
429,1.89,09-wissel
430,1.888,09-wissel
431,1.871,09-wissel
432,1.863,09-wissel
433,1.863,09-wissel
434,1.86,09-wissel
435,1.854,09-wissel
436,1.852,09-wissel
437,1.85,09-wissel
438,1.85,09-wissel
439,1.85,09-wissel
440,1.85,09-wissel
441,1.837,09-wissel
442,1.83,09-wissel
443,1.828,09-wissel
444,1.821,09-wissel
445,1.807,09-wissel
446,1.802,09-wissel
447,1.801,09-wissel
448,1.8,09-wissel
449,1.8,09-wissel
450,1.8,09-wissel
451,1.8,09-wissel
452,1.8,09-wissel
453,1.8,09-wissel
454,1.8,09-wissel
455,1.8,09-wissel
456,1.8,09-wissel
457,1.8,09-wissel
458,1.798,09-wissel
459,1.791,09-wissel
460,1.785,09-wissel
461,1.784,09-wissel
462,1.775,09-wissel
463,1.773,09-wissel
464,1.77,09-wissel
465,1.761,09-wissel
466,1.751,09-wissel
467,1.75,09-wissel
468,1.75,09-wissel
469,1.739,09-wissel
470,1.739,09-wissel
471,1.739,09-wissel
472,1.732,09-wissel
473,1.728,09-wissel
474,1.721,09-wissel
475,1.721,09-wissel
476,1.719,09-wissel
477,1.715,09-wissel
478,1.715,09-wissel
479,1.713,09-wissel
480,1.706,09-wissel
481,1.702,09-wissel
482,1.701,09-wissel
483,1.7,09-wissel
484,1.7,09-wissel
485,1.7,09-wissel
486,1.7,09-wissel
487,1.7,09-wissel
488,1.694,09-wissel
489,1.691,09-wissel
490,1.691,09-wissel
491,1.689,09-wissel
492,1.681,09-wissel
493,1.68,09-wissel
494,1.679,09-wissel
495,1.669,09-wissel
496,1.668,09-wissel
497,1.667,09-wissel
498,1.666,09-wissel
499,1.665,09-wissel
500,1.657,09-wissel
501,1.65,09-wissel
502,1.646,09-wissel
503,1.644,09-wissel
504,1.637,09-wissel
505,1.63,09-wissel
506,1.63,09-wissel
507,1.628,09-wissel
508,1.62,09-wissel
509,1.617,09-wissel
510,1.616,09-wissel
511,1.616,09-wissel
512,1.606,09-wissel
513,1.602,09-wissel
514,1.6,09-wissel
515,1.6,09-wissel
516,1.6,09-wissel
517,1.6,09-wissel
518,1.6,09-wissel
519,1.6,09-wissel
520,1.6,09-wissel
521,1.6,09-wissel
522,1.6,09-wissel
523,1.6,09-wissel
524,1.6,09-wissel
525,1.596,09-wissel
526,1.594,09-wissel
527,1.591,09-wissel
528,1.585,09-wissel
529,1.582,09-wissel
530,1.58,09-wissel
531,1.575,09-wissel
532,1.573,09-wissel
533,1.571,09-wissel
534,1.565,09-wissel
535,1.56,09-wissel
536,1.55,09-wissel
537,1.55,09-wissel
538,1.545,09-wissel
539,1.545,09-wissel
540,1.543,09-wissel
541,1.541,09-wissel
542,1.538,09-wissel
543,1.536,09-wissel
544,1.534,09-wissel
545,1.531,09-wissel
546,1.529,09-wissel
547,1.525,09-wissel
548,1.522,09-wissel
549,1.52,09-wissel
550,1.52,09-wissel
551,1.513,09-wissel
552,1.512,09-wissel
553,1.503,09-wissel
554,1.503,09-wissel
555,1.5,09-wissel
556,1.5,09-wissel
557,1.5,09-wissel
558,1.5,09-wissel
559,1.5,09-wissel
560,1.5,09-wissel
561,1.497,09-wissel
562,1.492,09-wissel
563,1.486,09-wissel
564,1.483,09-wissel
565,1.48,09-wissel
566,1.477,09-wissel
567,1.475,09-wissel
568,1.472,09-wissel
569,1.465,09-wissel
570,1.463,09-wissel
571,1.46,09-wissel
572,1.45,09-wissel
573,1.45,09-wissel
574,1.45,09-wissel
575,1.45,09-wissel
576,1.449,09-wissel
577,1.44,09-wissel
578,1.439,09-wissel
579,1.438,09-wissel
580,1.438,09-wissel
581,1.436,09-wissel
582,1.434,09-wissel
583,1.432,09-wissel
584,1.43,09-wissel
585,1.429,09-wissel
586,1.428,09-wissel
587,1.426,09-wissel
588,1.422,09-wissel
589,1.421,09-wissel
590,1.411,09-wissel
591,1.407,09-wissel
592,1.406,09-wissel
593,1.405,09-wissel
594,1.4,09-wissel
595,1.4,09-wissel
596,1.4,09-wissel
597,1.4,09-wissel
598,1.4,09-wissel
599,1.4,09-wissel
600,1.4,09-wissel
601,1.399,09-wissel
602,1.393,09-wissel
603,1.39,09-wissel
604,1.385,09-wissel
605,1.384,09-wissel
606,1.38,09-wissel
607,1.377,09-wissel
608,1.375,09-wissel
609,1.373,09-wissel
610,1.371,09-wissel
611,1.37,09-wissel
612,1.366,09-wissel
613,1.365,09-wissel
614,1.359,09-wissel
615,1.359,09-wissel
616,1.358,09-wissel
617,1.355,09-wissel
618,1.353,09-wissel
619,1.353,09-wissel
620,1.35,09-wissel
621,1.35,09-wissel
622,1.342,09-wissel
623,1.337,09-wissel
624,1.336,09-wissel
625,1.336,09-wissel
626,1.335,09-wissel
627,1.335,09-wissel
628,1.327,09-wissel
629,1.306,09-wissel
630,1.3,09-wissel
631,1.3,09-wissel
632,1.3,09-wissel
633,1.3,09-wissel
634,1.3,09-wissel
635,1.3,09-wissel
636,1.3,09-wissel
637,1.3,09-wissel
638,1.299,09-wissel
639,1.296,09-wissel
640,1.294,09-wissel
641,1.283,09-wissel
642,1.274,09-wissel
643,1.27,09-wissel
644,1.267,09-wissel
645,1.262,09-wissel
646,1.256,09-wissel
647,1.244,09-wissel
648,1.242,09-wissel
649,1.24,09-wissel
650,1.239,09-wissel
651,1.238,09-wissel
652,1.237,09-wissel
653,1.232,09-wissel
654,1.224,09-wissel
655,1.219,09-wissel
656,1.219,09-wissel
657,1.218,09-wissel
658,1.218,09-wissel
659,1.215,09-wissel
660,1.215,09-wissel
661,1.214,09-wissel
662,1.212,09-wissel
663,1.203,09-wissel
664,1.2,09-wissel
