name,code,rank,marketcap,country,sharePrice,change(1day),change(1year),categories
Verb Technology,VERB,6909,$16.27 M,USA,$0.14,4.09%,-90.91%,"['Software', 'Internet', 'Tech']"
Vislink Technologies,VISL,6908,$16.47 M,USA,$0.35,-1.61%,-74.82%,"['Telecommunication', 'Telecommunicationsequipment']"
Wheeler Real Estate Investment Trust,WHLR,6907,$16.55 M,USA,$1.69,-5.59%,-14.65%,"['Realestate', 'Investment', 'REITs']"
Aptinyx,APTX,6906,$16.61 M,USA,$0.25,-1.60%,-89.04%,"['Pharmaceuticals', 'Biotech']"
Digital Ally,DGLY,6905,$16.68 M,USA,$0.31,-1.37%,-72.57%,['SecurityProtectionServices']
Precipio,PRPO,6904,$16.71 M,USA,$0.73,-1.28%,-61.38%,"['DiagnosticsandTesting', 'Biotech']"
Ekso Bionics,EKSO,6903,$16.72 M,USA,$1.27,-4.32%,-61.52%,['Tech']
Skylight Health Group,SLHG.V,6901,$16.91 M,Canada,$0.42,-3.33%,,['MedicalCareFacilities']
WonderPlanet,4199.T,6880,$18.5 M,Japan,$8.60,-1.83%,-53.79%,"['Videogames', 'Entertainment', 'Tech']"
Horizon Global,HZN,6902,$16.76 M,USA,$0.60,-4.80%,-92.02%,[]
BiondVax,BVXV,6879,$18.61 M,Israel,$9.87,0.66%,516.88%,[]
ZK International Group,ZKIN,6878,$18.63 M,China,$0.61,0.52%,-65.73%,['Steelindustry']
Applied DNA Sciences,APDN,6877,$18.67 M,USA,$1.45,1.40%,-71.95%,['Biotech']
Ultimate Games,ULG.WA,6874,$19.24 M,Poland,$3.68,0.00%,-39.37%,"['Videogames', 'Entertainment']"
Netmarble Joybomb,6468.TWO,6876,$18.94 M,Taiwan,$1.57,0.00%,-35.66%,"['Videogames', 'Entertainment']"
SeaChange,SEAC,6875,$19.13 M,USA,$0.38,-2.47%,-44.12%,"['Software', 'Tech']"
Starry Group,STRY,6873,$19.26 M,USA,$0.12,-22.09%,-98.79%,['Telecommunication']
Sonim Technologies,SONM,6871,$19.74 M,USA,$0.48,-11.70%,-63.91%,['Telecommunicationsequipment']
Waitr Holdings,WTRH,6872,$19.34 M,USA,$0.09000,-5.96%,-90.63%,"['Food', 'FoodDelivery', 'Internet', 'Tech']"
Marpai,MRAI,6870,$20.1 M,USA,$0.96,2.13%,-78.76%,"['Software', 'Tech', 'Healthcare']"
Shift Technologies,SFT,6869,$20.14 M,USA,$0.24,-5.20%,-94.24%,"['Carretail', 'Usedcarretailer', 'ECommerce', 'Internet', 'Tech']"
electroCore,ECOR,6868,$20.28 M,USA,$0.29,-17.39%,-57.35%,['Pharmaceuticals']
DAVIDsTEA,DTEA,6867,$20.46 M,Canada,$0.77,1.37%,-78.67%,"['Beverages', 'Retail']"
Edia,3935.T,6864,$21.08 M,Japan,$3.44,-3.88%,-3.37%,"['Videogames', 'Entertainment']"
FC Porto,FCP.LS,6866,$20.8 M,Portugal,$0.92,-6.38%,-19.30%,['Football']
Future Retail,FRETAIL.NS,6865,$21.06 M,India,$0.04000,0.00%,-93.85%,['Retail']
NJ Holdings,9421.T,6860,$21.53 M,Japan,$4.07,-0.71%,-44.78%,"['Videogames', 'Tech']"
Super League Gaming,SLGG,6861,$21.53 M,USA,$0.57,1.06%,-81.79%,"['Esports', 'Videogames', 'Tech']"
Endo International,ENDPQ,6863,$21.16 M,Ireland,$0.09000,-2.17%,,"['Pharmaceuticals', 'Biotech']"
Tonix Pharmaceuticals,TNXP,6862,$21.28 M,USA,$0.37,-5.13%,-13.95%,['Pharmaceuticals']
India Globalization Capital,IGC,6859,$21.56 M,USA,$0.41,-0.76%,-66.67%,[]
Genetic Technologies,GENE,6857,$21.64 M,Australia,$1.13,2.27%,-47.93%,"['DiagnosticsandTesting', 'Biotech']"
Greenidge Generation Holdings,GREE,6856,$21.72 M,USA,$0.49,-0.94%,-97.21%,"['Tech', 'Bitcoin', 'Bitcoinmining']"
AgeX Therapeutics,AGE,6858,$21.62 M,USA,$0.57,0.00%,-5.00%,"['Pharmaceuticals', 'Biotech']"
BeyondSpring,BYSI,6855,$21.97 M,USA,$0.56,-0.91%,-88.01%,"['Pharmaceuticals', 'Biotech']"
bioAffinity Technologies,BIAF,6853,$22.17 M,USA,$2.65,-12.25%,,"['Pharmaceuticals', 'Biotech']"
Onion Global,OG,6854,$22.07 M,China,$0.21,-2.37%,-93.02%,"['ECommerce', 'Tech']"
Context Therapeutics,CNTX,6852,$22.19 M,USA,$1.39,5.30%,-74.82%,"['Pharmaceuticals', 'Biotech']"
Remark Holdings,MARK,6849,$22.34 M,USA,$0.21,-3.45%,-82.35%,"['Software', 'Tech']"
Srei Infrastructure Finance,SREINFRA.NS,6851,$22.28 M,India,$0.04000,4.29%,-42.86%,['Financialservices']
Conformis,CFMS,6850,$22.32 M,USA,$2.97,-11.87%,249.41%,['Medicaldevices']
Soligenix,SNGX,6848,$22.48 M,USA,$0.52,-3.69%,-35.00%,"['Pharmaceuticals', 'Biotech']"
All in! Games,ALG.WA,6847,$22.55 M,Poland,$0.38,-2.33%,-55.81%,"['Videogames', 'Entertainment']"
Can Fite Biopharma,CANF,6846,$22.63 M,Israel,$0.76,-2.39%,-23.23%,"['Pharmaceuticals', 'Biotech']"
FGI Industries,FGI,6844,$22.99 M,USA,$2.42,0.83%,,['Furniture']
Boxlight,BOXL,6845,$22.92 M,USA,$0.31,-0.87%,-79.33%,['Education']
Neovasc,NVCN,6843,$23.03 M,Canada,$8.24,-4.85%,"1,148.48%",['Medicaldevices']
Oragenics,OGEN,6842,$23.34 M,USA,$0.20,4.91%,-59.18%,['Pharmaceuticals']
Harpoon Therapeutics,HARP,6841,$23.51 M,USA,$0.71,1.81%,-88.80%,"['Biotech', 'Pharmaceuticals']"
Stealth BioTherapeutics,MITO,6840,$23.53 M,Cayman Islands,$0.32,0.00%,-61.90%,"['Pharmaceuticals', 'Biotech']"
Cocrystal Pharma,COCP,6839,$23.61 M,USA,$2.90,6.62%,286.67%,"['Pharmaceuticals', 'Biotech']"
Lannett Company,LCI,6838,$23.61 M,USA,$0.56,-1.63%,-72.82%,['Pharmaceuticals']
Dolphin Entertainment,DLPN,6837,$23.69 M,USA,$2.32,-0.43%,-72.87%,['Entertainment']
Sio Gene Therapies,SIOX,6836,$23.78 M,USA,$0.32,-2.58%,-77.78%,"['Biotech', 'Pharmaceuticals', 'Genetherapy', 'Genomics']"
IMV,IMV,6835,$23.88 M,Canada,$0.29,-5.69%,-79.43%,"['Pharmaceuticals', 'Biotech']"
BIT Mining (500.com),BTCM,6834,$24.26 M,China,$0.23,-0.83%,-96.57%,"['Tech', 'Bitcoin', 'Bitcoinmining']"
Axel Mark,3624.T,6833,$24.77 M,Japan,$2.36,-2.12%,-44.99%,"['Videogames', 'Entertainment', 'Advertising']"
VistaGen Therapeutics,VTGN,6831,$24.84 M,USA,$0.12,-8.46%,-93.33%,['Pharmaceuticals']
Aprea Therapeutics,APRE,6832,$24.8 M,USA,$0.47,-1.62%,-87.70%,"['Pharmaceuticals', 'Biotech']"
Quince Therapeutics,QNCX,6830,$25.12 M,USA,$0.70,-3.91%,-94.66%,"['Pharmaceuticals', 'Biotech']"
Alkaline Water Company,WTER,6829,$25.15 M,USA,$0.17,-4.51%,-87.50%,['Beverages']
BioSig Technologies,BSGM,6828,$25.2 M,USA,$0.49,-15.72%,-81.72%,['Medicaldevices']
PaxMedica,PXMD,6826,$25.75 M,USA,$2.15,-4.02%,,"['Pharmaceuticals', 'Biotech']"
Polar Power,POLA,6827,$25.64 M,USA,$1.98,-1.49%,-57.60%,"['Electricity', 'Energy']"
TENDA,4198.T,6825,$26.02 M,Japan,$12.00,0.06%,-28.06%,"['ITservices', 'Videogames']"
Regulus Therapeutics,RGLS,6824,$26.27 M,USA,$1.56,1.96%,321.62%,"['Pharmaceuticals', 'Biotech']"
Rave Restaurant Group,RAVE,6822,$26.4 M,USA,$1.61,-1.23%,33.06%,"['Restaurantchains', 'Food', 'Pizza']"
Cyngn,CYN,6823,$26.34 M,USA,$0.78,5.36%,-86.34%,"['Software', 'Tech']"
Fun Yours Technology,6482.TWO,6820,$26.46 M,Taiwan,$1.40,0.00%,-4.11%,"['Videogames', 'Entertainment']"
Biofrontera,BFRI,6821,$26.42 M,USA,$0.99,-2.96%,-77.35%,"['Pharmaceuticals', 'Biotech']"
Comstock Mining,LODE,6819,$26.65 M,USA,$0.31,-4.41%,-80.00%,['Mining']
SOS Limited,SOS,6817,$26.84 M,China,$4.25,-3.19%,272.81%,['Tech']
Zynerba Pharmaceuticals,ZYNE,6816,$27.29 M,USA,$0.58,-2.47%,-82.99%,['Pharmaceuticals']
Sientra,SIEN,6818,$26.76 M,USA,$0.27,4.37%,-93.68%,['Medicaldevices']
Cielo Waste Solutions,CMC.V,6815,$27.33 M,Canada,$0.03000,12.50%,-82.35%,"['WasteRecycling', 'Renewableenergy', 'Energy', 'Biofuel']"
FingerTango,6860.HK,6814,$27.53 M,China,$0.01000,0.00%,-75.00%,"['Videogames', 'Entertainment']"
Satsuma Pharmaceuticals,STSA,6810,$27.75 M,USA,$0.84,1.66%,-81.37%,"['Pharmaceuticals', 'Biotech']"
Mynet,3928.T,6812,$27.71 M,Japan,$3.27,0.00%,-38.88%,"['Videogames', 'Entertainment']"
Sporting Clube de Braga,SCB.LS,6811,$27.74 M,Portugal,$23.12,0.00%,127.56%,['Football']
DIRTT Environmental Solutions,DRTT,6813,$27.67 M,Canada,$0.28,1.39%,-86.98%,"['Engineering', 'Construction']"
Sidus Space,SIDU,6809,$27.8 M,USA,$1.55,-3.13%,,['Aerospace']
ToughBuilt Industries,TBLT,6807,$28.08 M,USA,$2.11,-1.86%,441.03%,[]
Hepion Pharmaceuticals,HEPA,6808,$28 M,USA,$0.37,-2.57%,-70.40%,"['Pharmaceuticals', 'Biotech']"
Beasley Broadcast Group,BBGI,6806,$28.59 M,USA,$0.97,-6.04%,-52.45%,['MediaPress']
Document Security Systems,DSS,6804,$28.83 M,USA,$0.20,0.21%,-74.36%,[]
Shapeways,SHPW,6803,$28.97 M,USA,$0.59,-0.73%,-83.70%,"['3DPrinting', 'Tech']"
Zee Learn,ZEELEARN.NS,6802,$29.35 M,India,$0.09000,-3.92%,-52.63%,['Education']
Athenex,ATNX,6801,$29.49 M,USA,$0.19,1.85%,-88.62%,"['Pharmaceuticals', 'Biotech']"
SigmaTron International,SGMA,6781,$32.75 M,USA,$5.39,2.55%,-32.03%,"['Electronics', 'Manufacturing']"
Inuvo,INUV,6779,$33.03 M,USA,$0.28,-2.10%,-50.00%,['Advertising']
Avalon GloboCare,ALBT,6780,$32.99 M,USA,$0.33,-6.86%,,"['Pharmaceuticals', 'Biotech']"
Salem Media Group,SALM,6778,$33.2 M,USA,$1.22,-0.81%,-58.92%,['MediaPress']
Spark Networks,LOV,6777,$33.24 M,Germany,$1.27,0.40%,-62.76%,"['Tech', 'Internet', 'OnlineDating']"
Microbot Medical,MBOT,6774,$33.53 M,USA,$4.25,-5.35%,-12.91%,['medicalinstrumentssupplies']
Almaden Minerals,AAU,6776,$33.3 M,Canada,$0.24,1.52%,-25.00%,"['Mining', 'Goldmining', 'SilverMining']"
IronNet,IRNT,6775,$33.39 M,USA,$0.32,-9.55%,-96.09%,"['ITsecurity', 'Tech', 'Software']"
Phoenix Motor,PEV,6773,$33.91 M,USA,$1.68,1.82%,,"['Automakers', 'ElectricVehicles', 'SpecialtyVehicles']"
Compleo Charging Solutions,C0M.F,6772,$34.04 M,Germany,$6.72,-4.20%,-90.27%,"['EVcharging', 'Electricity', 'Energy']"
CorpHousing Group,CHG,6769,$34.48 M,USA,$1.30,0.00%,,"['RentalLeasingServices', 'Realestate']"
American Virtual Cloud,AVCT,6768,$35.06 M,USA,$1.08,-2.70%,-6.09%,"['Tech', 'Internet']"
AVROBIO,AVRO,6771,$34.21 M,USA,$0.78,-6.96%,-80.15%,"['Pharmaceuticals', 'Biotech', 'Genetherapy']"
RealNetworks,RNWK,6770,$34.42 M,USA,$0.72,-0.06%,-36.84%,"['Telecommunication', 'Software', 'Tech', 'Videogames', 'Entertainment']"
Boyaa Interactive,0434.HK,6767,$35.1 M,China,$0.05000,0.00%,-28.57%,"['Videogames', 'Entertainment']"
AgEagle Aerial Systems,UAVS,6764,$35.26 M,USA,$0.40,-3.65%,-81.22%,"['Aerospace', 'Tech', 'Agriculture']"
Ocean Power Technologies,OPTT,6766,$35.17 M,USA,$0.63,-3.22%,-63.79%,"['Electricity', 'Energy']"
Fragbite Group,FRAG.ST,6765,$35.24 M,Sweden,$0.39,1.13%,-29.09%,"['Videogames', 'Entertainment', 'Esports']"
UpHealth,UPH,6763,$35.48 M,USA,$0.24,0.77%,-90.94%,"['Telehealth', 'Healthcare', 'Software', 'Tech']"
Revlon,REVRQ,6761,$35.56 M,USA,$0.66,-22.94%,,['CosmeticsandBeauty']
Broadwind,BWEN,6762,$35.55 M,USA,$1.72,0.58%,-25.22%,[]
Palatin Technologies,PTN,6758,$35.92 M,USA,$3.47,-0.29%,459.68%,[]
Forever Entertainment,8FE.SG,6760,$35.61 M,Poland,$1.16,-0.54%,-19.44%,"['Videogames', 'Entertainment']"
U.S. Gold Corp,USAU,6759,$35.64 M,USA,$4.27,3.39%,-56.38%,"['Mining', 'Goldmining']"
Big Cheese Studio,BCS.WA,6757,$35.95 M,Poland,$8.70,-0.67%,2.59%,"['Videogames', 'Entertainment']"
Cryo-Cell,CCEL,6755,$36.63 M,USA,$4.30,-3.80%,-67.50%,['Biotech']
Lipocine,LPCN,6756,$36.4 M,USA,$0.41,-0.89%,-63.39%,['Pharmaceuticals']
Vaccinex,VCNX,6754,$36.66 M,USA,$0.74,3.53%,-51.32%,"['Pharmaceuticals', 'Biotech']"
BoomBit,BBT.WA,6753,$36.96 M,Poland,$2.74,-0.16%,-37.59%,"['Videogames', 'Entertainment']"
Lumos Pharma,LUMO,6751,$37.35 M,USA,$4.46,-11.16%,-35.92%,"['Pharmaceuticals', 'Biotech']"
Grand Twins International Cambodia,GTI.KH,6752,$36.96 M,Cambodia,$0.92,-0.26%,,"['Clothing', 'Manufacturing']"
Navios Maritime Holdings,NM,6750,$37.36 M,Monaco,$1.64,-4.65%,-68.22%,"['Transportation', 'Maritimetransportation']"
MAIA Biotechnology,MAIA,6749,$37.54 M,USA,$3.43,-1.72%,,"['Biotech', 'Pharmaceuticals']"
Magic Empire Global (Giraffe Capital),MEGL,6748,$37.6 M,Hong Kong,$1.88,-1.05%,,['Financialservices']
Houston American Energy,HUSA,6746,$38.22 M,USA,$3.85,2.67%,137.65%,"['OilGas', 'Energy']"
Society Pass,SOPA,6747,$38.12 M,Singapore,$1.43,-4.03%,-78.78%,['Financialservices']
Argo Blockchain,ARBK,6745,$38.44 M,UK,$0.66,-4.53%,-95.45%,"['Bitcoin', 'Tech', 'Bitcoinmining']"
Foresight Autonomous Holdings,FRSX,6744,$38.85 M,Israel,$0.60,0.23%,-71.15%,"['Software', 'Tech', 'AutomotiveSuppliers']"
Intellicheck,IDN,6743,$39.03 M,USA,$2.06,-0.96%,-61.13%,"['Software', 'Tech']"
Triterras,TRIRF,6740,$39.79 M,Singapore,$0.52,-13.33%,-87.88%,"['Financialservices', 'Tech']"
Unity Biotechnology,UBX,6741,$39.73 M,USA,$2.80,2.19%,48.94%,"['Pharmaceuticals', 'Biotech']"
Swvl Holdings,SWVL,6739,$40.13 M,United Arab Emirates,$0.30,-10.00%,-96.98%,"['Tech', 'Ridesharing', 'Transportation']"
Appirits,4174.T,6738,$40.13 M,Japan,$9.92,0.59%,100.40%,"['Videogames', 'Entertainment', 'Tech']"
Audacy,AUD,6742,$39.52 M,USA,$0.27,-6.71%,-90.04%,['MediaPress']
CyberStep,3810.T,6736,$40.25 M,Japan,$3.73,-0.97%,1.36%,"['Videogames', 'Entertainment', 'Internet']"
BitNile,NILE,6737,$40.24 M,USA,$0.11,-8.22%,-93.21%,"['Bitcoin', 'Tech', 'Bitcoinmining']"
Solitario Zinc,XPL,6733,$40.64 M,USA,$0.63,1.23%,34.04%,['Mining']
SPI Energy,SPI,6735,$40.37 M,USA,$1.40,-2.78%,-66.67%,"['Renewableenergy', 'Electricity', 'Energy']"
Jounce Therapeutics,JNCE,6734,$40.57 M,USA,$0.78,-7.44%,-89.70%,"['Pharmaceuticals', 'Biotech']"
Söktas Tekstil,SKTAS.IS,6732,$40.68 M,Turkey,$0.26,-0.20%,18.18%,"['Clothing', 'Manufacturing']"
Golden Minerals,AUMN,6731,$41.04 M,USA,$0.25,-0.77%,-32.43%,['Mining']
Phnom Penh SEZ,PPSP.KH,6730,$41.25 M,Cambodia,$0.57,0.00%,,[]
IZEA Worldwide,IZEA,6729,$41.25 M,USA,$0.66,1.85%,-57.14%,['Advertising']
Brazil Minerals,BMIX,6728,$41.28 M,Brazil,$0.01000,0.00%,0.00%,['Mining']
HeartBeam,BEAT,6726,$41.7 M,USA,$5.21,7.87%,24.94%,['Medicaldevices']
Silver One Resources,SVE.V,6727,$41.46 M,Canada,$0.19,-3.70%,-36.67%,"['Mining', 'SilverMining']"
Rekor Systems,REKR,6724,$41.83 M,USA,$0.77,-0.71%,-88.21%,"['Software', 'Tech']"
Tose Software,4728.T,6725,$41.75 M,Japan,$5.51,-0.13%,-13.50%,"['Software', 'Tech', 'Videogames', 'Entertainment']"
Zordix,ZORDIX-B.ST,6723,$42.06 M,Sweden,$0.98,0.59%,-69.66%,"['Videogames', 'Entertainment']"
Cimbeton,CMBTN.IS,6722,$42.18 M,Turkey,$23.83,-3.69%,43.73%,"['Cement', 'Buildingmaterials']"
Core Scientific,CORZ,6721,$42.36 M,USA,$0.12,-2.76%,-98.98%,"['Bitcoin', 'Tech', 'Bitcoinmining']"
Lightning eMotors,ZEV,6718,$42.6 M,USA,$0.56,4.75%,-91.15%,"['ElectricVehicles', 'SpecialtyVehicles', 'Manufacturing']"
Biora Therapeutics,BIOR,6719,$42.42 M,USA,$0.19,-11.66%,-93.04%,"['Pharmaceuticals', 'Biotech']"
NuCana,NCNA,6720,$42.4 M,UK,$0.81,3.31%,-69.08%,"['Pharmaceuticals', 'Biotech']"
Heritage Insurance,HRTG,6717,$42.69 M,USA,$1.65,-1.20%,-75.26%,['Insurance']
AquaBounty,AQB,6716,$42.95 M,USA,$0.60,-5.77%,-76.92%,['Food']
Vapotherm,VAPO,6714,$42.99 M,USA,$1.61,-6.40%,-92.87%,['Medicaldevices']
CorEnergy Infrastructure Trust,CORR,6715,$42.98 M,USA,$2.71,-4.24%,-29.79%,"['Realestate', 'Investment', 'REITs', 'Energy']"
Augmedix,AUGX,6713,$43.04 M,USA,$1.15,-2.13%,-69.74%,['Healthcare']
Mogo,MOGO,6712,$43.08 M,Canada,$0.57,-2.40%,-87.74%,"['Financialservices', 'Bitcoin']"
Nippon Ichi Software,3851.T,6710,$43.78 M,Japan,$8.69,-1.49%,-43.75%,"['Videogames', 'Entertainment', 'Tech', 'Software']"
Graphex Group,GRFX,6711,$43.45 M,Hong Kong,$1.26,-0.79%,-37.00%,['Batteries']
Natural Health Trends,NHTC,6708,$43.91 M,USA,$3.84,-1.17%,-42.86%,"['ECommerce', 'Internet', 'Tech']"
5th Planet Games,5PG.OL,6709,$43.82 M,Denmark,$0.21,3.94%,133.33%,"['Videogames', 'Entertainment']"
MEP Infrastructure,MEP.NS,6707,$43.97 M,India,$0.24,4.77%,-11.11%,[]
ATA Creativity Global,AACG,6705,$44.24 M,China,$1.41,-3.42%,-7.84%,['Education']
Okyo Pharma,OKYO,6706,$44.14 M,UK,$1.90,-5.00%,,"['Pharmaceuticals', 'Biotech']"
Nymox Pharmaceutical,NYMX,6704,$44.82 M,Bahamas,$0.50,17.90%,-67.32%,['Pharmaceuticals']
iCandy Interactive,ICI.AX,6703,$44.95 M,Australia,$0.03000,-3.77%,-70.00%,"['Videogames', 'Entertainment']"
Immunic,IMUX,6701,$45.54 M,USA,$1.16,-6.45%,-87.28%,"['Pharmaceuticals', 'Biotech']"
TESSCO Technologies,TESS,6702,$45.1 M,USA,$4.90,2.08%,-27.62%,['Telecommunicationsequipment']
N.B.I. Industrial Finance,NBIFIN.NS,6681,$49.53 M,India,$20.16,-2.11%,-34.48%,[]
enish,3667.T,6682,$49.51 M,Japan,$2.87,-2.00%,-13.55%,"['Videogames', 'Entertainment', 'Tech']"
Solid Biosciences,SLDB,6680,$49.73 M,USA,$6.60,4.60%,238.46%,['Pharmaceuticals']
Hinduja Ventures,NXTDIGITAL.NS,6678,$50.28 M,India,$1.48,-5.28%,-73.57%,['MediaPress']
Biomerica,BMRA,6679,$50.21 M,USA,$3.74,-1.84%,-18.52%,[]
coly,4175.T,6675,$50.93 M,Japan,$9.26,-3.36%,-64.82%,"['Videogames', 'Entertainment']"
Surface Oncology,SURF,6676,$50.86 M,USA,$0.84,-5.08%,-85.29%,"['Pharmaceuticals', 'Biotech']"
Mesa Air,MESA,6677,$50.81 M,USA,$1.40,-6.67%,-80.14%,"['Airlines', 'Travel', 'Transportation']"
Gaia,GAIA,6673,$50.97 M,USA,$2.45,7.46%,-71.68%,['MediaPress']
Mobile Factory,3912.T,6674,$50.97 M,Japan,$6.45,-1.12%,-23.76%,"['Videogames', 'Entertainment', 'Tech']"
Advanced Emissions Solutions,ADES,6672,$51.21 M,USA,$2.68,2.29%,-59.94%,['Chemicals']
the Marygold Companies,MGLD,6671,$51.65 M,USA,$1.31,2.28%,,"['AssetManagement', 'Investment']"
Bionomics,BNOX,6670,$51.66 M,Australia,$6.15,-8.21%,,"['Pharmaceuticals', 'Biotech']"
GreenPower Motor Company,GP,6668,$51.88 M,Canada,$2.21,-0.90%,-82.23%,"['ElectricVehicles', 'SpecialtyVehicles', 'Manufacturing']"
Hindustan Media Ventures,HMVL.NS,6667,$52.44 M,India,$0.71,-0.59%,-23.66%,['MediaPress']
ASP Isotopes,ASPI,6669,$51.73 M,USA,$1.65,-17.91%,,['Energy']
AeroClean Technologies,AERC,6665,$53.92 M,USA,$3.48,-7.45%,-72.56%,[]
East Side Games,EAGR.TO,6666,$52.55 M,Canada,$0.64,1.15%,-68.47%,"['Videogames', 'Entertainment']"
Allied Esports,AESE,6664,$54.32 M,USA,$1.39,2.20%,-24.86%,"['Entertainment', 'Esports']"
BioLargo,BLGO,6662,$54.71 M,USA,$0.20,0.68%,-9.09%,[]
Regis Corporation,RGS,6663,$54.64 M,USA,$1.20,-5.51%,-53.85%,[]
Cheetah Mobile,CMCM,6661,$54.83 M,China,$1.93,-1.03%,41.91%,"['Internet', 'Tech']"
GAN,GAN,6660,$54.94 M,UK,$1.29,-0.77%,-86.46%,"['Gambling', 'Entertainment']"
Venator Materials,VNTR,6659,$55.08 M,UK,$0.51,2.00%,-80.97%,['Chemicals']
Orchard Therapeutics,ORTX,6657,$55.11 M,UK,$0.44,-0.68%,-66.92%,"['Genetherapy', 'Genomics', 'Biotech', 'Pharmaceuticals']"
OncoCyte,OCX,6658,$55.09 M,USA,$0.46,-3.25%,-80.83%,[]
Akebia Therapeutics,AKBA,6656,$55.18 M,USA,$0.30,5.26%,-88.93%,['Pharmaceuticals']
Indonesia Energy,INDO,6655,$55.27 M,Indonesia,$5.45,-4.55%,62.69%,"['Energy', 'OilGas']"
Petropavlovsk,POG.L,6654,$55.5 M,UK,$1.40,-0.66%,-95.04%,"['Mining', 'Goldmining']"
Bird Global,BRDS,6652,$55.59 M,USA,$0.19,-1.88%,-97.59%,"['Transportation', 'Tech']"
Koss,KOSS,6651,$55.62 M,USA,$6.06,-0.82%,-54.64%,['Electronics']
ReWalk Robotics,RWLK,6653,$55.5 M,Israel,$0.90,-1.65%,-31.82%,"['Tech', 'Robotics']"
Abeona Therapeutics,ABEO,6650,$55.64 M,USA,$3.24,-8.22%,414.29%,"['Pharmaceuticals', 'Biotech']"
BrainStorm Cell Therapeutics,BCLI,6648,$55.9 M,USA,$1.53,-2.55%,-57.85%,"['Pharmaceuticals', 'Biotech']"
Nano Labs,NA,6649,$55.74 M,China,$1.00,-12.28%,,"['Bitcoin', 'Tech']"
Geospace Technologies,GEOS,6647,$55.99 M,USA,$4.30,0.00%,-47.62%,"['Tech', 'Manufacturing', 'Engineering']"
Cytosorbents,CTSO,6646,$56.29 M,USA,$1.29,0.78%,-75.10%,"['Pharmaceuticals', 'Biotech']"
Sporting Clube de Portugal,SCP.LS,6645,$56.32 M,Portugal,$0.84,0.00%,-13.40%,['Football']
The Glimpse Group,VRAR,6643,$56.69 M,USA,$4.17,-4.14%,-61.14%,"['Software', 'Tech']"
Talaris Therapeutics,TALS,6644,$56.41 M,USA,$1.36,3.82%,-90.70%,"['Pharmaceuticals', 'Biotech']"
Lantern Pharma,LTRN,6642,$56.78 M,USA,$5.23,3.67%,-36.53%,"['Pharmaceuticals', 'Biotech']"
Elevate Credit,ELVT,6640,$57.18 M,USA,$1.83,1.10%,-43.34%,['Financialservices']
TherapeuticsMD,TXMD,6641,$56.89 M,USA,$6.01,11.30%,"1,265.91%","['Pharmaceuticals', 'Biotech']"
Pestech Cambodia,PEPC.KH,6639,$57.22 M,Cambodia,$0.76,0.00%,,"['Energy', 'Electricity', 'Infrastructure']"
Castellum,CTM,6638,$57.73 M,USA,$1.39,3.73%,,"['Tech', 'ITsecurity', 'ITservices', 'Software']"
Logan Ridge Finance,LRFC,6637,$57.98 M,USA,$21.39,0.28%,-10.84%,"['Financialservices', 'AssetManagement']"
PAVmed,PAVM,6636,$58.1 M,USA,$0.62,1.66%,-82.08%,['Medicaldevices']
Balaji Telefilms,BALAJITELE.NS,6635,$58.36 M,India,$0.58,-0.73%,-25.64%,['Entertainment']
Solar Integrated Roofing,SIRC,6634,$58.41 M,USA,$0.13,7.33%,-65.79%,"['Energy', 'Electricity', 'Renewableenergy']"
aTyr Pharma,LIFE,6632,$58.59 M,USA,$2.02,-2.42%,-75.34%,"['Pharmaceuticals', 'Biotech']"
Kaival Brands Innovations,KAVL,6633,$58.41 M,USA,$1.04,5.56%,-0.95%,['Tobacco']
Culp,CULP,6628,$59.28 M,USA,$4.82,-2.23%,-52.32%,['Manufacturing']
Protalix BioTherapeutics,PLX,6630,$59.02 M,Israel,$1.17,-0.43%,31.46%,['Pharmaceuticals']
Xebec Adsorption,XBC.TO,6631,$58.69 M,Canada,$0.38,0.00%,-81.37%,"['Renewableenergy', 'Energy']"
PopReach,POPR.V,6629,$59.09 M,Canada,$0.22,9.26%,-55.10%,"['Advertising', 'Videogames', 'Entertainment']"
SCYNEXIS,SCYX,6627,$59.76 M,USA,$1.83,0.55%,-74.55%,"['Pharmaceuticals', 'Biotech']"
Wayi International Digital Entertainment,3086.TWO,6626,$59.95 M,Taiwan,$2.69,4.04%,-20.41%,"['Videogames', 'Entertainment']"
Bit Digital,BTBT,6625,$60.27 M,USA,$0.73,-6.33%,-91.10%,"['Bitcoin', 'Tech', 'Bitcoinmining']"
MAG Interactive,MAGI.ST,6623,$60.98 M,Sweden,$2.22,0.00%,-22.65%,"['Videogames', 'Entertainment']"
Zion Oil & Gas,ZNOG,6624,$60.54 M,USA,$0.12,-3.23%,-42.86%,"['OilGas', 'Energy']"
Genprex,GNPX,6622,$60.99 M,USA,$1.27,0.79%,-15.33%,['Pharmaceuticals']
Xilio Therapeutics,XLO,6620,$61.26 M,USA,$2.23,-2.19%,-76.99%,"['Pharmaceuticals', 'Biotech']"
Nectar Lifesciences,NECLIFE.NS,6621,$61.1 M,India,$0.27,-1.75%,-18.18%,['Pharmaceuticals']
FreightCar America,RAIL,6619,$61.48 M,USA,$3.57,-1.65%,-4.55%,[]
Red Cat Holdings,RCAT,6617,$61.7 M,USA,$1.14,0.00%,-43.56%,['Tech']
