name,codice,pricecap,price,country
Kadokawa,9468.T,$2.51 B,$18.07,Japan
First Merchants Corporation,FRME,$2.51 B,$42.24,USA
Cembra Money Bank,CMBN.SW,$2.51 B,$83.85,Switzerland
Harmony Gold,HMY,$2.51 B,$4.07,South Africa
Keywords Studios,KWS.L,$2.51 B,$30.59,Ireland
Arch Resources,ARCH,$2.51 B,$138.97,USA
Relay Therapeutics,RLAY,$2.51 B,$20.77,USA
Dana,DAN,$2.50 B,$17.50,USA
WIN Semiconductors,3105.TWO,$2.50 B,$5.91,Taiwan
MicroStrategy,MSTR,$2.50 B,$216.97,USA
Innergex Renewable Energy,INE.TO,$2.50 B,$12.26,Canada
Uniqa Insurance Group,UN9.F,$2.50 B,$8.15,Austria
SD BioSensor,137310.KS,$2.50 B,$24.45,S. Korea
ams AG,DQW1.F,$2.49 B,$9.57,Austria
Alpha Metallurgical Resources,AMR,$2.49 B,$156.72,USA
PB Fintech,POLICYBZR.NS,$2.49 B,$5.55,India
LGI Homes,LGIH,$2.49 B,$107.23,USA
PagerDuty,PD,$2.49 B,$27.72,USA
Dream Industrial REIT,DIR-UN.TO,$2.48 B,$9.72,Canada
Primo Water,PRMW,$2.48 B,$15.56,USA
Axos Financial,AX,$2.48 B,$41.40,USA
Amylyx Pharmaceuticals,AMLX,$2.48 B,$37.49,USA
Apollo Tyres,APOLLOTYRE.NS,$2.48 B,$3.91,India
Mirati Therapeutics,MRTX,$2.48 B,$43.09,USA
Pacific Biosciences,PACB,$2.47 B,$10.96,USA
Bata India,BATAINDIA.NS,$2.47 B,$19.27,India
Hang Lung Group,0010.HK,$2.47 B,$1.82,Hong Kong
OPC Energy,OPCE.TA,$2.47 B,$11.03,Israel
SATS,S58.SI,$2.47 B,$2.20,Singapore
Callon Petroleum,CPE,$2.47 B,$40.15,USA
Britvic,BVIC.L,$2.46 B,$9.50,UK
NexTier Oilfield,NEX,$2.46 B,$10.03,USA
QinetiQ,QQ.L,$2.46 B,$4.19,UK
NetLink Trust,CJLU.SI,$2.46 B,$0.63,Singapore
United Natural Foods,UNFI,$2.45 B,$41.11,USA
SL Green Realty,SLG,$2.45 B,$38.05,USA
Commvault,CVLT,$2.45 B,$55.20,USA
Verint Systems,VRNT,$2.45 B,$37.32,USA
Compagnie Plastic Omnium,POM.PA,$2.45 B,$17.04,France
McGrath RentCorp,MGRC,$2.45 B,$100.74,USA
Millicom,TIGO,$2.45 B,$14.37,Luxembourg
SSP Group,SSPG.L,$2.45 B,$3.08,UK
SoftwareONE,SWON.SW,$2.45 B,$15.47,Switzerland
Arbor Realty Trust,ABR,$2.45 B,$14.30,USA
Golar LNG,GLNG,$2.45 B,$22.82,Bermuda
CBIZ,CBZ,$2.45 B,$48.22,USA
St. Joe Company,JOE,$2.45 B,$42.01,USA
John Wiley & Sons,WLY,$2.44 B,$44.09,USA
Jumbo S.A.,5JB.F,$2.44 B,$17.51,Greece
EnPro Industries,NPO,$2.44 B,$117.60,USA
Rogers Corporation,ROG,$2.44 B,$130.01,USA
Covivio Hotels,COVH.PA,$2.44 B,$16.51,France
Kemira,KEMIRA.HE,$2.44 B,$15.94,Finland
Sunnova,NOVA,$2.44 B,$21.25,USA
ESCO Technologies,ESE,$2.44 B,$94.30,USA
Piramal Enterprises,PEL.NS,$2.43 B,$10.22,India
Integer Holdings,ITGR,$2.43 B,$73.59,USA
Cogeco,CCA.TO,$2.43 B,$54.43,Canada
Osisko Gold Royalties,OR,$2.43 B,$13.25,Canada
Kingnet Network,002517.SZ,$2.43 B,$1.13,China
SJW Group,SJW,$2.43 B,$80.18,USA
Gestamp Automoción,GEST.MC,$2.43 B,$4.23,Spain
Hatsun Agro Products,HATSUN.NS,$2.43 B,$11.05,India
Holly Energy Partners,HEP,$2.42 B,$19.20,USA
Kimbell Royalty Partners,KRP,$2.42 B,$16.85,USA
Mandarin Oriental,M04.SI,$2.42 B,$1.92,Hong Kong
Permata Bank,BNLI.JK,$2.42 B,$0.07000,Indonesia
Outokumpu,OUT1V.HE,$2.42 B,$5.49,Finland
Maple Leaf Foods,MFI.TO,$2.42 B,$19.58,Canada
Baytex Energy,BTE.TO,$2.42 B,$4.42,Canada
Corcept Therapeutics,CORT,$2.41 B,$22.44,USA
INFICON,IFCN.SW,$2.41 B,$987.92,Switzerland
Gerresheimer,GXI.F,$2.41 B,$76.89,Germany
CASIO,6952.T,$2.41 B,$10.10,Japan
Iren,IRE.MI,$2.41 B,$1.88,Italy
Österreichische Post,POST.VI,$2.40 B,$35.68,Austria
Immunovant,IMVT,$2.40 B,$18.60,USA
Arconic,ARNC,$2.40 B,$23.67,USA
Lightspeed POS,LSPD,$2.39 B,$15.96,Canada
Matson,MATX,$2.39 B,$63.48,USA
United Industrial Corporation,U06.SI,$2.39 B,$1.67,Singapore
Acer,2353.TW,$2.39 B,$0.80,Taiwan
National Health Investors,NHI,$2.39 B,$55.15,USA
Jamf,JAMF,$2.39 B,$19.71,USA
E-L Financial,ELF.TO,$2.39 B,$672.14,Canada
First Majestic Silver,AG,$2.39 B,$8.77,Canada
Gentherm,THRM,$2.38 B,$71.99,USA
Navient,NAVI,$2.38 B,$17.61,USA
Endurance Technologies,ENDURANCE.NS,$2.38 B,$16.95,India
Kainos Group,KNOS.L,$2.38 B,$17.95,UK
Weis Markets,WMK,$2.37 B,$88.38,USA
Grainger plc,GRI.L,$2.37 B,$3.21,UK
WaFd Bank,WAFD,$2.37 B,$36.35,USA
Cyfrowy Polsat,CP9.F,$2.37 B,$4.31,Poland
Shake Shack,SHAK,$2.37 B,$56.36,USA
WD-40 Company,WDFC,$2.37 B,$174.64,USA
Dermapharm,DMP.F,$2.37 B,$44.05,Germany
Four Corners Property Trust,FCPT,$2.37 B,$28.23,USA
Ashmore Group,ASHM.L,$2.36 B,$3.28,UK
AEON REIT Investment,3292.T,$2.36 B,"$1,157",Japan
KWS,KWS.F,$2.36 B,$71.57,Germany
Chorus,CNU.NZ,$2.36 B,$5.30,New Zealand
Artisan Partners,APAM,$2.36 B,$34.79,USA
Bowlero,BOWL,$2.36 B,$14.25,USA
Laurus Labs,LAURUSLABS.NS,$2.35 B,$4.36,India
Rocket Lab,RKLB,$2.35 B,$4.97,USA
Alignment Healthcare,ALHC,$2.35 B,$12.56,USA
1&1,1U1.DE,$2.35 B,$13.34,Germany
Akero Therapeutics,AKRO,$2.34 B,$50.24,USA
Glaukos,GKOS,$2.34 B,$49.21,USA
Kadant,KAI,$2.34 B,$201.20,USA
Golub Capital,GBDC,$2.34 B,$13.73,USA
Emami,EMAMILTD.NS,$2.34 B,$5.32,India
Doosan Fuel Cell,336260.KS,$2.34 B,$27.32,S. Korea
Devyani International,DEVYANI.NS,$2.34 B,$1.94,India
Sun TV Network,SUNTV.NS,$2.34 B,$5.94,India
KPIT Technologies,KPITTECH.NS,$2.33 B,$8.53,India
CompuGroup Medical,COP.DE,$2.33 B,$44.61,Germany
First Financial Bank,FFBC,$2.33 B,$24.66,USA
Office Depot,ODP,$2.33 B,$50.98,USA
Corbion,CRBN.AS,$2.33 B,$38.66,Netherlands
Cavco Industries,CVCO,$2.33 B,$261.94,USA
Netwealth,NWL.AX,$2.33 B,$9.57,Australia
Canada Goose,GOOS,$2.32 B,$22.21,Canada
Cracker Barrel,CBRL,$2.32 B,$104.74,USA
Hays plc,HAS.L,$2.32 B,$1.45,UK
Weber,WEBR,$2.32 B,$8.09,USA
Topaz Energy,TPZ.TO,$2.32 B,$16.11,Canada
LondonMetric Property,LMP.L,$2.32 B,$2.36,UK
NuVasive,NUVA,$2.31 B,$44.49,USA
Progress Software,PRGS,$2.31 B,$53.76,USA
Befesa,BFSA.DE,$2.30 B,$57.12,Luxembourg
Whirlpool India,WHIRLPOOL.NS,$2.30 B,$18.16,India
MVV Energie,MVV1.F,$2.30 B,$34.97,Germany
Park National Corp,PRK,$2.30 B,$141.71,USA
MGP Ingredients,MGPI,$2.29 B,$104.56,USA
Distell Group,DGH.JO,$2.29 B,$10.44,South Africa
ReNew Power,RNW,$2.29 B,$5.93,India
Revance Therapeutics,RVNC,$2.29 B,$27.92,USA
Liontown Resources,LTR.AX,$2.29 B,$1.05,Australia
Columbia Bank,COLB,$2.29 B,$29.17,USA
VisEra Technologies,6789.TW,$2.29 B,$7.27,Taiwan
Sonos,SONO,$2.29 B,$18.09,USA
NexPoint Residential,NXRT,$2.28 B,$44.37,USA
NETSCOUT,NTCT,$2.28 B,$31.68,USA
TowneBank,TOWN,$2.28 B,$31.42,USA
Trinity Industries,TRN,$2.28 B,$28.11,USA
Tricon Residential,TCN,$2.28 B,$8.35,Canada
TTEC,TTEC,$2.28 B,$48.39,USA
SiTime,SITM,$2.28 B,$106.53,USA
FLSmidth,FLS.CO,$2.28 B,$40.22,Denmark
Banco Macro,BMA,$2.28 B,$20.56,Argentina
Berner Kantonalbank,BEKN.SW,$2.28 B,$246.98,Switzerland
OC Oerlikon,OERL.SW,$2.27 B,$6.98,Switzerland
Cedar Fair,FUN,$2.27 B,$41.91,USA
Darktrace,DARK.L,$2.27 B,$3.17,UK
Korea Gas,036460.KS,$2.27 B,$26.55,S. Korea
Future plc,FUTR.L,$2.27 B,$18.84,UK
Elkem,ELK.OL,$2.27 B,$3.58,Norway
Fisker,FSR,$2.26 B,$7.27,USA
NovaGold Resources,NG,$2.26 B,$6.80,Canada
Embraer,ERJ,$2.26 B,$12.34,Brazil
Xenon Pharmaceuticals,XENE,$2.26 B,$36.20,Canada
Entra,ENTRA.OL,$2.26 B,$12.42,Norway
Netcompany Group,NETC.CO,$2.26 B,$45.85,Denmark
Buckle,BKE,$2.25 B,$45.08,USA
Griffon Corporation,GFF,$2.25 B,$39.57,USA
Boot Barn Holdings,BOOT,$2.25 B,$75.57,USA
Evertec,EVTC,$2.25 B,$34.51,USA
Spirit Airlines,SAVE,$2.24 B,$20.66,USA
Kennedy Wilson,KW,$2.24 B,$16.32,USA
ProSiebenSat.1 Media,PSM.F,$2.24 B,$9.92,Germany
NexGen Energy,NXE,$2.24 B,$4.68,Canada
Claros Mortgage Trust,CMTG,$2.23 B,$16.16,USA
JBG SMITH,JBGS,$2.23 B,$19.65,USA
Trupanion,TRUP,$2.23 B,$54.62,USA
Jfrog,FROG,$2.23 B,$22.25,USA
Sabre,SABR,$2.22 B,$6.79,USA
Crombie Real Estate Investment Trust,CRR-UN.TO,$2.22 B,$12.52,Canada
TORM,TRMD,$2.22 B,$27.18,UK
AeroVironment,AVAV,$2.22 B,$88.31,USA
Landis+Gyr,LAND.SW,$2.22 B,$77.01,Switzerland
WesBanco,WSBC,$2.21 B,$37.52,USA
Barnes Group,B,$2.21 B,$43.89,USA
Patria Investments,PAX,$2.21 B,$15.06,Cayman Islands
GMS,GMS,$2.21 B,$53.18,USA
Agiliti,AGTI,$2.21 B,$16.60,USA
NOS,PMV.F,$2.21 B,$4.32,Portugal
BlackBerry,BB,$2.21 B,$3.81,Canada
IIFL Finance,IIFL.NS,$2.20 B,$5.81,India
Tiger Brands,TBS.JO,$2.20 B,$12.99,South Africa
Altice USA,ATUS,$2.20 B,$4.84,USA
Banner Bank,BANR,$2.20 B,$64.48,USA
Silk Road Medical,SILK,$2.20 B,$57.79,USA
Chesapeake Utilities,CPK,$2.20 B,$124.10,USA
Kennametal,KMT,$2.20 B,$27.32,USA
Filo Mining,FIL.TO,$2.19 B,$17.88,Canada
FTAI Aviation,FTAI,$2.19 B,$22.05,USA
Six Flags,SIX,$2.19 B,$26.42,USA
International Games System,3293.TWO,$2.19 B,$15.59,Taiwan
Sprinklr,CXM,$2.19 B,$8.41,USA
Dr Lal PathLabs,LALPATHLAB.NS,$2.19 B,$26.48,India
Enlight Renewable Energy,ENLT.TA,$2.19 B,$2.16,Israel
Strategic Education,STRA,$2.19 B,$89.70,USA
Interroll,INRN.SW,$2.19 B,"$2,675",Switzerland
Gudang Garam,GGG.F,$2.19 B,$1.13,Indonesia
Catalyst Pharmaceuticals,CPRX,$2.19 B,$21.05,USA
Micro Focus,MFGP,$2.19 B,$6.43,UK
Shutterstock,SSTK,$2.18 B,$61.13,USA
AUTO1,AG1.F,$2.18 B,$10.15,Germany
Itaú CorpBanca,ITCB,$2.18 B,$3.37,Chile
Ninety One Group,N91.L,$2.18 B,$2.42,South Africa
Farfetch,FTCH,$2.18 B,$5.73,UK
Luminar Technologies,LAZR,$2.18 B,$6.02,USA
Verra Mobility,VRRM,$2.18 B,$14.55,USA
Minerals Technologies,MTX,$2.17 B,$66.92,USA
Prestige Group,PRESTIGE.NS,$2.16 B,$5.41,India
NV5 Global,NVEE,$2.16 B,$139.37,USA
PriceSmart,PSMT,$2.16 B,$69.81,USA
Celldex Therapeutics,CLDX,$2.16 B,$46.02,USA
Jeudan,JDAN.CO,$2.16 B,$37.82,Denmark
Plus500,P55.F,$2.16 B,$22.81,Israel
Credo Technology,CRDO,$2.16 B,$14.74,USA
Kajaria Ceramics,KAJARIACER.NS,$2.16 B,$13.58,India
Carpenter Technology,CRS,$2.16 B,$44.60,USA
Silicon Motion,SIMO,$2.15 B,$65.30,Hong Kong
Supernus Pharmaceuticals,SUPN,$2.15 B,$39.88,USA
Aareal Bank,ARL.F,$2.14 B,$35.73,Germany
Shimao Property,0813.HK,$2.14 B,$0.57,Hong Kong
Trustmark,TRMK,$2.14 B,$35.16,USA
Cranswick,CWK.L,$2.13 B,$39.98,UK
Star Bulk Carriers,SBLK,$2.13 B,$20.80,Greece
Krystal Biotech,KRYS,$2.13 B,$82.95,USA
Carborundum Universal,CARBORUNIV.NS,$2.13 B,$11.24,India
Triple Flag Precious Metals,TFPM,$2.12 B,$13.67,Canada
Stella-Jones,SJ.TO,$2.12 B,$35.74,Canada
Empire State Realty Trust,ESRT,$2.12 B,$7.58,USA
Renasant Corp,RNST,$2.12 B,$37.97,USA
Buenaventura Mining Company,BVN,$2.12 B,$8.36,Peru
Redrow,RDW.L,$2.12 B,$6.41,UK
American Assets Trust,AAT,$2.12 B,$27.64,USA
RPC,RES,$2.11 B,$9.78,USA
Sylvamo,SLVM,$2.11 B,$48.00,USA
Edgewell Personal Care,EPC,$2.11 B,$41.07,USA
Fannie Mae,FNMAL,$2.11 B,$2.83,USA
Momo,MOMO,$2.10 B,$10.65,China
Cricut,CRCT,$2.10 B,$9.54,USA
Delek Group,DLEKG.TA,$2.10 B,$114.71,Israel
Assura Plc,AGR.L,$2.10 B,$0.70,UK
Sunstone Hotel Investors,SHO,$2.10 B,$9.99,USA
Agilysys,AGYS,$2.10 B,$83.84,USA
Bloomin' Brands,BLMN,$2.10 B,$23.93,USA
AvidXchange,AVDX,$2.10 B,$10.57,USA
Blue Dart Express,BLUEDART.NS,$2.10 B,$88.29,India
Allscripts,MDRX,$2.09 B,$19.22,USA
Central Garden & Pet,CENT,$2.09 B,$40.32,USA
Fine Organics,FINEORG.NS,$2.09 B,$68.42,India
Spirent,SPT.L,$2.09 B,$3.43,UK
The Foschini Group,TFG.JO,$2.09 B,$6.48,South Africa
CI Financial,CIXX,$2.09 B,$11.40,Canada
Eve Air Mobility,EVEX,$2.09 B,$7.85,USA
TRI Pointe Group,TPH,$2.09 B,$20.72,USA
Bharat Dynamics,BDL.NS,$2.09 B,$11.39,India
Indra Sistemas,IDR.MC,$2.09 B,$11.85,Spain
GoodRx,GDRX,$2.08 B,$5.27,USA
Orange Polska,TPA1.F,$2.08 B,$1.59,Poland
Philip Morris ČR,TBK.F,$2.08 B,$750.44,Czech Republic
CONSOL Energy,CEIX,$2.08 B,$59.70,USA
Breville Group,BRG.AX,$2.08 B,$14.57,Australia
Dave & Buster's,PLAY,$2.07 B,$42.98,USA
Ramco Cements,RAMCOCEM.NS,$2.07 B,$8.76,India
AMTD Digital,HKD,$2.06 B,$11.04,Hong Kong
Close Brothers Group,CBG.L,$2.06 B,$13.25,UK
Nu Skin,NUS,$2.06 B,$41.75,USA
Electra,ELTR.TA,$2.06 B,$536.90,Israel
Gogo Inflight Internet,GOGO,$2.05 B,$16.15,USA
Software AG,SOW.F,$2.05 B,$27.78,Germany
Aliansce Sonae Shopping Centers,ALSO3.SA,$2.05 B,$3.47,Brazil
USA Compression Partners,USAC,$2.04 B,$20.91,USA
Remitly,RELY,$2.04 B,$12.00,USA
eXp World Holdings,EXPI,$2.04 B,$13.41,USA
Delek Logistics Partners,DKL,$2.04 B,$46.98,USA
Coface,COFA.PA,$2.04 B,$13.71,France
ZIM Integrated Shipping Services,ZIM,$2.04 B,$17.01,Israel
Hilltop Holdings,HTH,$2.04 B,$31.60,USA
Melco International Development,0200.HK,$2.03 B,$1.34,Hong Kong
PeptiDream,4587.T,$2.03 B,$15.71,Japan
Lenzing,LEN.F,$2.03 B,$75.48,Austria
First Advantage,FA,$2.03 B,$13.42,USA
BayWa,BYW.F,$2.03 B,$59.30,Germany
Safehold,SAFE,$2.03 B,$32.76,USA
Tata Teleservices,TTML.NS,$2.03 B,$1.04,India
Laboratorios Farmaceuticos Rovi,ROVI.MC,$2.03 B,$39.60,Spain
Alony Hetz,ALHE.TA,$2.03 B,$11.30,Israel
CSW Industrials,CSWI,$2.02 B,$131.08,USA
ContourGlobal,GLO.L,$2.02 B,$3.07,UK
Harel Group,HARL.TA,$2.02 B,$9.59,Israel
Yelp,YELP,$2.02 B,$29.05,USA
Payoneer,PAYO,$2.02 B,$5.78,USA
Winpak,WPK.TO,$2.02 B,$31.14,Canada
Kindred Group,KIND-SDB.ST,$2.02 B,$9.21,Malta
Playtech,PTEC.L,$2.01 B,$6.59,Isle of Man
XPEL,XPEL,$2.01 B,$73.04,USA
Stelco,STLC.TO,$2.01 B,$36.58,Canada
NuVista Energy,NVA.TO,$2.01 B,$8.98,Canada
Seacoast Banking,SBCF,$2.01 B,$32.76,USA
Rapid7,RPD,$2.00 B,$33.92,USA
Basic-Fit,BFIT.AS,$2.00 B,$30.43,Netherlands
Victory Capital,VCTR,$2.00 B,$29.30,USA
AtriCure,ATRC,$2.00 B,$43.13,USA
IIFL Wealth Management,IIFLWAM.NS,$2.00 B,$22.54,India
LifeStance Health Group,LFST,$2.00 B,$5.33,USA
Enerjisa Enerji,ENJSA.IS,$2.00 B,$1.66,Turkey
Flagstar Bank,FBC,$2.00 B,$37.54,USA
Newmark,NMRK,$2.00 B,$8.73,USA
Burford Capital,BUR,$1.99 B,$9.13,Guernsey
Heartland Financial USA,HTLF,$1.99 B,$47.11,USA
Canfor,CFP.TO,$1.99 B,$16.32,Canada
Air Transport Services Group,ATSG,$1.99 B,$27.46,USA
Semtech,SMTC,$1.99 B,$31.24,USA
RXO,RXO,$1.98 B,$17.11,USA
Grayscale Bitcoin Trust,GBTC,$1.98 B,$11.32,USA
Mercury General,MCY,$1.98 B,$35.81,USA
Materion,MTRN,$1.98 B,$96.54,USA
TG Therapeutics,TGTX,$1.98 B,$13.63,USA
The Cheesecake Factory,CAKE,$1.98 B,$38.52,USA
Expro Group,XPRO,$1.98 B,$18.20,USA
Tidewater,TDW,$1.97 B,$39.05,USA
Ventyx Biosciences,VTYX,$1.96 B,$34.77,USA
GlobalData,DATA.L,$1.96 B,$16.62,UK
Liberty Latin America,LILA,$1.96 B,$9.01,USA
Brigham Minerals,MNRL,$1.96 B,$32.50,USA
ProKidney,PROK,$1.96 B,$8.43,USA
Pets at Home,PETS.L,$1.95 B,$4.06,UK
Salzgitter,SZG.F,$1.95 B,$36.23,Germany
Krispy Kreme,DNUT,$1.95 B,$11.69,USA
Helios Technologies,HLIO,$1.95 B,$60.09,USA
Green Thumb Industries,GTII.CN,$1.95 B,$8.27,USA
Constellium,CSTM,$1.95 B,$13.55,France
Tilray,TLRY,$1.95 B,$3.17,Canada
Coursera,COUR,$1.94 B,$13.30,USA
Pactiv Evergreen,PTVE,$1.94 B,$10.96,USA
Curevac,CVAC,$1.94 B,$10.24,Germany
Frontdoor,FTDR,$1.94 B,$23.91,USA
Pampa Energía,PAM,$1.94 B,$34.99,Argentina
ZipRecruiter,ZIP,$1.94 B,$17.65,USA
BRP Group,BRP,$1.94 B,$31.65,USA
TransMedics Group,TMDX,$1.94 B,$60.90,USA
Lakeland Financial Corp,LKFN,$1.94 B,$76.61,USA
ICF International,ICFI,$1.94 B,$103.05,USA
Warby Parker,WRBY,$1.93 B,$16.77,USA
FormFactor,FORM,$1.93 B,$25.15,USA
Boardwalk Real Estate Investment Trust,BEI-UN.TO,$1.93 B,$38.58,Canada
Eutelsat,ETL.PA,$1.93 B,$7.78,France
CarGurus,CARG,$1.93 B,$16.27,USA
Earthstone Energy,ESTE,$1.93 B,$13.83,USA
Hornbach Baumarkt,HBM.HM,$1.93 B,$60.71,Germany
Green Plains,GPRE,$1.92 B,$32.53,USA
Vector Group,VGR,$1.92 B,$12.46,USA
Compass Minerals,CMP,$1.92 B,$47.01,USA
Tanger Factory Outlet Centers,SKT,$1.92 B,$18.47,USA
Retail Opportunity Investments,ROIC,$1.92 B,$15.47,USA
FibroGen,FGEN,$1.92 B,$20.50,USA
DigitalBridge Group,DBRG,$1.92 B,$12.04,USA
Exclusive Networks,EXN.PA,$1.92 B,$20.98,France
Energix Renewable Energies,ENRG.TA,$1.92 B,$3.51,Israel
Mueller Water Products,MWA,$1.92 B,$12.30,USA
RWS Holdings,RWS.L,$1.91 B,$4.93,UK
Exide Industries,EXIDEIND.NS,$1.91 B,$2.25,India
SIGNA Sports United,SSU,$1.91 B,$4.94,Germany
ImmunityBio,IBRX,$1.91 B,$4.78,USA
Oceaneering International,OII,$1.91 B,$19.08,USA
Bread Financial,BFH,$1.91 B,$38.34,USA
Veracyte,VCYT,$1.91 B,$26.62,USA
StoneX Group,SNEX,$1.90 B,$93.61,USA
Formosa Sumco Technology,3532.TW,$1.90 B,$4.92,Taiwan
ArcBest,ARCB,$1.90 B,$78.10,USA
Usiminas,USIM5.SA,$1.90 B,$1.53,Brazil
PageGroup,PAGE.L,$1.90 B,$5.55,UK
Masonite,DOOR,$1.90 B,$85.53,USA
Enterprise Financial Services Corp,EFSC,$1.90 B,$51.14,USA
CommScope,COMM,$1.90 B,$9.13,USA
Colbún,COLBUN.SN,$1.90 B,$0.11,Chile
U.S. Cellular,USM,$1.89 B,$22.29,USA
Canadian Western Bank,CWB.TO,$1.89 B,$20.13,Canada
Urban Edge Properties,UE,$1.89 B,$15.50,USA
Kymera Therapeutics,KYMR,$1.89 B,$34.54,USA
Toho Gas,9533.T,$1.89 B,$18.03,Japan
Nagarro,NA9.DE,$1.89 B,$137.49,Germany
BioCryst Pharmaceuticals,BCRX,$1.89 B,$10.16,USA
National Aluminum & Alloy,NATIONALUM.NS,$1.89 B,$1.03,India
NuStar Energy,NS,$1.89 B,$17.14,USA
NBT Bancorp,NBTB,$1.88 B,$44.01,USA
Shinsegae,004170.KS,$1.88 B,$191.56,S. Korea
AJ Bell,AJB.L,$1.88 B,$4.57,UK
Telenet,TNET.BR,$1.87 B,$17.53,Belgium
Zug Estates Holding,ZUGN.SW,$1.87 B,"$1,995",Switzerland
Altus Group,AIF.TO,$1.87 B,$42.00,Canada
CareTrust REIT,CTRE,$1.87 B,$19.29,USA
Winnebago Industries,WGO,$1.87 B,$61.25,USA
ComfortDelGro,C52.SI,$1.86 B,$0.86,Singapore
Phreesia,PHR,$1.86 B,$35.41,USA
LOTTE Corporation,004990.KS,$1.86 B,$26.35,S. Korea
Primary Health Properties,PHP.L,$1.86 B,$1.40,UK
MONETA Money Bank,MM0.F,$1.86 B,$3.58,Czech Republic
International Seaways,INSW,$1.86 B,$37.97,USA
Immofinanz,IMO1.F,$1.86 B,$13.29,Austria
Alamo Group,ALG,$1.85 B,$155.41,USA
WABCO India,WABCOINDIA.NS,$1.85 B,$97.94,India
Labrador Iron Ore Royalty Corp.,LIF.TO,$1.85 B,$28.98,Canada
Vertex,VERX,$1.85 B,$12.36,USA
Braves Group,BATRK,$1.85 B,$34.99,USA
Ingles Markets,IMKTA,$1.84 B,$97.37,USA
Victrex,VCT.L,$1.84 B,$21.25,UK
Goodman Property Trust,GMT.NZ,$1.84 B,$1.32,New Zealand
Sacyr,SCYR.MC,$1.84 B,$2.90,Spain
Paradox Interactive,PDX.ST,$1.84 B,$17.18,Sweden
Century Communities,CCS,$1.84 B,$58.06,USA
Pebblebrook Hotel Trust,PEB,$1.84 B,$13.99,USA
CSG International,CSGS,$1.83 B,$58.39,USA
Fairfax India Holdings,FIH-U.TO,$1.83 B,$13.26,Canada
Arcos Dorados Holdings,ARCO,$1.83 B,$8.73,Uruguay
Tamarack Valley Energy,TVE.TO,$1.83 B,$3.30,Canada
Cannae Holdings,CNNE,$1.83 B,$23.53,USA
RLJ Lodging Trust,RLJ,$1.83 B,$11.27,USA
Zeta Global,ZETA,$1.83 B,$8.87,USA
Babcock International Group,BAB.L,$1.83 B,$3.62,UK
AssetMark,AMK,$1.83 B,$24.80,USA
Birchcliff Energy,BIR.TO,$1.83 B,$6.89,Canada
Nuvalent,NUVL,$1.83 B,$32.43,USA
Peab,PEAB-B.ST,$1.82 B,$6.41,Sweden
Robertet,CBE.PA,$1.82 B,$846.01,France
Stock Yards Bancorp,SYBT,$1.82 B,$62.33,USA
CJ Group,001040.KS,$1.82 B,$67.33,S. Korea
Northwest Bank,NWBI,$1.82 B,$14.34,USA
Diamondrock Hospitality Company,DRH,$1.82 B,$8.66,USA
Alfen,ALFEN.AS,$1.82 B,$82.82,Netherlands
Aavas Financiers,AAVAS.NS,$1.81 B,$23.01,India
Türkiye Kalkınma,KLNMA.IS,$1.81 B,$0.73,Turkey
Almirall,ALM.MC,$1.81 B,$10.01,Spain
Forbo Holding,FORN.SW,$1.81 B,"$1,275",Switzerland
Golden Ocean Group,GOGL,$1.81 B,$9.06,Bermuda
Pfeiffer Vacuum,PFV.F,$1.81 B,$183.97,Germany
Jenoptik,JEN.F,$1.81 B,$31.63,Germany
SpringWorks Therapeutics,SWTX,$1.80 B,$29.01,USA
Verona Pharma,VRNA,$1.80 B,$23.92,UK
Pigeon,7956.T,$1.80 B,$15.12,Japan
N-Able,NABL,$1.80 B,$10.01,USA
E2open,ETWO,$1.80 B,$5.98,USA
Shaftesbury,SHB.L,$1.80 B,$4.70,UK
TDCX,TDCX,$1.80 B,$12.38,Singapore
Sonic Automotive,SAH,$1.80 B,$49.32,USA
Ballard Power Systems,BLDP,$1.79 B,$6.03,Canada
NMI Holdings,NMIH,$1.79 B,$21.50,USA
Olav Thon,OLT.OL,$1.79 B,$17.71,Norway
Hongkong and Shanghai Hotels,0045.HK,$1.79 B,$1.09,Hong Kong
Syndax Pharmaceuticals,SNDX,$1.79 B,$26.31,USA
Genesis Energy,GNE.NZ,$1.78 B,$1.69,New Zealand
TKH Group,TWEKA.AS,$1.78 B,$43.59,Netherlands
NorthWest Healthcare Properties REIT,NWH-UN.TO,$1.78 B,$7.39,Canada
Bukalapak.com,BUKA.JK,$1.78 B,$0.02000,Indonesia
Arvinas,ARVN,$1.78 B,$33.50,USA
Secure Energy Services,SES.TO,$1.78 B,$5.75,Canada
Great Portland Estates,GPE.L,$1.78 B,$7.01,UK
Warrior Met Coal,HCC,$1.77 B,$34.43,USA
Ironwood Pharmaceuticals,IRWD,$1.77 B,$11.59,USA
Hercules Capital,HTGC,$1.77 B,$13.65,USA
Ryman Healthcare,RYM.NZ,$1.77 B,$3.51,New Zealand
Kenon Holdings,KEN,$1.77 B,$32.86,Singapore
Mahindra CIE,MAHINDCIE.NS,$1.77 B,$4.67,India
FB Financial,FBK,$1.76 B,$37.68,USA
TTM Technologies,TTMI,$1.76 B,$17.30,USA
Q2,QTWO,$1.76 B,$30.73,USA
Custom Truck One Source,CTOS,$1.76 B,$7.16,USA
Arhaus,ARHS,$1.76 B,$12.60,USA
Tabcorp,TAH.AX,$1.76 B,$0.77,Australia
