name,codice,pricecap,price,country
Moderna,MRNA,$73.76 B,$192.00,USA
Canadian Pacific Railway,CP,$73.66 B,$79.11,Canada
HCA Healthcare,HCA,$73.18 B,$258.87,USA
Becton Dickinson,BDX,$72.72 B,$255.85,USA
GlaxoSmithKline,GSK,$72.42 B,$35.38,UK
U.S. Bancorp,USB,$72.42 B,$47.33,USA
Iberdrola,IBE.MC,$72.22 B,$11.82,Spain
Illinois Tool Works,ITW,$71.64 B,$233.24,USA
3M,MMM,$71.58 B,$129.51,USA
China Tourism Group Duty Free,601888.SS,$71.45 B,$34.74,China
China Yangtze Power,600900.SS,$71.17 B,$3.13,China
Northrop Grumman,NOC,$71.01 B,$461.43,USA
AXA,CS.PA,$70.81 B,$30.53,France
Zurich Insurance Group,ZURN.SW,$70.78 B,$477.35,Switzerland
Petrobras,PBR,$70.69 B,$10.84,Brazil
Alpha Dhabi,ALPHADHABI.AE,$70.46 B,$7.05,UAE
National Australia Bank,NAB.AX,$69.52 B,$22.05,Australia
Walmex,WMMVF,$69.25 B,$3.93,Mexico
Air Products and Chemicals,APD,$69.12 B,$311.40,USA
Bank of Montreal,BMO,$68.95 B,$97.95,Canada
CSX Corporation,CSX,$68.16 B,$32.42,USA
DBS Group,D05.SI,$67.85 B,$26.37,Singapore
CNOOC,0883.HK,$66.99 B,$1.34,China
Equinix,EQIX,$66.80 B,$721.89,USA
Boston Scientific,BSX,$66.64 B,$46.53,USA
Bank Central Asia,BBCA.JK,$66.36 B,$0.54,Indonesia
State Bank of India,SBIN.NS,$66.23 B,$7.42,India
SoftBank,9984.T,$66.18 B,$45.26,Japan
PNC Financial Services,PNC,$66.14 B,$164.00,USA
UBS,UBS,$66.12 B,$20.78,Switzerland
General Dynamics,GD,$65.97 B,$240.29,USA
Postal Savings Bank of China,601658.SS,$65.92 B,$0.72,China
BMW,BMW.DE,$65.62 B,$99.86,Germany
Aon,AON,$65.60 B,$317.17,UK
Eaton,ETN,$65.40 B,$164.45,Ireland
Crown Castle,CCI,$65.32 B,$150.86,USA
Fiserv,FISV,$65.12 B,$102.56,USA
Colgate-Palmolive,CL,$65.02 B,$77.85,USA
America Movil,AMX,$64.92 B,$20.51,Mexico
Nongfu Spring,9633.HK,$64.80 B,$5.76,China
Lam Research,LRCX,$64.59 B,$473.67,USA
KDDI,9433.T,$64.56 B,$29.70,Japan
Freeport-McMoRan,FCX,$64.39 B,$45.05,USA
Sherwin-Williams,SHW,$63.71 B,$245.88,USA
Enel,ENEL.MI,$63.64 B,$6.26,Italy
Canadian Natural Resources,CNQ,$63.56 B,$57.33,Canada
Airbnb,ABNB,$63.55 B,$100.37,USA
Waste Management,WM,$63.29 B,$154.19,USA
CME Group,CME,$63.17 B,$175.62,USA
Truist Financial,TFC,$63.11 B,$47.57,USA
ABB,ABB,$62.67 B,$33.58,Switzerland
Humana,HUM,$62.20 B,$491.36,USA
