07-silvestri-revenue_2020,08-slytherin-revenue,01-DDD-revenue_2017_euro,01-DDD-revenue_2020_euro,03-gren-revenue_2020_eu
doll_42.51 m,doll_4.76 m,"13,309,441",doll_42.51 m,doll_42.51 m
doll_77.36 m,doll_35.21 m,"22,730,529",doll_77.36 m,doll_77.36 m
doll_13.07 m,doll_75.81 m,"3,842,670",doll_13.07 m,doll_13.07 m
doll_25.04 m,doll_1.40 m,"7,381,686",doll_25.04 m,doll_25.04 m
doll_2.33 m,doll_17.93 m,"687,958",doll_2.33 m,doll_2.33 m
doll_29.1 m,doll_1.88 m,"9,987,236",doll_29.1 m,doll_29.1 m
doll_3.19 m,doll_3.06 m,"943,718",doll_3.19 m,doll_3.19 m
doll_3.29 m,doll_4.56 m,"973,460",doll_3.29 m,doll_3.29 m
doll_8.52 m,doll_2.1 m,"2,543,343",doll_8.52 m,doll_8.52 m
doll_2.08 m,doll_6.8 m,"616,520",doll_2.08 m,doll_2.08 m
doll_34.49 m,doll_6.10 m,"10,247,832",doll_34.49 m,doll_34.49 m
doll_10.24 m,doll_9.08 m,"3,044,054",doll_10.24 m,doll_10.24 m
doll_3.18 m,doll_61.02 m,"947,000",doll_3.18 m,doll_3.18 m
doll_4.53 m,doll_5.02 m,"1,351,164",doll_4.53 m,doll_4.53 m
doll_8.07 m,doll_10.31 m,"2,410,212",doll_8.07 m,doll_8.07 m
doll_2.35 m,doll_7.80 m,"700,960",doll_2.35 m,doll_2.35 m
doll_12.76 m,doll_9.19 m,"3,811,838",doll_12.76 m,doll_12.76 m
doll_2.95 m,doll_2.27 m,"881,275",doll_2.95 m,doll_2.95 m
doll_4.53 m,doll_3.92 m,"1,385,662",doll_4.53 m,doll_4.53 m
doll_14.85 m,doll_6.9 m,"4,476,517",doll_14.85 m,doll_14.85 m
doll_57.45 m,doll_25.54 m,"17,203,160",doll_57.45 m,doll_57.45 m
doll_8.74 m,doll_4.82 m,"2,618,069",doll_8.74 m,doll_8.74 m
doll_6.69 m,doll_57.30 m,"2,002,982",doll_6.69 m,doll_6.69 m
doll_35.11 m,doll_11.83 m,"10,518,963",doll_35.11 m,doll_35.11 m
doll_2.65 m,doll_1.38 m,"793,957",doll_2.65 m,doll_2.65 m
doll_3.23 m,doll_12.24 m,"1,058,063",doll_3.23 m,doll_3.23 m
doll_6.21 m,doll_8.54 m,"1,862,272",doll_6.21 m,doll_6.21 m
doll_14.86 m,doll_102.29 m,"4,461,170",doll_14.86 m,doll_14.86 m
doll_2.55 m,doll_3.86 m,"772,943",doll_2.55 m,doll_2.55 m
doll_4.69 m,doll_40.1 m,"1,414,501",doll_4.69 m,doll_4.69 m
doll_2.18 m,doll_3.7 m,"660,767",doll_2.18 m,doll_2.18 m
doll_13.86 m,doll_1.99 m,"4,180,523",doll_13.86 m,doll_13.86 m
doll_6.39 m,doll_77.76 m,"1,926,967",doll_6.39 m,doll_6.39 m
doll_4.21 m,doll_122.44 m,"1,271,353",doll_4.21 m,doll_4.21 m
doll_15.08 m,doll_15.64 m,"4,587,687",doll_15.08 m,doll_15.08 m
doll_24.05 m,doll_3.67 m,"7,265,350",doll_24.05 m,doll_24.05 m
doll_26.82 m,doll_38.43 m,"8,110,160",doll_26.82 m,doll_26.82 m
doll_3.37 m,doll_4.61 m,"1,020,690",doll_3.37 m,doll_3.37 m
doll_3.51 m,doll_8.74 m,"1,163,241",doll_3.51 m,doll_3.51 m
doll_2.68 m,doll_11.53 m,"810,750",doll_2.68 m,doll_2.68 m
doll_2.27 m,doll_2.77 m,"694,501",doll_2.27 m,doll_2.27 m
doll_3.3 m,doll_5.82 m,"1,001,740",doll_3.3 m,doll_3.3 m
doll_32.39 m,doll_4.2 m,"9,915,609",doll_32.39 m,doll_32.39 m
doll_4.03 m,doll_1.89 m,"1,226,000",doll_4.03 m,doll_4.03 m
doll_57.09 m,doll_12.87 m,"17,515,305",doll_57.09 m,doll_57.09 m
doll_4.01 m,doll_6.39 m,"1,222,870",doll_4.01 m,doll_4.01 m
doll_5.99 m,doll_5.28 m,"1,825,769",doll_5.99 m,doll_5.99 m
doll_18.18 m,doll_5.91 m,"5,602,279",doll_18.18 m,doll_18.18 m
doll_7.78 m,doll_127.47 m,"2,384,156",doll_7.78 m,doll_7.78 m
doll_5.86 m,doll_8.73 m,"1,794,120",doll_5.86 m,doll_5.86 m
doll_26.14 m,doll_2.85 m,"8,075,796",doll_26.14 m,doll_26.14 m
doll_10.19 m,doll_1.72 m,"3,128,700",doll_10.19 m,doll_10.19 m
doll_17.05 m,doll_7.0 m,"5,244,000",doll_17.05 m,doll_17.05 m
doll_2.95 m,doll_32.15 m,"906,341",doll_2.95 m,doll_2.95 m
doll_205.31 m,doll_31.98 m,"63,207,258",doll_205.31 m,doll_205.31 m
doll_33.4 m,doll_1.35 m,"10,300,000",doll_33.4 m,doll_33.4 m
doll_156.23 m,doll_1.09 m,"48,580,102",doll_156.23 m,doll_156.23 m
doll_1.8 m,doll_14.22 m,"556,159",doll_1.8 m,doll_1.8 m
doll_4.2 m,doll_92.78 m,"1,300,000",doll_4.2 m,doll_4.2 m
doll_2.6 m,doll_2.47 m,"834,708",doll_2.6 m,doll_2.6 m
doll_5.17 m,doll_68.75 m,"1,602,458",doll_5.17 m,doll_5.17 m
doll_2.01 m,doll_6.89 m,"622,800",doll_2.01 m,doll_2.01 m
doll_22.02 m,doll_5.47 m,"6,882,489",doll_22.02 m,doll_22.02 m
doll_57.06 m,doll_35.21 m,"17,727,950",doll_57.06 m,doll_57.06 m
doll_7.19 m,doll_12.5 m,"2,250,946",doll_7.19 m,doll_7.19 m
doll_12.93 m,doll_6.78 m,"4,020,469",doll_12.93 m,doll_12.93 m
doll_5.48 m,doll_18.80 m,"1,703,819",doll_5.48 m,doll_5.48 m
doll_33.37 m,doll_54.64 m,"10,393,680",doll_33.37 m,doll_33.37 m
doll_3.76 m,doll_10.40 m,"1,172,617",doll_3.76 m,doll_3.76 m
doll_3.87 m,doll_82.39 m,"1,206,770",doll_3.87 m,doll_3.87 m
doll_16.92 m,doll_1.10 m,"5,322,238",doll_16.92 m,doll_16.92 m
doll_2.3 m,doll_5.31 m,"719,638",doll_2.3 m,doll_2.3 m
doll_3.5 m,doll_24.57 m,"1,094,666",doll_3.5 m,doll_3.5 m
doll_6.93 m,doll_3.79 m,"2,171,492",doll_6.93 m,doll_6.93 m
doll_3.54 m,doll_1.72 m,"1,111,687",doll_3.54 m,doll_3.54 m
doll_2.55 m,doll_74.99 m,"805,029",doll_2.55 m,doll_2.55 m
doll_38.37 m,doll_7.1 m,"12,127,395",doll_38.37 m,doll_38.37 m
doll_30.89 m,doll_4.19 m,"9,762,332",doll_30.89 m,doll_30.89 m
doll_2.8 m,doll_11.29 m,"879,670",doll_2.8 m,doll_2.8 m
doll_5.31 m,doll_42.45 m,"1,674,690",doll_5.31 m,doll_5.31 m
doll_4.26 m,doll_43.53 m,"1,344,240",doll_4.26 m,doll_4.26 m
doll_1.64 m,doll_15.89 m,"516,164",doll_1.64 m,doll_1.64 m
doll_40.78 m,doll_1.15 m,"12,867,410",doll_40.78 m,doll_40.78 m
doll_9.73 m,doll_205.97 m,"3,363,800",doll_9.73 m,doll_9.73 m
doll_32.17 m,doll_11.64 m,"10,181,000",doll_32.17 m,doll_32.17 m
doll_2.55 m,doll_79.3 m,"809,450",doll_2.55 m,doll_2.55 m
doll_9.57 m,doll_3.03 m,"3,033,150",doll_9.57 m,doll_9.57 m
doll_49.58 m,doll_3.99 m,"16,075,963",doll_49.58 m,doll_49.58 m
doll_1.81 m,doll_2.0 m,"573,070",doll_1.81 m,doll_1.81 m
doll_4.39 m,doll_4.0 m,"1,484,883",doll_4.39 m,doll_4.39 m
doll_2.13 m,doll_2.94 m,"676,000",doll_2.13 m,doll_2.13 m
doll_49.19 m,doll_59.33 m,"15,610,826",doll_49.19 m,doll_49.19 m
doll_26.01 m,doll_4.50 m,"8,271,702",doll_26.01 m,doll_26.01 m
doll_20.75 m,doll_21.19 m,"6,615,000",doll_20.75 m,doll_20.75 m
doll_2.7 m,doll_5.71 m,"859,960",doll_2.7 m,doll_2.7 m
doll_2.09 m,doll_34.29 m,"666,210",doll_2.09 m,doll_2.09 m
doll_16.37 m,doll_15.88 m,"5,229,000",doll_16.37 m,doll_16.37 m
doll_6.36 m,doll_3.65 m,"2,031,522",doll_6.36 m,doll_6.36 m
doll_10.46 m,doll_1.8 m,"3,342,120",doll_10.46 m,doll_10.46 m
doll_15.85 m,doll_11.25 m,"5,105,700",doll_15.85 m,doll_15.85 m
doll_10.2 m,doll_2.85 m,"3,264,000",doll_10.2 m,doll_10.2 m
doll_8.12 m,doll_4.31 m,"2,601,485",doll_8.12 m,doll_8.12 m
doll_3.66 m,doll_4.82 m,"1,171,373",doll_3.66 m,doll_3.66 m
doll_57.77 m,doll_91.54 m,"18,649,681",doll_57.77 m,doll_57.77 m
doll_7.88 m,doll_3.92 m,"2,531,055",doll_7.88 m,doll_7.88 m
doll_1.97 m,doll_2.51 m,"633,990",doll_1.97 m,doll_1.97 m
doll_3.14 m,doll_2.63 m,"1,009,846",doll_3.14 m,doll_3.14 m
doll_5.63 m,doll_1.63 m,"1,815,835",doll_5.63 m,doll_5.63 m
doll_6.74 m,doll_12.47 m,"2,177,950",doll_6.74 m,doll_6.74 m
doll_6.57 m,doll_6.3 m,"2,124,990",doll_6.57 m,doll_6.57 m
doll_13.26 m,doll_1.65 m,"4,693,330",doll_13.26 m,doll_13.26 m
doll_3.98 m,doll_1.51 m,"1,290,312",doll_3.98 m,doll_3.98 m
doll_3.35 m,doll_14.00 m,"1,087,520",doll_3.35 m,doll_3.35 m
doll_7.7 m,doll_6.99 m,"2,498,792",doll_7.7 m,doll_7.7 m
doll_9.48 m,doll_9.05 m,"3,080,610",doll_9.48 m,doll_9.48 m
doll_5.41 m,doll_179.53 m,"1,759,490",doll_5.41 m,doll_5.41 m
doll_2.05 m,doll_4.83 m,"667,837",doll_2.05 m,doll_2.05 m
doll_3.29 m,doll_380.27 m,"1,072,117",doll_3.29 m,doll_3.29 m
doll_70.39 m,doll_7.66 m,"23,141,358",doll_70.39 m,doll_70.39 m
doll_10.45 m,doll_2.68 m,"3,730,405",doll_10.45 m,doll_10.45 m
doll_3.15 m,doll_2.93 m,"1,031,988",doll_3.15 m,doll_3.15 m
doll_8.71 m,doll_12.7 m,"2,850,000",doll_8.71 m,doll_8.71 m
doll_2.2 m,doll_2.3 m,"720,650",doll_2.2 m,doll_2.2 m
doll_14.73 m,doll_5.40 m,"4,832,212",doll_14.73 m,doll_14.73 m
doll_3.83 m,doll_2.08 m,"1,263,420",doll_3.83 m,doll_3.83 m
doll_5.89 m,doll_5.88 m,"1,944,720",doll_5.89 m,doll_5.89 m
doll_4.79 m,doll_1.15 m,"1,585,727",doll_4.79 m,doll_4.79 m
doll_8.27 m,doll_3.22 m,"2,737,704",doll_8.27 m,doll_8.27 m
doll_2.62 m,doll_2.93 m,"868,406",doll_2.62 m,doll_2.62 m
doll_2.57 m,doll_118.63 m,"989,785",doll_2.57 m,doll_2.57 m
doll_3.54 m,doll_10.05 m,"1,173,908",doll_3.54 m,doll_3.54 m
doll_1.78 m,doll_1.6 m,"590,642",doll_1.78 m,doll_1.78 m
doll_16.6 m,doll_4.74 m,"5,561,585",doll_16.6 m,doll_16.6 m
doll_24.11 m,doll_2.4 m,"8,022,358",doll_24.11 m,doll_24.11 m
doll_3.42 m,doll_7.07 m,"1,140,000",doll_3.42 m,doll_3.42 m
doll_6.36 m,doll_14.55 m,"2,119,022",doll_6.36 m,doll_6.36 m
doll_3.23 m,doll_46.67 m,"1,078,808",doll_3.23 m,doll_3.23 m
doll_2.33 m,doll_7.18 m,"777,849",doll_2.33 m,doll_2.33 m
doll_11.9 m,doll_17.49 m,"3,973,460",doll_11.9 m,doll_11.9 m
doll_6.18 m,doll_26.89 m,"2,065,220",doll_6.18 m,doll_6.18 m
doll_3.31 m,doll_2.51 m,"1,105,569",doll_3.31 m,doll_3.31 m
doll_72.5 m,doll_1.67 m,"24,429,686",doll_72.5 m,doll_72.5 m
doll_25.45 m,doll_3.0 m,"8,527,777",doll_25.45 m,doll_25.45 m
doll_45.62 m,doll_29.73 m,"15,292,051",doll_45.62 m,doll_45.62 m
doll_7.07 m,doll_2.48 m,"2,370,645",doll_7.07 m,doll_7.07 m
doll_2.25 m,doll_452.36 m,"753,352",doll_2.25 m,doll_2.25 m
doll_11.53 m,doll_3.87 m,"3,880,663",doll_11.53 m,doll_11.53 m
doll_2.4 m,doll_6.28 m,"808,700",doll_2.4 m,doll_2.4 m
doll_9.98 m,doll_26.86 m,"3,450,305",doll_9.98 m,doll_9.98 m
doll_33.9 m,doll_290.96 m,"11,484,801",doll_33.9 m,doll_33.9 m
doll_2.32 m,doll_250.93 m,"787,160",doll_2.32 m,doll_2.32 m
doll_15.14 m,doll_1.61 m,"5,137,900",doll_15.14 m,doll_15.14 m
doll_5.59 m,doll_2.91 m,"1,897,650",doll_5.59 m,doll_5.59 m
doll_3.11 m,doll_47.72 m,"1,126,971",doll_3.11 m,doll_3.11 m
doll_12.47 m,doll_19.1 m,"4,245,861",doll_12.47 m,doll_12.47 m
doll_4.29 m,doll_6.58 m,"1,461,226",doll_4.29 m,doll_4.29 m
doll_3.89 m,doll_11.10 m,"1,326,082",doll_3.89 m,doll_3.89 m
doll_2.12 m,doll_226.37 m,"722,795",doll_2.12 m,doll_2.12 m
doll_5.32 m,doll_268.91 m,"1,818,032",doll_5.32 m,doll_5.32 m
doll_2.83 m,doll_5.41 m,"964,998",doll_2.83 m,doll_2.83 m
doll_22.56 m,doll_5.13 m,"7,709,375",doll_22.56 m,doll_22.56 m
doll_20.48 m,doll_36.79 m,"7,000,063",doll_20.48 m,doll_20.48 m
doll_1.9 m,doll_6.71 m,"650,000",doll_1.9 m,doll_1.9 m
doll_2.41 m,doll_8.47 m,"828,820",doll_2.41 m,doll_2.41 m
doll_3.41 m,doll_3.93 m,"1,181,642",doll_3.41 m,doll_3.41 m
doll_42.53 m,doll_2.8 m,"14,649,568",doll_42.53 m,doll_42.53 m
doll_4.05 m,doll_8.40 m,"1,395,607",doll_4.05 m,doll_4.05 m
doll_10.26 m,doll_1.59 m,"3,868,483",doll_10.26 m,doll_10.26 m
doll_140.44 m,doll_31.40 m,"48,449,141",doll_140.44 m,doll_140.44 m
doll_18.1 m,doll_2.28 m,"6,246,592",doll_18.1 m,doll_18.1 m
doll_42.01 m,doll_27.99 m,"14,500,000",doll_42.01 m,doll_42.01 m
doll_2.09 m,doll_10.08 m,"723,064",doll_2.09 m,doll_2.09 m
doll_36.22 m,doll_13.50 m,"12,554,325",doll_36.22 m,doll_36.22 m
doll_9.31 m,doll_2.12 m,"3,226,280",doll_9.31 m,doll_9.31 m
doll_1.66 m,doll_6.69 m,"575,120",doll_1.66 m,doll_1.66 m
doll_108.76 m,doll_3.3 m,"37,992,902",doll_108.76 m,doll_108.76 m
doll_2.01 m,doll_6.2 m,"698,300",doll_2.01 m,doll_2.01 m
doll_18.76 m,doll_23.62 m,"6,564,162",doll_18.76 m,doll_18.76 m
doll_8.1 m,doll_9.02 m,"2,818,652",doll_8.1 m,doll_8.1 m
doll_55.56 m,doll_31.41 m,"19,351,090",doll_55.56 m,doll_55.56 m
doll_1.95 m,doll_3.00 m,"685,567",doll_1.95 m,doll_1.95 m
doll_3.04 m,doll_11.29 m,"1,060,000",doll_3.04 m,doll_3.04 m
doll_6.63 m,doll_16.96 m,"2,329,522",doll_6.63 m,doll_6.63 m
doll_1.51 m,doll_138.94 m,"527,910",doll_1.51 m,doll_1.51 m
doll_105.15 m,doll_1.83 m,"36,995,102",doll_105.15 m,doll_105.15 m
doll_6.63 m,doll_9.92 m,"2,322,241",doll_6.63 m,doll_6.63 m
doll_10.51 m,doll_1.62 m,"3,686,000",doll_10.51 m,doll_10.51 m
doll_1.87 m,doll_42.0 m,"659,402",doll_1.87 m,doll_1.87 m
doll_7.0 m,doll_11.63 m,"2,462,478",doll_7.0 m,doll_7.0 m
doll_4.04 m,doll_3.10 m,"1,424,633",doll_4.04 m,doll_4.04 m
doll_16.75 m,doll_1.82 m,"5,915,499",doll_16.75 m,doll_16.75 m
doll_11.26 m,doll_4.78 m,"3,977,562",doll_11.26 m,doll_11.26 m
doll_4.5 m,doll_44.86 m,"1,592,170",doll_4.5 m,doll_4.5 m
doll_2.89 m,doll_119.83 m,"1,022,714",doll_2.89 m,doll_2.89 m
doll_1.81 m,doll_42.35 m,"647,020",doll_1.81 m,doll_1.81 m
doll_6.44 m,doll_19.37 m,"2,281,929",doll_6.44 m,doll_6.44 m
doll_17.89 m,doll_3.33 m,"6,381,674",doll_17.89 m,doll_17.89 m
doll_1.64 m,doll_3.57 m,"581,520",doll_1.64 m,doll_1.64 m
doll_5.04 m,doll_1.5 m,"1,799,189",doll_5.04 m,doll_5.04 m
doll_80.07 m,doll_1.91 m,"28,668,484",doll_80.07 m,doll_80.07 m
doll_5.47 m,doll_3.45 m,"1,944,000",doll_5.47 m,doll_5.47 m
doll_3.39 m,doll_1.47 m,"1,207,009",doll_3.39 m,doll_3.39 m
doll_83.04 m,doll_3.45 m,"29,564,866",doll_83.04 m,doll_83.04 m
doll_4.08 m,doll_1.89 m,"1,586,246",doll_4.08 m,doll_4.08 m
doll_2.44 m,doll_6.80 m,"867,960",doll_2.44 m,doll_2.44 m
doll_11.83 m,doll_214.87 m,"4,608,343",doll_11.83 m,doll_11.83 m
doll_6.36 m,doll_6.59 m,"2,269,510",doll_6.36 m,doll_6.36 m
doll_4.99 m,doll_24.72 m,"1,778,890",doll_4.99 m,doll_4.99 m
doll_8.79 m,doll_1.6 m,"3,137,630",doll_8.79 m,doll_8.79 m
doll_1.51 m,doll_2.6 m,"554,004",doll_1.51 m,doll_1.51 m
doll_3.87 m,doll_37.51 m,"1,386,701",doll_3.87 m,doll_3.87 m
doll_11.28 m,doll_1.77 m,"4,040,060",doll_11.28 m,doll_11.28 m
doll_7.84 m,doll_67.32 m,"2,809,036",doll_7.84 m,doll_7.84 m
doll_4.49 m,doll_6.20 m,"1,610,149",doll_4.49 m,doll_4.49 m
doll_3.02 m,doll_31.12 m,"1,083,821",doll_3.02 m,doll_3.02 m
doll_3.45 m,doll_27.99 m,"1,241,760",doll_3.45 m,doll_3.45 m
doll_15.08 m,doll_33.53 m,"5,547,537",doll_15.08 m,doll_15.08 m
doll_2.79 m,doll_38.02 m,"1,006,280",doll_2.79 m,doll_2.79 m
doll_30.27 m,doll_16.01 m,"10,925,375",doll_30.27 m,doll_30.27 m
doll_31.04 m,doll_3.23 m,"11,207,566",doll_31.04 m,doll_31.04 m
doll_2.32 m,doll_2.43 m,"838,200",doll_2.32 m,doll_2.32 m
doll_9.32 m,doll_1.6 m,"3,372,820",doll_9.32 m,doll_9.32 m
doll_34.41 m,doll_2.01 m,"12,479,120",doll_34.41 m,doll_34.41 m
doll_1.58 m,doll_17.87 m,"574,487",doll_1.58 m,doll_1.58 m
doll_2.84 m,doll_657.91 m,"1,028,730",doll_2.84 m,doll_2.84 m
doll_22.42 m,doll_1.88 m,"8,362,568",doll_22.42 m,doll_22.42 m
doll_16.26 m,doll_2.15 m,"5,908,517",doll_16.26 m,doll_16.26 m
doll_3.96 m,doll_36.66 m,"1,438,184",doll_3.96 m,doll_3.96 m
doll_2.2 m,doll_8.87 m,"800,000",doll_2.2 m,doll_2.2 m
doll_13.17 m,doll_28.0 m,"4,788,000",doll_13.17 m,doll_13.17 m
doll_5.5 m,doll_3.37 m,"2,003,540",doll_5.5 m,doll_5.5 m
doll_2.23 m,doll_87.0 m,"944,107",doll_2.23 m,doll_2.23 m
doll_2.15 m,doll_6.03 m,"783,460",doll_2.15 m,doll_2.15 m
doll_83.98 m,doll_36.56 m,"31,477,723",doll_83.98 m,doll_83.98 m
doll_9.64 m,doll_2.27 m,"3,517,519",doll_9.64 m,doll_9.64 m
doll_33.08 m,doll_13.97 m,"12,074,454",doll_33.08 m,doll_33.08 m
doll_16.5 m,doll_1.12 m,"6,024,830",doll_16.5 m,doll_16.5 m
doll_4.07 m,doll_22.66 m,"1,488,875",doll_4.07 m,doll_4.07 m
doll_6.97 m,doll_11.03 m,"2,550,263",doll_6.97 m,doll_6.97 m
doll_25.36 m,doll_5.74 m,"9,283,620",doll_25.36 m,doll_25.36 m
doll_4.54 m,doll_3.73 m,"1,699,234",doll_4.54 m,doll_4.54 m
doll_1.58 m,doll_1.8 m,"579,436",doll_1.58 m,doll_1.58 m
doll_2.73 m,doll_10.3 m,"1,010,498",doll_2.73 m,doll_2.73 m
doll_10.37 m,doll_8.26 m,"3,811,605",doll_10.37 m,doll_10.37 m
doll_4.06 m,doll_0.0 m,"1,632,988",doll_4.06 m,doll_4.06 m
doll_68.01 m,doll_157.75 m,"25,003,047",doll_68.01 m,doll_68.01 m
doll_6.01 m,doll_10.84 m,"2,210,651",doll_6.01 m,doll_6.01 m
doll_2.24 m,doll_6.35 m,"823,381",doll_2.24 m,doll_2.24 m
doll_6.2 m,doll_18.11 m,"2,287,420",doll_6.2 m,doll_6.2 m
doll_3.56 m,doll_309.31 m,"1,314,806",doll_3.56 m,doll_3.56 m
doll_2.36 m,doll_5.80 m,"870,070",doll_2.36 m,doll_2.36 m
doll_3.19 m,doll_7.64 m,"1,178,653",doll_3.19 m,doll_3.19 m
doll_14.55 m,doll_1.62 m,"5,376,347",doll_14.55 m,doll_14.55 m
doll_92.8 m,doll_30.3 m,"34,291,000",doll_92.8 m,doll_92.8 m
doll_4.97 m,doll_4.5 m,"1,838,120",doll_4.97 m,doll_4.97 m
doll_16.69 m,doll_2.20 m,"6,170,577",doll_16.69 m,doll_16.69 m
doll_3.35 m,doll_4.02 m,"1,238,210",doll_3.35 m,doll_3.35 m
doll_4.02 m,doll_2.04 m,"1,490,280",doll_4.02 m,doll_4.02 m
doll_78.77 m,doll_14.09 m,"29,247,774",doll_78.77 m,doll_78.77 m
doll_5.39 m,doll_96.82 m,"2,006,100",doll_5.39 m,doll_5.39 m
doll_5.19 m,doll_31.08 m,"1,932,580",doll_5.19 m,doll_5.19 m
doll_18.62 m,doll_37.21 m,"7,576,080",doll_18.62 m,doll_18.62 m
doll_37.61 m,doll_6.01 m,"13,997,000",doll_37.61 m,doll_37.61 m
doll_9.51 m,doll_3.15 m,"3,620,585",doll_9.51 m,doll_9.51 m
doll_4.65 m,doll_2.9 m,"2,009,719",doll_4.65 m,doll_4.65 m
doll_20.39 m,doll_9.50 m,"7,606,472",doll_20.39 m,doll_20.39 m
doll_1.76 m,doll_31.48 m,"655,366",doll_1.76 m,doll_1.76 m
doll_14.11 m,doll_25.94 m,"5,268,390",doll_14.11 m,doll_14.11 m
doll_2.38 m,doll_3.63 m,"888,395",doll_2.38 m,doll_2.38 m
doll_2.13 m,doll_65.50 m,"794,770",doll_2.13 m,doll_2.13 m
doll_1.88 m,doll_14.98 m,"702,609",doll_1.88 m,doll_1.88 m
doll_13.44 m,doll_35.44 m,"5,023,015",doll_13.44 m,doll_13.44 m
doll_1.88 m,doll_3.6 m,"703,190",doll_1.88 m,doll_1.88 m
doll_22.84 m,doll_4.89 m,"8,552,857",doll_22.84 m,doll_22.84 m
doll_6.67 m,doll_3.26 m,"2,500,644",doll_6.67 m,doll_6.67 m
doll_15.6 m,doll_904.9 m,"5,851,000",doll_15.6 m,doll_15.6 m
doll_2.63 m,doll_6.39 m,"986,286",doll_2.63 m,doll_2.63 m
doll_4.64 m,doll_21.00 m,"1,741,112",doll_4.64 m,doll_4.64 m
doll_1.8 m,doll_5.06 m,"676,431",doll_1.8 m,doll_1.8 m
doll_3.91 m,doll_6.62 m,"1,467,195",doll_3.91 m,doll_3.91 m
doll_9.25 m,doll_31.14 m,"3,477,788",doll_9.25 m,doll_9.25 m
doll_29.08 m,doll_148.82 m,"10,944,325",doll_29.08 m,doll_29.08 m
doll_12.73 m,doll_24.89 m,"4,794,822",doll_12.73 m,doll_12.73 m
doll_38.96 m,doll_20.62 m,"14,683,064",doll_38.96 m,doll_38.96 m
doll_18.04 m,doll_17.58 m,"6,801,966",doll_18.04 m,doll_18.04 m
doll_36.96 m,doll_3.8 m,"14,051,407",doll_36.96 m,doll_36.96 m
doll_4.41 m,doll_3.4 m,"1,729,707",doll_4.41 m,doll_4.41 m
doll_6.3 m,doll_6.92 m,"2,395,445",doll_6.3 m,doll_6.3 m
doll_3.25 m,doll_2.22 m,"1,236,098",doll_3.25 m,doll_3.25 m
doll_2.41 m,doll_5.92 m,"910,386",doll_2.41 m,doll_2.41 m
doll_2.69 m,doll_7.37 m,"1,017,320",doll_2.69 m,doll_2.69 m
doll_5.76 m,doll_2.43 m,"2,199,126",doll_5.76 m,doll_5.76 m
doll_7.45 m,doll_1.74 m,"2,826,571",doll_7.45 m,doll_7.45 m
doll_4.61 m,doll_6.32 m,"1,749,794",doll_4.61 m,doll_4.61 m
doll_16.85 m,doll_2.2 m,"6,398,583",doll_16.85 m,doll_16.85 m
doll_3.07 m,doll_3.13 m,"1,167,000",doll_3.07 m,doll_3.07 m
doll_6.38 m,doll_5.4 m,"2,429,230",doll_6.38 m,doll_6.38 m
doll_42.0 m,doll_57.0 m,"16,000,000",doll_42.0 m,doll_42.0 m
doll_11.65 m,doll_11.65 m,"4,443,710",doll_11.65 m,doll_11.65 m
doll_2.8 m,doll_2.89 m,"1,071,090",doll_2.8 m,doll_2.8 m
doll_1.77 m,doll_2.29 m,"675,645",doll_1.77 m,doll_1.77 m
doll_23.58 m,doll_1.31 m,"9,009,270",doll_23.58 m,doll_23.58 m
doll_6.3 m,doll_4.63 m,"2,409,730",doll_6.3 m,doll_6.3 m
doll_4.97 m,doll_28.67 m,"1,900,000",doll_4.97 m,doll_4.97 m
doll_4.85 m,doll_2.01 m,"1,897,113",doll_4.85 m,doll_4.85 m
doll_1.67 m,doll_26.24 m,"639,410",doll_1.67 m,doll_1.67 m
doll_24.87 m,doll_6.84 m,"9,515,000",doll_24.87 m,doll_24.87 m
doll_33.14 m,doll_6.62 m,"12,686,177",doll_33.14 m,doll_33.14 m
doll_10.75 m,doll_2.82 m,"4,117,340",doll_10.75 m,doll_10.75 m
doll_37.39 m,doll_9.27 m,"14,327,610",doll_37.39 m,doll_37.39 m
doll_74.72 m,doll_15.6 m,"28,939,861",doll_74.72 m,doll_74.72 m
doll_5.68 m,doll_2.82 m,"2,233,448",doll_5.68 m,doll_5.68 m
doll_1.55 m,doll_7.27 m,"596,906",doll_1.55 m,doll_1.55 m
doll_16.2 m,doll_1.85 m,"6,278,456",doll_16.2 m,doll_16.2 m
doll_7.7 m,doll_20.92 m,"2,968,892",doll_7.7 m,doll_7.7 m
doll_2.59 m,doll_23.62 m,"997,518",doll_2.59 m,doll_2.59 m
doll_8.86 m,doll_153.02 m,"3,417,536",doll_8.86 m,doll_8.86 m
doll_62.95 m,doll_221.39 m,"24,320,734",doll_62.95 m,doll_62.95 m
doll_1.71 m,doll_1.67 m,"661,860",doll_1.71 m,doll_1.71 m
doll_2.6 m,doll_20.05 m,"1,005,658",doll_2.6 m,doll_2.6 m
doll_23.67 m,doll_3.4 m,"9,161,867",doll_23.67 m,doll_23.67 m
doll_9.41 m,doll_43.4 m,"3,647,000",doll_9.41 m,doll_9.41 m
doll_11.67 m,doll_1.88 m,"4,526,000",doll_11.67 m,doll_11.67 m
doll_2.7 m,doll_99.59 m,"900,686",doll_2.7 m,doll_2.7 m
doll_3.36 m,doll_10.48 m,"1,302,640",doll_3.36 m,doll_3.36 m
doll_17.29 m,doll_26.70 m,"6,712,146",doll_17.29 m,doll_17.29 m
doll_5.3 m,doll_7.40 m,"2,059,190",doll_5.3 m,doll_5.3 m
