07-silvestri-revenue_2020,08-slytherin-revenue,01-DDD-revenue_2017_euro,01-DDD-revenue_2020_euro,03-gren-revenue_2020_eu
doll_6.89 m,doll_1.89 m,"530,667",doll_6.89 m,doll_6.89 m
doll_5.47 m,doll_8.35 m,"427,339",doll_5.47 m,doll_5.47 m
doll_3.79 m,doll_11.39 m,"299,598",doll_3.79 m,doll_3.79 m
doll_1.72 m,doll_271.48 m,"159,128",doll_1.72 m,doll_1.72 m
doll_79.3 m,doll_9.16 m,"6,753,191",doll_79.3 m,doll_79.3 m
doll_3.03 m,doll_28.7 m,"242,368",doll_3.03 m,doll_3.03 m
doll_15.88 m,doll_14.54 m,"1,281,462",doll_15.88 m,doll_15.88 m
doll_1.63 m,doll_5.62 m,"131,691",doll_1.63 m,doll_1.63 m
doll_7.66 m,doll_3.77 m,"620,283",doll_7.66 m,doll_7.66 m
doll_2.68 m,doll_20.56 m,"252,713",doll_2.68 m,doll_2.68 m
doll_10.05 m,doll_26.85 m,"815,690",doll_10.05 m,doll_10.05 m
doll_1.6 m,doll_13.04 m,"130,290",doll_1.6 m,doll_1.6 m
doll_26.89 m,doll_21.46 m,"2,201,178",doll_26.89 m,doll_26.89 m
doll_2.51 m,doll_35.35 m,"207,327",doll_2.51 m,doll_2.51 m
doll_1.61 m,doll_43.7 m,"133,200",doll_1.61 m,doll_1.61 m
doll_2.91 m,doll_3.23 m,"241,411",doll_2.91 m,doll_2.91 m
doll_6.71 m,doll_35.34 m,"560,150",doll_6.71 m,doll_6.71 m
doll_8.47 m,doll_15.84 m,"712,855",doll_8.47 m,doll_8.47 m
doll_2.12 m,doll_3.05 m,"180,824",doll_2.12 m,doll_2.12 m
doll_6.69 m,doll_7.23 m,"570,012",doll_6.69 m,doll_6.69 m
doll_1.83 m,doll_6.7 m,"156,130",doll_1.83 m,doll_1.83 m
doll_9.92 m,doll_36.1 m,"855,321",doll_9.92 m,doll_9.92 m
doll_3.33 m,doll_67.91 m,"288,095",doll_3.33 m,doll_3.33 m
doll_24.72 m,doll_37.92 m,"2,326,082",doll_24.72 m,doll_24.72 m
doll_16.01 m,doll_13.85 m,"1,383,205",doll_16.01 m,doll_16.01 m
doll_3.23 m,doll_12.64 m,"281,000",doll_3.23 m,doll_3.23 m
doll_8.87 m,doll_5.21 m,"777,410",doll_8.87 m,doll_8.87 m
doll_28.0 m,doll_1.47 m,"2,527,006",doll_28.0 m,doll_28.0 m
doll_5.74 m,doll_13.62 m,"522,712",doll_5.74 m,doll_5.74 m
doll_3.73 m,doll_14.34 m,"337,525",doll_3.73 m,doll_3.73 m
doll_7.64 m,doll_6.85 m,"692,440",doll_7.64 m,doll_7.64 m
doll_6.01 m,doll_8.81 m,"551,000",doll_6.01 m,doll_6.01 m
doll_3.6 m,doll_6.7 m,"330,500",doll_3.6 m,doll_3.6 m
doll_4.89 m,doll_30.07 m,"455,000",doll_4.89 m,doll_4.89 m
doll_17.58 m,doll_79.68 m,"1,643,572",doll_17.58 m,doll_17.58 m
doll_2.2 m,doll_13.45 m,"205,554",doll_2.2 m,doll_2.2 m
doll_6.84 m,doll_1.70 m,"643,299",doll_6.84 m,doll_6.84 m
doll_6.62 m,doll_14.73 m,"628,384",doll_6.62 m,doll_6.62 m
doll_221.39 m,doll_1.93 m,"21,098,843",doll_221.39 m,doll_221.39 m
doll_1.67 m,doll_6.56 m,"160,539",doll_1.67 m,doll_1.67 m
doll_22.14 m,doll_21.85 m,"2,131,000",doll_22.14 m,doll_22.14 m
doll_15.49 m,doll_11.58 m,"1,521,010",doll_15.49 m,doll_15.49 m
doll_2.02 m,doll_30.89 m,"194,780",doll_2.02 m,doll_2.02 m
doll_3.0 m,doll_148.23 m,"291,720",doll_3.0 m,doll_3.0 m
doll_1.72 m,doll_7.07 m,"167,000",doll_1.72 m,doll_1.72 m
doll_5.64 m,doll_13.5 m,"552,355",doll_5.64 m,doll_5.64 m
doll_12.79 m,doll_26.25 m,"1,269,382",doll_12.79 m,doll_12.79 m
doll_43.81 m,doll_32.98 m,"4,340,517",doll_43.81 m,doll_43.81 m
doll_2.52 m,doll_7.84 m,"249,975",doll_2.52 m,doll_2.52 m
doll_1.57 m,doll_4.52 m,"156,300",doll_1.57 m,doll_1.57 m
doll_2.03 m,doll_9.40 m,"204,620",doll_2.03 m,doll_2.03 m
doll_26.63 m,doll_23.05 m,"2,693,390",doll_26.63 m,doll_26.63 m
doll_29.62 m,doll_14.59 m,"3,058,141",doll_29.62 m,doll_29.62 m
doll_20.83 m,doll_6.26 m,"2,456,563",doll_20.83 m,doll_20.83 m
doll_2.27 m,doll_9.01 m,"230,800",doll_2.27 m,doll_2.27 m
doll_18.2 m,doll_8.38 m,"1,870,109",doll_18.2 m,doll_18.2 m
doll_72.04 m,doll_21.3 m,"7,450,099",doll_72.04 m,doll_72.04 m
doll_2.71 m,doll_23.06 m,"280,390",doll_2.71 m,doll_2.71 m
doll_11.5 m,doll_7.5 m,"1,217,338",doll_11.5 m,doll_11.5 m
doll_5.02 m,doll_57.65 m,"529,371",doll_5.02 m,doll_5.02 m
doll_66.15 m,doll_2.03 m,"7,177,912",doll_66.15 m,doll_66.15 m
doll_4.05 m,doll_3.98 m,"429,505",doll_4.05 m,doll_4.05 m
doll_19.45 m,doll_1.00 m,"2,096,570",doll_19.45 m,doll_19.45 m
doll_4.44 m,doll_15.70 m,"479,290",doll_4.44 m,doll_4.44 m
doll_6.8 m,doll_2.84 m,"735,758",doll_6.8 m,doll_6.8 m
doll_3.46 m,doll_10.18 m,"374,200",doll_3.46 m,doll_3.46 m
doll_4.71 m,doll_16.14 m,"530,785",doll_4.71 m,doll_4.71 m
doll_4.86 m,doll_13.89 m,"533,144",doll_4.86 m,doll_4.86 m
doll_2.81 m,doll_5.9 m,"308,810",doll_2.81 m,doll_2.81 m
doll_2.27 m,doll_6.18 m,"252,871",doll_2.27 m,doll_2.27 m
doll_9.39 m,doll_7.4 m,"1,052,796",doll_9.39 m,doll_9.39 m
doll_26.53 m,doll_100.98 m,"3,046,667",doll_26.53 m,doll_26.53 m
doll_8.61 m,doll_16.29 m,"1,057,443",doll_8.61 m,doll_8.61 m
doll_2.11 m,doll_7.79 m,"237,410",doll_2.11 m,doll_2.11 m
doll_11.12 m,doll_11.26 m,"1,255,372",doll_11.12 m,doll_11.12 m
doll_156.62 m,doll_18.21 m,"18,035,029",doll_156.62 m,doll_156.62 m
doll_22.39 m,doll_7.32 m,"2,531,000",doll_22.39 m,doll_22.39 m
doll_4.87 m,doll_6.24 m,"551,128",doll_4.87 m,doll_4.87 m
doll_2.41 m,doll_6.46 m,"273,552",doll_2.41 m,doll_2.41 m
doll_2.6 m,doll_22.39 m,"299,988",doll_2.6 m,doll_2.6 m
doll_11.59 m,doll_11.7 m,"1,340,430",doll_11.59 m,doll_11.59 m
doll_1.98 m,doll_13.65 m,"228,982",doll_1.98 m,doll_1.98 m
doll_4.88 m,doll_42.93 m,"570,564",doll_4.88 m,doll_4.88 m
doll_5.59 m,doll_2.73 m,"651,170",doll_5.59 m,doll_5.59 m
doll_2.24 m,doll_88.58 m,"262,280",doll_2.24 m,doll_2.24 m
doll_3.4 m,doll_4.55 m,"400,000",doll_3.4 m,doll_3.4 m
doll_18.03 m,doll_94.35 m,"2,133,310",doll_18.03 m,doll_18.03 m
doll_17.06 m,doll_5.57 m,"2,025,879",doll_17.06 m,doll_17.06 m
doll_15.25 m,doll_5.19 m,"1,815,680",doll_15.25 m,doll_15.25 m
doll_18.94 m,doll_8.04 m,"2,264,940",doll_18.94 m,doll_18.94 m
doll_2.46 m,doll_7.7 m,"295,731",doll_2.46 m,doll_2.46 m
doll_2.18 m,doll_8.3 m,"305,268",doll_2.18 m,doll_2.18 m
doll_2.63 m,doll_7.21 m,"327,218",doll_2.63 m,doll_2.63 m
doll_1.58 m,doll_8.40 m,"191,679",doll_1.58 m,doll_1.58 m
doll_11.09 m,doll_24.79 m,"1,349,733",doll_11.09 m,doll_11.09 m
doll_3.94 m,doll_2.87 m,"481,510",doll_3.94 m,doll_3.94 m
doll_6.64 m,doll_2.66 m,"812,371",doll_6.64 m,doll_6.64 m
doll_210.95 m,doll_4.26 m,"26,112,757",doll_210.95 m,doll_210.95 m
doll_12.68 m,doll_1.88 m,"1,575,522",doll_12.68 m,doll_12.68 m
doll_60.07 m,doll_27.96 m,"7,415,334",doll_60.07 m,doll_60.07 m
doll_6.74 m,doll_121.31 m,"833,230",doll_6.74 m,doll_6.74 m
doll_8.98 m,doll_1376.44 m,"1,119,178",doll_8.98 m,doll_8.98 m
doll_1.97 m,doll_5.1 m,"249,818",doll_1.97 m,doll_1.97 m
doll_50.72 m,doll_7.47 m,"6,280,267",doll_50.72 m,doll_50.72 m
doll_40.31 m,doll_1.36 m,"5,026,349",doll_40.31 m,doll_40.31 m
doll_3.52 m,doll_2.55 m,"440,369",doll_3.52 m,doll_3.52 m
doll_10.5 m,doll_1.46 m,"1,315,000",doll_10.5 m,doll_10.5 m
doll_70.18 m,doll_7.32 m,"8,811,708",doll_70.18 m,doll_70.18 m
doll_9.02 m,doll_4.43 m,"1,134,730",doll_9.02 m,doll_9.02 m
doll_155.6 m,doll_28.30 m,"19,757,296",doll_155.6 m,doll_155.6 m
doll_6.32 m,doll_11.3 m,"796,207",doll_6.32 m,doll_6.32 m
doll_19.42 m,doll_4.54 m,"2,448,858",doll_19.42 m,doll_19.42 m
doll_103.63 m,doll_8.81 m,"13,157,000",doll_103.63 m,doll_103.63 m
doll_77.76 m,doll_6.0 m,"10,152,222",doll_77.76 m,doll_77.76 m
doll_3.92 m,doll_13.12 m,"500,440",doll_3.92 m,doll_3.92 m
doll_3.96 m,doll_25.60 m,"506,730",doll_3.96 m,doll_3.96 m
doll_1.75 m,doll_2.84 m,"225,964",doll_1.75 m,doll_1.75 m
doll_30.41 m,doll_2.62 m,"3,989,355",doll_30.41 m,doll_30.41 m
doll_3.92 m,doll_6.68 m,"504,357",doll_3.92 m,doll_3.92 m
doll_4.25 m,doll_2.99 m,"548,180",doll_4.25 m,doll_4.25 m
doll_4.07 m,doll_1.84 m,"524,750",doll_4.07 m,doll_4.07 m
doll_2.13 m,doll_3.58 m,"274,966",doll_2.13 m,doll_2.13 m
doll_1.66 m,doll_7.0 m,"214,713",doll_1.66 m,doll_1.66 m
doll_5.74 m,doll_11.8 m,"755,191",doll_5.74 m,doll_5.74 m
doll_57.38 m,doll_15.42 m,"7,522,000",doll_57.38 m,doll_57.38 m
doll_11.86 m,doll_3.51 m,"1,556,607",doll_11.86 m,doll_11.86 m
doll_15.65 m,doll_2.12 m,"2,058,315",doll_15.65 m,doll_15.65 m
doll_63.88 m,doll_4.38 m,"8,508,398",doll_63.88 m,doll_63.88 m
doll_19.43 m,doll_3.46 m,"2,570,000",doll_19.43 m,doll_19.43 m
doll_197.26 m,doll_22.76 m,"26,626,422",doll_197.26 m,doll_197.26 m
doll_4.11 m,doll_3.51 m,"546,226",doll_4.11 m,doll_4.11 m
doll_20.2 m,doll_210.56 m,"2,708,983",doll_20.2 m,doll_20.2 m
doll_7.32 m,doll_5.82 m,"975,140",doll_7.32 m,doll_7.32 m
doll_2.16 m,doll_6.73 m,"316,525",doll_2.16 m,doll_2.16 m
doll_6.56 m,doll_4.4 m,"884,885",doll_6.56 m,doll_6.56 m
doll_4.15 m,doll_39.9 m,"559,778",doll_4.15 m,doll_4.15 m
doll_15.87 m,doll_6.72 m,"2,146,950",doll_15.87 m,doll_15.87 m
doll_2.5 m,doll_5.37 m,"340,000",doll_2.5 m,doll_2.5 m
doll_7.65 m,doll_6.13 m,"1,062,649",doll_7.65 m,doll_7.65 m
doll_4.53 m,doll_1.16 m,"621,636",doll_4.53 m,doll_4.53 m
doll_2.57 m,doll_19.12 m,"350,019",doll_2.57 m,doll_2.57 m
doll_2.42 m,doll_1.57 m,"330,522",doll_2.42 m,doll_2.42 m
doll_2.99 m,doll_3.19 m,"410,520",doll_2.99 m,doll_2.99 m
doll_14.94 m,doll_4.49 m,"2,051,133",doll_14.94 m,doll_14.94 m
doll_4.8 m,doll_56.02 m,"674,805",doll_4.8 m,doll_4.8 m
doll_4.88 m,doll_4.18 m,"670,685",doll_4.88 m,doll_4.88 m
doll_1.85 m,doll_5.33 m,"255,000",doll_1.85 m,doll_1.85 m
doll_24.58 m,doll_14.0 m,"3,417,815",doll_24.58 m,doll_24.58 m
doll_2.64 m,doll_7.06 m,"364,485",doll_2.64 m,doll_2.64 m
doll_111.54 m,doll_1.09 m,"15,653,388",doll_111.54 m,doll_111.54 m
doll_6.79 m,doll_10.35 m,"954,700",doll_6.79 m,doll_6.79 m
doll_352.88 m,doll_56.10 m,"49,833,511",doll_352.88 m,doll_352.88 m
doll_18.77 m,doll_10.66 m,"2,669,247",doll_18.77 m,doll_18.77 m
doll_2.0 m,doll_1.73 m,"309,471",doll_2.0 m,doll_2.0 m
