07-silvestri-revenue_2017,03-gren-revenue_2017_eu,01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct,01-DDD-revenue_2020_euro
"14,051,407",14051407,"14,051,407",164.93,doll_36.96 m
"1,729,707",1729707,"1,729,707",164.83,doll_4.41 m
"2,395,445",2395445,"2,395,445",164.78,doll_6.3 m
"1,236,098",1236098,"1,236,098",164.77,doll_3.25 m
"910,386",910386,"910,386",164.38,doll_2.41 m
"1,017,320",1017320,"1,017,320",163.97,doll_2.69 m
"2,199,126",2199126,"2,199,126",163.93,doll_5.76 m
"2,826,571",2826571,"2,826,571",163.42,doll_7.45 m
"1,749,794",1749794,"1,749,794",163.42,doll_4.61 m
"6,398,583",6398583,"6,398,583",163.27,doll_16.85 m
"1,167,000",1167000,"1,167,000",162.65,doll_3.07 m
"2,429,230",2429230,"2,429,230",162.51,doll_6.38 m
"16,000,000",16000000,"16,000,000",162.50,doll_42.0 m
"4,443,710",4443710,"4,443,710",162.17,doll_11.65 m
"1,071,090",1071090,"1,071,090",161.84,doll_2.8 m
"675,645",675645,"675,645",161.81,doll_1.77 m
"9,009,270",9009270,"9,009,270",161.72,doll_23.58 m
"2,409,730",2409730,"2,409,730",161.63,doll_6.3 m
"1,900,000",1900000,"1,900,000",161.58,doll_4.97 m
"1,897,113",1897113,"1,897,113",161.54,doll_4.85 m
"639,410",639410,"639,410",161.45,doll_1.67 m
"9,515,000",9515000,"9,515,000",161.37,doll_24.87 m
"12,686,177",12686177,"12,686,177",161.21,doll_33.14 m
"4,117,340",4117340,"4,117,340",161.11,doll_10.75 m
"14,327,610",14327610,"14,327,610",160.94,doll_37.39 m
"28,939,861",28939861,"28,939,861",160.04,doll_74.72 m
"2,233,448",2233448,"2,233,448",159.98,doll_5.68 m
"596,906",596906,"596,906",159.92,doll_1.55 m
"6,278,456",6278456,"6,278,456",159.81,doll_16.2 m
"2,968,892",2968892,"2,968,892",159.49,doll_7.7 m
"997,518",997518,"997,518",159.42,doll_2.59 m
"3,417,536",3417536,"3,417,536",159.33,doll_8.86 m
"24,320,734",24320734,"24,320,734",158.84,doll_62.95 m
"661,860",661860,"661,860",158.58,doll_1.71 m
"1,005,658",1005658,"1,005,658",158.40,doll_2.6 m
"9,161,867",9161867,"9,161,867",158.39,doll_23.67 m
"3,647,000",3647000,"3,647,000",157.99,doll_9.41 m
"4,526,000",4526000,"4,526,000",157.87,doll_11.67 m
"900,686",900686,"900,686",157.82,doll_2.7 m
"1,302,640",1302640,"1,302,640",157.62,doll_3.36 m
"6,712,146",6712146,"6,712,146",157.55,doll_17.29 m
"2,059,190",2059190,"2,059,190",157.40,doll_5.3 m
"5,144,442",5144442,"5,144,442",157.07,doll_13.22 m
"19,753,150",19753150,"19,753,150",156.87,doll_50.74 m
"916,000",916000,"916,000",156.44,doll_2.35 m
"21,717,432",21717432,"21,717,432",156.27,doll_56.05 m
"1,332,330",1332330,"1,332,330",155.74,doll_3.41 m
"6,909,799",6909799,"6,909,799",155.48,doll_19.3 m
"8,575,344",8575344,"8,575,344",155.39,doll_21.9 m
"1,382,844",1382844,"1,382,844",155.23,doll_3.53 m
"1,074,130",1074130,"1,074,130",155.02,doll_2.74 m
"22,805,398",22805398,"22,805,398",154.94,doll_58.14 m
"818,658",818658,"818,658",154.86,doll_2.09 m
"679,440",679440,"679,440",154.82,doll_1.73 m
"12,153,143",12153143,"12,153,143",154.81,doll_30.97 m
"7,399,729",7399729,"7,399,729",154.80,doll_18.85 m
"9,717,860",9717860,"9,717,860",154.60,doll_24.74 m
