07-silvestri-revenue_2017,03-gren-revenue_2017_eu,01-DDD-revenue_2017_euro,01-DDD-absolute_growth_rate_pct,01-DDD-revenue_2020_euro
"664,000",664000,"664,000","1,214.76",doll_8.73 m
"217,460",217460,"217,460","1,211.43",doll_2.85 m
"530,667",530667,"530,667","1,198.37",doll_6.89 m
"427,339",427339,"427,339","1,179.02",doll_5.47 m
"299,598",299598,"299,598","1,163.47",doll_3.79 m
"159,128",159128,"159,128","1,156.25",doll_1.72 m
"6,753,191",6753191,"6,753,191","1,151.36",doll_79.3 m
"242,368",242368,"242,368","1,150.62",doll_3.03 m
"1,281,462",1281462,"1,281,462","1,148.16",doll_15.88 m
"131,691",131691,"131,691","1,137.06",doll_1.63 m
"620,283",620283,"620,283","1,135.70",doll_7.66 m
"252,713",252713,"252,713","1,133.10",doll_2.68 m
"815,690",815690,"815,690","1,132.04",doll_10.05 m
"130,290",130290,"130,290","1,131.09",doll_1.6 m
"2,201,178",2201178,"2,201,178","1,121.82",doll_26.89 m
"207,327",207327,"207,327","1,111.76",doll_2.51 m
"133,200",133200,"133,200","1,110.84",doll_1.61 m
"241,411",241411,"241,411","1,103.81",doll_2.91 m
"560,150",560150,"560,150","1,097.84",doll_6.71 m
"712,855",712855,"712,855","1,087.64",doll_8.47 m
"180,824",180824,"180,824","1,075.04",doll_2.12 m
"570,012",570012,"570,012","1,073.57",doll_6.69 m
"156,130",156130,"156,130","1,072.49",doll_1.83 m
"855,321",855321,"855,321","1,068.59",doll_9.92 m
"288,095",288095,"288,095","1,065.09",doll_3.33 m
"2,326,082",2326082,"2,326,082","1,061.67",doll_24.72 m
"1,383,205",1383205,"1,383,205","1,057.21",doll_16.01 m
"281,000",281000,"281,000","1,049.47",doll_3.23 m
"777,410",777410,"777,410","1,041.38",doll_8.87 m
"2,527,006",2527006,"2,527,006","1,033.39",doll_28.0 m
"522,712",522712,"522,712","1,019.79",doll_5.74 m
"337,525",337525,"337,525","1,005.08",doll_3.73 m
"692,440",692440,"692,440","1,003.16",doll_7.64 m
"551,000",551000,"551,000",991.29,doll_6.01 m
"330,500",330500,"330,500",988.35,doll_3.6 m
"455,000",455000,"455,000",975.16,doll_4.89 m
"1,643,572",1643572,"1,643,572",969.96,doll_17.58 m
"205,554",205554,"205,554",968.54,doll_2.2 m
"643,299",643299,"643,299",964.02,doll_6.84 m
"628,384",628384,"628,384",954.24,doll_6.62 m
"21,098,843",21098843,"21,098,843",949.32,doll_221.39 m
"160,539",160539,"160,539",941.48,doll_1.67 m
"2,131,000",2131000,"2,131,000",938.81,doll_22.14 m
"1,521,010",1521010,"1,521,010",937.64,doll_15.49 m
"194,780",194780,"194,780",935.17,doll_2.02 m
"291,720",291720,"291,720",927.28,doll_3.0 m
"167,000",167000,"167,000",927.15,doll_1.72 m
"552,355",552355,"552,355",921.07,doll_5.64 m
"1,269,382",1269382,"1,269,382",914.74,doll_12.79 m
"4,340,517",4340517,"4,340,517",909.37,doll_43.81 m
"249,975",249975,"249,975",908.11,doll_2.52 m
"156,300",156300,"156,300",904.15,doll_1.57 m
"204,620",204620,"204,620",897.81,doll_2.03 m
"2,693,390",2693390,"2,693,390",888.84,doll_26.63 m
"3,058,141",3058141,"3,058,141",886.94,doll_29.62 m
"2,456,563",2456563,"2,456,563",884.55,doll_20.83 m
"230,800",230800,"230,800",882.56,doll_2.27 m
"1,870,109",1870109,"1,870,109",880.00,doll_18.2 m
"7,450,099",7450099,"7,450,099",867.03,doll_72.04 m
"280,390",280390,"280,390",866.15,doll_2.71 m
"1,217,338",1217338,"1,217,338",866.06,doll_11.5 m
"529,371",529371,"529,371",847.68,doll_5.02 m
"7,177,912",7177912,"7,177,912",842.47,doll_66.15 m
"429,505",429505,"429,505",842.21,doll_4.05 m
"2,096,570",2096570,"2,096,570",834.19,doll_19.45 m
"479,290",479290,"479,290",825.58,doll_4.44 m
"735,758",735758,"735,758",824.45,doll_6.8 m
"374,200",374200,"374,200",823.89,doll_3.46 m
"530,785",530785,"530,785",812.34,doll_4.71 m
"533,144",533144,"533,144",811.16,doll_4.86 m
"308,810",308810,"308,810",808.60,doll_2.81 m
"252,871",252871,"252,871",797.40,doll_2.27 m
"1,052,796",1052796,"1,052,796",792.08,doll_9.39 m
"3,046,667",3046667,"3,046,667",790.71,doll_26.53 m
"1,057,443",1057443,"1,057,443",789.96,doll_8.61 m
"237,410",237410,"237,410",787.93,doll_2.11 m
"1,255,372",1255372,"1,255,372",786.15,doll_11.12 m
"18,035,029",18035029,"18,035,029",785.05,doll_156.62 m
"2,531,000",2531000,"2,531,000",784.47,doll_22.39 m
"551,128",551128,"551,128",783.80,doll_4.87 m
"273,552",273552,"273,552",780.26,doll_2.41 m
"299,988",299988,"299,988",765.91,doll_2.6 m
"1,340,430",1340430,"1,340,430",764.38,doll_11.59 m
"228,982",228982,"228,982",763.88,doll_1.98 m
"570,564",570564,"570,564",761.93,doll_4.88 m
"651,170",651170,"651,170",758.51,doll_5.59 m
"262,280",262280,"262,280",753.42,doll_2.24 m
"400,000",400000,"400,000",750.00,doll_3.4 m
"2,133,310",2133310,"2,133,310",744.97,doll_18.03 m
"2,025,879",2025879,"2,025,879",744.07,doll_17.06 m
"1,815,680",1815680,"1,815,680",739.66,doll_15.25 m
"2,264,940",2264940,"2,264,940",736.20,doll_18.94 m
"295,731",295731,"295,731",731.33,doll_2.46 m
"305,268",305268,"305,268",731.00,doll_2.18 m
"327,218",327218,"327,218",727.39,doll_2.63 m
"191,679",191679,"191,679",722.29,doll_1.58 m
"1,349,733",1349733,"1,349,733",721.49,doll_11.09 m
"481,510",481510,"481,510",718.65,doll_3.94 m
"812,371",812371,"812,371",717.46,doll_6.64 m
"26,112,757",26112757,"26,112,757",713.62,doll_210.95 m
"1,575,522",1575522,"1,575,522",710.72,doll_12.68 m
"7,415,334",7415334,"7,415,334",710.04,doll_60.07 m
"833,230",833230,"833,230",708.86,doll_6.74 m
"1,119,178",1119178,"1,119,178",708.18,doll_8.98 m
"249,818",249818,"249,818",708.03,doll_1.97 m
"6,280,267",6280267,"6,280,267",707.67,doll_50.72 m
"5,026,349",5026349,"5,026,349",707.63,doll_40.31 m
"440,369",440369,"440,369",698.59,doll_3.52 m
"1,315,000",1315000,"1,315,000",698.46,doll_10.5 m
"8,811,708",8811708,"8,811,708",696.48,doll_70.18 m
"1,134,730",1134730,"1,134,730",695.08,doll_9.02 m
"19,757,296",19757296,"19,757,296",693.19,doll_155.6 m
"796,207",796207,"796,207",693.15,doll_6.32 m
"2,448,858",2448858,"2,448,858",693.05,doll_19.42 m
"13,157,000",13157000,"13,157,000",687.67,doll_103.63 m
"10,152,222",10152222,"10,152,222",683.39,doll_77.76 m
"500,440",500440,"500,440",682.63,doll_3.92 m
"506,730",506730,"506,730",681.63,doll_3.96 m
"225,964",225964,"225,964",680.23,doll_1.75 m
"3,989,355",3989355,"3,989,355",679.70,doll_30.41 m
"504,357",504357,"504,357",678.11,doll_3.92 m
"548,180",548180,"548,180",675.86,doll_4.25 m
"524,750",524750,"524,750",675.34,doll_4.07 m
"274,966",274966,"274,966",673.74,doll_2.13 m
"214,713",214713,"214,713",673.44,doll_1.66 m
"755,191",755191,"755,191",665.31,doll_5.74 m
