09-wissel-registration_date,09-wissel-deletion_date,09-wissel-code
17.06.2008,02.12.2009,11498227.0
12.01.2004,27.11.2006,10987970.0
21.12.2001,14.08.2007,10823808.0
30.09.2020,,16065549.0
19.08.2010,,11980711.0
03.09.2020,,16043081.0
15.10.2014,,12736290.0
16.04.2007,,11372397.0
15.07.1997,24.07.2003,10231723.0
25.06.2020,,14995529.0
09.05.2014,,80370455.0
10.03.1998,19.10.2001,10374865.0
30.07.2009,,11688465.0
12.06.2013,,12488490.0
20.07.2015,17.11.2015,12881359.0
04.08.2015,,12889214.0
20.10.2011,04.01.2013,12179990.0
12.01.2009,24.03.2010,11574632.0
21.08.2017,,14315322.0
30.01.1997,29.09.2000,10188223.0
13.09.2016,,14112748.0
24.04.2019,,14710886.0
07.12.2016,05.12.2022,14165392.0
04.11.2009,27.01.2017,11748463.0
28.02.2022,,16451377.0
20.03.2020,03.08.2020,14940639.0
20.07.2022,,16539362.0
29.08.2022,,16561769.0
07.09.1999,13.06.2013,10575109.0
06.07.2010,22.03.2016,11963351.0
13.05.2020,,14970535.0
23.11.2009,15.06.2012,11778783.0
20.10.2003,,10978764.0
15.05.2012,05.07.2017,80342298.0
14.12.2009,25.10.2012,11811196.0
23.09.2010,27.01.2011,11996801.0
08.07.2019,,14757356.0
11.03.2010,11.03.2013,11907387.0
29.03.2019,21.06.2019,14693219.0
07.12.2009,21.12.2010,11792814.0
27.11.2008,30.06.2009,11540685.0
03.12.2015,08.01.2018,12957973.0
11.10.2012,26.08.2015,12360407.0
17.08.2015,22.06.2016,12896355.0
30.03.2011,01.12.2017,12082960.0
04.01.2017,,14178842.0
03.12.2015,02.01.2017,12958091.0
13.02.2019,08.04.2021,14661389.0
24.05.2018,03.08.2018,14494796.0
18.11.2013,,12571788.0
14.10.2009,,11737347.0
27.03.2009,23.01.2013,11621260.0
07.04.2022,,16476348.0
13.11.2013,,12569113.0
27.04.2011,,12097068.0
28.06.2001,11.09.2015,10783173.0
21.01.2020,,14892344.0
15.03.2022,,16461177.0
15.11.2007,25.08.2017,11447879.0
29.07.2015,,12886144.0
26.07.2021,,16278128.0
21.11.2017,,14375287.0
23.03.2004,30.07.2013,80197554.0
23.01.2012,03.05.2013,12224360.0
03.04.1997,29.12.2005,10078227.0
15.03.2019,,14682799.0
28.04.2011,,12098004.0
06.12.2006,19.10.2011,11328755.0
03.01.2018,,14399885.0
24.05.2004,20.10.2014,11038268.0
25.03.2010,,11915180.0
18.06.2003,,10954976.0
07.12.2012,,12389210.0
15.01.2008,,11459813.0
09.12.2021,,16385746.0
22.03.2006,,80235154.0
16.01.2007,28.11.2017,11339463.0
27.06.1996,07.02.2000,10048686.0
19.04.2017,,14243775.0
01.07.2014,,12681732.0
18.06.2010,,11958031.0
19.06.2019,,14747004.0
14.07.2021,,16270762.0
27.04.2018,,14478679.0
16.05.2014,,12662611.0
25.02.2008,15.10.2019,11476728.0
12.11.2004,,11083785.0
14.03.2022,,16460063.0
15.06.1998,05.09.2008,80037916.0
15.12.2009,,11818927.0
06.04.2000,28.06.2016,10630713.0
