name,country,market_value_apr_2022,sector,stock
Alcon Inc.,switzerland,$38.90 B,healthcare,ALC
Ecopetrol SA,NULL,$38.69 B,NULL,EC
Baker Hughes Company,united states,$38.39 B,energy,BKR
"Banco Bilbao Vizcaya Argentaria, SA",spain,$38.25 B,financials,BBVA
Dell Technologies Inc.,united states,$38.16 B,technology,DELL
Kuaishou Technology,china,$38.15 B,communication services,1024
AB Volvo,sweden,$38.13 B,industrials,VOL4
Crédit Agricole SA,france,$38.01 B,financials,ACA
"Dollar Tree, Inc.",united states,$38.00 B,consumer staples,DLTR
SBA Communications Corporation,united states,$37.93 B,real estate,SBAC
Capgemini SE,france,$37.82 B,technology,CAP
Daiichi Sankyo Company Ltd,japan,$37.79 B,healthcare,4568
Compass Group plc,united kingdom,$37.73 B,consumer discretionary,CPG
Sartorius Stedim Biotech SA,france,$37.55 B,healthcare,DIM
PT Bank Rakyat Indonesia (Persero) Tbk,indonesia,NULL,financials,BYRA
Phillips 66,united states,$37.51 B,energy,PSX
Electronic Arts Inc.,united states,$37.38 B,communication services,EA
Trane Technologies plc,ireland,$37.36 B,industrials,TT
SMC Corp,japan,$37.08 B,industrials,6273
Parker-Hannifin Corporation,united states,$37.05 B,industrials,PH
"Tokio Marine Holdings, Inc.",japan,NULL,financials,8766
Jiangsu Hengrui Medicine Co. Ltd,china,$36.90 B,healthcare,600276
"Beijing-Shanghai High-Speed Railway Co.,Ltd.",china,$36.90 B,industrials,601816
Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,germany,$36.89 B,financials,MUV2
"DoorDash, Inc.",united states,$36.74 B,communication services,DASH
Shanghai Pudong Development Bank Co. Ltd,china,$36.72 B,financials,600000
Constellation Software Inc.,canada,$36.67 B,technology,CSU
Inner Mongolia Yili Industrial Group Co. Ltd,china,$36.61 B,consumer staples,600887
TELUS Corporation,canada,$36.37 B,communication services,T
Public Service Enterprise Group Incorporated,united states,$36.28 B,utilities,PEG
TransDigm Group Incorporated,united states,$36.14 B,industrials,TDG
"Waste Connections, Inc.",united states,$36.14 B,industrials,WCN
LyondellBasell Industries N.V.,united states,$35.96 B,basic materials,LYB
Danone SA,france,$35.93 B,consumer staples,BN
"Cloudflare, Inc.",united states,$35.92 B,technology,NET
NIO Limited,china,$35.86 B,consumer discretionary,NIO
"Coinbase Global, Inc.",united states,$35.86 B,technology,COIN
"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",china,$35.84 B,consumer staples,600809
Neste Oyj,finland,$35.57 B,energy,NESTE
ResMed Inc.,united states,$35.44 B,healthcare,RMD
Experian plc,ireland,$35.40 B,industrials,EXPN
"Intuitive Surgical, Inc.",united states,$35.37 B,healthcare,ISRG
Woolworths Group Limited,australia,$35.33 B,consumer staples,WOW
MPLX LP,united states,$35.27 B,energy,MPLX
Telstra Corporation Limited,australia,$35.24 B,communication services,TLS
Hexagon AB,sweden,$35.21 B,technology,HXG
Assicurazioni Generali,italy,$35.20 B,financials,G
"AvalonBay Communities, Inc.",united states,$35.19 B,real estate,AVB
Imperial Oil Limited,canada,$35.13 B,energy,IMO
"Yum! Brands, Inc.",united states,$35.12 B,consumer discretionary,YUM
Sun Hung Kai Properties Ltd,hong kong,$35.04 B,real estate,16
"Old Dominion Freight Line, Inc.",united states,$34.94 B,industrials,ODFL
"Cheniere Energy, Inc.",united states,$34.92 B,energy,LNG
"Consolidated Edison, Inc.",united states,$34.89 B,utilities,ED
China CITIC Bank Corp Ltd,china,$34.84 B,financials,601998
Budweiser Brewing Company APAC Ltd,hong kong,$34.73 B,consumer staples,1876
ArcelorMittal,NULL,$34.66 B,NULL,MT
"Ameriprise Financial, Inc.",united states,$34.64 B,financials,AMP
Fastenal Company,united states,$34.58 B,industrials,FAST
"Align Technology, Inc.",united states,$34.49 B,healthcare,ALGN
VERBUND AG,NULL,$34.44 B,NULL,OEW
Sydney Airport Limited,australia,NULL,industrials,SYD
"Verisk Analytics, Inc.",united states,$34.39 B,industrials,VRSK
Z Holdings Corp,japan,$34.24 B,consumer discretionary,4689
Arthur J. Gallagher & Co.,united states,$34.22 B,financials,AJG
Chongqing Zhifei Biological Products Co. Ltd,china,$34.13 B,healthcare,300122
Equity Residential,united states,$34.11 B,real estate,EQR
"Chunghwa Telecom Co., Ltd.",taiwan,$34.06 B,communication services,2412
"T. Rowe Price Group, Inc.",united states,$34.01 B,financials,TROW
Halliburton Company,united states,$33.95 B,energy,HAL
"Tyson Foods, Inc.",united states,$33.73 B,consumer staples,TSN
Discover Financial Services,united states,$33.73 B,financials,DFS
Kuehne + Nagel International AG,switzerland,$33.69 B,industrials,KNIN
FANUC Corp,japan,$33.68 B,industrials,6954
MTR Corp Ltd,hong kong,$33.66 B,industrials,66
Poly Developments and Holdings Group Co. Ltd,china,$33.64 B,real estate,600048
KKR & Co. Inc.,united states,$33.49 B,financials,KKR
"Mizuho Financial Group, Inc.",japan,$33.47 B,financials,8411
PTT PCL,thailand,$33.46 B,energy,PTT
Koninklijke Ahold Delhaize N.V.,netherlands,$33.43 B,consumer staples,AD
China Vanke Co. Ltd,china,$33.35 B,real estate,2
International Flavors & Fragrances Inc.,united states,$33.32 B,basic materials,IFF
Telefonaktiebolaget LM Ericsson,sweden,$33.29 B,technology,ERIC.A
China Resources Land Ltd,hong kong,$33.26 B,real estate,1109
"Zoom Video Communications, Inc.",united states,$33.22 B,communication services,ZM
Otis Worldwide Corporation,united states,$33.09 B,industrials,OTIS
Sun Life Financial Inc.,canada,$33.08 B,financials,SLF
"Rockwell Automation, Inc.",united states,$33.05 B,industrials,ROK
Aptiv PLC,ireland,$33.02 B,consumer discretionary,APTV
Cenovus Energy Inc.,canada,$33.02 B,energy,CVE
Deutsche Börse AG,germany,$32.99 B,financials,DB1
Orange SA,france,$32.84 B,communication services,ORA
Hess Corporation,united states,$32.81 B,energy,HES
NatWest Group plc,united kingdom,$32.72 B,financials,NWG
"Ross Stores, Inc.",united states,$32.71 B,consumer discretionary,ROST
"WEC Energy Group, Inc.",united states,$32.54 B,utilities,WEC
AmerisourceBergen Corporation,united states,$32.51 B,healthcare,ABC
China Overseas Land & Investment Ltd,hong kong,$32.49 B,real estate,688
WuXi Biologics,china,$32.41 B,healthcare,2269
CITIC Ltd,hong kong,$32.33 B,industrials,267
"Cellnex Telecom, SA",spain,$32.32 B,communication services,CLNX
Haier Smart Home Co Ltd,china,$32.31 B,consumer discretionary,600690
Singapore Telecommunications Ltd,singapore,$32.23 B,communication services,Z74
ANTA Sports Products Ltd,china,$32.20 B,consumer discretionary,2020
Barclays plc,united kingdom,$32.19 B,financials,BARC
Brown-Forman Corporation,united states,$32.07 B,consumer staples,BF.B
WEG SA,brazil,$32.05 B,industrials,WEGE3
PACCAR Inc,united states,$32.04 B,industrials,PCAR
Great Wall Motor Co Ltd,china,$32.01 B,consumer discretionary,601633
Longfor Group Holdings Ltd,china,$31.98 B,real estate,960
"JAPAN POST BANK Co.,Ltd.",japan,$31.93 B,financials,7182
"PPG Industries, Inc.",united states,$31.89 B,basic materials,PPG
Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,indonesia,$31.78 B,communication services,TLK
Mettler-Toledo International Inc.,united states,$31.78 B,healthcare,MTD
"ONEOK, Inc.",united states,$31.66 B,energy,OKE
Goodman Group,australia,$31.64 B,real estate,GMG
Corning Incorporated,united states,$31.60 B,technology,GLW
"Japan Tobacco, Inc.",japan,$31.59 B,consumer staples,2914
Foxconn Industrial Internet Co. Ltd,china,$31.58 B,technology,601138
Eversource Energy,united states,$31.56 B,utilities,ES
China Telecom Corp Ltd,hong kong,$31.49 B,communication services,728
CRH plc,ireland,$31.45 B,basic materials,CRH
Japan Post Holdings Co. Ltd,japan,$31.41 B,financials,6178
Biogen Inc.,united states,$31.35 B,healthcare,BIIB
Swisscom AG,switzerland,$31.26 B,communication services,SCMN
Koninklijke DSM N.V.,netherlands,$31.25 B,basic materials,DSM
Formosa Petrochemical Corp,taiwan,$31.22 B,energy,6505
Zhangzhou Pientzehuang Pharmaceutical. Ltd,china,$31.17 B,healthcare,600436
"AMETEK, Inc.",united states,$31.15 B,industrials,AME
E.ON SE,germany,$31.12 B,utilities,EOAA
China Pacific Insurance,china,$31.04 B,financials,601601
"Zscaler, Inc.",united states,$31.03 B,technology,ZS
Anhui Conch Cement Company Ltd,china,$31.02 B,basic materials,600585
Franco-Nevada Corporation,canada,$31.00 B,basic materials,FNV
Engie SA,france,$31.00 B,utilities,ENGI
State Street Corporation,united states,$30.95 B,financials,STT
SAIC Motor Corp Ltd,china,$30.93 B,consumer discretionary,600104
Nokia Corporation,finland,$30.91 B,technology,NOKIA.SEK
"Twitter, Inc.",united states,$30.83 B,communication services,TWTR
Veeva Systems Inc.,united states,$30.76 B,healthcare,VEEV
Loblaw Companies Limited,canada,$30.70 B,consumer staples,L
Energy Transfer LP,united states,$30.69 B,energy,ET
Henkel AG & Co KGaA,germany,$30.53 B,consumer staples,HEN
"Coupang, Inc.",south korea,$30.53 B,consumer discretionary,CPNG
Ferguson plc,united kingdom,$30.52 B,industrials,FERG
BAE Systems plc,united kingdom,$30.51 B,industrials,BA.
Fifth Third Bancorp,united states,$30.46 B,financials,FITB
"CBRE Group, Inc.",united states,$30.45 B,real estate,CBRE
"American Water Works Company, Inc.",united states,$30.43 B,utilities,AWK
Fujitsu Ltd,japan,$30.28 B,technology,6702
"West Pharmaceutical Services, Inc.",united states,$30.23 B,healthcare,WST
Compagnie de Saint-Gobain SA,france,$30.16 B,industrials,SGO
"Alexandria Real Estate Equities, Inc.",united states,$30.10 B,real estate,ARE
ASSA ABLOY AB,sweden,$30.05 B,industrials,ALZ
Cummins Inc.,united states,$29.94 B,industrials,CMI
Vestas Wind Systems A-S,denmark,$29.93 B,industrials,VWS
Riyad Bank,saudi arabia,$29.86 B,financials,1010
Willis Towers Watson plc,united kingdom,NULL,financials,WLTW
"Match Group, Inc.",united states,$29.82 B,communication services,MTCH
KBC Group NV,belgium,$29.81 B,financials,KDB
UniCredit S.p.A.,italy,NULL,financials,UCG
Cathay Financial Holding Co. Ltd,taiwan,$29.58 B,financials,2882
"Copart, Inc.",united states,$29.58 B,industrials,CPRT
Spotify Technology SA,NULL,$29.56 B,NULL,SPOT
"Nasdaq, Inc.",united states,$29.52 B,financials,NDAQ
Weyerhaeuser Company,united states,$29.42 B,real estate,WY
Saudi Electricity Company,saudi arabia,$29.42 B,utilities,5110
Ball Corporation,united states,$29.40 B,consumer discretionary,BLL
"Keysight Technologies, Inc.",united states,$29.40 B,technology,KEYS
"Astellas Pharma, Inc.",japan,$29.22 B,healthcare,4503
"Amadeus IT Group, SA",spain,$29.19 B,technology,AMS
Electricité de France SA,france,$29.17 B,utilities,EDF
Rogers Communications Inc.,canada,$29.13 B,communication services,RCI.B
Tongwei Co. Ltd,china,$29.10 B,consumer staples,600438
Las Vegas Sands Corp.,united states,$29.07 B,consumer discretionary,LVS
RWE AG,germany,$29.06 B,utilities,RWE
COSCO SHIPPING Holdings Co Ltd,china,$28.93 B,industrials,601919
SVB Financial Group,united states,$28.91 B,financials,SIVB
CSX Corporation,united states,$28.90 B,industrials,CSX
Techtronic Industries Company Ltd,hong kong,$28.75 B,industrials,669
"Naturgy Energy Group, SA",spain,$28.71 B,utilities,NTGY
APA Group,australia,$28.55 B,utilities,APA
Hormel Foods Corporation,united states,$28.52 B,consumer staples,HRL
Cerner Corporation,united states,$28.31 B,healthcare,CERN
Ashtead Group plc,united kingdom,$28.28 B,industrials,AHT
Equifax Inc.,united states,$28.24 B,industrials,EFX
Semiconductor Manufacturing International Corp,china,$28.24 B,technology,688981
Porsche Automobil Holding SE,germany,$28.15 B,consumer discretionary,PAHA
Tesco plc,united kingdom,$28.11 B,consumer staples,TSCO
Sirius XM Holdings Inc.,united states,$28.05 B,communication services,SIRI
Airports of Thailand Public Company Ltd,thailand,$28.00 B,industrials,AOT
CK Hutchison Holdings Ltd,hong kong,$27.94 B,industrials,1
The People's Insurance Company (Group) of China Ltd,china,$27.93 B,financials,601319
"Expedia Group, Inc.",united states,$27.91 B,consumer discretionary,EXPE
First Republic Bank,united states,$27.90 B,financials,FRC
Koninklijke Philips N.V.,netherlands,$27.89 B,healthcare,PHIA
Great-West Lifeco Inc.,canada,$27.85 B,financials,GWO
Thai Beverage Public Company Ltd,thailand,$27.81 B,consumer staples,Y92
Swiss Re AG,switzerland,$27.80 B,financials,SREN
Edison International,united states,$27.67 B,utilities,EIX
Wolters Kluwer N.V.,netherlands,$27.65 B,communication services,WKL
ON Semiconductor Corporation,united states,$27.63 B,technology,ON
"CaixaBank, SA",spain,$27.58 B,financials,CABK
Sampo Oyj,finland,$27.46 B,financials,SAMPO
Extra Space Storage Inc.,united states,$27.37 B,real estate,EXR
Sartorius AG,germany,$27.35 B,healthcare,SRT
"D.R. Horton, Inc.",united states,$27.34 B,consumer discretionary,DHI
"W.W. Grainger, Inc.",united states,$27.33 B,industrials,GWW
NARI Technology Co. Ltd,china,$27.33 B,industrials,600406
KONE Oyj,finland,$27.29 B,industrials,KNEBV
"McCormick & Company, Incorporated",united states,$27.29 B,consumer staples,MKC
NTT Data Corp,japan,$27.26 B,technology,9613
Ganfeng Lithium Co. Ltd,china,$27.25 B,basic materials,2460
Will Semiconductor Co. Ltd,china,$27.24 B,technology,603501
"Interactive Brokers Group, Inc.",united states,$27.22 B,financials,IBKR
Gazprom Neft PJSC,russia,$27.14 B,energy,SIBN
Fubon Financial Holding Co. Ltd,taiwan,$27.13 B,financials,2881
Tractor Supply Company,united states,$27.09 B,consumer discretionary,TSCO
Chocoladefabriken Lindt & Sprüngli AG,switzerland,$27.08 B,consumer staples,LISN
"ANSYS, Inc.",united states,$26.98 B,technology,ANSS
Shaanxi Coal Industry Company Ltd,china,$26.95 B,energy,601225
Aier Eye Hospital Group Co. Ltd,china,$26.95 B,healthcare,300015
"Zimmer Biomet Holdings, Inc.",united states,$26.94 B,healthcare,ZBH
Bridgestone Corp,japan,$26.88 B,consumer discretionary,5108
Evolution Gaming Group AB,sweden,$26.82 B,consumer discretionary,EVO
Beijing Wantai Biological Pharmacy Enterprise Co. Ltd,china,$26.80 B,healthcare,603392
Vonovia SE,germany,$26.78 B,real estate,VNA
Sandvik AB,sweden,$26.71 B,industrials,SAND
"Cheniere Energy Partners, L.P.",united states,$26.68 B,energy,CQP
PG&E Corporation,united states,$26.66 B,utilities,PCG
Kansas City Southern,united states,NULL,industrials,KSU
Unity Software Inc.,united states,$26.56 B,technology,U
Thales SA,france,$26.55 B,industrials,HO
Southwest Airlines Co.,united states,$26.52 B,industrials,LUV
DTE Energy Company,united states,$26.41 B,utilities,DTE
Intact Financial Corporation,canada,$26.40 B,financials,IFC
Deutsche Bank AG,germany,$26.38 B,financials,DBK
Canon Inc.,japan,$26.38 B,technology,7751
"LYONDELLBASELL ADVANCED POLYMERS, Inc.",united states,$26.38 B,basic materials,SLMNP
National Bank of Canada,canada,$26.29 B,financials,NA
Sonova Holding AG,switzerland,$26.22 B,healthcare,SOON
Realty Income Corporation,united states,$26.18 B,real estate,O
China Everbright Bank Company Ltd,china,$26.13 B,financials,601818
Twilio Inc.,united states,$26.09 B,communication services,TWLO
Roblox Corp,united states,$26.05 B,communication services,RBLX
"Telefónica, SA",spain,$26.04 B,communication services,TEF
Central Japan Railway Co,japan,$26.00 B,industrials,9022
Li Auto Inc.,china,$25.83 B,consumer discretionary,LI
EnBW Energie Baden-Wuerttemberg AG,germany,$25.82 B,utilities,EBK
"The Hartford Financial Services Group, Inc.",united states,$25.76 B,financials,HIG
Laboratory Corporation of America Holdings,united states,$25.75 B,healthcare,LH
"MongoDB, Inc.",united states,$25.73 B,technology,MDB
Mitsubishi Electric Corporation,japan,$25.61 B,industrials,6503
Banco Santander (Brasil) SA,brazil,$25.59 B,financials,SANB11
Axis Bank Ltd,india,$25.54 B,financials,AXISBANK
"United Rentals, Inc.",united states,$25.46 B,industrials,URI
Nan Ya Plastics Corp,taiwan,$25.41 B,basic materials,1303
Lennar Corporation,united states,$25.34 B,consumer discretionary,LEN
Straumann Holding AG,switzerland,$25.31 B,healthcare,STMN
CLP Holdings Ltd,hong kong,$25.29 B,utilities,2
Yanzhou Coal Mining Company Ltd,china,$25.26 B,energy,600188
FirstEnergy Corp.,united states,$25.26 B,utilities,FE
Albemarle Corporation,united states,$25.25 B,basic materials,ALB
CK Asset Holdings Limited,hong kong,$25.21 B,real estate,1113
"Enphase Energy, Inc.",united states,$25.20 B,technology,ENPH
Legrand SA,france,$25.19 B,industrials,LR
Galaxy Entertainment Group Ltd,hong kong,$25.17 B,consumer discretionary,27
Skandinaviska Enskilda Banken AB,sweden,$25.15 B,financials,SEB.A
The Mosaic Company,united states,$25.09 B,basic materials,MOS
CDW Corporation,united states,$25.04 B,technology,CDW
"Gartner, Inc.",united states,$25.03 B,technology,IT
"EDP Renováveis, SA",spain,NULL,utilities,EDPR
"Delta Air Lines, Inc.",united states,$24.92 B,industrials,DAL
Palantir Technologies Inc.,united states,$24.91 B,technology,PLTR
Seagen Inc.,united states,$24.87 B,healthcare,SGEN
"Diamondback Energy, Inc.",united states,$24.84 B,energy,FANG
"VeriSign, Inc.",united states,$24.81 B,technology,VRSN
"Church & Dwight Co., Inc.",united states,$24.81 B,consumer staples,CHD
Ameren Corporation,united states,$24.79 B,utilities,AEE
China Minsheng Banking Corp Ltd,china,$24.65 B,financials,600016
"Live Nation Entertainment, Inc.",united states,$24.61 B,communication services,LYV
Woodside Petroleum Ltd,australia,$24.60 B,energy,WPL
Evergreen Marine Corp,taiwan,$24.49 B,industrials,2603
"Aena S.M.E., SA",spain,$24.45 B,industrials,AENA
XPeng Inc.,china,$24.44 B,consumer discretionary,XPEV
Northern Trust Corporation,united states,$24.42 B,financials,NTRS
"Slack Technologies, Inc.",united states,NULL,technology,WORK
"Mid-America Apartment Communities, Inc.",united states,$24.18 B,real estate,MAA
Fresenius SE & Co KGaA,germany,$24.12 B,healthcare,FRE
FUJIFILM Holdings Corp,japan,$24.12 B,industrials,4901
BT Group plc,united kingdom,$24.09 B,communication services,BT.A
Vulcan Materials Company,united states,$24.08 B,basic materials,VMC
Epiroc AB,sweden,$24.08 B,industrials,3AD2
"Delta Electronics, Inc.",taiwan,$24.05 B,technology,2308
Public Joint Stock Company Polyus,russia,NULL,basic materials,PLZL
Schindler Holding AG,switzerland,$24.02 B,industrials,SCHN
ORIX Corporation,japan,$23.97 B,financials,8591
"Martin Marietta Materials, Inc.",united states,$23.94 B,basic materials,MLM
CSC Financial Co. Ltd,china,$23.94 B,financials,601066
"Best Buy Co., Inc.",united states,$23.93 B,consumer discretionary,BBY
STERIS plc,ireland,$23.93 B,healthcare,STE
Entergy Corporation,united states,$23.92 B,utilities,ETR
"M3, Inc.",japan,$23.89 B,healthcare,2413
Splunk Inc.,united states,$23.84 B,technology,SPLK
EVE Energy Co. Ltd,china,$23.82 B,industrials,300014
"Ventas, Inc.",united states,$23.81 B,real estate,VTR
"Endesa, SA",spain,$23.78 B,utilities,ELE
SSE plc,united kingdom,$23.73 B,utilities,SSE
Compagnie Générale des Etablissements Michelin SCA,france,$23.65 B,consumer discretionary,ML
Horizon Therapeutics Public Limited Company,ireland,$23.64 B,healthcare,HZNP
Baoshan Iron & Steel Co. Ltd,china,$23.59 B,basic materials,600019
"Stanley Black & Decker, Inc.",united states,$23.57 B,industrials,SWK
Sungrow Power Supply Co. Ltd,china,$23.55 B,industrials,300274
Beiersdorf AG,germany,$23.51 B,consumer staples,BEI
PT Bank Mandiri (Persero) Tbk,indonesia,NULL,financials,PQ9
First Quantum Minerals Ltd.,canada,$23.47 B,basic materials,FM
Kubota Corp,japan,$23.46 B,industrials,6326
MTN Group Ltd,south africa,$23.45 B,communication services,MTN
"Maxim Integrated Products, Inc.",united states,NULL,technology,MXIM
"Rocket Companies, Inc.",united states,$23.44 B,financials,RKT
Fortis Inc.,canada,$23.43 B,utilities,FTS
Formosa Plastics Corp,taiwan,$23.42 B,basic materials,1301
Liberty Broadband Corporation,united states,$23.40 B,communication services,LBRDK
United Microelectronics Corporation,taiwan,$23.35 B,technology,2303
Garmin Ltd.,switzerland,$23.35 B,technology,GRMN
Huazhu Group Limited,china,$23.34 B,consumer discretionary,HTHT
Carnival Corporation & plc,united states,$23.29 B,consumer discretionary,CCL
Sany Heavy Industry Co. Ltd,china,$23.27 B,industrials,600031
Fox Corporation,united states,$23.26 B,communication services,FOXA
Wens Foodstuff Group Co. Ltd,china,$23.20 B,consumer staples,300498
Société Générale SA,france,$23.18 B,financials,GLE
Terumo Corp,japan,$23.16 B,healthcare,4543
China International Capital Corp Ltd,china,$23.13 B,financials,601995
Invitation Homes Inc.,united states,$23.09 B,real estate,INVH
Royalty Pharma plc,united states,$23.04 B,healthcare,RPRX
Olympus Corp,japan,$23.00 B,healthcare,7733
V.F. Corporation,united states,$22.96 B,consumer discretionary,VFC
Dover Corporation,united states,$22.94 B,industrials,DOV
PPL Corporation,united states,$22.87 B,utilities,PPL
"Hengli Petrochemical Co.,Ltd.",china,$22.86 B,consumer discretionary,600346
Genmab A/S,denmark,$22.83 B,healthcare,GMAB
SABIC Agri-Nutrients Company,saudi arabia,$22.78 B,basic materials,2020
Heineken Holding N.V.,netherlands,$22.78 B,consumer staples,HEIO
Sands China Ltd,NULL,$18.52 B,NULL,1928
East Japan Railway Company,japan,$22.78 B,industrials,9020
Sociedad Química y Minera de Chile SA,chile,$22.77 B,basic materials,SQM
Eurofins Scientific SE,NULL,NULL,NULL,ERF
Panasonic Corp,japan,$22.73 B,technology,6752
UCB SA,belgium,$22.71 B,healthcare,UCB
Shanghai International Port,china,$22.65 B,industrials,600018
Hewlett Packard Enterprise Company,united states,$22.65 B,technology,HPE
Kellogg Company,united states,$22.63 B,consumer staples,K
PICC Property and Casualty Company Ltd,china,$22.62 B,financials,2328
Grupo Financiero Banorte SAB de CV,mexico,$22.60 B,financials,GFNORTEO
Komatsu Ltd,japan,$22.56 B,industrials,6301
The Hong Kong and China Gas Company Ltd,hong kong,$22.54 B,utilities,3
Coca-Cola Europacific Partners plc,united kingdom,$22.53 B,consumer staples,CCEP
"Essex Property Trust, Inc.",united states,$22.51 B,real estate,ESS
EMS-CHEMIE HOLDING AG,switzerland,$22.48 B,basic materials,EMSN
"Okta, Inc.",united states,$22.45 B,technology,OKTA
China National Nuclear Power Co. Ltd,china,$22.42 B,utilities,601985
Sumitomo Corp,japan,$22.42 B,industrials,8053
Tata Motors Limited,india,$22.38 B,consumer discretionary,TTM
Banco do Brasil SA,brazil,$22.36 B,financials,BBAS3
Hennes & Mauritz AB,sweden,$22.33 B,consumer discretionary,HM.B
"Bio-Rad Laboratories, Inc.",united states,NULL,healthcare,BIO
Teleperformance SE,france,$22.30 B,industrials,TEP
"Fomento Económico Mexicano, S.A.B. de C.V.",mexico,NULL,consumer staples,FEMSAUB
"Huntington Bancshares, Inc.",united states,$22.26 B,financials,HU3
"Continental Resources, Inc.",united states,$22.25 B,energy,CLR
CRRC Corp Ltd,china,$22.21 B,industrials,601766
"Skyworks Solutions, Inc.",united states,$22.17 B,technology,SWKS
XP Inc.,brazil,NULL,financials,XPBR31
Unicharm Corp,japan,$22.08 B,consumer staples,8113
ZTO Express (Cayman) Inc.,china,$22.05 B,industrials,ZTO
Geberit AG,switzerland,$22.03 B,industrials,GEBN
Toyota Industries Corp,japan,$21.99 B,consumer discretionary,6201
Cincinnati Financial Corporation,united states,$21.99 B,financials,CINF
"CF Industries Holdings, Inc.",united states,$21.95 B,basic materials,CF
NIBE Industrier AB,sweden,$21.93 B,industrials,NJB
CNH Industrial N.V.,united kingdom,$21.93 B,industrials,CNHI
Huntington Bancshares Incorporated,united states,$21.93 B,financials,HBAN
Duke Realty Corporation,united states,$21.93 B,real estate,DRE
Restaurant Brands International Limited Partnership,canada,NULL,consumer discretionary,QSP.UN
"Monolithic Power Systems, Inc.",united states,$21.87 B,technology,MPWR
Zebra Technologies Corporation,united states,$21.87 B,technology,ZBRA
"Ulta Beauty, Inc.",united states,$21.82 B,consumer discretionary,ULTA
"Dai-ichi Life Holdings, Inc.",japan,$21.76 B,financials,8750
M&T Bank Corporation,united states,$21.74 B,financials,MTB
KeyCorp,united states,$21.71 B,financials,KEY
Teledyne Technologies Incorporated,united states,$21.65 B,technology,TDY
"B3 S.A. - Brasil, Bolsa, Balcao",brazil,$21.58 B,financials,B3SA3
"Contura Energy, Inc.",united states,$21.57 B,energy,CTRA
"Shimano, Inc.",japan,$21.51 B,consumer discretionary,7309
Power Corporation of Canada,canada,$21.48 B,financials,POW
"J.B. Hunt Transport Services, Inc.",united states,$21.48 B,industrials,JBHT
Mitsui Fudosan Co. Ltd,japan,$21.46 B,real estate,8801
The Saudi British Bank,saudi arabia,$21.45 B,financials,1060
SGS SA,switzerland,$21.43 B,industrials,SGSN
Teck Resources Limited,canada,$21.41 B,basic materials,TECK.B
Rede D'Or São Luiz SA,brazil,$21.40 B,healthcare,RDOR3
NEXON Co. Ltd,japan,$21.36 B,communication services,3659
"The Cooper Companies, Inc.",united states,$21.35 B,healthcare,COO
Legal & General Group plc,united kingdom,$21.34 B,financials,LGEN
Regions Financial Corporation,united states,$21.32 B,financials,RF
Wheaton Precious Metals Corp.,canada,$21.26 B,basic materials,WPM
ZoomInfo Technologies Inc.,united states,$21.23 B,technology,ZI
ViacomCBS Inc.,united states,NULL,communication services,VIACA
China Northern Rare Earth,china,$21.21 B,basic materials,600111
Seagate Technology plc,ireland,$21.21 B,technology,STX
China Mengniu Dairy Co Ltd,hong kong,$21.17 B,consumer staples,2319
Ingersoll Rand Inc.,united states,$21.13 B,industrials,IR
SEGRO plc,united kingdom,$21.08 B,real estate,SGRO
Yandex N.V.,netherlands,NULL,communication services,YNDX
Microchip Technology Incorporated,united states,$21.03 B,technology,MCHP
"HubSpot, Inc.",united states,$20.93 B,technology,HUBS
"FLEETCOR Technologies, Inc.",united states,$20.92 B,technology,FLT
Fortive Corporation,united states,$20.88 B,technology,FTV
AppLovin Corp,united states,$20.86 B,technology,APP
Royal Caribbean Cruises Ltd.,united states,$20.81 B,consumer discretionary,RCL
Repsol SA,spain,$20.80 B,energy,REP
Marubeni Corp,japan,$20.78 B,industrials,8002
Standard Chartered plc,united kingdom,$20.78 B,financials,STAN
Li Ning Co Ltd,china,$20.75 B,consumer discretionary,2331
CMS Energy Corporation,united states,$20.73 B,utilities,CMS
STERIS Corp,united states,NULL,healthcare,S1TE34
Advanced Info Service PCL,thailand,$20.65 B,communication services,ADVANC
Kyocera Corp,japan,$20.62 B,technology,6971
Pembina Pipeline Corporation,canada,$20.61 B,energy,PPL
Flutter Entertainment plc,ireland,$20.58 B,consumer discretionary,FLTR
Sojitz Corp,japan,$20.55 B,industrials,2768
"Boston Properties, Inc.",united states,$20.54 B,real estate,BXP
Synchrony Financial,united states,$20.43 B,financials,SYF
Alinma Bank,saudi arabia,$20.41 B,financials,1150
Investment AB Latour,sweden,$20.39 B,financials,LATO.B
Mitsubishi Estate Co. Ltd,japan,$20.39 B,real estate,8802
Guotai Junan Securities Co. Ltd,china,$20.39 B,financials,601211
Nippon Paint Holdings Co. Ltd,japan,$20.38 B,basic materials,4612
Carvana Co.,united states,$20.33 B,consumer discretionary,CVNA
Markel Corporation,united states,$20.30 B,financials,MKL
"Brown & Brown, Inc.",united states,$20.27 B,financials,BRO
Nomura Research Institute Ltd,japan,$20.26 B,technology,4307
MGM Resorts International,united states,$20.22 B,consumer discretionary,MGM
Mega Financial Holding Co. Ltd,taiwan,$20.21 B,financials,2886
Telefônica Brasil SA,brazil,$20.19 B,communication services,VIV
Swiss Life Holding AG,switzerland,$20.16 B,financials,SLHN
Telenor ASA,NULL,$20.15 B,NULL,TEL
