name,country,market_value_apr_2022,sector,stock
Bristol-Myers Squibb Company,united states,$170.56 B,healthcare,BMY
Prosus N.V.,netherlands,$170.00 B,communication services,PRX
Linde plc,united kingdom,$166.07 B,basic materials,LIN
"NextEra Energy, Inc.",united states,$165.53 B,utilities,NEE
Agricultural Bank of China Ltd,china,$165.00 B,financials,601288
"T-Mobile US, Inc.",united states,$164.31 B,communication services,TMUS
Morgan Stanley,united states,$164.05 B,financials,MS
"Netflix, Inc.",united states,$163.19 B,communication services,NFLX
Royal Bank of Canada,canada,$159.74 B,financials,RY
The Charles Schwab Corporation,united states,$158.06 B,financials,SCHW
Philip Morris International Inc.,united states,$154.71 B,consumer staples,PM
Medtronic plc,ireland,$151.06 B,healthcare,MDT
Raytheon Technologies Corporation,united states,$150.96 B,industrials,RTX
American Express Company,united states,$150.76 B,financials,AXP
Hermès International SCA,france,$148.98 B,consumer discretionary,RMS
Toronto-Dominion Bank,canada,$145.41 B,financials,TD
PetroChina Company Limited,china,$144.50 B,energy,601857
Commonwealth Bank of Australia,australia,$144.32 B,financials,CBA
"Lowe's Companies, Inc.",united states,$143.77 B,consumer discretionary,LOW
Amgen Inc.,united states,$141.72 B,healthcare,AMGN
Bank of China Ltd,china,$141.22 B,financials,601988
HSBC Holdings plc,united kingdom,$140.15 B,financials,HSBA
China Mobile Ltd,hong kong,$139.30 B,communication services,941
TotalEnergies SE,france,$137.50 B,energy,TTE
Honeywell International Inc.,united states,$136.48 B,industrials,HON
ConocoPhillips,united states,$136.32 B,energy,COP
CVS Health Corporation,united states,$135.27 B,healthcare,CVS
Ping An Insurance (Group) Company of China Ltd,china,$134.25 B,financials,601318
SAP SE,germany,$134.19 B,technology,SAP
"PayPal Holdings, Inc.",united states,$133.92 B,financials,PYPL
Sanofi,france,$132.29 B,healthcare,SAN
Deere & Company,united states,$130.31 B,industrials,DE
"Advanced Micro Devices, Inc.",united states,$128.29 B,technology,AMD
Intuit Inc.,united states,$126.77 B,technology,INTU
Sony Group Corporation,japan,$126.64 B,technology,6758
Rio Tinto Group,united kingdom,$125.84 B,basic materials,RIO
AIA Group Ltd,hong kong,$125.16 B,financials,1299
Lockheed Martin Corporation,united states,$124.98 B,industrials,LMT
Caterpillar Inc.,united states,$124.13 B,industrials,CAT
Anheuser-Busch InBev SA/NV,belgium,NULL,consumer staples,ABI
Equinor ASA,NULL,$122.74 B,NULL,EQNR
Christian Dior SE,france,$122.11 B,consumer discretionary,CDI
"Prologis, Inc.",united states,$121.20 B,real estate,PLD
"Applied Materials, Inc.",united states,$121.12 B,technology,AMAT
"Anthem, Inc.",united states,$119.80 B,healthcare,ANTM
International Business Machines Corporation,united states,$119.20 B,technology,IBM
Unilever plc,united kingdom,$117.84 B,consumer staples,ULVR
"BlackRock, Inc.",united states,$115.98 B,financials,BLK
HDFC Bank Limited,india,$115.68 B,financials,HDB
Diageo plc,united kingdom,$115.58 B,consumer staples,DGE
American Tower Corporation (REIT),united states,$115.11 B,real estate,AMT
Siemens AG,germany,$114.66 B,industrials,SIE
Meituan,china,$114.28 B,consumer discretionary,3690
Keyence Corp,japan,$113.20 B,technology,6861
"The Goldman Sachs Group, Inc.",united states,$112.71 B,financials,GS
Transurban Group,australia,$110.79 B,industrials,TCL
"Industria de Diseño Textil, SA",spain,NULL,consumer discretionary,ITX
The Boeing Company,united states,$110.46 B,industrials,BA
GlaxoSmithKline plc,united kingdom,$109.98 B,healthcare,GSK
Citigroup Inc.,united states,$109.56 B,financials,C
Volkswagen AG,germany,$108.63 B,consumer discretionary,VOW3
Starbucks Corporation,united states,$108.19 B,consumer discretionary,SBUX
Vale SA,brazil,$107.99 B,basic materials,VALE3
"ServiceNow, Inc.",united states,$107.99 B,technology,NOW
Target Corporation,united states,$106.89 B,consumer staples,TGT
Infosys Limited,india,$106.77 B,technology,INFY
Al Rajhi Banking and Investment Corp,saudi arabia,$106.37 B,financials,1120
"Airbnb, Inc.",united states,$105.07 B,communication services,ABNB
"Charter Communications, Inc.",united states,$104.97 B,communication services,CHTR
BYD Co Ltd,china,$104.42 B,consumer discretionary,2594
Saudi Basic Industries Corp,saudi arabia,$104.00 B,basic materials,2010
Nippon Telegraph & Telephone Corp,japan,$103.75 B,communication services,9432
"Altria Group, Inc.",united states,$102.98 B,consumer staples,MO
British American Tobacco plc,united kingdom,$101.44 B,consumer staples,BATS
