,name,symbol,marketcap,price,country
149,general electric,ge,doll_89.01 b,doll_81.47,usa
150,estee lauder,el,doll_88.92 b,doll_249.22,usa
151,analog devices,adi,doll_87.43 b,doll_171.68,usa
152,glencore,glcnf,doll_87.30 b,doll_6.70,switzerland
153,allianz,alv.de,doll_87.09 b,doll_215.94,germany
154,lg energy solution,373220.ks,doll_86.89 b,doll_371.36,s. korea
155,merck kgaa,mrk.de,doll_86.20 b,doll_198.28,germany
156,marsh & mclennan companies,mmc,doll_85.49 b,doll_172.37,usa
157,essilorluxottica,el.pa,doll_85.47 b,doll_192.26,france
158,canadian national railway,cni,doll_85.30 b,doll_125.83,canada
159,servicenow,now,doll_84.51 b,doll_418.39,usa
160,altria group,mo,doll_84.46 b,doll_47.13,usa
161,volkswagen,vow3.de,doll_84.11 b,doll_145.87,germany
162,inditex,idexy,doll_84.09 b,doll_13.50,spain
163,paypal,pypl,doll_82.80 b,doll_72.63,usa
164,northrop grumman,noc,doll_81.84 b,doll_531.78,usa
165,regeneron pharmaceuticals,regn,doll_81.67 b,doll_750.00,usa
166,schneider electric,su.pa,doll_81.53 b,doll_145.83,france
167,enbridge,enb,doll_80.40 b,doll_39.71,canada
168,moderna,mrna,doll_80.27 b,doll_208.95,usa
169,vertex pharmaceuticals,vrtx,doll_80.11 b,doll_312.09,usa
170,duke energy,duk,doll_79.54 b,doll_103.30,usa
171,infosys,infy,doll_79.38 b,doll_18.72,india
172,al rajhi bank,1120.sr,doll_78.52 b,doll_19.63,s. arabia
173,booking holdings (booking.com),bkng,doll_77.84 b,"doll_2,007",usa
174,vale,vale,doll_77.63 b,doll_16.41,brazil
175,icici bank,ibn,doll_77.63 b,doll_22.26,india
176,southern company,so,doll_77.41 b,doll_71.11,usa
177,china shenhua energy,601088.ss,doll_76.38 b,doll_4.07,china
178,air liquide,ai.pa,doll_76.35 b,doll_145.87,france
179,hindustan unilever,hindunilvr.ns,doll_75.69 b,doll_32.21,india
180,compagnie financière richemont,cfr.sw,doll_74.70 b,doll_131.66,switzerland
181,progressive,pgr,doll_74.04 b,doll_126.58,usa
182,eog resources,eog,doll_73.97 b,doll_125.93,usa
183,glaxosmithkline,gsk,doll_73.53 b,doll_35.92,uk
184,gazprom,gazp.me,doll_73.26 b,doll_3.10,russia
185,mercedes-benz,mbg.de,doll_73.20 b,doll_68.42,germany
186,canadian pacific railway,cp,doll_72.92 b,doll_78.40,canada
187,sinopec,600028.ss,doll_72.39 b,doll_0.63,china
188,air products and chemicals,apd,doll_72.17 b,doll_325.12,usa
189,becton dickinson,bdx,doll_71.98 b,doll_254.04,usa
190,zurich insurance group,zurn.sw,doll_71.88 b,doll_484.72,switzerland
191,schlumberger,slb,doll_71.50 b,doll_50.43,usa
192,iberdrola,ibe.mc,doll_71.40 b,doll_11.68,spain
193,mitsubishi ufj financial,mufg,doll_70.74 b,doll_5.50,japan
194,zoetis,zts,doll_70.74 b,doll_151.78,usa
195,target,tgt,doll_70.20 b,doll_152.51,usa
196,3m,mmm,doll_69.69 b,doll_126.09,usa
197,bnp paribas,bnp.pa,doll_69.54 b,doll_56.38,france
198,hca healthcare,hca,doll_69.18 b,doll_244.70,usa
199,illinois tool works ,itw,doll_68.87 b,doll_224.22,usa
