,name,code,rank,marketcap,country,shareprice,change_1day,change_1year,categories
205,,,,,,,,,
206,Great-West Lifeco,GWO.TO,787.0,doll_21.07 B,Canada,doll_22.62,-1.12_perc,-23.86_perc,[]
207,,,,,,,,,
208,CK Asset Holdings,1113.HK,785.0,doll_21.12 B,Hong Kong,doll_5.88,0.55_perc,-0.68_perc,['Realestate']
209,,,,,,,,,
210,,,,,,,,,
211,Quanta Services,PWR,781.0,doll_21.19 B,USA,doll_148.31,-0.86_perc,26.76_perc,['Engineering']
212,Insulet,PODD,782.0,doll_21.17 B,USA,doll_304.89,1.64_perc,11.89_perc,['Medicaldevices']
213,Banorte,GFNORTEO.MX,779.0,doll_21.30 B,Mexico,doll_7.39,-1.45_perc,19.77_perc,['Financialservices']
214,,,,,,,,,
215,,,,,,,,,
216,,,,,,,,,
217,,,,,,,,,
218,Northern Trust,NTRS,900.0,doll_18.28 B,USA,doll_87.72,-0.96_perc,-27.00_perc,['Financialservices']
219,,,,,,,,,
220,Conagra Brands,CAG,898.0,doll_18.32 B,USA,doll_38.23,1.78_perc,20.22_perc,['Food']
221,,,,,,,,,
222,,,,,,,,,
223,Clorox,CLX,892.0,doll_18.42 B,USA,doll_149.32,1.61_perc,-9.65_perc,['Consumergoods']
224,Wabtec,WAB,895.0,doll_18.35 B,USA,doll_100.91,0.48_perc,10.31_perc,[]
225,,,,,,,,,
226,,,,,,,,,
227,,,,,,,,,
228,,,,,,,,,
229,Wilmar International,F34.SI,887.0,doll_18.52 B,Singapore,doll_2.96,-0.74_perc,-2.95_perc,['Food']
230,Celltrion,068270.KS,888.0,doll_18.50 B,South Korea,doll_133.81,1.15_perc,-22.37_perc,['Pharmaceuticals']
231,,,,,,,,,
232,Steris,STE,886.0,doll_18.52 B,Ireland,doll_185.56,1.08_perc,-18.73_perc,[]
233,,,,,,,,,
234,,,,,,,,,
235,,,,,,,,,
236,,,,,,,,,
237,Teck Resources,TECK,880.0,doll_18.68 B,Canada,doll_36.30,-1.17_perc,30.91_perc,['Mining']
238,,,,,,,,,
239,Incyte,INCY,878.0,doll_18.69 B,USA,doll_84.03,1.81_perc,25.93_perc,[]
240,,,,,,,,,
241,,,,,,,,,
242,,,,,,,,,
243,,,,,,,,,
244,Hindustan Zinc,HINDZINC.NS,1000.0,doll_16.26 B,India,doll_3.85,0.68_perc,-17.91_perc,[]
245,,,,,,,,,
246,Bolloré,BOP.F,998.0,doll_16.31 B,France,doll_5.53,-1.13_perc,4.34_perc,[]
247,Geberit,GEBN.SW,997.0,doll_16.31 B,Switzerland,doll_472.54,-1.48_perc,-40.76_perc,[]
248,,,,,,,,,
249,,,,,,,,,
250,Avangrid,AGR,994.0,doll_16.36 B,USA,doll_42.32,-1.33_perc,-17.04_perc,[]
