"Name","Master Cap","Country","Rank","Share Price"
"Altria Group","$80.54 B","USA","#175","$44.94"
"Vertex Pharmaceuticals","$79.53 B","USA","#176","$309.84"
"Infosys","$78.68 B","India","#177","$18.78"
"Regeneron Pharmaceuticals","$78.62 B","USA","#178","$722.00"
"Volkswagen","$78.62 B","Germany","#179","$134.95"
"Duke Energy","$78.40 B","USA","#180","$101.82"
"EOG Resources","$77.97 B","USA","#181","$132.75"
"Sinopec","$77.86 B","China","#182","$0.68"
"Mercedes-Benz","$76.43 B","Germany","#183","$71.45"
"Zoetis","$76.34 B","USA","#184","$163.81"
"SABIC","$75.52 B","Saudi Arabia","#185","$25.18"
"ICICI Bank","$75.07 B","India","#186","$21.52"
"Petrobras","$74.74 B","Brazil","#187","$11.46"
"Target","$74.66 B","USA","#188","$162.21"
"Progressive","$74.66 B","USA","#189","$127.63"
"Moderna","$74.52 B","USA","#190","$193.98"
"HCA Healthcare","$73.90 B","USA","#191","$261.40"
"Hindustan Unilever","$73.71 B","India","#192","$31.37"
"Canadian Pacific Railway","$73.67 B","Canada","#193","$79.21"
"Southern Company","$73.07 B","USA","#194","$67.12"
"GlaxoSmithKline","$72.42 B","UK","#195","$35.38"
"CNOOC","$72.30 B","China","#196","$1.46"
"Becton Dickinson","$72.15 B","USA","#197","$253.81"
"Iberdrola","$71.73 B","Spain","#198","$11.73"
"China Yangtze Power","$71.37 B","China","#199","$3.14"
"Zurich Insurance Group","$71.28 B","Switzerland","#200","$480.69"
"AXA","$71.17 B","France","#201","$30.69"
"U.S. Bancorp","$71.09 B","USA","#202","$46.46"
"China Tourism Group Duty Free","$70.91 B","China","#203","$34.40"
"Kering","$70.60 B","France","#204","$577.33"
"Bank of Montreal","$69.52 B","Canada","#205","$98.85"
"Illinois Tool Works","$69.51 B","USA","#206","$226.28"
"National Australia Bank","$69.41 B","Australia","#207","$22.02"
"Northrop Grumman","$69.37 B","USA","#208","$450.76"
"Alpha Dhabi","$68.88 B","United Arab Emirates","#209","$6.89"
"Bank Central Asia","$67.58 B","Indonesia","#210","$0.55"
"Air Products and Chemicals","$67.57 B","USA","#211","$304.40"
"UBS","$67.37 B","Switzerland","#212","$21.17"
"Aon","$67.30 B","UK","#213","$325.40"
"CSX Corporation","$67.29 B","USA","#214","$32.01"
"DBS Group","$67.23 B","Singapore","#215","$26.13"
"Walmex","$67.10 B","Mexico","#216","$3.83"
"KDDI","$67.03 B","Japan","#217","$30.84"
"Postal Savings Bank of China","$67.01 B","China","#218","$0.73"
"Canadian Natural Resources","$66.80 B","Canada","#219","$60.35"
"3M","$66.68 B","USA","#220","$120.65"
"America Movil","$66.65 B","Mexico","#221","$20.90"
"Equinix","$66.63 B","USA","#222","$720.06"
"SoftBank","$66.58 B","Japan","#223","$45.54"
"Fiserv","$66.07 B","USA","#224","$104.05"
"Boston Scientific","$65.34 B","USA","#225","$45.62"
"State Bank of India","$65.04 B","India","#226","$7.29"
"Freeport-McMoRan","$64.90 B","USA","#227","$45.41"
"Lam Research","$64.43 B","USA","#228","$472.50"
"Vinci","$64.34 B","France","#229","$112.60"
"BMW","$64.27 B","Germany","#230","$97.71"
"Crown Castle","$64.14 B","USA","#231","$148.12"
"Airbnb","$64.12 B","USA","#232","$101.28"
"General Dynamics","$63.91 B","USA","#233","$232.79"
"Micron Technology","$63.79 B","USA","#234","$58.46"
"Truist Financial","$63.58 B","USA","#235","$47.92"
"Sherwin-Williams","$63.57 B","USA","#236","$245.31"
"ABB","$63.38 B","Switzerland","#237","$33.96"
"Colgate-Palmolive","$63.00 B","USA","#238","$75.44"
"CME Group","$62.97 B","USA","#239","$175.06"
"Humana","$62.95 B","USA","#240","$497.30"
"Daiichi Sanky?","$62.44 B","Japan","#241","$32.58"
