"Name","Master Cap","Country","Rank","Share Price"
"Linamar","$2.96 B","Canada","#3184","$47.93"
"Graham Holdings","$2.96 B","USA","#3185","$617.81"
"WSFS Financial","$2.96 B","USA","#3186","$48.16"
"Comstock Resources","$2.96 B","USA","#3187","$12.67"
"Shangri-La","$2.96 B","Hong Kong","#3188","$0.83"
"Certara","$2.95 B","USA","#3189","$18.53"
"Grupo Aval","$2.95 B","","#3190","$2.49"
"Westports","$2.95 B","Malaysia","#3191","$0.87"
"AbCellera","$2.95 B","Canada","#3192","$10.34"
"Kansai Paint","$2.95 B","Japan","#3193","$12.66"
"GMR Group","$2.95 B","India","#3194","$0.49"
"Rubis","$2.95 B","France","#3195","$27.95"
"Bausch Health","$2.94 B","Canada","#3196","$8.15"
"ABM Industries","$2.94 B","USA","#3197","$44.93"
"Samsung Heavy Industries","$2.94 B","South Korea","#3198","$145.08"
"Pennon Group","$2.94 B","UK","#3199","$11.28"
"CONMED","$2.94 B","USA","#3200","$96.63"
"Hannon Armstrong","$2.94 B","USA","#3201","$33.07"
"Hensoldt","$2.94 B","Germany","#3202","$28.02"
"Encavis","$2.94 B","Germany","#3203","$18.20"
"HighPeak Energy","$2.93 B","USA","#3204","$25.98"
"Bank Jago","$2.93 B","Indonesia","#3205","$0.21"
"Jet2","$2.93 B","UK","#3206","$13.68"
"Harmony Biosciences","$2.93 B","USA","#3207","$49.50"
"O-I Glass","$2.93 B","USA","#3208","$18.92"
"Installed Building Products","$2.93 B","USA","#3209","$102.61"
"Vidrala","$2.93 B","Spain","#3210","$96.66"
"Growthpoint Properties","$2.93 B","South Africa","#3211","$0.86"
"Polymetal","$2.93 B","","#3212","$6.19"
"Scorpio Tankers","$2.92 B","","#3213","$49.05"
"Brink's","$2.92 B","USA","#3214","$63.06"
"Marel","$2.92 B","","#3215","$3.87"
"Mister Car Wash","$2.92 B","USA","#3216","$9.59"
"PagSeguro","$2.92 B","Brazil","#3217","$8.87"
"Hostess Brands","$2.92 B","USA","#3218","$21.81"
"Intellia Therapeutics","$2.91 B","USA","#3219","$33.85"
"SMA Solar Technology","$2.91 B","Germany","#3220","$83.95"
"PacWest Bancorp","$2.90 B","USA","#3221","$24.69"
"Dycom Industries","$2.90 B","USA","#3222","$98.31"
"MaxLinear","$2.90 B","USA","#3223","$36.97"
"Simmons First National","$2.90 B","USA","#3224","$22.87"
"Park Hotels & Resorts","$2.90 B","USA","#3225","$12.91"
"Pacific Premier Bancorp","$2.90 B","USA","#3226","$30.54"
"Curaleaf","$2.89 B","USA","#3227","$4.06"
"Harmonic Drive Systems","$2.89 B","Japan","#3228","$30.46"
"Atlas Air Worldwide Holdings","$2.89 B","USA","#3229","$102.03"
"Petco","$2.89 B","USA","#3230","$10.88"
"Sumitomo Chemical India","$2.89 B","India","#3231","$5.80"
"Alm. Brand","$2.89 B","Denmark","#3232","$1.88"
"Asana","$2.89 B","USA","#3233","$13.59"
"Shapir Civil and Marine Engineering","$2.89 B","Israel","#3234","$8.09"
"Squarespace","$2.88 B","USA","#3235","$21.11"
"CT REIT","$2.88 B","Canada","#3236","$12.29"
"Focus Financial Partners","$2.88 B","USA","#3237","$43.77"
"Intercorp Financial Services","$2.87 B","","#3238","$24.91"
"Alvotech","$2.87 B","","#3239","$11.57"
"First Capital REIT","$2.87 B","Canada","#3240","$13.47"
"Mitra Keluarga","$2.87 B","Indonesia","#3241","$0.21"
"Thermax","$2.87 B","India","#3242","$24.12"
"Vodafone Idea","$2.87 B","India","#3243","$0.09000"
"Siegfried Holding","$2.87 B","Switzerland","#3244","$676.23"
"Vicor","$2.87 B","USA","#3245","$65.19"
"Group 1 Automotive","$2.87 B","USA","#3246","$196.89"
"e.l.f. Cosmetics","$2.86 B","USA","#3247","$54.17"
"Flywire","$2.86 B","USA","#3248","$26.28"
"Privia Health Group","$2.86 B","USA","#3249","$25.06"
"Acerinox","$2.86 B","Spain","#3250","$11.02"
"EFG International","$2.86 B","Switzerland","#3251","$9.24"
"Sulzer","$2.85 B","Switzerland","#3252","$84.34"
"StepStone Group","$2.85 B","USA","#3253","$28.09"
"Werner Enterprises","$2.85 B","USA","#3254","$45.11"
"Timken India","$2.85 B","India","#3255","$37.90"
"InMode","$2.85 B","Israel","#3256","$34.31"
"Giant Network Group","$2.84 B","China","#3257","$1.42"
"Corporación Financiera Alba","$2.84 B","Spain","#3258","$48.06"
"SunPower","$2.84 B","USA","#3259","$16.33"
"Pegasus Airlines","$2.84 B","Turkey","#3260","$27.79"
"CorVel Corporation","$2.84 B","USA","#3261","$164.68"
"Jinko Solar","$2.84 B","China","#3262","$56.67"
"Papa John's Pizza","$2.84 B","USA","#3263","$80.39"
"Varonis","$2.83 B","USA","#3264","$25.72"
"Computacenter","$2.83 B","UK","#3265","$24.35"
"AMC Entertainment","$2.83 B","USA","#3266","$5.52"
"AdaptHealth","$2.83 B","USA","#3267","$21.03"
"Korn Ferry","$2.83 B","USA","#3268","$53.74"
"Kulicke and Soffa Industries","$2.82 B","Singapore","#3269","$49.73"
"Insmed","$2.82 B","USA","#3270","$20.88"
"Allreal Holding","$2.82 B","Switzerland","#3271","$171.05"
"Altarea","$2.82 B","France","#3272","$137.06"
"Grocery Outlet","$2.82 B","USA","#3273","$28.99"
"Immunocore","$2.81 B","UK","#3274","$58.82"
"Prothena","$2.81 B","Ireland","#3275","$54.56"
"Rush Enterprises","$2.81 B","USA","#3276","$50.77"
"Doosan Bobcat","$2.81 B","South Korea","#3277","$28.09"
"Dorman Products","$2.81 B","USA","#3278","$89.56"
"IronSource","$2.81 B","Israel","#3279","$2.74"
"Gland Pharma","$2.81 B","India","#3280","$17.07"
"Mercury Systems","$2.80 B","USA","#3281","$48.46"
"Lithium Americas","$2.80 B","Canada","#3282","$20.79"
"Patterson Companies","$2.80 B","USA","#3283","$28.90"
"SimCorp","$2.80 B","Denmark","#3284","$69.86"
"Appian","$2.80 B","USA","#3285","$38.61"
"Macerich","$2.79 B","USA","#3286","$12.46"
"Metcash","$2.79 B","Australia","#3287","$2.90"
"Nordstrom","$2.79 B","USA","#3288","$17.47"
"Canadian Solar","$2.79 B","Canada","#3289","$41.89"
"American Eagle Outfitters","$2.79 B","USA","#3290","$14.91"
"Blueprint Medicines","$2.79 B","USA","#3291","$46.69"
"Hanesbrands","$2.79 B","USA","#3292","$8.00"
"Evergrande","$2.78 B","China","#3293","$0.21"
"Kyndryl","$2.78 B","USA","#3294","$12.30"
"Equity Commonwealth","$2.78 B","USA","#3295","$25.48"
"Direct Line Group","$2.78 B","UK","#3296","$2.12"
"Jetblue Airways","$2.77 B","USA","#3297","$8.58"
"SKF India","$2.77 B","India","#3298","$56.16"
"Nerolac Paints","$2.77 B","India","#3299","$5.15"
"J&J Snack Foods","$2.77 B","USA","#3300","$144.25"
"Vector Limited","$2.77 B","New Zealand","#3301","$2.77"
"Easterly Government Properties","$2.77 B","USA","#3302","$15.66"
"MicroStrategy","$2.76 B","USA","#3303","$240.03"
"Coca-Cola ?çecek","$2.76 B","Turkey","#3304","$10.88"
"Northern Oil and Gas","$2.76 B","USA","#3305","$32.46"
"Allied Properties REIT","$2.76 B","Canada","#3306","$21.62"
"Crestwood Equity Partners","$2.76 B","USA","#3307","$26.40"
"Hub Group","$2.75 B","USA","#3308","$83.04"
"Innospec","$2.75 B","USA","#3309","$111.21"
"Port of Tauranga","$2.75 B","New Zealand","#3310","$4.04"
"Tandem Diabetes Care","$2.74 B","USA","#3311","$42.70"
"Encore Wire","$2.74 B","USA","#3312","$149.67"
"Delhivery","$2.74 B","India","#3313","$3.77"
"H&R REIT","$2.74 B","Canada","#3314","$9.66"
"ALSOK","$2.74 B","Japan","#3315","$27.10"
"SITE Centers","$2.73 B","USA","#3316","$12.88"
"Hayward","$2.73 B","USA","#3317","$12.95"
"nternational Bancshares Corp","$2.73 B","USA","#3318","$44.04"
"Banco Macro","$2.73 B","","#3319","$22.68"
"Makkah Construction & Development","$2.73 B","Saudi Arabia","#3320","$16.57"
"Boise Cascade","$2.72 B","USA","#3321","$69.14"
"Dunelm Group","$2.72 B","UK","#3322","$13.13"
"Ermenegildo Zegna","$2.72 B","Italy","#3323","$11.22"
"Torrent Power","$2.72 B","India","#3324","$5.66"
"BancFirst","$2.72 B","USA","#3325","$82.78"
"IVERIC bio","$2.72 B","USA","#3326","$20.29"
"Sumitomo Dainippon Pharma","$2.71 B","Japan","#3327","$6.84"
"Alpha Metallurgical Resources","$2.71 B","USA","#3328","$170.53"
"Atlantic Union Bankshares","$2.71 B","USA","#3329","$36.38"
"Compañía Cervecerías Unidas","$2.71 B","Chile","#3330","$14.70"
"ViaSat","$2.71 B","USA","#3331","$35.90"
"Fonterra","$2.70 B","New Zealand","#3332","$1.68"
"JK Cement","$2.70 B","India","#3333","$35.02"
"Arch Resources","$2.70 B","USA","#3334","$149.40"
"Ultrapar Participacoes","$2.70 B","Brazil","#3335","$2.46"
"Safestore","$2.70 B","UK","#3336","$12.27"
"Champion REIT","$2.70 B","Hong Kong","#3337","$0.45"
"CRISIL","$2.70 B","India","#3338","$36.96"
"Atul","$2.69 B","India","#3339","$91.46"
"Ipca Laboratories","$2.69 B","India","#3340","$10.61"
"Iveco Group","$2.69 B","Italy","#3341","$7.92"
"Forward Air","$2.68 B","USA","#3342","$101.16"
"BGF Retail","$2.68 B","South Korea","#3343","$155.59"
"Genworth Financial","$2.68 B","USA","#3344","$5.41"
"Travis Perkins","$2.68 B","UK","#3345","$12.30"
"Liberty Energy","$2.68 B","USA","#3346","$14.72"
"Ubisoft","$2.68 B","France","#3347","$20.86"
"Alliance Resource Partners","$2.67 B","USA","#3348","$21.06"
"Vitesco Technologies Group","$2.67 B","Germany","#3349","$64.84"
"Freenet","$2.67 B","Germany","#3350","$24.26"
"Rumble","$2.67 B","USA","#3351","$9.60"
"Cal-Maine Foods","$2.67 B","USA","#3352","$54.67"
"International Distributions Services (Royal Mail)","$2.67 B","UK","#3353","$2.70"
"Ebro Foods","$2.67 B","Spain","#3354","$17.38"
"Gibson Energy","$2.67 B","Canada","#3355","$18.46"
"JOYY","$2.66 B","China","#3356","$37.67"
"Big Yellow Group","$2.66 B","UK","#3357","$14.48"
"Spin Master","$2.66 B","Canada","#3358","$25.91"
"Punjab & Sind Bank","$2.66 B","India","#3359","$0.39"
"Nova Measuring Instruments","$2.66 B","Israel","#3360","$92.70"
"Bachoco","$2.66 B","Mexico","#3361","$52.44"
"BankUnited","$2.65 B","USA","#3362","$35.15"
"DigitalOcean","$2.65 B","USA","#3363","$27.62"
"Worthington Industries","$2.65 B","USA","#3364","$53.48"
"Aksa Energy","$2.65 B","Turkey","#3365","$2.17"
"Tianjin FAW","$2.65 B","China","#3366","$0.44"
"Arcosa","$2.65 B","USA","#3367","$54.89"
"Frontier Airlines","$2.65 B","USA","#3368","$12.18"
"Lundin Gold","$2.64 B","Canada","#3369","$11.24"
"Xerox","$2.64 B","USA","#3370","$17.01"
"Grindwell Norton","$2.64 B","India","#3371","$23.83"
"Elekta AB","$2.64 B","Sweden","#3372","$6.70"
"Konecranes","$2.64 B","Finland","#3373","$33.41"
"Pick n Pay Stores","$2.64 B","South Africa","#3374","$3.65"
"Fortis Healthcare","$2.64 B","India","#3375","$3.50"
"Dürr","$2.63 B","Germany","#3376","$38.14"
"LIC Housing Finance","$2.63 B","India","#3377","$4.79"
"Zee Entertainment","$2.63 B","India","#3378","$2.74"
"Rand Merchant Investment","$2.63 B","South Africa","#3379","$1.69"
"Mallplaza","$2.63 B","Chile","#3380","$1.34"
"Mirati Therapeutics","$2.62 B","USA","#3381","$45.66"
"Solaria Energía","$2.62 B","Spain","#3382","$21.03"
"Kingnet Network","$2.62 B","China","#3383","$1.22"
"Callon Petroleum","$2.62 B","USA","#3384","$42.65"
"CNO Financial Group","$2.62 B","USA","#3385","$22.96"
"LCI Industries","$2.62 B","USA","#3386","$103.14"
"Fulton Financial","$2.62 B","USA","#3387","$15.64"
"Kunlun Tech","$2.62 B","China","#3388","$2.22"
"TreeHouse Foods","$2.61 B","USA","#3389","$46.70"
"Spectrum Brands","$2.61 B","USA","#3390","$64.18"
"Trigano","$2.61 B","France","#3391","$134.56"
"Ansell","$2.61 B","Australia","#3392","$20.47"
"Dream Industrial REIT","$2.61 B","Canada","#3393","$10.19"
"Revance Therapeutics","$2.60 B","USA","#3394","$31.70"
"Myovant Sciences","$2.60 B","UK","#3395","$26.89"
"Boral","$2.59 B","Australia","#3396","$2.36"
"Excelerate Energy","$2.59 B","USA","#3397","$23.99"
"Bank of Maharashtra","$2.59 B","India","#3398","$0.39"
"Siltronic","$2.59 B","Germany","#3399","$83.68"
"TeamViewer","$2.59 B","Germany","#3400","$14.44"
"Kadokawa","$2.59 B","Japan","#3401","$18.62"
"Swissquote","$2.58 B","Switzerland","#3402","$168.68"
"Steve Madden","$2.58 B","USA","#3403","$33.18"
"SYNLAB","$2.58 B","Germany","#3404","$11.51"
"Chegg","$2.57 B","USA","#3405","$20.56"
"Perficient","$2.57 B","USA","#3406","$74.47"
"MDC Holdings","$2.57 B","USA","#3407","$36.18"
"Dixon Technologies","$2.57 B","India","#3408","$43.27"
"Relaxo Footwear","$2.57 B","India","#3409","$10.34"
"Corcept Therapeutics","$2.57 B","USA","#3410","$23.93"
"SSP Group","$2.57 B","UK","#3411","$3.19"
"Commvault","$2.57 B","USA","#3412","$57.82"
"Fletcher Building","$2.57 B","New Zealand","#3413","$3.21"
"Uniqa Insurance Group","$2.57 B","","#3414","$8.25"
"Pan Ocean","$2.57 B","South Korea","#3415","$4.81"
"Balfour Beatty","$2.57 B","UK","#3416","$4.40"
"Otter Tail","$2.56 B","USA","#3417","$61.72"
"Cembra Money Bank","$2.56 B","Switzerland","#3418","$85.63"
"Red Rock Resorts","$2.56 B","USA","#3419","$44.28"
"Resideo Technologies","$2.56 B","USA","#3420","$17.60"
"ALSO Holding","$2.56 B","Switzerland","#3421","$200.17"
"Itron","$2.56 B","USA","#3422","$56.80"
"Vermilion Energy","$2.56 B","Canada","#3423","$15.72"
"Helen of Troy","$2.56 B","USA","#3424","$106.91"
"Energizer Holdings","$2.56 B","USA","#3425","$35.92"
"Leslie's","$2.56 B","USA","#3426","$13.96"
"Bayer Crop Science","$2.56 B","India","#3427","$56.98"
"IHS Towers","$2.56 B","UK","#3428","$7.72"
"Beach Energy","$2.55 B","Australia","#3429","$1.12"
"Tohoku Electric Power","$2.55 B","Japan","#3430","$5.12"
"MGE Energy","$2.55 B","USA","#3431","$70.71"
"Pacific Biosciences","$2.55 B","USA","#3432","$11.29"
"Zain Saudi Arabia","$2.55 B","Saudi Arabia","#3433","$2.84"
"Tronox","$2.55 B","USA","#3434","$16.51"
"Multiplan Empreendimentos Imobiliários","$2.55 B","Brazil","#3435","$4.36"
"Keppel REIT","$2.54 B","Singapore","#3436","$0.68"
"St. Joe Company","$2.54 B","USA","#3437","$43.65"
"Vivint Smart Home","$2.54 B","USA","#3438","$11.93"
"Voltalia","$2.54 B","France","#3439","$19.01"
"Alarm.com","$2.54 B","USA","#3440","$50.98"
"TransAlta","$2.54 B","Canada","#3441","$9.44"
"Brady","$2.54 B","USA","#3442","$51.12"
"Kontoor Brands","$2.54 B","USA","#3443","$45.84"
"WH Smith","$2.54 B","UK","#3444","$19.41"
"Sage Therapeutics","$2.53 B","USA","#3445","$42.56"
"Duck Creek Technologies","$2.52 B","USA","#3446","$19.03"
"Keywords Studios","$2.52 B","Ireland","#3447","$32.30"
"New India Assurance","$2.52 B","India","#3448","$1.53"
"Golar LNG","$2.52 B","","#3449","$23.46"
"WIN Semiconductors","$2.52 B","Taiwan","#3450","$5.94"
"Bavarian Nordic","$2.51 B","Denmark","#3451","$34.33"
"Hang Lung Group","$2.51 B","Hong Kong","#3452","$1.85"
"OPC Energy","$2.51 B","Israel","#3453","$11.19"
"Osisko Gold Royalties","$2.50 B","Canada","#3454","$13.64"
"PagerDuty","$2.50 B","USA","#3455","$27.86"
"Outokumpu","$2.50 B","Finland","#3456","$5.67"
"NetLink Trust","$2.50 B","Singapore","#3457","$0.64"
"Independent Bank Group","$2.50 B","USA","#3458","$60.75"
"Rogers Corporation","$2.50 B","USA","#3459","$132.98"
"Omnicell","$2.50 B","USA","#3460","$56.00"
"LGI Homes","$2.49 B","USA","#3461","$107.30"
"VIAVI Solutions","$2.49 B","USA","#3462","$11.04"
"Axos Financial","$2.49 B","USA","#3463","$41.58"
"Covivio Hotels","$2.49 B","France","#3464","$16.78"
"SATS","$2.49 B","Singapore","#3465","$2.22"
"Innovative Industrial","$2.49 B","USA","#3466","$89.03"
"Millicom","$2.48 B","","#3467","$14.57"
"Relay Therapeutics","$2.48 B","USA","#3468","$20.58"
"John Wiley & Sons","$2.48 B","USA","#3469","$44.90"
"Lightspeed POS","$2.48 B","Canada","#3470","$16.52"
"Aarti Industries","$2.48 B","India","#3471","$6.85"
"Piper Sandler","$2.48 B","USA","#3472","$139.21"
"Urban Outfitters","$2.48 B","USA","#3473","$26.92"
"Extreme Networks","$2.47 B","USA","#3474","$18.88"
"Compagnie Plastic Omnium","$2.47 B","France","#3475","$16.34"
"Baytex Energy","$2.47 B","Canada","#3476","$4.53"
"Bata India","$2.47 B","India","#3477","$19.27"
"ams AG","$2.47 B","","#3478","$9.48"
"Genus","$2.47 B","UK","#3479","$37.26"
"Hays plc","$2.46 B","UK","#3480","$1.52"
"Joby Aviation","$2.46 B","USA","#3481","$3.97"
"Holly Energy Partners","$2.46 B","USA","#3482","$19.50"
"INFICON","$2.46 B","Switzerland","#3483","$1,008"
"Integer Holdings","$2.45 B","USA","#3484","$74.21"
"Endurance Technologies","$2.45 B","India","#3485","$17.46"
"Hatsun Agro Products","$2.45 B","India","#3486","$11.02"
"Piramal Enterprises","$2.45 B","India","#3487","$10.28"
"Permata Bank","$2.44 B","Indonesia","#3488","$0.07000"
"Britvic","$2.44 B","UK","#3489","$9.43"
"Arbor Realty Trust","$2.44 B","USA","#3490","$14.27"
"Mr Price Group","$2.44 B","South Africa","#3491","$9.76"
"Revolution Medicines","$2.44 B","USA","#3492","$27.52"
"Amylyx Pharmaceuticals","$2.44 B","USA","#3493","$36.87"
"CASIO","$2.44 B","Japan","#3494","$10.21"
"Harmony Gold","$2.44 B","South Africa","#3495","$3.84"
"Cracker Barrel","$2.44 B","USA","#3496","$109.93"
"Apollo Tyres","$2.43 B","India","#3497","$3.84"
"National Health Investors","$2.43 B","USA","#3498","$56.14"
"1&1","$2.43 B","Germany","#3499","$13.80"
"Innergex Renewable Energy","$2.43 B","Canada","#3500","$11.91"
"Dana","$2.42 B","USA","#3501","$16.94"
"Acer","$2.42 B","Taiwan","#3502","$0.81"
"Mandarin Oriental","$2.42 B","Hong Kong","#3503","$1.92"
"QinetiQ","$2.42 B","UK","#3504","$4.19"
"Verint Systems","$2.42 B","USA","#3505","$36.79"
"Kemira","$2.42 B","Finland","#3506","$15.80"
"Österreichische Post","$2.42 B","","#3507","$35.84"
"BlackBerry","$2.42 B","Canada","#3508","$4.17"
"Corbion","$2.41 B","Netherlands","#3509","$39.64"
"ESCO Technologies","$2.41 B","USA","#3510","$93.33"
"United Industrial Corporation","$2.41 B","Singapore","#3511","$1.69"
"Stepan Company","$2.40 B","USA","#3512","$108.42"
"Gentherm","$2.40 B","USA","#3513","$72.55"
"PB Fintech","$2.40 B","India","#3514","$5.35"
"SD BioSensor","$2.40 B","South Korea","#3515","$23.52"
"Artisan Partners","$2.40 B","USA","#3516","$35.41"
"WD-40 Company","$2.40 B","USA","#3517","$176.71"
"Farfetch","$2.39 B","UK","#3518","$6.29"
"Matson","$2.39 B","USA","#3519","$63.48"
"The Navigator Company","$2.39 B","Portugal","#3520","$3.37"
"Devyani International","$2.39 B","India","#3521","$1.99"
"First Merchants Corporation","$2.39 B","USA","#3522","$40.20"
"Gestamp Automoción","$2.39 B","Spain","#3523","$4.16"
"United Natural Foods","$2.39 B","USA","#3524","$39.99"
"Cyfrowy Polsat","$2.39 B","Poland","#3525","$4.34"
"CBIZ","$2.39 B","USA","#3526","$47.03"
"SiTime","$2.38 B","USA","#3527","$111.44"
"E-L Financial","$2.38 B","Canada","#3528","$671.56"
"SoftwareONE","$2.38 B","Switzerland","#3529","$15.42"
"Bowlero","$2.38 B","USA","#3530","$14.40"
"Kimbell Royalty Partners","$2.38 B","USA","#3531","$16.45"
"Iren","$2.38 B","Italy","#3532","$1.78"
"Olink Holding","$2.38 B","Sweden","#3533","$20.00"
"FLSmidth","$2.37 B","Denmark","#3534","$41.89"
"Ashmore Group","$2.37 B","UK","#3535","$3.30"
"Navient","$2.37 B","USA","#3536","$17.51"
"SL Green Realty","$2.37 B","USA","#3537","$36.74"
"Arconic","$2.37 B","USA","#3538","$23.38"
"Four Corners Property Trust","$2.37 B","USA","#3539","$28.24"
"EnPro Industries","$2.36 B","USA","#3540","$113.73"
"McGrath RentCorp","$2.36 B","USA","#3541","$96.99"
"Jamf","$2.36 B","USA","#3542","$19.48"
"ReNew Power","$2.36 B","India","#3543","$6.10"
"TTEC","$2.36 B","USA","#3544","$49.99"
"Grainger plc","$2.35 B","UK","#3545","$3.14"
"Primo Water","$2.35 B","USA","#3546","$14.75"
"Chorus","$2.35 B","New Zealand","#3547","$5.28"
"KPIT Technologies","$2.35 B","India","#3548","$8.58"
"Korea Gas","$2.35 B","South Korea","#3549","$27.40"
"NexPoint Residential","$2.35 B","USA","#3550","$45.57"
"Sun TV Network","$2.35 B","India","#3551","$5.96"
"Befesa","$2.34 B","","#3552","$58.59"
"Jumbo S.A.","$2.34 B","","#3553","$17.22"
"Evertec","$2.34 B","USA","#3554","$35.94"
"Globalstar","$2.34 B","USA","#3555","$1.30"
"Jfrog","$2.34 B","USA","#3556","$23.34"
"Maple Leaf Foods","$2.33 B","Canada","#3557","$18.89"
"NuVasive","$2.33 B","USA","#3558","$44.79"
"Weber","$2.32 B","USA","#3559","$8.11"
"Dermapharm","$2.32 B","Germany","#3560","$41.23"
"Interroll","$2.32 B","Switzerland","#3561","$2,842"
"Filo Mining","$2.32 B","Canada","#3562","$18.91"
"KWS","$2.32 B","Germany","#3563","$70.48"
"Sabre","$2.32 B","USA","#3564","$7.08"
"ProSiebenSat.1 Media","$2.32 B","Germany","#3565","$10.26"
"Embraer","$2.32 B","Brazil","#3566","$12.51"
"Weis Markets","$2.32 B","USA","#3567","$86.33"
"Alignment Healthcare","$2.32 B","USA","#3568","$12.40"
"Sonos","$2.31 B","USA","#3569","$18.31"
"Topaz Energy","$2.31 B","Canada","#3570","$16.08"
"Golub Capital","$2.31 B","USA","#3571","$13.55"
"Glaukos","$2.31 B","USA","#3572","$48.53"
"Office Depot","$2.31 B","USA","#3573","$50.50"
"Kadant","$2.31 B","USA","#3574","$198.22"
"SJW Group","$2.31 B","USA","#3575","$76.24"
"Gerresheimer","$2.30 B","Germany","#3576","$73.52"
"VisEra Technologies","$2.30 B","Taiwan","#3577","$7.32"
"CompuGroup Medical","$2.30 B","Germany","#3578","$44.18"
"Shake Shack","$2.30 B","USA","#3579","$54.75"
"TORM","$2.30 B","UK","#3580","$27.62"
"Distell Group","$2.30 B","South Africa","#3581","$10.48"
"Emami","$2.30 B","India","#3582","$5.22"
"Star Bulk Carriers","$2.30 B","","#3583","$22.45"
"Laurus Labs","$2.30 B","India","#3584","$4.27"
"Agiliti","$2.30 B","USA","#3585","$17.25"
"Cavco Industries","$2.30 B","USA","#3586","$258.16"
"IIFL Finance","$2.29 B","India","#3587","$6.05"
"Kennedy Wilson","$2.29 B","USA","#3588","$16.68"
"Netcompany Group","$2.29 B","Denmark","#3589","$44.91"
"Sprinklr","$2.29 B","USA","#3590","$8.79"
"Cogeco","$2.29 B","Canada","#3591","$51.20"
"Berner Kantonalbank","$2.29 B","Switzerland","#3592","$248.06"
"Elkem","$2.28 B","Norway","#3593","$3.60"
"AEON REIT Investment","$2.28 B","Japan","#3594","$1,117"
"Tricon Residential","$2.28 B","Canada","#3595","$8.34"
"Xenon Pharmaceuticals","$2.28 B","Canada","#3596","$36.48"
"Immunovant","$2.28 B","USA","#3597","$17.65"
"Kainos Group","$2.27 B","UK","#3598","$18.11"
"LondonMetric Property","$2.27 B","UK","#3599","$2.29"
"TowneBank","$2.27 B","USA","#3600","$30.43"
"Cedar Fair","$2.27 B","USA","#3601","$41.79"
"Future plc","$2.26 B","UK","#3602","$18.18"
"Ninety One Group","$2.26 B","South Africa","#3603","$2.43"
"NovaGold Resources","$2.26 B","Canada","#3604","$6.79"
"OC Oerlikon","$2.26 B","Switzerland","#3605","$6.93"
"NETSCOUT","$2.26 B","USA","#3606","$31.32"
"Rocket Lab","$2.26 B","USA","#3607","$4.78"
"Enerjisa Enerji","$2.25 B","Turkey","#3608","$1.91"
"Verra Mobility","$2.25 B","USA","#3609","$15.04"
"Darktrace","$2.25 B","UK","#3610","$2.98"
"MGP Ingredients","$2.24 B","USA","#3611","$102.22"
"Akero Therapeutics","$2.24 B","USA","#3612","$47.99"
"Columbia Bank","$2.24 B","USA","#3613","$28.49"
"MVV Energie","$2.24 B","Germany","#3614","$33.78"
"Patria Investments","$2.23 B","","#3615","$15.21"
"International Games System","$2.23 B","Taiwan","#3616","$15.89"
"Landis+Gyr","$2.23 B","Switzerland","#3617","$77.60"
"NexGen Energy","$2.23 B","Canada","#3618","$4.65"
"Enlight Renewable Energy","$2.23 B","Israel","#3619","$2.20"
"First Financial Bank","$2.23 B","USA","#3620","$23.56"
"Sunnova","$2.23 B","USA","#3621","$19.44"
"Progress Software","$2.23 B","USA","#3622","$51.95"
"Trinity Industries","$2.22 B","USA","#3623","$27.39"
"Itaú CorpBanca","$2.22 B","Chile","#3624","$3.39"
"Claros Mortgage Trust","$2.22 B","USA","#3625","$16.10"
"Trupanion","$2.22 B","USA","#3626","$54.47"
"Canada Goose","$2.22 B","Canada","#3627","$21.14"
"Crombie Real Estate Investment Trust","$2.22 B","Canada","#3628","$12.49"
"Luminar Technologies","$2.22 B","USA","#3629","$6.13"
"Whirlpool India","$2.22 B","India","#3630","$17.52"
"Micro Focus","$2.22 B","UK","#3631","$6.51"
"Park National Corp","$2.21 B","USA","#3632","$136.49"
"NexTier Oilfield","$2.21 B","USA","#3633","$9.03"
"Doosan Fuel Cell","$2.21 B","South Korea","#3634","$25.82"
"NOS","$2.21 B","Portugal","#3635","$4.32"
"WaFd Bank","$2.21 B","USA","#3636","$33.83"
"Galaxy Digital Holdings","$2.21 B","USA","#3637","$3.77"
"ZIM Integrated Shipping Services","$2.20 B","Israel","#3638","$18.40"
"GMS","$2.20 B","USA","#3639","$53.01"
"Six Flags","$2.20 B","USA","#3640","$26.52"
"ProKidney","$2.20 B","USA","#3641","$9.47"
"Kennametal","$2.20 B","USA","#3642","$27.35"
"Banner Bank","$2.20 B","USA","#3643","$64.43"
"Credo Technology","$2.20 B","USA","#3644","$15.00"
"FTAI Aviation","$2.19 B","USA","#3645","$22.07"
"The Foschini Group","$2.19 B","South Africa","#3646","$6.62"
"First Majestic Silver","$2.19 B","Canada","#3647","$8.06"
"Entra","$2.19 B","Norway","#3648","$12.06"
"Celldex Therapeutics","$2.19 B","USA","#3649","$46.61"
"Altice USA","$2.18 B","USA","#3650","$4.80"
"Buckle","$2.18 B","USA","#3651","$43.69"
"Spirit Airlines","$2.18 B","USA","#3652","$20.08"
"CONSOL Energy","$2.18 B","USA","#3653","$62.67"
"Prestige Group","$2.18 B","India","#3654","$5.45"
"Shutterstock","$2.18 B","USA","#3655","$61.01"
"Gudang Garam","$2.18 B","Indonesia","#3656","$1.13"
"Barnes Group","$2.18 B","USA","#3657","$43.13"
"Supernus Pharmaceuticals","$2.17 B","USA","#3658","$40.31"
"Silicon Motion","$2.17 B","Hong Kong","#3659","$65.93"
