valuetoday-annual_net_income_usd,forbes-assets,companiesmarketcap-revenue,disfold-revenue,globaldata-revenue,valuetoday-revenue,companiesmarketcap-pricecap,forbes-sales,disfold-market_cap,globaldata-market_cap,cbinsights-valuation,forbes-market_value,companiesmarketcap-share_price,ft-revenue_2020_eu,valuetoday-annual_revenue_usd,forbes-profit,ft-revenue_2017_eu,companiesmarketcap-earnings
doll_0.005581 b,doll_275.9 b,0,0,doll_1.0 b,0,doll_289.44 b,doll_116.39 b,doll_35.86 b,doll_0.3926 b,doll_1 b,doll_205.72 b,doll_36.08,doll_0.00454 b,doll_0.028318000000000003 b,doll_14.16 b,"155,043",0
doll_0.006046 b,doll_276.25 b,0,0,doll_1.0 b,0,doll_331.82 b,doll_129.76 b,doll_32.515 b,doll_1.9 b,doll_1 b,doll_237.78 b,doll_120.66,doll_0.0035800000000000003 b,doll_0.04671 b,doll_10.17 b,"125,682",0
doll_0.005066 b,doll_165.99 b,0,0,doll_1.0 b,0,doll_327.43 b,doll_117.93 b,doll_461587.0 b,doll_0.3153 b,doll_1 b,doll_499.86 b,doll_123.49,doll_0.21056 b,doll_0.03558 b,doll_39.37 b,"7,403,458",0
doll_0.051206 b,doll_1324.62 b,0,0,doll_1.0 b,0,doll_312.57 b,doll_138.62 b,doll_38.46 b,doll_2.0 b,doll_1 b,doll_96.42 b,doll_46.54,doll_0.0058200000000000005 b,doll_0.13816 b,doll_7.81 b,"210,820",0
doll_0.018733 b,doll_1222.23 b,0,0,doll_1.0 b,0,doll_334.28 b,doll_60.22 b,doll_41.083999999999996 b,doll_3.5 b,doll_1 b,doll_150.95 b,doll_327.99,doll_0.05602 b,doll_0.006866 b,doll_14.58 b,"2,039,961",0
doll_0.006437 b,doll_1589.0 b,0,0,doll_1.0 b,0,doll_350.04 b,doll_62.81 b,doll_42.905 b,doll_3.9 b,doll_9.5 b,doll_109.32 b,doll_181.03,doll_0.00418 b,doll_0.02745 b,doll_18.74 b,"155,310",0
doll_0.011812 b,doll_2957.94 b,0,0,doll_1.0 b,0,doll_346.18 b,doll_59.33 b,doll_3456.0 b,doll_0.7696000000000001 b,doll_1 b,doll_135.3 b,doll_360.06,doll_0.00445 b,doll_0.051557000000000006 b,doll_12.58 b,"182,100",0
doll_0.009771 b,doll_2995.89 b,0,0,doll_1.0 b,0,doll_356.9 b,doll_127.42 b,doll_47.593 b,doll_1.1 b,doll_1 b,doll_68.76 b,doll_150.61,doll_0.0059299999999999995 b,doll_0.038655 b,doll_9.85 b,"229,713",0
doll_0.020797 b,doll_182.02 b,0,0,doll_1.0 b,0,doll_356.08 b,doll_94.88 b,doll_48.677 b,doll_2.2 b,doll_1 b,doll_477.38 b,doll_374.76,doll_0.005719999999999999 b,doll_0.22898 b,doll_19.83 b,"225,380",0
doll_0.006717 b,doll_295.48 b,0,0,doll_1.0 b,0,doll_378.34 b,doll_178.94 b,doll_48.852 b,0,doll_1 b,doll_74.62 b,doll_39.29,doll_0.004860000000000001 b,doll_0.04244 b,doll_27.19 b,"194,090",0
doll_0.005906 b,doll_240.5 b,0,0,doll_1.0 b,0,doll_376.99 b,doll_291.98 b,doll_15140.0 b,doll_1.7 b,doll_10 b,doll_133.53 b,doll_753.26,doll_0.0025499999999999997 b,doll_0.050533 b,doll_7.91 b,"101,311",0
doll_0.005006999999999999 b,doll_181.48 b,0,0,doll_1.0 b,0,doll_415.87 b,doll_81.49 b,doll_61.75 b,doll_1.3 b,doll_1 b,doll_271.83 b,doll_153.22,doll_0.0024300000000000003 b,doll_0.19591999999999998 b,doll_21.98 b,"100,711",0
doll_0.011542 b,doll_418.94 b,0,0,doll_1.0 b,0,doll_396.45 b,doll_96.86 b,doll_66.038 b,doll_3.6 b,doll_1 b,doll_71.69 b,doll_135.16,doll_0.00895 b,doll_0.056197000000000004 b,doll_20.87 b,"379,771",0
doll_0.007724999999999999 b,doll_292.05 b,0,0,doll_1.0 b,0,doll_420.54 b,doll_384.82 b,doll_79.84700000000001 b,doll_0.7355 b,doll_1 b,doll_80.81 b,doll_168.76,doll_0.01716 b,doll_0.039210999999999996 b,doll_11.04 b,"757,323",0
0,doll_1377.94 b,0,0,doll_1.0 b,0,doll_422.66 b,doll_45.24 b,doll_1016.0 b,doll_1.3 b,doll_10 b,doll_147.92 b,doll_81.50,doll_0.0025 b,doll_0.103 b,doll_13.0 b,"110,200",0
doll_0.005116 b,doll_152.71 b,0,0,doll_1.0 b,0,doll_452.43 b,doll_95.25 b,doll_1642.0 b,doll_0.9128999999999999 b,doll_10 b,doll_360.01 b,doll_109.86,doll_0.01648 b,doll_0.029696999999999998 b,doll_18.49 b,"744,092",0
doll_0.007071 b,doll_839.85 b,0,0,doll_1.0 b,0,doll_460.99 b,doll_145.19 b,doll_1825.0 b,doll_0.7847000000000001 b,doll_1 b,doll_65.75 b,doll_217.66,doll_0.00859 b,doll_0.043075 b,doll_8.39 b,"387,995",0
doll_0.0076100000000000004 b,doll_360.47 b,0,0,doll_1.0 b,0,doll_467.67 b,doll_117.3 b,doll_8615.0 b,doll_2.9 b,doll_1 b,doll_63.56 b,doll_178.88,doll_0.0038399999999999997 b,doll_0.07947 b,doll_25.44 b,"179,204",0
doll_0.015619999999999998 b,doll_287.27 b,0,0,doll_1.0 b,0,doll_606.2 b,doll_158.01 b,doll_2328.0 b,doll_0.5488 b,doll_1 b,doll_98.38 b,doll_194.86,doll_0.0077800000000000005 b,doll_0.1556 b,doll_7.55 b,"388,565",0
doll_0.007068 b,doll_168.41 b,0,0,doll_1.0 b,0,doll_500.96 b,doll_79.02 b,doll_15.106 b,doll_0.0741 b,doll_1 b,doll_190.29 b,doll_536.16,doll_0.0259 b,doll_0.020838000000000002 b,doll_19.87 b,"1,186,853",0
doll_0.01304 b,doll_1398.48 b,0,0,doll_1.0 b,0,doll_696.53 b,doll_38.51 b,doll_15.471 b,0,doll_1 b,doll_132.99 b,doll_316.15,doll_0.01331 b,doll_0.0487 b,doll_11.78 b,"640,056",0
