,name,industry,headquarters,founded,area_served
175,dole plc,agribusiness,"burnaby, british columbia",0,
176,domino's pizza,foodservice franchising,"ann arbor township, michigan",0,worldwide
177,dude perfect,entertainment,frisco,0,
178,dupont,chemicals,"wilmington, delaware",0,global 90 countries[8]
179,dxc technology,information technology consulting outsourcing,"wilmington, delaware",0,worldwide
180,dyson (company),household appliances,st james power station,0,worldwide
181,ebay,e-commerce,san jose,0,worldwide
182,electronic arts,video games,san jose,0,worldwide
183,embraer,"aerospace, defense",san jose,0,worldwide
184,emerson electric,electrical equipment,"ferguson, missouri",1890,
185,emigre fonts,typography,"ferguson, missouri",1984,
186,eni,oil and gas,"ferguson, missouri",0,worldwide
187,ericsson,telecommunications networking,kista,0,worldwide
188,the estée lauder companies,cosmetics,general motors building,1946,
189,etisalat by e&,telecommunication,general motors building,0,list united arab emirates saudi arabia morocco algeria pakistan egypt afghanistan mauritania mali gabon burkina faso benin côte d'ivoire togo niger central african republic nigeria
190,eva air,telecommunication,luzhu,0,
191,evergreen marine corporation,container shipping marine transportation,luzhu,1968,worldwide
192,evercore,investment banking,new york city,1995,
193,exxonmobil,energy: oil and gas,new york city,0,worldwide
194,ezaki glico,food manufacturing,new york city,0,
195,ernst & young,professional services,london,1989,worldwide
196,faber-castell,stationery,london,1761,worldwide
197,fairphone,telecommunications equipment,london,0,
198,fast retailing,retail,london,0,worldwide
199,fbt (company),sportswear sports equipment,bangkok,1952,worldwide
200,fedex,e-commerce services transportation,"memphis, tennessee",0,worldwide
201,ferrero spa,food,"memphis, tennessee",1946,worldwide
202,fila,sportswear sports goods,"memphis, tennessee",0,worldwide
203,ficosa,sportswear sports goods,"memphis, tennessee",0,
204,fis (company),financial sector,"jacksonville, florida",1968,worldwide
205,font bureau,type foundry,boston,1989,
206,fontshop international,"type foundry, stock photography",boston,0,
207,fortinet,cloud security cybersecurity network security,boston,2000,
208,fossil group,fashion,richardson,1984,
209,foxconn,electronics,richardson,0,worldwide
210,fpt group,"information technology, communications, education",cau giay,0,
211,fujifilm,document solutions digital imaging medical imaging cosmetics regenerative medicine stem cells biologics,tokyo midtown,0,worldwide
212,fujitsu,computer hardware consulting cloud computing telecommunications data storage consumer electronics,tokyo midtown,0,worldwide
213,fujiya,computer hardware consulting cloud computing telecommunications data storage consumer electronics,tokyo midtown,0,japan
214,future group,conglomerate,"mumbai, maharashtra",2013,
215,gamestop,retail,"mumbai, maharashtra",1984,several countries australia austria canada france germany italy ireland new zealand switzerland united states
216,gap inc.,retail,"mumbai, maharashtra",0,worldwide
217,garmin,technology,"olathe, kansas",0,
218,gartner,research & advisory services,"olathe, kansas",1979,
219,gazprom,oil and gas,"olathe, kansas",0,
220,geeknet,online media retail,"olathe, kansas",0,
221,general electric,conglomerate,boston,0,worldwide
222,gree electric,"electronics, household appliances",boston,1991,worldwide
223,general mills,food processing,boston,0,worldwide
224,general motors,automotive,renaissance center,0,worldwide
225,assicurazioni generali,financial services,renaissance center,1831,worldwide
226,gerdau,iron and steel,porto alegre,0,
227,giant bicycles,bicycle manufacturing,porto alegre,0,
228,globe telecom,telecommunications remittance mass media,porto alegre,0,philippines
229,gungho online entertainment,video games,chiyoda,0,
230,guinness,video games,chiyoda,0,
231,guess (clothing),fashion,chiyoda,1981,
232,gsk plc,pharmaceutical biotechnology,london,0,worldwide
233,geely,automotive,binjiang district,0,worldwide
234,goodyear tire and rubber company,manufacturing,binjiang district,0,worldwide
235,google,artificial intelligence advertising cloud computing computer software computer hardware internet,1600 amphitheatre parkway,0,worldwide
236,godaddy,"internet, it consulting, smes","tempe, arizona",1997,worldwide
