,name,industry,sector,headquarters,founded
47,bredbandsbolaget,telecommunications,fixed line telecommunications,stockholm,1998
48,brio,consumer goods,toys,malmö,1884
49,bure equity,financials,investment services,stockholm,1992
50,camfil,industrials,industrial machinery,stockholm,1963
51,carnegie investment bank,financials,investment services,stockholm,1803
52,casino cosmopol,consumer services,gambling,stockholm,1999
53,cederroth,health care,health care providers,upplands väsby,1895
54,cheap monday,consumer goods,clothing & accessories,stockholm,2000
55,clas ohlson,consumer services,home improvement retailers,insjön,1918
56,clavia,consumer goods,recreational products,stockholm,1983
57,cloetta,consumer goods,food products,stockholm,1862
58,columbitech,technology,software,stockholm,2000
59,com hem,telecommunications,fixed line telecommunications,stockholm,1983
60,comviq,telecommunications,fixed line telecommunications,stockholm,1981
61,coop norden,consumer services,food retailers & wholesalers,stockholm,2001
62,danir ab,financials,investment services,malmö,1986
63,dataphone,telecommunications,mobile telecommunications,stockholm,2001
64,datasaab,industrials,business support services,linköping,1954
65,delaval,industrials,commercial vehicles & trucks,tumba,1883
66,destination gotland,consumer services,travel & tourism,visby,1998
67,diamyd medical,health care,biotechnology,stockholm,1994
68,dockstavarvet,industrials,commercial vehicles & trucks,docksta,1905
69,domnarvet,basic materials,iron & steel,borlänge,1872
70,doro,technology,telecommunications equipment,malmö,1974
71,draim,technology,software,nacka,2003
72,ea dice,technology,software,stockholm,1992
73,elanders,industrials,business support services,mölnlycke,1908
74,electrolux,consumer goods,durable household products,stockholm,1919
75,elekta,health care,health care providers,stockholm,1972
76,elektron,consumer goods,recreational products,gothenburg,1998
77,elfa international,consumer goods,furnishings,malmö,1948
78,ellos,consumer services,broadline retailers,borås,1947
79,enea ab,technology,software,kista,1968
80,eniro,technology,internet,stockholm,2000
81,epidemic sound,technology,internet,stockholm,2009
82,ericsson,technology,telecommunications equipment,stockholm,1876
83,esab,industrials,business support services,gothenburg,1904
84,eskilstuna energy and environment,utilities,conventional electricity,eskilstuna,1993
85,esselte,industrials,industrial suppliers,stockholm,1913
86,european spallation source,industrials,business support services,lund,2013
87,fagerhult group,industrials,building materials & fixtures,habo,1945
88,fatshark,technology,software,stockholm,2008
89,fjällräven,consumer goods,clothing & accessories,örnsköldsvik,1960
90,fkab,industrials,business support services,uddevalla,1961
91,föreningsbanken,financials,banks,stockholm,1992
92,forex bank,financials,investment services,stockholm,1927
93,frictional games,technology,software,helsingborg,2007
94,galvin green,consumer goods,clothing & accessories,växjö,1990
95,gb glace,consumer goods,food products,stockholm,1942
96,gekås,consumer services,broadline retailers,falkenberg,1963
97,getinge group,health care,medical equipment,gothenburg,1904
98,göinge mekaniska,industrials,heavy construction,hässleholm,1946
99,green cargo,industrials,delivery services,solna,2001
100,grimaldi industri,conglomerates,-,stockholm,1970
101,gunnebo group,industrials,business support services,gothenburg,1889
102,h&m,consumer services,apparel retailers,stockholm,1947
103,haglöfs,consumer goods,recreational products,torsång,1914
104,hagström,consumer goods,recreational products,älvdalen,1925
105,haldex,consumer goods,auto parts,landskrona,1887
106,hallberg-rassy,consumer goods,recreational products,ellös,1943
