revenue_2017_eu,revenue_2017,revenue_2017_euro,name,number_of_employees_2020,employees,employees_number_2020,employees_2020,founding_year,founded,compound_annual_growth_rate_cagr_pct,revenue_2020_euro,revenue,revenue_2020,revenue_2020_eu,sector,industry,absolute_growth_rate_pct,country,number_of_employees_2017,employees_2017,employees_number_2017
,,,pinsami,33,,,,2015,,120.71,doll_4.89 m,,,,food & beverage,,975.16,italy,14,,
,,,aer trading,1,,,,2013,,120.35,doll_17.58 m,,,,retail,,969.96,france,1,,
,,,valumen,4,,,,2014,,120.26,doll_2.2 m,,,,support services,,968.54,france,1,,
,,,follow,14,,,,2016,,119.95,doll_6.84 m,,,,advertising,,964.02,france,4,,
,,,darpdecade,173,,,,2016,,119.27,doll_6.62 m,,,,retail,,954.24,germany,4,,
,,,bolt,1798,,,,2013,,118.93,doll_221.39 m,,,,technology,,949.32,estonia,399,,
,,,kiteworldshop.com,5,,,,2014,,118.38,doll_1.67 m,,,,ecommerce,,941.48,italy,2,,
,,,peter kenkel,19,,,,2006,,118.2,doll_22.14 m,,,,retail,,938.81,germany,10,,
,,,templafy,292,,,,2014,,118.11,doll_15.49 m,,,,technology,,937.64,denmark,32,,
,,,comservice,99,,,,2014,,117.94,doll_2.02 m,,,,support services,,935.17,italy,17,,
,,,falcor presse,5,,,,2017,,117.38,doll_3.0 m,,,,industrial goods,,927.28,italy,1,,
,,,roomraccoon,40,,,,2017,,117.38,doll_1.72 m,,,,technology,,927.15,the netherlands,8,,
,,,signaturit,95,,,,2013,,116.95,doll_5.64 m,,,,technology,,921.07,spain,37,,
,,,modulr,191,,,,2015,,116.5,doll_12.79 m,,,,fintech,,914.74,uk,31,,
,,,profishop,63,,,,2012,,116.11,doll_43.81 m,,,,ecommerce,,909.37,germany,17,,
,,,floer,15,,,,2015,,116.02,doll_2.52 m,,,,interiors,,908.11,the netherlands,2,,
,,,audiosalus,12,,,,2011,,115.74,doll_1.57 m,,,,retail,,904.15,italy,4,,
,,,statsbomb,26,,,,2016,,115.29,doll_2.03 m,,,,technology,,897.81,uk,2,,
,,,theras biocare,8,,,,2013,,114.64,doll_26.63 m,,,,pharmaceuticals,,888.84,italy,2,,
,,,stenn,61,,,,2016,,114.5,doll_29.62 m,,,,fintech,,886.94,uk,32,,
,,,nanushka,180,,,,2012,,114.33,doll_20.83 m,,,,fashion,,884.55,hungary,30,,
,,,dpm - deutsches personal management,60,,,,2016,,114.18,doll_2.27 m,,,,support services,,882.56,germany,10,,
,,,monese,243,,,,2013,,114.0,doll_18.2 m,,,,fintech,,880.00,uk,84,,
,,,arquimea,288,,,,2005,,113.05,doll_72.04 m,,,,technology,,867.03,spain,40,,
,,,groupeâ perspective,18,,,,2013,,112.98,doll_2.71 m,,,,education,,866.15,france,4,,
,,,funnel,155,,,,2014,,112.98,doll_11.5 m,,,,technology,,866.06,sweden,37,,
,,,living quarter,49,,,,2015,,111.62,doll_5.02 m,,,,health,,847.68,germany,5,,
,,,svea solar,287,,,,2013,,111.23,doll_66.15 m,,,,energy,,842.47,sweden,38,,
,,,bevcraft group,16,,,,2016,,111.21,doll_4.05 m,,,,food & beverage,,842.21,ireland,6,,
,,,learning technologies group,932,,,,2013,,110.61,doll_19.45 m,,,,technology,,834.19,uk,767,,
,,,cura farma,9,,,,2014,,109.96,doll_4.44 m,,,,health,,825.58,italy,2,,
,,,kamado bono,7,,,,2013,,109.88,doll_6.8 m,,,,personal & household goods,,824.45,lithuania,2,,
,,,sipadan,47,,,,2007,,109.83,doll_3.46 m,,,,management consulting,,823.89,spain,3,,
,,,dateio,45,,,,2013,,108.95,doll_4.71 m,,,,fintech,,812.34,czech republic,18,,
,,,crest investment,16,,,,2016,,108.86,doll_4.86 m,,,,property,,811.16,germany,4,,
,,,componenti digitali,19,,,,2017,,108.67,doll_2.81 m,,,,retail,,808.60,italy,2,,
,,,immo-konzepte,6,,,,2006,,107.81,doll_2.27 m,,,,property,,797.40,germany,3,,
,,,swipbox,41,,,,2014,,107.4,doll_9.39 m,,,,technology,,792.08,denmark,3,,
,,,nextory,85,,,,2015,,107.29,doll_26.53 m,,,,media,,790.71,sweden,9,,
,,,itds polska,176,,,,2016,,107.23,doll_8.61 m,,,,technology,,789.96,poland,32,,
,,,savait,5,,,,2015,,107.07,doll_2.11 m,,,,ecommerce,,787.93,italy,4,,
,,,adpone,18,,,,2015,,106.94,doll_11.12 m,,,,advertising,,786.15,spain,3,,
,,,nord security,1000,,,,2012,,106.85,doll_156.62 m,,,,cyber security,,785.05,lithuania,350,,
,,,mews,226,,,,2012,,106.81,doll_22.39 m,,,,technology,,784.47,the netherlands,25,,
,,,titulae,35,,,,2015,,106.75,doll_4.87 m,,,,education,,783.80,spain,9,,
,,,systeme.io,40,,,,2016,,106.48,doll_2.41 m,,,,ecommerce,,780.26,ireland,5,,
