revenue_2017_eu,revenue_2017,revenue_2017_euro,name,number_of_employees_2020,employees,employees_number_2020,employees_2020,founding_year,founded,compound_annual_growth_rate_cagr_pct,revenue_2020_euro,revenue,revenue_2020,revenue_2020_eu,sector,industry,absolute_growth_rate_pct,country,number_of_employees_2017,employees_2017,employees_number_2017
,,,m.d.g. components unipersonale,,,,,2017,,,,,,,industrial goods,,,italy,,,
,,,amco-bulgaria,,,,,2011,,,,,,,retail,,,bulgaria,,,
,,,symprove,,,,,2005,,,,,,,personal & household goods,,,uk,,,
,,,tecknuovo,,,,,2015,,,,,,,technology,,,uk,,,
,,,platform.sh,,,,,2010,,,,,,,technology,,,france,,,
,,,isg express logistik,,,,,2011,,,,,,,transport,,,germany,,,
,,,manelli impresa,,,,,2008,,,,,,,construction,,,italy,,,
,,,sa formaã§ã£o,,,,,2009,,,,,,,education,,,portugal,,,
,,,sm sektmanufaktur,,,,,2015,,,,,,,industrial goods,,,germany,,,
,,,beauty consult deutschland,,,,,2011,,,,,,,health,,,germany,,,
,,,finauto,,,,,1977,,,,,,,automobiles,,,italy,,,
,,,aucoffre.com,,,,,2009,,,,,,,financial services,,,france,,,
,,,divido,,,,,2014,,,,,,,fintech,,,uk,,,
,,,r&k ingenieure,,,,,2016,,,,,,,construction,,,germany,,,
,,,nephos technologies,,,,,2011,,,,,,,technology,,,uk,,,
,,,la vida,,,,,2002,,,,,,,support services,,,uk,,,
,,,midstream lighting,,,,,2012,,,,,,,technology,,,uk,,,
,,,propulse it,,,,,2014,,,,,,,technology,,,france,,,
,,,additius santa maria,,,,,2012,,,,,,,agricultural commodities,,,spain,,,
,,,conexio telecom,,,,,2017,,,,,,,telecoms,,,france,,,
,,,tripin,,,,,2012,,,,,,,retail,,,germany,,,
,,,continental wood kft.,,,,,1996,,,,,,,industrial goods,,,hungary,,,
,,,geoteam,,,,,2008,,,,,,,energy,,,italy,,,
,,,leascorp,,,,,2014,,,,,,,financial services,,,france,,,
,,,positive healthcare,,,,,2014,,,,,,,management consulting,,,uk,,,
,,,ralph schmolke,,,,,2010,,,,,,,retail,,,germany,,,
,,,roomie milano,,,,,2016,,,,,,,property,,,italy,,,
,,,trencadis corp,,,,,2007,,,,,,,technology,,,romania,,,
,,,worteks,,,,,2016,,,,,,,technology,,,france,,,
,,,remove,,,,,2015,,,,,,,construction,,,france,,,
,,,citadelo,,,,,2006,,,,,,,cyber security,,,czech republic,,,
,,,grill autoservice,,,,,2017,,,,,,,automobiles,,,germany,,,
,,,inbrooll,,,,,2013,,,,,,,industrial goods,,,spain,,,
,,,cross,,,,,2010,,,,,,,retail,,,germany,,,
,,,b1gas s.p.a,,,,,2010,,,,,,,energy,,,italy,,,
,,,filva,,,,,2009,,,,,,,construction,,,italy,,,
,,,archingest,,,,,2005,,,,,,,construction,,,italy,,,
,,,alpha fx group,,,,,2009,,,,,,,financial services,,,uk,,,
,,,lemonads,,,,,2012,,,,,,,advertising,,,switzerland,,,
,,,signicat,,,,,2007,,,,,,,technology,,,norway,,,
,,,alfred dã¶pker,,,,,1965,,,,,,,construction,,,germany,,,
,,,bavaria-ei,,,,,2001,,,,,,,retail,,,germany,,,
,,,oxylabs.io,,,,,2015,,,,,,,technology,,,lithuania,,,
,,,a.s.h. automobile,,,,,2014,,,,,,,automobiles,,,germany,,,
,,,vascular,,,,,2007,,,,,,,health,,,hungary,,,
,,,andjaro,,,,,2015,,,,,,,support services,,,france,,,
,,,rã¶hrtaler wertstoff,,,,,2013,,,,,,,waste management & recycling,,,germany,,,
,,,autel karnetic,,,,,2016,,,,,,,technology,,,uk,,,
,,,discoup.com,,,,,2013,,,,,,,advertising,,,italy,,,
,,,hellas direct,,,,,2011,,,,,,,insurance,,,cyprus,,,
,,,herrles,,,,,2009,,,,,,,automobiles,,,germany,,,
,,,investmentpunk academy,,,,,2016,,,,,,,education,,,austria,,,
,,,born stahlbau,,,,,2015,,,,,,,industrial goods,,,germany,,,
,,,rettel projektbau,,,,,2016,,,,,,,construction,,,germany,,,
,,,suntronic,,,,,2005,,,,,,,energy,,,italy,,,
,,,tmt,,,,,2014,,,,,,,industrial goods,,,italy,,,
,,,gedankenburg,,,,,2015,,,,,,,advertising,,,germany,,,
,,,svop special vehicle operation,,,,,2013,,,,,,,automobiles,,,sweden,,,
,,,glenholme healthcare group,,,,,2011,,,,,,,health,,,uk,,,
,,,audensiel,,,,,2013,,,,,,,technology,,,france,,,
,,,ivnosys,,,,,2011,,,,,,,technology,,,spain,,,
,,,mulconsa,,,,,2012,,,,,,,construction,,,spain,,,
,,,50nrth,,,,,2004,,,,,,,retail,,,germany,,,
,,,delecto,,,,,2008,,,,,,,retail,,,croatia,,,
,,,mardruk opakowania,,,,,2015,,,,,,,industrial goods,,,poland,,,
,,,manang,,,,,2012,,,,,,,construction,,,france,,,
,,,bestbion dx,,,,,2011,,,,,,,health,,,germany,,,
,,,avamore capital,,,,,2015,,,,,,,financial services,,,uk,,,
,,,solaris and more,,,,,2011,,,,,,,energy,,,germany,,,
,,,clearcycle,,,,,2015,,,,,,,retail,,,uk,,,
,,,opteamis,,,,,2005,,,,,,,support services,,,france,,,
,,,codenor,,,,,2010,,,,,,,construction,,,spain,,,
,,,happybulle,,,,,2015,,,,,,,ecommerce,,,france,,,
,,,aurora energy research,,,,,2013,,,,,,,energy,,,uk,,,
,,,bacci,,,,,2003,,,,,,,fashion,,,spain,,,
,,,emilia foods,,,,,2013,,,,,,,food & beverage,,,italy,,,
,,,t.e.a.m. - ti educa a migliorare,,,,,2001,,,,,,,health,,,italy,,,
,,,brainhub,,,,,2016,,,,,,,technology,,,poland,,,
,,,assitech,,,,,2016,,,,,,,construction,,,italy,,,
,,,schott packaging,,,,,2016,,,,,,,ecommerce,,,uk,,,
,,,alba,,,,,2010,,,,,,,energy,,,italy,,,
,,,fintru,,,,,2013,,,,,,,financial services,,,uk,,,
,,,global edilizia,,,,,2011,,,,,,,construction,,,italy,,,
,,,tpximpact,,,,,2016,,,,,,,management consulting,,,uk,,,
,,,lgs sportlab,,,,,2010,,,,,,,advertising,,,italy,,,
,,,weiser brandschutz & technik,,,,,2005,,,,,,,construction,,,germany,,,
,,,fairfax and favor,,,,,2013,,,,,,,fashion,,,uk,,,
,,,fao consulting,,,,,2014,,,,,,,technology,,,france,,,
,,,gruppo del barba consulting,,,,,2010,,,,,,,financial services,,,italy,,,
,,,exclaimer,,,,,2003,,,,,,,technology,,,uk,,,
,,,join business management consulting,,,,,2013,,,,,,,management consulting,,,italy,,,
,,,vennes,,,,,2003,,,,,,,construction,,,germany,,,
,,,piggy,,,,,2013,,,,,,,technology,,,the netherlands,,,
,,,epassi,,,,,2007,,,,,,,fintech,,,finland,,,
,,,atheneum partners,,,,,2010,,,,,,,technology,,,germany,,,
,,,pharmacy2u,,,,,1999,,,,,,,technology,,,uk,,,
,,,phoenix developpement,,,,,2011,,,,,,,support services,,,france,,,
,,,wiwie transport,,,,,2016,,,,,,,transport,,,germany,,,
,,,mevas auto center,,,,,2003,,,,,,,automobiles,,,romania,,,
,,,bk beachhouse mode,,,,,2015,,,,,,,retail,,,germany,,,
,,,f.lli urso,,,,,2015,,,,,,,construction,,,italy,,,
,,,gohenry,,,,,2011,,,,,,,financial services,,,uk,,,
,,,adrilog,,,,,2014,,,,,,,transport,,,italy,,,
,,,attachment,,,,,2015,,,,,,,advertising,,,uk,,,
,,,paris herbes,,,,,2015,,,,,,,agricultural commodities,,,france,,,
,,,interlog logistic,,,,,2015,,,,,,,transport,,,france,,,
,,,conglomerati bituminosi,,,,,1975,,,,,,,construction,,,italy,,,
,,,nikkel art,,,,,2010,,,,,,,ecommerce,,,belgium,,,
,,,esyen,,,,,2011,,,,,,,technology,,,italy,,,
,,,sav-eco packaging ltd,,,,,2014,,,,,,,industrial goods,,,uk,,,
,,,elmar mair tiefbau,,,,,2016,,,,,,,construction,,,germany,,,
,,,atlas innovative engineering,,,,,2014,,,,,,,energy,,,spain,,,
,,,secure-ic,,,,,2010,,,,,,,technology,,,france,,,
,,,datalyo,,,,,2014,,,,,,,technology,,,france,,,
,,,signify technology,,,,,2016,,,,,,,management consulting,,,uk,,,
,,,boxt,,,,,2017,,,,,,,ecommerce,,,uk,,,
,,,james and james fulfilment,,,,,2010,,,,,,,ecommerce,,,uk,,,
,,,armonie,,,,,2014,,,,,,,food & beverage,,,italy,,,
,,,maverick group,,,,,2017,,,,,,,technology,,,italy,,,
,,,brainpull,,,,,2012,,,,,,,advertising,,,italy,,,
,,,wiseband,,,,,2014,,,,,,,media,,,france,,,
,,,groupe ezdo la boulangerie des gourmets,,,,,2013,,,,,,,agricultural commodities,,,france,,,
,,,pakar service,,,,,2010,,,,,,,support services,,,poland,,,
,,,bio-uv,,,,,2000,,,,,,,industrial goods,,,france,,,
,,,f.g. service,,,,,2015,,,,,,,construction,,,italy,,,
,,,allways logistics system,,,,,2012,,,,,,,transport,,,italy,,,
,,,matsmart,,,,,2013,,,,,,,ecommerce,,,sweden,,,
,,,autargo,,,,,2016,,,,,,,construction,,,germany,,,
,,,brewshop.no,,,,,2015,,,,,,,food & beverage,,,norway,,,
,,,visualitics,,,,,2016,,,,,,,technology,,,italy,,,
,,,hifi extra,,,,,2016,,,,,,,retail,,,germany,,,
,,,ankerkraut,,,,,2013,,,,,,,food & beverage,,,germany,,,
,,,gda,,,,,2008,,,,,,,fashion,,,italy,,,
,,,nexid,,,,,2006,,,,,,,technology,,,italy,,,
,,,gs studio & service,,,,,2013,,,,,,,energy,,,italy,,,
,,,neosperience,,,,,2006,,,,,,,technology,,,italy,,,
,,,lunos,,,,,2010,,,,,,,technology,,,slovenia,,,
,,,meic costruzioni,,,,,2013,,,,,,,construction,,,italy,,,
,,,trident lifting solutions ltd,,,,,2016,,,,,,,construction,,,uk,,,
,,,smart battery solutions,,,,,2010,,,,,,,technology,,,germany,,,
,,,eu-bay commerce,,,,,2003,,,,,,,retail,,,germany,,,
,,,jens rabe academy,,,,,2009,,,,,,,education,,,germany,,,
,,,hyperoptic,,,,,2010,,,,,,,telecoms,,,uk,,,
,,,sepale,,,,,2009,,,,,,,energy,,,france,,,
,,,3a informatica,,,,,2005,,,,,,,telecoms,,,italy,,,
,,,emsproto,,,,,2014,,,,,,,ecommerce,,,france,,,
,,,laboratoires dermosun,,,,,2011,,,,,,,chemicals & pharmaceuticals,,,france,,,
,,,saico,,,,,2013,,,,,,,construction,,,italy,,,
,,,nutis,,,,,1956,,,,,,,food & beverage,,,italy,,,
,,,ogrodosfera.pl,,,,,2011,,,,,,,ecommerce,,,poland,,,
,,,svti,,,,,2010,,,,,,,industrial goods,,,france,,,
,,,enhancers,,,,,2011,,,,,,,technology,,,italy,,,
,,,agripower france,,,,,2012,,,,,,,waste management & recycling,,,france,,,
,,,next turbo technologies,,,,,2014,,,,,,,industrial goods,,,italy,,,
,,,velvet media italia,,,,,2013,,,,,,,advertising,,,italy,,,
,,,booster box,,,,,2016,,,,,,,advertising,,,italy,,,
,,,rmf group,,,,,2014,,,,,,,food & beverage,,,slovakia,,,
,,,darwin group limited,,,,,2005,,,,,,,construction,,,uk,,,
,,,itfs,,,,,2012,,,,,,,technology,,,poland,,,
,,,skillsday,,,,,2015,,,,,,,education,,,france,,,
,,,gapps,,,,,2010,,,,,,,technology,,,finland,,,
,,,maxfel,,,,,1984,,,,,,,interiors,,,italy,,,
,,,herrero brigantina,,,,,2012,,,,,,,insurance,,,spain,,,
,,,manitech,,,,,2016,,,,,,,industrial goods,,,italy,,,
,,,tradeco,,,,,2016,,,,,,,industrial goods,,,italy,,,
,,,mon chasseur immo,,,,,2012,,,,,,,property,,,france,,,
,,,upslide,,,,,2013,,,,,,,support services,,,france,,,
,,,cogeclim energies,,,,,2015,,,,,,,construction,,,france,,,
,,,cellarius,,,,,2004,,,,,,,sales & marketing,,,hungary,,,
,,,careful-service,,,,,2014,,,,,,,health,,,germany,,,
,,,softneta,,,,,2007,,,,,,,health,,,lithuania,,,
,,,progeny,,,,,2016,,,,,,,financial services,,,uk,,,
,,,web geo services,,,,,2009,,,,,,,technology,,,france,,,
,,,spedition ibov,,,,,2013,,,,,,,transport,,,germany,,,
,,,mypostcard.com,,,,,2014,,,,,,,retail,,,germany,,,
,,,variosan,,,,,2013,,,,,,,retail,,,germany,,,
,,,riedle + bertsch,,,,,2013,,,,,,,technology,,,germany,,,
,,,mobili fiver,,,,,1999,,,,,,,interiors,,,italy,,,
,,,klc desamiantage,,,,,2015,,,,,,,construction,,,france,,,
,,,secret arts of spirits,,,,,2014,,,,,,,retail,,,france,,,
,,,mpb group limited,,,,,2011,,,,,,,ecommerce,,,uk,,,
,,,3zehn auto discount,,,,,2016,,,,,,,automobiles,,,germany,,,
,,,adikteev,,,,,2012,,,,,,,technology,,,france,,,
,,,fundis reitsport,,,,,2009,,,,,,,retail,,,germany,,,
,,,antriebstechnik ebner-seibold,,,,,2009,,,,,,,retail,,,germany,,,
,,,invibes advertising,,,,,2011,,,,,,,technology,,,belgium,,,
,,,jointly il welfare condiviso,,,,,2014,,,,,,,support services,,,italy,,,
,,,abtot mark & anlã¤ggning ab,,,,,2012,,,,,,,construction,,,sweden,,,
,,,dusapro immobilien,,,,,2012,,,,,,,property,,,germany,,,
,,,soldats films,,,,,2012,,,,,,,media,,,france,,,
,,,eagleprojects,,,,,2016,,,,,,,telecoms,,,italy,,,
,,,agile lab,,,,,2013,,,,,,,technology,,,italy,,,
,,,importpris.no,,,,,2012,,,,,,,ecommerce,,,norway,,,
,,,truu,,,,,2011,,,,,,,industrial goods,,,germany,,,
,,,lâatelier,,,,,2016,,,,,,,technology,,,france,,,
,,,frigoclim kã¤lte-klima,,,,,2014,,,,,,,construction,,,germany,,,
,,,m coffee company,,,,,2013,,,,,,,retail,,,germany,,,
,,,protextyl,,,,,2011,,,,,,,retail,,,france,,,
,,,sp architecte,,,,,2009,,,,,,,construction,,,france,,,
,,,embargos a lo bestia,,,,,2011,,,,,,,retail,,,spain,,,
,,,snigel,,,,,2011,,,,,,,technology,,,ireland,,,
,,,ims rettungsdienst,,,,,2006,,,,,,,health,,,germany,,,
,,,way2global sb,,,,,2017,,,,,,,support services,,,italy,,,
,,,media access solutions,,,,,2014,,,,,,,support services,,,uk,,,
,,,exadi,,,,,2008,,,,,,,sales and marketing,,,spain,,,
,,,fiber-service-gesellschaft,,,,,2014,,,,,,,telecoms,,,germany,,,
,,,tenderhut (group),,,,,2010,,,,,,,technology,,,poland,,,
,,,worldwide fishing company,,,,,2016,,,,,,,food & beverage,,,spain,,,
,,,doctor hail spa,,,,,2013,,,,,,,automobiles,,,italy,,,
,,,kbs group,,,,,2011,,,,,,,support services,,,germany,,,
,,,terre ehitus,,,,,2017,,,,,,,construction,,,estonia,,,
,,,bauer energiekonzepte,,,,,2013,,,,,,,energy,,,germany,,,
,,,new euroart,,,,,2001,,,,,,,construction,,,italy,,,
,,,capelli for you,,,,,2015,,,,,,,beauty,,,italy,,,
,,,ogury,,,,,2014,,,,,,,advertising,,,uk,,,
,,,tft ernst,,,,,2017,,,,,,,construction,,,germany,,,
,,,somerford associates,,,,,2001,,,,,,,technology,,,uk,,,
,,,arcadia investment,,,,,2012,,,,,,,property,,,germany,,,
,,,filoblu,,,,,2009,,,,,,,management consulting,,,italy,,,
,,,tribus digital,,,,,2016,,,,,,,technology,,,uk,,,
,,,doit,,,,,2014,,,,,,,technology,,,italy,,,
,,,global perspectives,,,,,2009,,,,,,,health,,,uk,,,
,,,pirene,,,,,1999,,,,,,,support services,,,italy,,,
,,,ipulse,,,,,2012,,,,,,,personal & household goods,,,uk,,,
,,,blue networks,,,,,2002,,,,,,,technology,,,germany,,,
,,,n. schwegler,,,,,2009,,,,,,,construction,,,germany,,,
,,,marcus lutz bau,,,,,2002,,,,,,,construction,,,germany,,,
,,,hkr-technik,,,,,2008,,,,,,,retail,,,germany,,,
,,,licht + strom,,,,,2007,,,,,,,technology,,,germany,,,
,,,die autowelt,,,,,2009,,,,,,,automobiles,,,germany,,,
,,,artheau aviation,,,,,2012,,,,,,,aerospace & defence,,,france,,,
,,,cepo,,,,,2000,,,,,,,industrial goods,,,italy,,,
,,,sneakers & jackets,,,,,2013,,,,,,,financial services,,,france,,,
,,,89up,,,,,2009,,,,,,,advertising,,,uk,,,
,,,luxury & performance selection,,,,,2016,,,,,,,automobiles,,,france,,,
,,,grayce group,,,,,2012,,,,,,,management consulting,,,uk,,,
,,,nemesi italia,,,,,1993,,,,,,,technology,,,italy,,,
,,,halo service solutions,,,,,1994,,,,,,,technology,,,uk,,,
,,,raspberry pi,,,,,2012,,,,,,,technology,,,uk,,,
,,,giopato & coombes,,,,,2010,,,,,,,interiors,,,italy,,,
,,,ship it,,,,,2016,,,,,,,retail,,,germany,,,
,,,rheinische scheidestã¤tte,,,,,2012,,,,,,,retail,,,germany,,,
,,,whites agency,,,,,2011,,,,,,,advertising,,,poland,,,
,,,casa di riposo medicalizzata sempione*,,,,,2017,,,,,,,health,,,italy,,,
,,,cshark,,,,,2014,,,,,,,technology,,,poland,,,
,,,zinox laser,,,,,2015,,,,,,,interiors,,,italy,,,
,,,tera automation,,,,,2013,,,,,,,industrial goods,,,italy,,,
,,,innova hts,,,,,2014,,,,,,,health,,,italy,,,
,,,kentigen,,,,,2013,,,,,,,technology,,,czech republic,,,
,,,teal partners,,,,,2015,,,,,,,technology,,,belgium,,,
,,,lm medical division,,,,,2010,,,,,,,health,,,italy,,,
,,,bec,,,,,2003,,,,,,,technology,,,germany,,,
,,,xylon,,,,,1995,,,,,,,technology,,,croatia,,,
,,,spedition kai rindert,,,,,2017,,,,,,,transport,,,germany,,,
,,,co.ge.sa. costruzioni generali saba,,,,,2009,,,,,,,construction,,,italy,,,
,,,skã¤rgã¥rdstunnan/skargards,,,,,2010,,,,,,,ecommerce,,,sweden,,,
,,,autonova milano,,,,,2015,,,,,,,automobiles,,,italy,,,
,,,polarstern,,,,,2011,,,,,,,energy,,,germany,,,
,,,halsdorfer + ingenieure projekt,,,,,2013,,,,,,,property,,,germany,,,
,,,opna,,,,,2015,,,,,,,support services,,,france,,,
,,,stikets,,,,,2010,,,,,,,ecommerce,,,spain,,,
,,,campustore,,,,,1994,,,,,,,education,,,italy,,,
,,,ars futura,,,,,2013,,,,,,,technology,,,croatia,,,
,,,cemir security,,,,,2015,,,,,,,support services,,,italy,,,
,,,borgy cz,,,,,2009,,,,,,,personal & household goods,,,czech republic,,,
,,,groupe zephyr,,,,,2007,,,,,,,health,,,france,,,
,,,dernier cri,,,,,2015,,,,,,,technology,,,france,,,
,,,yes!devs,,,,,2016,,,,,,,technology,,,germany,,,
,,,hydroflex group,,,,,2009,,,,,,,retail,,,germany,,,
,,,proteko service,,,,,2016,,,,,,,support services,,,italy,,,
,,,minicrm,,,,,2012,,,,,,,technology,,,hungary,,,
,,,cnq consorzio nazionale qualitã ,,,,,2001,,,,,,,waste management & recycling,,,italy,,,
,,,accolade,,,,,2010,,,,,,,property,,,czech republic,,,
,,,panel sandwich,,,,,2009,,,,,,,construction,,,spain,,,
,,,symbiose informatique,,,,,1991,,,,,,,technology,,,france,,,
,,,g.engineering,,,,,2012,,,,,,,industrial goods,,,italy,,,
,,,i-particuliers,,,,,2011,,,,,,,property,,,france,,,
,,,henco,,,,,2012,,,,,,,retail,,,germany,,,
,,,giglio.com,,,,,2007,,,,,,,ecommerce,,,italy,,,
,,,alphaspel,,,,,2013,,,,,,,retail,,,sweden,,,
,,,sapiegos klinika,,,,,2014,,,,,,,health,,,lithuania,,,
,,,opencorporates,,,,,2010,,,,,,,technology,,,uk,,,
,,,be cloud,,,,,2012,,,,,,,support services,,,france,,,
,,,drukarnia piga.pl,,,,,2014,,,,,,,ecommerce,,,poland,,,
,,,groupe mister menuiserie,,,,,2010,,,,,,,ecommerce,,,france,,,
,,,insetto,,,,,1999,,,,,,,retail,,,germany,,,
,,,technophage,,,,,2005,,,,,,,pharmaceuticals,,,portugal,,,
,,,skalis portage salarial,,,,,2008,,,,,,,support services,,,france,,,
,,,peoplegrapher,,,,,2016,,,,,,,advertising,,,germany,,,
,,,reveg fruit,,,,,2016,,,,,,,food & beverage,,,italy,,,
,,,sciant,,,,,2016,,,,,,,technology,,,bulgaria,,,
,,,boender & beutel,,,,,2012,,,,,,,industrial goods,,,germany,,,
,,,ekinops,,,,,2003,,,,,,,telecoms,,,france,,,
,,,sano-tã©cnica,,,,,1938,,,,,,,health,,,portugal,,,
,,,mã¶belando,,,,,2013,,,,,,,retail,,,germany,,,
,,,democom,,,,,2011,,,,,,,telecoms,,,italy,,,
,,,erbagil,,,,,2009,,,,,,,pharmaceuticals,,,italy,,,
,,,axopar boats,,,,,2014,,,,,,,travel & leisure,,,finland,,,
,,,advanced composites solutions,,,,,2012,,,,,,,automobiles,,,italy,,,
,,,spartivento yachts & charter,,,,,2000,,,,,,,travel & leisure,,,italy,,,
,,,seargin,,,,,2014,,,,,,,technology,,,poland,,,
,,,ttp holding,,,,,2009,,,,,,,support services,,,germany,,,
,,,sweef furniture,,,,,2011,,,,,,,retail,,,sweden,,,
,,,sonic tanã¡csadã³ ã©s szolgã¡ltatã³ kft,,,,,2008,,,,,,,technology,,,hungary,,,
,,,spotit,,,,,2014,,,,,,,cyber security,,,belgium,,,
,,,label experience,,,,,2016,,,,,,,financial services,,,france,,,
,,,lmm logistics,,,,,2015,,,,,,,transport,,,italy,,,
,,,medicalfit,,,,,2008,,,,,,,health,,,spain,,,
,,,nuova mg,,,,,2017,,,,,,,industrial goods,,,italy,,,
,,,innov and co handicap,,,,,2016,,,,,,,technology,,,france,,,
,,,alma entreprise,,,,,2003,,,,,,,construction,,,france,,,
,,,radit,,,,,2016,,,,,,,support services,,,italy,,,
,,,regional express,,,,,2013,,,,,,,transport,,,france,,,
,,,aravati,,,,,2004,,,,,,,support services,,,france,,,
,,,pã¶hner hamburg,,,,,2013,,,,,,,retail,,,germany,,,
,,,schreinerei huber,,,,,2010,,,,,,,construction,,,germany,,,
,,,isr,,,,,1996,,,,,,,technology,,,france,,,
,,,kinga mathe,,,,,2008,,,,,,,retail,,,germany,,,
,,,rivile,,,,,1992,,,,,,,technology,,,lithuania,,,
,,,magarantie5ans,,,,,2016,,,,,,,retail,,,france,,,
,,,bebeboutik,,,,,2012,,,,,,,retail,,,france,,,
,,,radar cyber security,,,,,2011,,,,,,,technology,,,austria,,,
,,,clair group,,,,,2004,,,,,,,aerospace & defence,,,france,,,
,,,appsfactory,,,,,2009,,,,,,,technology,,,germany,,,
,,,stiltz homelifts,,,,,2010,,,,,,,interiors,,,uk,,,
,,,star stone,,,,,2012,,,,,,,construction,,,romania,,,
,,,coptrz,,,,,2016,,,,,,,aerospace & defence,,,uk,,,
,,,nurole,,,,,2014,,,,,,,technology,,,uk,,,
,,,abao energy,,,,,2016,,,,,,,construction,,,germany,,,
,,,welol next,,,,,2011,,,,,,,technology,,,italy,,,
,,,intent hq,,,,,2010,,,,,,,technology,,,uk,,,
,,,cafã© du cycliste,,,,,2009,,,,,,,ecommerce,,,france,,,
,,,langer lã¼ftungs- und klimaanlagen,,,,,2016,,,,,,,construction,,,germany,,,
,,,formind,,,,,2010,,,,,,,cyber security,,,france,,,
,,,oasis smart sim europe**,,,,,2010,,,,,,,telecoms,,,france,,,
,,,aferetica,,,,,2013,,,,,,,health,,,italy,,,
,,,zero,,,,,2014,,,,,,,energy,,,italy,,,
,,,skills,,,,,2011,,,,,,,support services,,,france,,,
,,,3e studio,,,,,2015,,,,,,,support services,,,italy,,,
,,,pannonia steel,,,,,2013,,,,,,,construction,,,slovakia,,,
,,,kronos,,,,,2009,,,,,,,fashion,,,italy,,,
,,,lasaponaria,,,,,2007,,,,,,,beauty,,,italy,,,
,,,die wuhlewanderer,,,,,2013,,,,,,,health,,,germany,,,
,,,imint vidhance,,,,,2007,,,,,,,technology,,,sweden,,,
,,,arte e passione,,,,,2016,,,,,,,restaurants,,,italy,,,
,,,paul marius,,,,,2011,,,,,,,retail,,,france,,,
,,,scalefocus,,,,,2012,,,,,,,technology,,,bulgaria,,,
,,,whiskyzone,,,,,2014,,,,,,,retail,,,germany,,,
,,,targa telematics,,,,,2002,,,,,,,technology,,,italy,,,
,,,sian wholesale ltd,,,,,2003,,,,,,,transport,,,uk,,,
,,,visage technologies,,,,,2002,,,,,,,technology,,,sweden,,,
,,,riotloc,,,,,2016,,,,,,,games industry,,,lithuania,,,
,,,bullionvault,,,,,2003,,,,,,,precious metals,,,uk,,,
,,,3a antioxidants,,,,,2000,,,,,,,chemicals & pharmaceuticals,,,spain,,,
,,,on metall,,,,,2016,,,,,,,industrial goods,,,germany,,,
,,,scribbr,,,,,2012,,,,,,,education,,,the netherlands,,,
,,,selectra,,,,,2007,,,,,,,energy,,,france,,,
,,,energetic,,,,,2010,,,,,,,energy,,,italy,,,
,,,faveod,,,,,2007,,,,,,,support services,,,france,,,
,,,cye energia,,,,,2013,,,,,,,energy,,,spain,,,
,,,integrata oy,,,,,2008,,,,,,,financial services,,,finland,,,
,,,regular trade,,,,,2010,,,,,,,retail,,,germany,,,
,,,expleo,,,,,2011,,,,,,,energy,,,hungary,,,
,,,confezioni velvet,,,,,2015,,,,,,,fashion,,,italy,,,
,,,activ bilanz,,,,,1998,,,,,,,property,,,germany,,,
,,,family nation,,,,,2011,,,,,,,ecommerce,,,italy,,,
,,,majar â matzaridis bros,,,,,1994,,,,,,,technology,,,greece,,,
,,,izertis,,,,,1996,,,,,,,technology,,,spain,,,
,,,fashion commerce,,,,,2016,,,,,,,ecommerce,,,italy,,,
,,,bulk tainer logistics limited,,,,,2009,,,,,,,transport,,,uk,,,
,,,wingeco,,,,,2016,,,,,,,industrial goods,,,italy,,,
,,,meblobranie.pl,,,,,2021,,,,,,,ecommerce,,,poland,,,
,,,queraltã³,,,,,1898,,,,,,,ecommerce,,,spain,,,
,,,phobos,,,,,1993,,,,,,,automobiles,,,slovakia,,,
,,,archita engineering,,,,,2013,,,,,,,support services,,,italy,,,
,,,celeritas,,,,,2006,,,,,,,transport,,,spain,,,
,,,peopleforecast,,,,,2014,,,,,,,technology,,,germany,,,
,,,digitalpa,,,,,2014,,,,,,,management consulting,,,italy,,,
,,,faktenkontor,,,,,2003,,,,,,,advertising,,,germany,,,
,,,clareo,,,,,2012,,,,,,,retail,,,france,,,
,,,laca trade,,,,,2013,,,,,,,property,,,italy,,,
,,,great deals e-commerce corp.,,,,,,,,,,,,,,,philippines,,,
,,,pcl inc.,,,,,,,,,,,,,,,south korea,,,
,,,spolive,,,,,,,,,,,,,,,south korea,,,
,,,workmate,,,,,,,,,,,,,,,singapore,,,
,,,taimed biologics,,,,,,,,,,,,,,,taiwan,,,
,,,sci ecommerce,,,,,,,,,,,,,,,singapore,,,
,,,i-cy chaya ,,,,,,,,,,,,,,,thailand,,,
,,,grow finance,,,,,,,,,,,,,,,australia,,,
,,,sambhv steel,,,,,,,,,,,,,,,india,,,
,,,inteluck,,,,,,,,,,,,,,,philippines,,,
,,,carro,,,,,,,,,,,,,,,singapore,,,
,,,gopizza,,,,,,,,,,,,,,,south korea,,,
,,,scaler by interviewbit,,,,,,,,,,,,,,,india,,,
,,,pixie dust technologies,,,,,,,,,,,,,,,japan,,,
,,,kioson,,,,,,,,,,,,,,,indonesia,,,
,,,sci ecommerce,,,,,,,,,,,,,,,singapore,,,
,,,electric kiwi,,,,,,,,,,,,,,,new zealand,,,
,,,swappie,,,,,,,,,,,,,,,finland,,,
,,,haulio,,,,,,,,,,,,,,,singapore,,,
,,,digio,,,,,,,,,,,,,,,india,,,
,,,skillmatics,,,,,,,,,,,,,,,india,,,
,,,struggle,,,,,,,,,,,,,,,japan,,,
,,,themathcompany,,,,,,,,,,,,,,,india,,,
