ceo,name,country,founded,employees,industry
,china development financial,taiwan,,,
,riyad bank,saudi arabia,,,
,thomson reuters,united states,,,
,transneft,russia,,,
,ferguson,united kingdom,,,
,iqvia,united states,,,
,hong kong exchanges,hong kong,,,
,ppg,united states,,,
,legend holding,china,,,
,ecolab,united states,,,
,sinopharm group,china,,,
,luxshare precision industry,china,,,
,seazen group,china,,,
,global payments,united states,,,
,china energy engineering,china,,,
,safran,france,,,
,s&p global,united states,,,
,huntington bank,united states,,,
,arch capital group,bermuda,,,
,jackson financial,united states,,,
,bank leumi,israel,,,
,trane technologies,ireland,,,
,veolia environnement,france,,,
,o'reilly automotive,united states,,,
,biogen,united states,,,
,publicis groupe,france,,,
,hanwha,south korea,,,
,the mosaic company,united states,,,
,bharti airtel,india,,,
,daqin railway,china,,,
,uber,united states,,,
,stmicroelectronics,switzerland,,,
,gemdale,china,,,
,ageas,belgium,,,
,quanta computer,taiwan,,,
,george weston,canada,,,
,weyerhaeuser,united states,,,
,korea electric power,south korea,,,
,fox,united states,,,
,mitsubishi heavy industries,japan,,,
,steel dynamics,united states,,,
,keyence,japan,,,
,longi green energy technology,china,,,
,reckitt benckiser group,united kingdom,,,
,coal india,india,,,
,aisin seiki,japan,,,
,digital realty trust,united states,,,
,tata motors,india,,,
,resona holdings,japan,,,
,simon property group,united states,,,
,industrial bank of korea,south korea,,,
,clp holdings,hong kong,,,
,national bank of kuwait,kuwait,,,
,singtel,singapore,,,
,coinbase,united states,,,
,centerpoint energy,united states,,,
,saudi arabian mining,saudi arabia,,,
,china cinda asset management,china,,,
,asahi kasei,japan,,,
,nec,japan,,,
,united airlines holdings,united states,,,
,mgm resorts,united states,,,
,dsm,netherlands,,,
,telkom indonesia,indonesia,,,
,pkn orlen,poland,,,
,guotai junan securities,china,,,
,norsk hydro,norway,,,
,formosa plastics,taiwan,,,
,nrg energy,united states,,,
,public bank,malaysia,,,
,tcl,china,,,
,huatai securities,china,,,
,kellogg,united states,,,
,inner mongolia yili,china,,,
,wpp,united kingdom,,,
,omnicom group,united states,,,
,sekisui house,japan,,,
,cheniere energy,united states,,,
,sandvik,sweden,,,
,siam cement,thailand,,,
,east japan railway,japan,,,
,abu dhabi commercial bank,united arab emirates,,,
,huishang bank,china,,,
,great wall motor,china,,,
,haitong securities,china,,,
,dongfeng motor group,china,,,
,china reinsurance group,china,,,
,henderson land,hong kong,,,
,samsung sdi,south korea,,,
,fortis (canada),canada,,,
,sk telecom,south korea,,,
,hal trust,netherlands,,,
,banco btg pactual,brazil,,,
,baker hughes company,united states,,,
,gallagher,united states,,,
,everest re group,bermuda,,,
,amphenol,united states,,,
,american airlines group,united states,,,
,kla,united states,,,
,astellas pharma,japan,,,
,otsuka holding,japan,,,
,china bohai bank,china,,,
,kasikornbank,thailand,,,
,bank hapoalim,israel,,,
,woodside petroleum,australia,,,
,mtr,hong kong,,,
,tatneft,russia,,,
,power finance,india,,,
,zoetis,united states,,,
,lonza group,switzerland,,,
,eiffage,france,,,
,sumitomo chemical,japan,,,
,vertex pharmaceuticals,united states,,,
,constellation energy,united states,,,
,cifi holdings group,china,,,
,raiffeisen bank international,austria,,,
,whirlpool,united states,,,
,siemens energy,germany,,,
,westrock,united states,,,
,samsung fire & marine,south korea,,,
,us steel,united states,,,
,upm-kymmene,finland,,,
,formosa chemicals,taiwan,,,
,sk innovation,south korea,,,
,telia,sweden,,,
,t&d holdings,japan,,,
,mapfre,spain,,,
,hcl technologies,india,,,
,sumitomo realty,japan,,,
,westlake chemical,united states,,,
,apollo global management,united states,,,
,united rentals,united states,,,
,diamondback energy,united states,,,
,otis worldwide,united states,,,
,chongqing rural bank,china,,,
,ball,united states,,,
,stora enso,finland,,,
,yang ming marine transport,taiwan,,,
,phoenix group holdings,united kingdom,,,
,wipro,india,,,
,power grid of india,india,,,
,absa group,south africa,,,
,novolipetsk steel,russia,,,
,sumitomo electric,japan,,,
,st. james's place,united kingdom,,,
,grasim industries,india,,,
,segro,united kingdom,,,
,mega financial holding,taiwan,,,
,zhongsheng group holdings,china,,,
,shin kong financial,taiwan,,,
,cms energy,united states,,,
,quinenco,chile,,,
,evonik industries,germany,,,
,east money information,china,,,
,qbe insurance group,australia,,,
,tenaga nasional,malaysia,,,
,naver,south korea,,,
,tdk,japan,,,
,nomura,japan,,,
,jinke property group,china,,,
,tokyo electric power,japan,,,
,cdw,united states,,,
,the hershey company,united states,,,
,itc,india,,,
,pgnig group,poland,,,
,mtn group,south africa,,,
,compass group,united kingdom,,,
,wr berkley,united states,,,
,moody's,united states,,,
,genuine parts,united states,,,
,beijing-shanghai high-speed railway,china,,,
,aluminum corp of china,china,,,
,kansai electric power,japan,,,
,public storage,united states,,,
,china international travel service,china,,,
,sika,switzerland,,,
,signature bank,united states,,,
,t rowe price,united states,,,
,international flavors & fragrances,united states,,,
,atlantia,italy,,,
,roper technologies,united states,,,
,shanghai international port,china,,,
,daiichi sankyo,japan,,,
,rakuten,japan,,,
,franklin resources,united states,,,
,bank of ireland,ireland,,,
,mitsui osk lines,japan,,,
,saudi british bank,saudi arabia,,,
,ameren,united states,,,
,chunghwa telecom,taiwan,,,
,assa abloy,sweden,,,
,zte,china,,,
,asr nederland,netherlands,,,
,conagra brands,united states,,,
,commerzbank,germany,,,
,bajaj finserv,india,,,
,hyundai steel,south korea,,,
,lg display,south korea,,,
,kt,south korea,,,
,logan property holdings,china,,,
,public service enterprise group,united states,,,
,en+ group international,russia,,,
,isbank,turkey,,,
,expeditors international,united states,,,
,ternium,luxembourg,,,
,cez group,czech republic,,,
,isuzu motors,japan,,,
,renesas electronics,japan,,,
,universal music group,netherlands,,,
,unipol gruppo,italy,,,
,sbi holdings,japan,,,
,techtronic industries,hong kong,,,
,ferrovial,spain,,,
,cimb group holdings,malaysia,,,
,kone,finland,,,
,e-mart,south korea,,,
,gf securities,china,,,
,china merchants securities,china,,,
,annaly capital management,united states,,,
,coles group,australia,,,
,central japan railway,japan,,,
,sabanci holding,turkey,,,
,yuanta financial holding,taiwan,,,
,antarchile,chile,,,
,hmm,south korea,,,
,seagate technology,ireland,,,
,alleghany,united states,,,
,guosen securities,china,,,
,avis budget group,united states,,,
,jiangxi copper,china,,,
,mitsubishi ufj lease,japan,,,
,sumitomo metal mining,japan,,,
,asustek computer,taiwan,,,
,associated british foods,united kingdom,,,
,china national nuclear power,china,,,
,china international capital,china,,,
,china molybdenum,china,,,
,equitable holdings,united states,,,
,covestro,germany,,,
,m&g,united kingdom,,,
,shopify,canada,,,
,shanghai construction,china,,,
,essity,sweden,,,
,ww grainger,united states,,,
,canara bank,india,,,
,viatris,united states,,,
,american water works,united states,,,
,united microelectronics,taiwan,,,
,vf,united states,,,
,intuitive surgical,united states,,,
,snam,italy,,,
,vestas wind systems,denmark,,,
,subaru,japan,,,
,jiangsu zhongnan construction group,china,,,
,carlsberg,denmark,,,
,builders firstsource,united states,,,
,semiconductor manufacturing international,china,,,
,pko bank polski,poland,,,
,enn energy holdings,china,,,
,wh group,hong kong,,,
,amcor,united kingdom,,,
,korea gas,south korea,,,
,jefferies financial,united states,,,
,severstal,russia,,,
,alexandria real estate equities,united states,,,
,julius baer group,switzerland,,,
,sanlam,south africa,,,
,emaar properties,united arab emirates,,,
,joint stock commercial bank for foreign trade of vietnam,vietnam,,,
,motorola solutions,united states,,,
,shanghai rural commercial bank,china,,,
,braskem,brazil,,,
,bank of baroda,india,,,
,s-oil,south korea,,,
,tractor supply,united states,,,
,suncorp group,australia,,,
,mol hungarian oil,hungary,,,
,aptiv,ireland,,,
,voya financial,united states,,,
,gs holdings,south korea,,,
,gerdau (cosigua),brazil,,,
,equity residential,united states,,,
,qatar islamic bank,qatar,,,
,hormel foods,united states,,,
,shenwan hongyuan group,china,,,
,reinsurance group of america,united states,,,
,quest diagnostics,united states,,,
,solvay,belgium,,,
,pembina pipeline,canada,,,
,banque saudi fransi,saudi arabia,,,
,smc,japan,,,
,sasol,south africa,,,
,molson coors brewing,united states,,,
,macy's,united states,,,
,bancolombia,colombia,,,
,cintas,united states,,,
,china international marine,china,,,
,huaneng power international,china,,,
,restaurant brands international,canada,,,
,grupa pzu,poland,,,
,kao,japan,,,
,agile group holdings,china,,,
,arrow electronics,united states,,,
,shenzhen overseas,china,,,
,tenet healthcare,united states,,,
,grupo aval,colombia,,,
,cp all,thailand,,,
,geely automobile holdings,hong kong,,,
,centrica,united kingdom,,,
,dubai islamic bank,united arab emirates,,,
,suzano papel e celulose,brazil,,,
,link reit,hong kong,,,
,yum! brands,canada,,,
,first quantum minerals,canada,,,
,aercap holdings,ireland,,,
,first horizon,united states,,,
,dentsu,japan,,,
,molina healthcare,united states,,,
,union bank of india,india,,,
,toray industries,japan,,,
,block,united states,,,
,eletrobrás,brazil,,,
,china mengniu dairy,hong kong,,,
,db insurance,south korea,,,
,e.sun financial,taiwan,,,
,otp bank,hungary,,,
,sm investments,philippines,,,
,ebay,united states,,,
,edwards lifesciences,united states,,,
,taiwan cooperative financial,taiwan,,,
,constellation brands,united states,,,
,china jinmao,hong kong,,,
,fanuc,japan,,,
,yango group,china,,,
,legrand,france,,,
,shanghai pharmaceuticals,china,,,
,agc,japan,,,
,shaanxi construction engineering group,china,,,
,hunan valin steel,china,,,
,goodman group,australia,,,
,ia financial corporation,canada,,,
,unum,united states,,,
,anta sports products,china,,,
,continental resources,united states,,,
,bâloise group,switzerland,,,
,pegatron,taiwan,,,
,jones lang lasalle,united states,,,
,american financial group,united states,,,
,daiwa securities,japan,,,
,deutsche lufthansa,germany,,,
,invesco,united states,,,
,nasdaq,united states,,,
,schindler holding,switzerland,,,
,comerica,united states,,,
,mizrahi tefahot bank,israel,,,
,bio-rad laboratories,united states,,,
,industries qatar,qatar,,,
