headquarters,founded,area_served,industry,name,sector,notes
stockholm,1998,,technology,starbreeze studios,software,
gothenburg,1962,,consumer services,stena line,travel & tourism,
gothenburg,1939,,conglomerates,stena sphere,-,
eskilstuna,1934,,consumer goods,stiga,durable household products,
stockholm,1863,,financials,stockholm stock exchange,investment services,
stockholm,1856,,financials,stockholms enskilda bank,banks,
nyköping,1947,,utilities,studsvik,conventional electricity,
stockholm,1956,,consumer services,sveriges television,broadcasting & entertainment,
stockholm,1997,,industrials,sweco,business support services,
stockholm,1820,,financials,swedbank,banks,
stockholm,1915,,consumer goods,swedish match,tobacco,
stockholm,,,livestock,swedish meats,meat,
stockholm,2001,,health care,swedish orphan biovitrum,health care providers,
solna,1972,,industrials,swedish space corporation,aerospace,
gothenburg,2005,,industrials,swegon,industrial machinery,
stockholm,1989,,telecommunications,symsoft,mobile telecommunications,
stockholm,1990,,technology,syncron international ab,software,
malmö,2004,,technology,tarsier studios,software,
stockholm,1993,,telecommunications,tele2,fixed line telecommunications,
malmö,1983,,technology,telelogic,software,
stockholm,2003,,telecommunications,telia company,mobile telecommunications,
stockholm,1992,,consumer services,teracom,broadcasting & entertainment,
lund,2004,,telecommunications,terranet ab,mobile telecommunications,
lund,1951,,industrials,tetra pak,containers & packaging,
hillerstorp,1942,,consumer goods,thule group,automobiles,
stockholm,1999,,technology,tradedoubler,internet,
stockholm,2000,,telecommunications,transmode,fixed line telecommunications,
trelleborg,1905,,industrials,trelleborg,business support services,
stockholm,2009,,technology,truecaller,software,
stockholm,2008,,financials,trustly,banks,
stockholm,1984,,consumer services,tv4 group,broadcasting & entertainment,
hagfors,1668,,basic materials,uddeholms ab,iron & steel,
umeå,1887,,utilities,umeå energi,conventional electricity,
stockholm,2009,,consumer goods,urbanears,recreational products,
stockholm,1917,,consumer goods,v&s group,soft drinks,
södertälje,1891,,industrials,vabis,diversified industrials,
stockholm,1909,,utilities,vattenfall,conventional electricity,
alvesta,1969,,basic materials,vida ab,forestry,
gothenburg,1927,,industrials,volvo,commercial vehicles & trucks,
gothenburg,1968,,industrials,volvo buses,commercial vehicles & trucks,
gothenburg,2001,,financials,volvo financial services,investment services,
skövde,1907,,consumer goods,volvo penta,auto parts,
gothenburg,1928,,industrials,volvo trucks,commercial vehicles & trucks,
huskvarna,1872,,consumer goods,vsm group,durable household products,
stockholm,1934,,industrials,wallenius lines,marine transportation,
skellefteå,1919,,consumer goods,wasabröd,food products,
stockholm,1994,,consumer services,wayne's coffee,restaurants & bars,
stockholm,1999,,consumer goods,wesc,clothing & accessories,
malmö,1994,,consumer services,wg film,broadcasting & entertainment,
stockholm,1969,,technology,wm-data,software,
stockholm,2003,,consumer services,x5 music group,broadcasting & entertainment,
barcelona,2007,,technology,3scale,software,
seville,1941,,conglomerates,abengoa,-,
barcelona,2003,,conglomerates,abertis,-,
alcobendas,1997,,industrials,acciona,heavy construction,
madrid,1970,,basic materials,acerinox,iron & steel,
madrid,1997,,industrials,acs group,heavy construction,
madrid,1980,,consumer services,afinsa,specialty retailers,
barcelona,2011,,technology,akamon entertainment,software,
barcelona,1943,,health care,almirall,pharmaceuticals,
madrid,1987,,technology,amadeus it group,software,
fene,1944,,industrials,astilleros y talleres del noroeste,shipbuilding,
san sebastián de los reyes,1988,,consumer services,atresmedia,broadcasting & entertainment,
zaragoza,1947,,consumer goods,balay,durable household products,
bilbao,1857,,financials,banco bilbao vizcaya argentaria,banks,
madrid,1926,,financials,banco popular español,banks,
sabadell,1881,,financials,banco sabadell,banks,
santander,1857,,financials,banco santander,banks,
madrid,1902,,financials,banesto,banks,
madrid,1965,,financials,bankinter,banks,
vic,1790,,consumer goods,bassols 1790,textiles,
madrid,1831,,financials,bolsas y mercados españoles,banks,
alcobendas,1972,,consumer services,brb internacional,broadcasting & entertainment,
barcelona,2003,,consumer services,budgetplaces,travel & tourism,
madrid,1969,,consumer goods,calidad pascual,food & beverage,
moià,2007,,industrials,catuav,aerospace,
barcelona,1958,,consumer goods,chupa chups,food products,
bilbao,2002,,consumer goods,cie automotive,auto parts,
madrid,1998,,industrials,cintra,heavy construction,
madrid,1929,,oil & gas,cepsa,exploration & production,
madrid,1927,,utilities,compañía logística de hidrocarburos,oil & gas distribution,
madrid,1923,,industrials,construcciones aeronáuticas sa,aerospace,
beasain,1917,,industrials,construcciones y auxiliar de ferrocarriles,commercial vehicles & trucks,
barcelona,1959,,industrials,copisa,heavy construction,
madrid,1716,,industrials,correos,delivery services,
madrid,1880,,consumer services,cortefiel,apparel retailers,
martorell,2018,,consumer goods,cupra,automobiles,
cádiz,2009,,health care,curaxys,biotechnology,
córdoba,1955,,consumer goods,deoleo,food products,
las rozas,1979,,consumer services,dia,food retailers & wholesalers,
madrid,1998,,consumer goods,ebro foods,food products,
barcelona,1954,,consumer goods,ebro trucks,automobiles,
madrid,1940,,consumer services,el corte inglés,food retailers & wholesalers,
madrid,1972,,utilities,enagás,oil & gas distribution,
madrid,1944,,utilities,endesa,conventional electricity,
elorrio,1969,,consumer services,eroski,food retailers & wholesalers,
