_id,ltable_ID,rtable_ID,ltable_name,ltable_country,ltable_headquarters,ltable_address,ltable_founded,ltable_employees,ltable_market_cap,ltable_revenue,ltable_profit,ltable_industry,ltable_sector,ltable_categories,ltable_ceo,rtable_name,rtable_country,rtable_headquarters,rtable_address,rtable_founded,rtable_employees,rtable_market_cap,rtable_revenue,rtable_profit,rtable_industry,rtable_sector,rtable_categories,rtable_ceo,label
150737,30031,96584,halkbank,turkey,,,,,doll_3.02 b,,,,,,,halkbank,turkey,,,1933,not found,,doll_7.7 b,,banking,,,osman arslan,1
152201,224,100646,huawei technologies,,,,2002,,,,,it services & consulting,,,,hashedin technologies,india,,,,558,,doll_16.64 m,,,technology,,,0
157172,113398,113086,h & aa limited,,,,,,,,,,,,,h a amos limited,,,,,,,,,,,,,0
191445,113133,113326,h a chunu & co limited,,,,,,,,,,,,,h. allan & son limited,,,,,,,,,,,,,0
215091,113650,113478,h & a riders limited,,,,,,,,,,,,,h & a fashion limited,,,,,,,,,,,,,0
266147,122999,119704,hlt property acquisition llc,united states,,,,,,,,,,,,hlt property acquisition llc,united states,,,,,,,,,,,,1
292477,124754,124851,hilti careers,,,,1941,,,,,construction,,,,hatch ltd careers,,,,1955,,,,,materials & manufacturing,,,,0
298922,27811,136074,hindustan zinc,india,,,,,doll_17.91 b,,,,,,,hindustan unilever,india,,,,,doll_89.84 m,,,,,,,0
304543,137327,137327,heidelberg cement ag,germany,,,,,doll_17.29 m,,,,,,,heidelberg cement ag,germany,,,,,doll_17.29 m,,,,,,,1
311130,138741,138741,hengyi petrochemical,china,,,,,doll_6.48 m,,,,,,,hengyi petrochemical,china,,,,,doll_6.48 m,,,,,,,1
313214,38396,139028,hni corporation,united states,,,,,doll_1.22 b,,,,,,,hollyfrontier corporation,united states,,,,,doll_5.25 m,,,,,,,0
313238,70813,139028,hormel foods corporation,united states,,,,,doll_28.52 b,,,packaged foods,consumer staples,,,hollyfrontier corporation,united states,,,,,doll_5.25 m,,,,,,,0
315823,140137,139483,hms holdings,united states,,,,,doll_3.25 m,,,,,,,herc holdings,united states,,,,,doll_3.95 m,,,,,,,0
325719,65041,141439,hanwha solutions,,,,,,doll_7.26 b,doll_9.90 b,doll_0.33 b,,,,,hanwha systems,south korea,,,,,doll_3.1 m,,,,,,,0
340649,153251,144261,hyundai rotem company,south korea,,,,,doll_1.95 b,,doll_50.0 m,,,,,hyundai development company,south korea,,,,,doll_1.69 m,,,,,,,0
362104,67591,147996,hasbro,,,,,6.640,doll_8.74 b,doll_6.19 b,doll_0.68 b,,,,,hasbro,united states,,,,,doll_14.18 b,,doll_428.0 m,,,,rich stoddart,1
378233,140390,151070,hsbc trinkaus & burkhardt ag,germany,,,,,doll_2.97 m,,,,,,,hsbc trinkaus & burkhardt ag,germany,,,,,0.0,,doll_116.0 m,,,,,1
395256,149942,154311,hubei energy group,china,,,,,doll_5.06 b,,doll_340.0 m,,,,,huaihe energy (group),china,,,,,doll_1.52 b,,0.0,,,,,0
