00-avengers-type,00-avengers-id,00-avengers-hhid,00-avengers-nation
corporation,c623a88a8b494fe2b1069468cc1d35b1,h-it0070718237,italy
corporation,36a1613ceacc45bea4073acb18648742,h-it0014480646,italy
corporation,a0f2c3048cbd492cb2023ed2dc51266d,h-it0048609145,italy
corporation,2606146c8650458792826692ddd825b4,h-it0044257554,italy
corporation,37bc06ffe0254187846278dd13b32964,h-it0062988077,italy
corporation,5c9050cc40134db3835864de89ec131a,h-it0014786710,italy
corporation,986738f57e8747e4ab5092bb442e119d,h-it0011010495,italy
corporation,741b1a788ac941608f46c6585647d506,h-it0010582002,italy
corporation,5fef01097ee245c68e884b6f6365a92a,h-it0068457146,italy
corporation,d0fc6a251d0844a188c9facf9f851d12,h-it0029868157,italy
corporation,ec3e479003b044f399ef65e948c0f2bc,h-it0071559523,italy
corporation,c10f7d32210e459b973b30e5875573c7,h-it0073889660,italy
corporation,39ed4178beb244a284dc2294b12c5f68,h-it0028047338,italy
corporation,305e90a4d3844eb4ba6bbba140c2cd2f,h-it0075874768,italy
corporation,0efaddd30ef2491d9e1a6af816a401ae,h-it0366646049,italy
corporation,5d568049e9074a8eb5275d2028030aba,h-it0072771879,italy
corporation,0a3023e1042147b5b4d34583b15e1cdf,h-it0072235470,italy
corporation,bafc45f7bb4041b5b5ceaa43ccf7b95a,h-it0011912154,italy
corporation,e854b474bf96428fbc856b971d3268e6,h-it0029562732,italy
corporation,d08f0d70424041de941fa243b3ec9bd0,h-it0016973011,italy
corporation,b6222a4c35c84a769406eda57b82e3aa,h-it0012582263,italy
corporation,0bff707c163d42c09f3a4741f2604112,h-it0014221233,italy
corporation,ac0a085b84554e099212d68fd1302844,h-it0074677802,italy
corporation,797928d0a4c34e52a34fc2f276824635,h-it0015617815,italy
corporation,dea1d190f2214781820da5cd29105e14,h-it0074413902,italy
corporation,ac9f3846cde346d49e5eb35618faa7af,h-it0058458778,italy
corporation,638639a5a55c49328e4d454e222a74c8,h-it0072352515,italy
corporation,f31cc06a71de49bba12285c357bcd458,h-it0059847948,italy
corporation,45daef3fa9f845d197b808f36133fdd1,h-it0030078768,italy
corporation,a91d7e4a0c394d38b2cfa642521b1674,h-it0070992320,italy
corporation,dab6cdfea9764470a42b8e108677cef2,h-it0001705946,italy
corporation,d1bafc8e094c4a6489a7c4d901ee1890,h-it0073453986,italy
corporation,4f5a75ac09b84a13b3ac2112a161b552,h-it0075060949,italy
corporation,28a33602498c441caaa4bc0da7532286,h-it0074100025,italy
corporation,4a773e1899694993ae192b54cb666a9c,h-it0010857044,italy
corporation,6b1e3951ab004570bb34084887b31261,h-it0012438634,italy
corporation,04a089d0e8fe412e904bc63a6a5ed61e,h-it0074142240,italy
corporation,868e1e19d66448e7ac41529f2e4b5f59,h-it0074334530,italy
corporation,73472dc4e7aa48d9bfb9ff4be2bfde3e,h-it0028132408,italy
corporation,fb0cdef7f61c4f789f8725d62b732c0b,h-it0070694672,italy
corporation,119dae42a5744e80af4c0bf745e12881,h-it0008016585,italy
corporation,5e5bb7f35dcb4efbac040e8e27765782,h-it0036360678,italy
corporation,0421a9d7680b4bd6ab4c557a09ee1886,h-it0014501481,italy
corporation,2ecbf57b4807460c9acdc01d4f01641a,h-it0061951439,italy
corporation,d8430f4aba714fa48f9c57c7db909783,h-it0003745546,italy
corporation,d7b18d9dec4042b6bc8a92e29850a6dc,h-it0016265335,italy
corporation,109ed58fbf654fc6886a06c0ed769918,h-it0066647894,italy
corporation,eef1a585ab3249fe8441442c5abfa055,h-it0002419203,italy
corporation,57a5e2904dfd408c932aaf69c5e8d146,h-it0000430994,italy
corporation,ce714f9627294b85bca29ce159fefb57,h-it0008928983,italy
corporation,a92e2aba7d644b579699d18b588028d6,h-it0037227971,italy
corporation,fcdb920a90304e37aa121a2e7b3cb564,h-it0021827443,italy
corporation,546d1c37ca6f4807b3d43e5970b6aea5,h-it0010071229,italy
corporation,90be91f168f4409a9c05d83084164316,h-it0067273181,italy
corporation,71272bceedf7487cbafa742c856584e0,h-it0075600137,italy
corporation,f14260db3bbf495483429d917177c7f7,h-it0072354003,italy
corporation,068694ccb99c442da62e10167de323cf,h-it0007816189,italy
