02-GioPonSpiz-price,03-gren-price,05-MalPatSaj-price,00-avengers-share_price,01-DDD-share_price,06-MarScoToc-share_price,09-wissel-share_price,04-iGMM-shareprice
doll_51.44,5.0,doll_0.45,doll_4.94,doll_13.41,doll_141.20,doll_6.96,
doll_212.16,61.0,doll_72.62,doll_6.84,doll_10.22,doll_5.39,doll_3.50,
doll_214.13,67.0,doll_30.62,doll_127.83,doll_9.18,doll_204.53,doll_8.41,
doll_374.00,473.0,doll_360.38,doll_23.23,doll_51.53,doll_206.76,doll_54.00,
doll_74.80,48.0,doll_234.48,doll_219.16,doll_53.84,doll_49.08,doll_7.13,
doll_77.55,107.0,doll_47.95,doll_106.71,doll_13.26,doll_154.09,doll_23.31,doll_84.19
doll_67.52,201.0,doll_61.14,doll_47.24,doll_27.02,doll_410.60,doll_36.32,doll_135.57
doll_60.92,96.0,doll_6.66,doll_243.11,doll_28.53,doll_66.65,doll_121.28,doll_147.97
doll_30.11,92.0,,doll_68.31,doll_1.42,doll_31.15,doll_48.79,
doll_49.27,74.0,doll_418.92,doll_80.19,doll_8.20,doll_59.80,doll_22.87,
doll_107.23,29.0,doll_64.57,doll_116.87,doll_94.48,doll_29.22,doll_0.92,
doll_155.08,348.0,doll_102.19,doll_86.88,doll_0.21,doll_105.04,doll_70.47,
doll_97.00,64.0,doll_28.26,doll_27.25,doll_57.00,doll_368.05,doll_16.84,doll_14.00
doll_66.35,70.0,doll_5.05,doll_42.31,doll_43.56,doll_92.84,doll_1.72,
doll_366.38,143.0,doll_37.09,doll_37.34,doll_87.82,doll_443.28,doll_4.50,
doll_30.82,475.0,doll_353.84,doll_205.17,doll_48.00,doll_479.49,doll_0.70,
doll_89.92,348.0,doll_154.11,doll_272.25,doll_22.47,doll_341.84,doll_198.46,doll_120.44
doll_449.83,150.0,doll_70.72,doll_219.37,doll_12.36,doll_87.00,doll_75.04,
doll_155.76,738.0,doll_90.01,doll_327.20,doll_18.06,doll_122.82,doll_16.49,
doll_483.00,88.0,doll_121.58,doll_112.68,doll_15.92,doll_151.60,,
doll_71.00,64.0,doll_188.25,doll_423.40,doll_17.52,doll_70.07,doll_19.91,
doll_63.60,387.0,doll_68.93,doll_82.79,doll_45.62,doll_398.07,doll_89.65,doll_154.79
doll_753.99,117.0,doll_88.40,doll_20.69,doll_22.77,doll_741.71,doll_139.37,doll_130.11
doll_121.90,81.0,doll_138.91,doll_79.62,doll_85.63,doll_89.29,doll_15.89,doll_170.29
doll_22.29,28.0,doll_260.08,doll_449.97,doll_0.09000,doll_21.91,doll_79.03,
doll_393.21,34.0,doll_188.85,doll_58.64,doll_48.55,doll_35.50,doll_26.37,doll_69.70
doll_232.81,21.0,doll_711.52,doll_35.36,doll_26.39,doll_80.91,doll_73.00,
doll_86.27,64.0,doll_58.57,doll_191.39,doll_2.45,doll_60.43,doll_9.22,doll_420.10
doll_0.96,81.0,doll_34.80,doll_712.98,doll_29.94,doll_0.95,doll_4.32,
doll_35.56,219.0,doll_78.79,doll_116.94,doll_24.38,doll_439.72,doll_69.20,
doll_80.59,179.0,doll_219.85,doll_182.87,doll_101.70,doll_185.96,doll_25.00,
doll_40.86,240.0,doll_334.68,doll_86.34,doll_12.70,doll_40.31,doll_13.84,
doll_85.75,32.0,doll_20.48,doll_89.03,doll_13.72,doll_83.01,doll_16.42,
doll_183.21,29.0,doll_26.11,doll_269.90,doll_11.22,doll_221.41,doll_19.03,
doll_425.01,39.0,doll_81.23,doll_69.82,doll_38.78,doll_29.70,doll_79.42,
doll_245.36,256.0,doll_38.96,doll_141.85,doll_51.32,doll_129.15,doll_35.98,
doll_111.21,123.0,doll_413.49,doll_45.01,doll_18.31,doll_111.53,doll_10.89,
doll_29.15,83.0,doll_280.65,doll_6.36,doll_6.19,doll_208.35,doll_43.93,
doll_7.70,270.0,doll_108.45,doll_407.92,doll_152.21,doll_51.09,doll_51.21,
doll_125.35,229.0,doll_202.06,doll_5.03,doll_15.64,doll_237.17,doll_49.78,
doll_259.82,264.0,doll_253.82,doll_36.87,doll_11.22,doll_31.31,doll_5.06,doll_12.30
doll_31.42,386.0,doll_27.55,doll_156.75,doll_0.86,doll_256.22,doll_112.72,
doll_49.92,68.0,doll_109.64,doll_359.80,doll_24.63,doll_239.36,doll_106.00,
doll_199.92,303.0,doll_119.56,doll_60.35,doll_8.17,doll_267.56,doll_58.77,doll_89.52
doll_314.21,101.0,doll_41.11,doll_10.23,doll_27.80,doll_308.36,doll_50.82,
doll_237.84,47.0,doll_67.26,doll_105.05,doll_30.77,doll_7.32,doll_48.26,doll_254.77
doll_267.22,41.0,doll_79.29,doll_29.41,doll_47.68,doll_14.90,doll_36.56,doll_450.86
doll_227.19,188.0,doll_216.82,doll_74.98,doll_48.32,doll_109.65,doll_9.17,
doll_81.53,223.0,doll_45.98,doll_30.58,doll_31.07,doll_79.54,doll_1.09,
doll_216.28,7.0,doll_81.47,doll_236.13,doll_21.93,doll_7.16,doll_8.29,
doll_14.94,14.0,doll_249.22,doll_0.44,doll_18.95,doll_220.43,doll_80.85,
doll_109.97,104.0,doll_171.68,doll_72.69,doll_28.68,,doll_201.20,doll_586.41
doll_67.06,76.0,doll_6.70,doll_164.16,doll_11.09,doll_256.77,doll_18.23,
doll_258.90,197.0,doll_215.94,doll_99.52,doll_102.97,doll_155.78,doll_2.50,doll_20.88
doll_388.37,171.0,doll_371.36,doll_82.35,doll_4.10,doll_79.09,doll_2.11,doll_86.27
doll_79.48,2179.0,doll_198.28,doll_132.51,doll_29.07,doll_441.83,doll_33.15,
doll_160.41,166.0,doll_172.37,doll_16.72,doll_5.91,doll_379.48,doll_36.44,
"doll_2,301",149.0,doll_192.26,doll_147.96,doll_61.60,doll_203.52,doll_115.00,doll_94.59
doll_80.20,6.0,doll_125.83,doll_4.19,doll_99.82,doll_64.04,doll_40.87,
doll_6.84,122.0,doll_418.39,"doll_2,085",doll_6.02,doll_38.81,doll_86.91,
doll_173.38,46.0,doll_47.13,doll_23.20,doll_63.65,doll_189.46,doll_14.25,
doll_168.98,41.0,doll_145.87,doll_186.76,doll_49.76,doll_173.12,doll_75.04,doll_4.84
doll_38.40,185.0,doll_13.50,doll_321.37,doll_90.12,doll_18.12,doll_2.05,
doll_18.43,18.0,doll_72.63,doll_138.97,doll_1.91,doll_77.68,doll_87.37,
doll_188.86,349.0,doll_531.78,doll_13.32,doll_7.46,doll_41.86,doll_15.47,doll_7.16
doll_41.76,105.0,doll_750.00,doll_40.61,doll_37.77,doll_146.79,doll_28.93,doll_10.68
doll_148.89,142.0,doll_145.83,doll_412.87,doll_85.90,doll_165.17,doll_59.82,doll_257.61
doll_123.69,20.0,doll_39.71,doll_766.39,doll_26.20,doll_123.31,doll_15.58,doll_4.48
doll_414.89,737.0,doll_208.95,doll_545.60,doll_57.28,doll_20.70,doll_33.87,
doll_20.78,521.0,doll_312.09,doll_147.94,doll_700.50,doll_157.30,doll_77.77,doll_61.96
