01-DDD-change1d,00-avengers-change_1_day,04-iGMM-change_1day
1.01_perc,-0.38_perc,1.05_perc
5.52_perc,-0.95_perc,0.52_perc
-1.22_perc,-0.11_perc,0.67_perc
2.60_perc,-1.13_perc,
-0.42_perc,-0.55_perc,
0.16_perc,0.00_perc,1.50_perc
0.36_perc,-0.72_perc,-0.49_perc
8.61_perc,2.62_perc,
-0.22_perc,-0.50_perc,-1.57_perc
1.38_perc,-0.34_perc,
-0.99_perc,-2.65_perc,-0.44_perc
1.00_perc,0.09_perc,-1.31_perc
0.15_perc,0.36_perc,-1.02_perc
3.30_perc,-0.58_perc,
0.68_perc,-0.43_perc,
-1.64_perc,0.43_perc,-0.47_perc
1.48_perc,1.56_perc,
-0.57_perc,0.04_perc,
-0.97_perc,-0.91_perc,-0.75_perc
0.00_perc,-0.66_perc,3.67_perc
0.90_perc,-0.83_perc,-1.59_perc
-2.00_perc,0.35_perc,
-0.52_perc,-1.11_perc,-0.97_perc
0.17_perc,-0.92_perc,
0.93_perc,0.29_perc,-0.55_perc
0.46_perc,-6.51_perc,
0.96_perc,1.41_perc,-1.36_perc
1.69_perc,1.96_perc,-0.61_perc
0.86_perc,8.60_perc,0.14_perc
3.47_perc,-1.79_perc,-1.35_perc
-0.36_perc,-2.60_perc,0.00_perc
-0.33_perc,-0.05_perc,
0.04_perc,1.39_perc,
2.74_perc,0.10_perc,
0.28_perc,0.31_perc,1.42_perc
0.72_perc,1.15_perc,0.00_perc
0.10_perc,-1.47_perc,-1.59_perc
1.56_perc,-0.74_perc,0.37_perc
