04-iGMM-code,02-GioPonSpiz-codice,09-wissel-company_code,05-MalPatSaj-symbol
AMP.MI,7741.t,blnd,wba
EGP,300015.sz,ncno,ed
ASRNL.AS,csu.to,idt,axisbank.bo
FR,pcar,chpt,alc
DVA,cmi,expi,npsny
0017.HK,bcs,hgty,600276.ss
BRX,nwg,slab,dsv.vi
,mfc,asan,dd
CTC.TO,amp,alny,all
7951.T,anet,mho,hlag.de
,bntx,hl,ea
,bn.pa,pnm,amp
,2914.t,zeus,hcltech.ns
HOG,aca.pa,plus,expgf
4021.T,odfl,jbi,odfl
,engi.pa,gtlb,tdg
,mtd,udmy,cmi
MTZ,mrvl,arhs,6594.t
5486.T,otis,tenb,6981.t
TIINDIA.NS,ea,smhi,601668.ss
PLNT,gold,iot,bn.pa
OTE.F,6981.t,alrm,
AIZ,asianpaint.ns,trhc,as7.f
3769.T,axisbank.bo,rblx,abc
,601601.ss,appf,mfc
BALN.SW,ed,aur,otis
3P7.F,dsv.vi,mntv,hal
MDKA.JK,mplx,ccs,bf-a
2310.SR,601668.ss,cars,csgp
ASND,crh,avdx,ilmn
NEP,7182.t,sqsp,vici
,se,gety,dmart.ns
,pcg,sond,
PII,006405.ks,dvn,db1.de
,002142.sz,sbac,keys
,holn.sw,app,2359.hk
,well,crus,pcg
,wcn,hlth,ame
,ame,culp,mplx
TRENT.NS,0066.hk,fizz,006405.ks
TRQ,enph,ceix,dltr
NAUKRI.NS,0267.hk,prk,002475.sz
WCH.F,abc,root,rmd
SISE.IS,sbac,nr,tls.ax
TEL2-A.ST,csgp,wldn,kr
SPSN.SW,dhi,cqp,bsp.f
,ctsh,evri,600690.ss
,rok,pro,nwg
TPG.AX,601998.ss,hes,0066.hk
WDH1.F,db1.de,ibtx,well
9532.T,dltr,nvax,sbac
6479.T,kr,amh,holn.sw
WFG,tls.ax,sncr,bcs
,keys,cown,2202.hk
INDUSTOWER.NS,gfs,mro,601633.ss
,expgf,prts,maruti.ns
LODHA.NS,ibkr,sono,0011.hk
,bf-a,bzfd,mfg
8795.T,wege3.sa,klxe,ndaq
,600000.ss,ppbi,ppg
RRTL.F,6594.t,buse,bajajfinsv.ns
3003.T,rmd,vvi,601998.ss
,vici,boom,cap.pa
090430.KS,aot.bk,mxl,rok
XRAY,600887.ss,inse,z74.si
,bkr,pump,wec
SF,cap.pa,lazy,aca.pa
PIIND.NS,wba,nutx,dlr
NYCB,cabk.mc,wow,300015.sz
AYI,oke,bhf,6618.hk
KFI1.F,ilmn,upst,gold
VLY,wbd,snpo,hxgbf
TOM.OL,002475.sz,nabl,cpng
,vwsb.f,nwe,peg
LFUS,bsp.f,gic,600000.ss
,2202.hk,par,rwe.de
,0011.hk,oec,crh
,peg,tipt,gmab
TVSMOTOR.NS,hymtf,bku,dhi
,maruti.ns,enva,qsr
SON,dlr,chh,aot.bk
,ucg.mi,hmn,vwsb.f
,bbd,clmt,002142.sz
,ndaq,slm,601601.ss
TIMB,ppg,tlys,1339.hk
PPC,601319.ss,hope,ctsh
AMG,z74.si,wire,gmbxf
,hxgbf,smtc,es
5332.T,1339.hk,irbt,dell
STAG,6954.t,iiiv,ad.as
,601633.ss,plow,oke
DNB,rwe.de,zeta,cprt
,6273.t,faro,ceg
VOYA,vod,tsp,ibkr
,sunpharma.ns,cvi,601319.ss
,lyb,ale,0267.hk
,glw,dec.l,6273.t
,stt,fcf,l.to
,fmx,mlr,vod
,kbcsf,onto,imo
4204.T,0027.hk,tree,
CPIN.JK,wec,rily,stt
,scmn.sw,avid,wege3.sa
SAIA,6178.t,wd,tcl.ax
,tu,yext,on
,0688.hk,fet,bkr
2290.SR,hen3.de,agys,sunpharma.ns
SLGN,ad.as,ramp,6954.t
MKSI,cpng,ffin,0027.hk
4250.SR,cprt,jout,dnb.ol
HTZ,sgo.pa,axti,gww
STN,givn.sw,zuo,hen3.de
,000651.sz,tph,0688.hk
,g.mi,ora,4503.t
,ptt-r.bk,lc,alb
COV.PA,knebv.he,lyts,tu
C09.SI,ads.de,ui,g.mi
,qsr,asix,600887.ss
,iff,gh,awk
AAF.L,eqt.st,cwan,alny
SIGI,dnb.ol,dm,7182.t
,dmart.ns,knbe,vrsk
BEZ.L,dfs,zvo,scmn.sw
KGC,tcl.ax,mvst,glw
UNVR,es,bcpc,hymtf
QUINENCO.SN,cht,agx,eqt.st
MP,gpn,tbk,mbly
,gww,dxlg,fast
,alny,eaf,wow.ax
MUTHOOTFIN.NS,awk,ostk,cqp
BROS,ferg,lcut,dfs
,dell,drq,crwd
,vrsk,bigc,cht
,wow.ax,hlit,bbd
,knin.sw,parr,byan.jk
AZ2.F,imo,adtn,pperf
,oran,ax,nok
,sren.sw,hlx,ho.pa
,srt.de,vrrm,fmx
EFN.TO,alb,chk,cabk.mc
1812.T,slf,verx,hpq
VNOM,on,aort,wxxwy
BWXT,601138.ss,lasr,wosb.f
,len,lstr,6178.t
,nok,iii,fnv
EBO.NZ,bgne,bhlb,dtg.f
,fnv,zws,veev
,eoan.de,pch,it
NATI,l.to,hcci,ntgy.mc
CTPNV.AS,fast,hoft,ferg
,ceg,inst,slf
ENSG,pperf,scor,titan.ns
PSPN.SW,ams.mc,cmax,lyb
,cqp,ns,knin.sw
,wtw,lnn,ucg.mi
LHCG,0lc.f,nwpx,601138.ss
,aptv,pebo,0lc.f
CLN.SW,6618.hk,fnko,iff
,hpq,invh,zbh
,bei.de,txg,sren.sw
GXO,cbre,gshd,sampo.he
EXPO,uri,nwn,300124.sz
IEL.AX,ppba.f,sft,000651.sz
,bajajfinsv.ns,bry,wtw
BC,ntgy.mc,udr,mkn2.f
,6702.t,vmeo,trow
,4503.t,wish,knebv.he
,300124.sz,lz,wbd
VRT,sampo.he,csvi,gpn
BALD-B.ST,ho.pa,expo,bax
0489.HK,efx,avav,cbhd.f
,it,dfh,wit
LYI.F,wosb.f,carg,oran
,gmab,smfr,aptv
,trow,gdot,ppba.f
,mbly,hcat,bei.de
OSH,fang,amrc,6702.t
ASTRAL.NS,cdw,njr,cdw
4190.SR,6505.tw,cboe,ptt-r.bk
,titan.ns,eva,len
RF.PA,asazf,mgrc,eix
,wit,cwt,5110.sr
GF.SW,dtg.f,fbnc,sqm
BPOP,ifc.to,nsa,6505.tw
GRUMAB.MX,eix,semr,hznp
,seba.f,sji,ddog
THC,db,ptct,eoan.de
,cbhd.f,brze,uri
,zbh,quot,seba.f
BEZQ.TA,mkn2.f,stba,ifc.to
6305.T,ultracemco.ns,caty,hrl
,mtb,sbcf,sgo.pa
,601066.ss,tcbk,600104.ss
,ccep,pmts,gpc
,hznp,grc,ams.mc
,600104.ss,zip,1010.sr
ORCC,veev,nssc,5108.t
,are,sstk,k
086280.KS,aem,csv,asazf
LEG.DE,5110.sr,cour,ccep
NJR,mt,hckt,are
TREX,ebk.de,arry,cbre
,1010.sr,ameh,eqr
,sand.st,trup,srt.de
6753.T,yumc,srce,ebk.de
AXS,hrl,sxc,ultracemco.ns
,0291.hk,wes,2308.tw
R90.F,ebay,joby,etr
,ulta,acls,ttd
AIT,pghn.sw,cash,kbcsf
IGT,rjf,nbhc,fang
ATKR,gmg.ax,lmnd,clnx.mc
,5108.t,pfs,efx
,stan.l,rare,mtb
FLR,lisp.sw,pay,7733.t
,0001.hk,jill,vmc
,tlk,bynd,sgen
PIRC.MI,na.to,dlth,pghn.sw
NMDC.NS,clnx.mc,aka,fe
TIT.MI,beke,aroc,avb
,sgen,mtsi,wy
AALB.AS,dal,bcor,hnr1.de
,mlyby,nbix,aem
TGNA,fe,tti,9022.t
,tib1.f,lthm,hig
UTG.L,tsco,band,yumc
TKO.PA,hig,evc,siri
DPLM.L,vmc,veco,tsco
MFT.NZ,035420.ks,nbevq,itba.f
HE,2881.tw,ofix,ebay
,rci,ufcs,rjf
,gfnorteo.mx,sasr,ftv
,2308.tw,voxx,tlk
HONAUT.NS,tcom,salm,gmg.ax
