04-iGMM-code,02-GioPonSpiz-codice,09-wissel-company_code,05-MalPatSaj-symbol
TRUL,fdj.vi,whg,wbs
,acs.mc,qngy,dia.mi
YGYI,agl,prph,4716.t
,pso,al,2897.t
,ogn,dhil,yesbank.ns
,lea,tals,sjx.f
,tatapower.ns,akli,xro.ax
,midd,ptgx,051905.ks
BXRX,asr,sldp,saga-b.st
,sjx.f,nktx,adro.jk
,nfe,ses,urw.as
,skm,rpt,fnlpf
VIP.AX,coty,rna,pac
,ally,syrs,gail.ns
,bcvn.sw,rex,010950.ks
,0288.hk,bior,achc
,ords.ae,smlr,ccl-b.to
,1099.hk,pirs,0384.hk
NBEVQ,icbp.jk,naut,wsm
,pstg,imvt,
,oge,akr,adm.l
,pnb.ns,kura,8tra.de
,ccl-b.to,eras,sbsw
,bajajhldng.ns,tela,6963.t
,megacpo.mx,trda,manh
,ac.pa,bsvn,che
CNXA,srf.ns,avro,pshzf
,010950.ks,eypt,9503.t
,marico.ns,uavs,idbi.ns
EDBL,fbhs,cccc,eregl.is
EFOI,car,ctic,icbp.jk
ZVO,6965.t,phun,stj.l
,skf-b.st,fhtx,ntnx
PHAS,see,krys,lea
,ocdo.l,zvia,gfc.pa
INKW,2897.t,pct,9005.t
AMPE,ttek,evfm,glob
KERN,hr,mnts,masi
,shp.jo,krtx,jd.l
,xray,acor,see
YVR,pshzf,seer,ally
,tuprs.is,stor,bery
,xro.ax,egy,2890.tw
,aia.ax,ue,aia.ax
,gail.ns,rcel,qan.ax
VIVE,rl,otcm,hood
AHPI,achc,tcrx,5876.tw
BNTC,036570.ks,ivt,unionbank.ns
,6033.kl,rani,cpri
,hood,aveo,5201.t
PTE,grfs,mrns,shp.jo
,g1a.f,verv,midd
,crox,dss,phnx.l
CFRX,radl3.sa,bfs,acs.mc
,7272.t,prld,6033.kl
,dia.mi,mpw,abb.ns
,oln,wmpn,ornav.he
UTRS,irdm,grph,g1a.f
BIOL,ednr.mi,locl,pnr
SINT,arx.to,vxrt,4188.t
,ypf,prov,cien
,amr.ae,pke,asr
,wex,plrx,cholafin.ns
,2890.tw,yorw,cu.to
,4755.t,irmd,eslt
,dish,ocx,nrg
,zion,carv,gtlb
,mpw,finw,mtss.me
,mtz,cvrx,oln
,raa.f,tgan,gmed
,ale.wa,vuzi,0288.hk
ADIL,ornav.he,verb,skf-b.st
SVRE,phnx.l,lian,1cov.f
,5201.t,alvr,wms
AKAN,manh,tell,orklf
,path,uba,bsac
,eslt,olpx,otp.f
EVOK,cu.to,imgn,hr
LUCY,8697.t,inbx,4280.sr
,4280.sr,ibio,insp
NEPT,mro.l,vici,bkw.sw
,377300.ks,two,icicigi.ns
,amkr,ycbd,1101.tw
,apollohosp.ns,kalv,4707.kl
NUZE,7202.sr,athx,8697.t
,wf,sldb,sbny
HSDT,cien,newt,kt
,bsac,pola,kog.ol
,hesm,aqb,9042.t
,icicigi.ns,tngx,rgld
GNLN,9502.t,uuuu,wex
,mhk,akus,3092.t
,1548.hk,bysi,ori
,ake.pa,hymc,pcor
,0656.hk,stok,3064.t
,dci,anab,4755.t
,cnxc,grom,rl
,3816.kl,egrx,ednr.mi
,bery,vygr,dci
RKDA,5876.tw,mgld,ogn
,plnt,ivvd,3816.kl
AGFY,abb.ns,eman,7203.sr
WHSI,iob.ns,sd,sbs
,sym,kron,raa.f
,wtb.l,kod,agl
TTOO,9005.t,codx,path
KINS,rrtl.f,seac,9502.t
,sbny,morf,asels.is
,atr,lidr,7259.t
TIVC,gmed,wbev,uwmc
HSCS,ori,rgco,wf
,3064.t,pkbk,bergepaint.ns
,insp,slgg,caci
,6963.t,oprx,3037.tw
,jindalstel.ns,gevo,s68.si
,4188.t,ionq,2609.tw
,che,hasi,vmi
IINN,0017.hk,kros,1878.t
FAMI,8951.t,xbit,isday
,orklf,mvis,canbk.ns
REBN,bkw.sw,harp,zion
,eregl.is,prtc,us.mi
,unitdspr.bo,itos,kbr
,wms,dawn,0017.hk
,idbi.ns,,ohi
,amrt.jk,opgn,mpw
,s68.si,kins,hesm
,nrg,aehr,0293.hk
,1157.hk,ppsi,ac.pa
,baln.sw,idya,4904.tw
,futu,htgc,mgnt.me
,3p7.f,derm,o2d.de
SOBR,4707.kl,abeo,atr
,us.mi,trc,2883.tw
RVSN,sbs,pcvx,npi.to
ONVO,mdka.jk,vaxx,roku
,cx,wsr,eme
,osh,idai,krtx
,swav,btai,hsz.f
,7259.t,doc,dlb
FSC.NS,itt,pbfx,upl.ns
,7020.sr,snti,009830.ks
FRZA,eme,sens,emp-a.to
,goto.jk,pavm,iot
ACRX,009830.ks,inuv,docs
,cpfe3.sa,rapt,plnt
,edu,aese,alv
,igm.to,htgm,run
TTNP,bzi.f,lxrx,mtz
RDHL,2883.tw,pet,grfs
,skx,sgbx,klh.f
UIHC,dlb,mbi,rrc
,canbk.ns,clsk,coty
,vmi,orgn,ocdo.l
,oci.as,acet,asnd
,gnrc,stag,003495.ks
,i93a.f,ardx,radl3.sa
,kt,nuvb,swn
SGBX,ska-b.st,alpn,baln.sw
,sol.ax,wina,xray
,mat,abus,2269.t
,4904.tw,sybx,4021.t
,1878.t,cara,brx
,roiv,mxct,mindtree.ns
,wch.f,src,tuprs.is
,rh,oric,4091.t
,5019.t,ccel,gpk
,bid.jo,xfor,5019.t
,twe.ax,egp,nxst
VRAX,090430.ks,prvb,7951.t
,cib,knte,amrt.jk
,yesbank.ns,mlvf,5486.t
,reh.ax,este,9602.t
CRBP,dws.f,pk,alx.ax
,003495.ks,main,mtdr
,dva,pays,tiindia.ns
,pcor,bxrx,fr
,medp,omga,cflt
,2269.t,ofed,banb.sw
DGLY,7203.sr,apdn,megacpo.mx
,6488.two,rsvr,egp
EKSO,qholding.ae,aclx,ote.f
SLHG.V,mtdr,sonm,igm.to
,ctc.to,cogt,amp.mi
HZN,roku,pixy,spsn.sw
BVXV,kgha.f,phat,asrnl.as
ZKIN,5411.t,hyre,sol.ax
APDN,sbry.l,cprx,li.pa
,3092.t,rlj,9697.t
,slm.jo,xxii,3769.t
,0293.hk,bnl,jindalstel.ns
STRY,2609.tw,hifs,ake.pa
SONM,li.pa,annx,hog
,asels.is,mark,5411.t
,wal,gnca,itt
,glob,imrx,036570.ks
ECOR,kbr,xlo,dva
,tx,atex,heromotoco.ns
,egp,nrgv,irctc.ns
FCP.LS,2310.sr,tnxp,arw
FRETAIL.NS,arw,nnn,holm-b.st
,alx.ax,freq,8795.t
,9042.t,olma,4704.t
,cholafin.ns,rxdx,7gg.f
TNXP,mindtree.ns,acrs,bokf
IGC,spsn.sw,pnt,6479.t
,unionbank.ns,mdgl,txrh
,alv,hqi,cna.l
,npi.to,nymt,zomato.ns
,wcc,ohi,6488.two
,kog.ol,nuwe,ska-b.st
,nxst,rcat,sym
,caci,panl,twe.ax
,3034.tw,gern,isctr.is
SREINFRA.NS,n2iu.si,armp,mdka.jk
CFMS,st,bfri,cwen
,cna.l,east,sise.is
,klh.f,roic,aiz
,wdh1.f,fngr,wtb.l
FGI,fr,wrap,hdg.as
BOXL,emp-a.to,avgr,3p7.f
,nem.f,surf,2615.tw
OGEN,krtx,aadi,cae
,gpk,pcyg,3626.t
,bokf,isr,levi
,banb.sw,ubx,torntpharm.ns
LCI,clvt,cnce,ctc.to
DLPN,6586.t,bmra,1157.hk
,bmed.mi,uec,reyn
,fybr,inn,nep
,pb,aple,mur
,asrnl.as,avir,skx
VTGN,amp.mi,cala,cpfe3.sa
,ote.f,smti,st
,2615.tw,sbow,ingr
WTER,rxl.pa,cyn,medp
BSGM,halo,lxp,9532.t
,aiz,xair,industower.ns
,024110.ks,aiv,7211.t
,cwen,prds,wal
,heromotoco.ns,dice,
,tpx,nn,7020.sr
,ohi,lyra,cw
,txrh,cris,hrb
,gntx,brmk,garan.is
LODE,8601.t,evex,naukri.ns
SOS,7gg.f,phas,cnxc
ZYNE,nmdc.ae,imux,amkr
SIEN,gtlb,sndx,irdm
,hli,cbay,nvt
,knsl,ispc,gntx
,cae,pte,mhk
,mksi,prok,bid.jo
SCB.LS,bergepaint.ns,efoi,g07.si
,cpin.jk,ladr,n2iu.si
SIDU,tel2-a.st,selb,2357.tw
TBLT,rail3.sa,batl,6415.tw
,brx,rkda,wdh1.f
BBGI,voya,lctx,nem.f
DSS,sf,nuvl,wcc
,259960.ks,adc,259960.ks
ZEELEARN.NS,adc,next,hli
,hdg.as,tcda,i93a.f
,hog,caba,clh
INUV,wwe,drct,wch.f
,7181.t,ocgn,dws.f
SALM,x,vinc,sbry.l
,evd.f,peb,rrtl.f
MBOT,dxc,kzr,gme
,9697.t,bcab,6383.t
,sise.is,scyx,gnrc
,nvt,clxt,stwd
,3769.t,prpo,piind.ns
,2357.tw,brsp,goto.jk
,sobi.st,apld,3003.t
,upl.ns,ekso,9041.t
,rba,pev,rbc
,swn,qncx,trq
,nycb,repx,mro.l
,nclh,optt,0656.hk
,4091.t,pmvp,sf
,nep,ecbk,musa
REVRQ,holm-b.st,dea,soi.pa
BWEN,mur,elme,evd.f
PTN,isday,sckt,nclh
,levi,epr,reh.ax
,cmc,rei,6586.t
,ingr,igc,adc
CCEL,tih.to,lqda,sobi.st
LPCN,002555.sz,aura,xm
,clh,alxo,rba
,asnd,glyc,wfg
,g07.si,ecor,boschltd.ns
,onon,jagx,saia
,torntpharm.ns,trin,uty.f
,3626.t,ampx,knsl
MEGL,4704.t,rfl,nztcf
,6415.tw,dsgn,slm.jo
SOPA,ozl.ax,bkyi,tel2-a.st
,heln.sw,asti,pb
,wh,vrdn,wh
,prio3.sa,bsgm,mgy
,9532.t,agnc,phi
,rbc,life,chh
,bald-b.st,idn,dxc
,1590.tw,janx,srtransfin.ns
AUD,5332.t,watt,bzi.f
,1128.hk,vstm,024110.ks
,bkt.mc,strs,7181.t
XPL,mgy,capr,sgp.ax
,agnc,quik,pii
,algm,vigl,mdu
,stwd,vive,stag
AUMN,wwd,nvec,ozl.ax
PPSP.KH,stag,alt,trent.ns
IZEA,saia,oblg,2310.sr
BMIX,dds,zom,beij-b.st
BEAT,3038.t,tars,8601.t
,chh,wter,bean.sw
,6383.t,rlyb,tih.to
,adro.jk,bbig,edr
,trq,ovid,algm
,reyn,muln,377300.ks
,alk,mnrl,cib
,chx,rain,090430.ks
,nwl,amps,invr.l
,sgp.ax,trvn,cx
HRTG,2290.sr,acrx,lstr
AQB,cov.pa,bcli,bmed.mi
VAPO,bean.sw,sho,lnw
,cw,kulr,lodha.ns
AUGX,6479.t,lptv,dooo
,tpg.ax,sbra,lad
,lad,spro,flo
GRFX,amg,crbp,byd
,land.l,tcrt,ale.wa
,enlc,mnmd,9766.t
MEP.NS,rli,etnb,rh
AACG,dkng,aptx,fybr
,srtransfin.ns,srg,3034.tw
NYMX,gxo,imgo,kgha.f
,002007.sz,asns,saic
,irctc.ns,ruby,
TESS,motherson.ns,plym,hapv3.sa
NBIFIN.NS,nztcf,vcnx,clvt
,docs,rum,9064.t
SLDB,ofc,siga,dkng
NXTDIGITAL.NS,kfi1.f,vtgn,tpg.ax
BMRA,csan,cfrx,1548.hk
,iag.to,vrca,heln.sw
,mdu,cim,mat
,ned.jo,pstl,elan
GAIA,uwmc,eprt,5332.t
,hsz.f,akro,1128.hk
ADES,dooo,sidu,acc.ns
,lu,pepg,4768.t
,xm,lptx,1590.tw
,4021.t,indt,nycb
HMVL.NS,3037.tw,sint,tvsmotor.ns
ASPI,ctec.l,whlr,cpin.jk
AERC,2887.tw,sesn,voya
,gme,clsd,4922.t
,m,swkh,axfo.st
BLGO,iot,fsp,coup
RGS,tiindia.ns,xhr,2801.tw
,tol,trno,ned.jo
,9435.t,atha,crox
VNTR,peo.wa,gpmt,002007.sz
,boschltd.ns,ptn,4204.t
OCX,ssb,lumo,iag.to
AKBA,elan,lode,dsgx
,osk,cycn,lumn
,edr,atnm,rxl.pa
,map.mc,mtnb,pageind.ns
KOSS,mgr.ax,blgo,tx
,bami.mi,pik,son
,fsv,ppta,pdce
,pii,pcyo,4005.t
,2801.tw,gty,ash
,7951.t,koss,nfg
,ssab-b.st,virx,amg
SCP.LS,ntnx,hpk,ofc
,car-un.to,nuze,2290.sr
,pdce,olb,nykaa.ns
,4204.t,agrx,geti-b.st
ELVT,vvv,chct,ctec.l
,nati,crmd,rail3.sa
,3283.t,yten,9435.t
,lfus,clsn,mgr.ax
,isctr.is,vera,embrac-b.st
PAVM,9602.t,rgld,m
BALAJITELE.NS,musa,ht,dxs.ax
,ppc,drh,motherson.ns
,faf,zyne,jswenergy.ns
KAVL,lumn,vyne,axta
CULP,lodha.ns,crvs,2887.tw
PLX,lstr,onl,slgn
,wfg,rgls,timb
,byd,gmre,cacc
,konn.f,scph,2638.hk
,kgc,skyx,land.l
,crfb3.sa,immr,apls
,ash,ac,exls
,ehc,avxl,dnb
GNPX,leg.de,antx,tpx
,rrc,eqc,map.mc
NECLIFE.NS,oled,fpi,rli
RAIL,ctpnv.as,ltc,src
RCAT,9041.t,avte,
,mlco,stsa,ssb
,egie3.sa,nog,alk
,aden.sw,kmph,agnc
APYX,coup,rebn,cr
ATIP,cr,sava,ehc
,dsgx,rave,prio3.sa
,industower.ns,ptpi,crfb3.sa
,piind.ns,pulm,emi.si
,beij-b.st,bsig,8046.tw
,axta,znog,kfi1.f
,raw.f,dc,m44u.si
,awc.bk,feam,lfus
VTVT,uty.f,lase,tol
EMAN,2588.hk,rmed,3jda.f
,4768.t,pdsb,indhotel.ns
,naukri.ns,svra,x
,hun,iipr,tom.ol
,bsl.ax,urg,cov.pa
RCOM.NS,3003.t,aim,tecn.sw
,son,gato,estc
PIRS,352820.ks,xpon,1402.tw
,bdsb.f,cinc,cybr
,bld,mdv,cmc
RPID,site,dare,ypf
,sek.ax,hepa,ayi
,geti-b.st,blph,nyt
,hapv3.sa,mbot,x.to
SSL.MI,run,lwlg,hcp
,edv.to,atom,csan
BORG.ST,smds.l,nhi,egie3.sa
,flo,hsdt,concor.ns
,dxs.ax,dx,ubl.ns
,4005.t,sach,opch
,8952.t,asrt,osk
,az2.f,lgvn,ppc
,iel.ax,ampe,vly
,mol.bd,apcx,gbci
8737.T,axfo.st,bntc,wwd
,src,ient,mksi
SPENCERS.NS,emi.si,trul,000800.sz
,hrb,mgam,az2.f
,2408.tw,nnvc,gpt.ax
,auy,vgz,nwl
,gpt.ax,sprb,2408.tw
DLA,invr.l,lmpx,onon
FLXS,2638.hk,tpst,3038.t
,m44u.si,gnpx,enlc
ORN,cpf.bk,glpi,chx
KINZ,eqtl3.sa,cldt,chrd
,mng.l,alnaq,4062.t
,cflt,vktx,bkt.mc
ASIANTILES.NS,ac.to,dffn,cig
KNW,r90.f,sdig,faf
,tixt,ctre,awc.bk
ROOT,bros,thrd,ssab-b.st
OWLT,lnw,cing,smar
,apls,adil,bsl.ax
AXDX,9766.t,ctxr,efn.to
,nvst,lpcn,qdel
EBIXFOREX.NS,sim,hlvx,car-un.to
CWEB.TO,blco,knw,mpl.ax
,vac,blbx,nvst
,slgn,seel,pnfp
,saic,wwr,dtm
,soi.pa,abos,aden.sw
,tvsmotor.ns,ontx,vvv
VSTM,colm,biaf,edu
,yal.ax,frph,1812.t
PET,abbotindia.ns,ltrn,9684.t
,iq,aldx,bepc
,snv,aemd,mp
,exls,adxs,cccs
,sigi,astc,c09.si
,fti,ped,osh
MNTS,bc,sngx,site
,tit.mi,cocp,4938.tw
,pnfp,fcuv,sim
SY,1402.tw,frzt,knbe
TMQ,pspn.sw,blte,eqtl3.sa
FLNT,stn,snoa,gxo
EXPR,cohr,xoma,mol.bd
,vly,btbt,oled
,weir.l,phio,stn
,dnb,hscs,fcn
,besi.as,siox,airc
LMPX,svw.ax,enob,kgc
PWFL,tkr,hgen,pghh.ns
,4938.tw,whsi,bald-b.st
,2327.tw,arec,cpf.bk
,cgpower.ns,ttnp,wwe
TMDI,efn.to,sls,quinenco.sn
,wor.ax,atlx,fsv
SLQT,ions,mnov,lnc
,gtls,mara,pspn.sw
CODX,cig,rlmd,patanjali.ns
,nfg,soho,ida
ENZ,3462.t,cdzi,konn.f
VNCE,vrt,erna,2588.hk
APPH,x.to,cifr,wu
FTK,wrt1v.he,sobr,bwxt
HEXO,nyt,otlk,colm
SLBEN.LS,htz,tphs,vac
,rxdx,lucy,snv
,3635.t,onvo,yal.ax
RADIOCITY.NS,tecn.sw,galt,ions
,gwre,alrn,polycab.ns
ORIENTPPR.NS,embrac-b.st,mnpr,post
,phi,cei,lanc
,vas.f,nerv,
,3jda.f,kavl,blco
,tal,olp,002555.sz
,bdev.l,brt,novt
,sk.pa,maia,aubank.ns
,4922.t,vtvt,smds.l
FSTR,ebo.nz,nvct,2327.tw
,valmt.he,cnxa,ctpnv.as
,tom.ol,scwo,bez.l
,thc,tivc,7912.t
,psn.l,aerc,muthootfin.ns
WRAP,fcn,atos,3618.hk
LAKE,pr,loan,3635.t
,chrd,onfo,dds
,qdel,ensc,auy
FARM,gil,wulf,cwan
,4250.sr,frza,bc
CPS,garan.is,inva,unvr
GHM,ayi,age,gwre
,trex,xpl,nsa
PARKEN.CO,pri,albt,weir.l
,3618.hk,ogen,ykbnk.is
,smar,beat,4739.t
,timb,neov,mndy
,car.ax,anix,1802.t
EYPT,9064.t,usau,sigi
,pghh.ns,hoth,htz
,pbf,qnrx,ebo.nz
LEE,zomato.ns,evok,bros
,9684.t,nxrt,iaa
,mpl.ax,husa,hun
,knbe,pxmd,2633.tw
KOKUYOCMLN.NS,tkwy.as,inkw,hqy
IFRX,falabella.sn,gnl,iel.ax
,post,bkuh,6669.tw
,wu,pmt,msa
,000800.sz,hils,cln.sw
,1812.t,nref,expo
,gbci,mmlp,ryn
,cln.sw,cion,abbotindia.ns
TTCF,pageind.ns,ptmn,svw.ax
,ubsi,oxsq,ensg
,hcp,capl,ubsi
,vnom,gbtc,mng.l
,qbr-b.to,rjf,irfc.ns
,ald.pa,chg,wor.ax
,zyduslife.ns,hep,sek.ax
USDP,lanc,vtsi,schaeffler.ns
,ensg,vnom,edv.to
,cwan,dcp,raw.f
,pvh,aht,so.pa
HITI,acc.ns,,9147.t
BRG-B.ST,4739.t,ntst,leg.de
KGH.L,hgty,dkl,vrt
USX,2350.sr,acre,nati
,am,hesm,aaf.l
,onb,prme,roiv
,unvr,scm,aqua
,2379.tw,grna,exel
PRTK,ida,spb,bami.mi
,airc,iiin,pri
,quinenco.sn,dmlp,isdmr.is
,lyi.f,adbe,2350.sr
,jswenergy.ns,dgica,bld
HIMATSEIDE.NS,gf.sw,apre,wrt1v.he
,c09.si,ajx,ald.pa
,hl.l,lft,tkr
IMPAL.NS,aaf.l,met,penn
,val,ari,hekts.is
,cccs,aspi,fti
,2633.tw,body,mlco
,novt,lrfc,fivn
,key.to,west,am
BODALCHEM.NS,mdgl,land,cohr
,9107.t,gain,cgpower.ns
ASTR,ufpi,hpco,vnom
,so.pa,atnf,colpal.ns
,nsa,good,ashokley.ns
STERTOOLS.NS,fhzn.sw,tslx,exp
MTNB,irfc.ns,glad,car.ax
,indhotel.ns,arl,tixt
EHTH,hp,acva,4250.sr
,lnc,pine,mcy.ax
,fsk,nrxp,astral.ns
,iaa,rtl,lhcg
,wtfc,mplx,trex
,lun.to,rway,besi.as
,4062.t,efc,fhzn.sw
,bez.l,opi,akbnk.is
,concor.ns,earn,onb
,rf.pa,cqp,hl.l
,exp,cmtg,bharatforg.ns
NAVKARCORP.NS,cacc,mitt,gil
SRIPIPES.NS,ashokley.ns,lsxmb,gtls
BBIG,hxl,ddi,ac.to
SUP,exel,alps,pr
TSQ,7211.t,batrk,7261.t
,balkrisind.ns,lbrda,gps
,mcy.ax,cntx,ala.to
,msa,iaux,hp
,dtm,jewl,9107.t
,grumab.mx,safe,ufpi
GEPIL.NS,bepc,gmgt,tsem
,dsy.jo,sar,valmt.he
RDW,ne,fsk,ora
PFS.NS,ubl.ns,me,wts
LOOP,wts,blde,7911.t
ARC,opch,slrc,balkrisind.ns
7106.KL,asai,psec,zyduslife.ns
,086280.ks,slam,alit
,cnm,sym,2379.tw
,muthootfin.ns,bxmt,wtfc
,bwxt,usdp,nhpc.ns
,mp,aust,dksh.sw
,trent.ns,wlkp,gf.sw
,ryn,edbl,peo.wa
IUR.F,lyft,uht,fsk
ALLT,fr.pa,affs,pbf
,2702.t,fnd,asai
NYXH,011170.ks,crbg,2618.tw
PEXIP.OL,schaeffler.ns,flxs,lyi.f
,1802.t,cptn,ffin
,aqua,abml,wen
OFED,eeft,arr,itci
,patanjali.ns,sg,bdsb.f
,0489.hk,coya,2702.t
SMLISUZU.NS,bc8.f,gpp,igt
,ipgp,bepc,wix
CIA,7912.t,asa,352820.ks
,rcm,vtyx,hsv.l
NAK,flr,slp,lun.to
,ldo.mi,gecc,9001.t
,four,ints,hxl
,stvn,bcsf,cnm
ORIC,3281.t,kinz,thc
LTRPA,civi,oz,flr
,shc,lipo,0489.hk
,dksh.sw,refi,por
,expo,vine,tataelxsi.ns
,gol,rxo,086280.ks
,cere,krp,6305.t
COFFEEDAY.NS,hgv,kref,lu
INSG,aubank.ns,gbdc,hgv
POLL.JK,isdmr.is,aezs,bdev.l
,fivn,ncpl,ait
AVAH,rei-un.to,kyn,bandhanbnk.ns
,penn,bhr,krg
,6060.hk,pfhc,thg
VRA,aalb.as,fwonk,psn
,orcc,cvm,psn.l
,mndy,cet,rhp
CDLX,cc,acr,calx
,hqy,sal,cumminsind.ns
TIG,ob8.f,orcc,five.me
FNWB,ora,sclx,tkwy.as
YELL,lhcg,svc,iart
TWIN,kgx.de,pagp,aqn
,fn,tci,7747.t
,2618.tw,epd,4190.sr
,hekts.is,glue,atkr
,7276.t,wn.to,qbr-b.to
,atkr,bam,ig.mi
,pirc.mi,mga,bezq.ta
,bci.sn,emp-a.to,erg.mi
,4967.t,atd.to,mtsi
,alit,td,bci.sn
BBXIA,colpal.ns,ry,bc8.f
,ffin,bns,krc
,slab,tu,spsc
,ala.to,mru.to,orcc
,1102.tw,gib,eng.mc
,pwsc,tixt,njr
,bpop,wsp.to,r90.f
,jbfcf,gil,civi
,8046.tw,bce,bankindia.ns
,prgo,cm,jbfcf
UFI,cumminsind.ns,bmo,wing
,hsv.l,mfc,axs
,txg,snc.to,cc
NGL,bankindia.ns,lulu,infa
,jmat.l,na.to,7276.t
KUANTUM.NS,bharatforg.ns,ac.to,coke
,6753.t,pwf-ps.to,6753.t
,cmin3.sa,tfii,key.to
7153.KL,fpe.f,gwo.to,ozk
OXSQ,njr,lnr.to,grumab.mx
,polycab.ns,ifc.to,swx
,igt,ccl-b.to,rei-un.to
,evr,stn,9719.t
,3888.hk,fsv,2380.sr
GENC,blda.f,tri,fpe.f
IVAC,nykaa.ns,cni,srcl
,rey.mi,ntr,neoen.pa
FOSECOIND.NS,wen,rci,1030.sr
,tho,dooo,ori.ax
,astral.ns,bhc,smci
RANEHOLDIN.NS,2380.sr,gfl,fn
AGFS,ozk,cls,dava
SRT,estc,sap.to,ldo.mi
,wb,cigi,idfcfirstb.ns
WPRT,utg.l,su,amn
,pfc.ns,ffh.to,stvn
,inco.jk,csh-un.to,3141.t
,9706.t,otex,vno
APTECHT.NS,wix,csiq,pycr
,cybr,mfi.to,1102.tw
,9147.t,ctc.to,bpop
,five.me,bbd-b.to,fras.l
GLT,gubrf.is,cp,emmn.sw
,ua,cae,jmat.l
,srcl,blco,slab
KITEX.NS,002607.sz,wfg,drvn
,por,enb,rey.mi
,ait,teck,
,nhpc.ns,byd.to,rf.pa
RCEL,wcp.to,shop,vas.f
,ate.pa,cnq,msm
,thg,sjr,002607.sz
CRMD,apg,fts,homb
,dec.pa,dntl.to,rcm
XL,9719.t,tcl-a.to,4967.t
,5347.two,nwc.to,9007.t
SKIPPER.NS,fnb,cfp.to,dsy.jo
NTP,al,mtl.to,utg.l
,4190.sr,paas,sk.pa
ASRT,dlo,trp,ipgp
,axs,rfp,aak.st
,tsem,aem,eeft
,vno,atz.to,pfc.ns
ACTG,iart,tih.to,inco.jk
SANDHAR.NS,tataelxsi.ns,aco-x.to,azta
HURC,spsc,h.to,val
,krc,atco,ne
SAMG,fra.de,ata.to,blda.f
OPAD,arg.ax,cve,scha.ol
,homb,qsr,tdoc
,hfg.de,imo,esi
,bandhanbnk.ns,uns.to,aalb.as
,trno,iag,ob8.f
IMFA.NS,ori.ax,cu.to,lpx
WHEELS.NS,9001.t,lun.to,mrl.mc
RLYB,ig.mi,goos,pvh
,hot.f,alya,bkh
PFMT,bezq.ta,ifp.to,tit.mi
INFU,1030.sr,trq,indianb.ns
MRMD,zlab,aqn,ltmaq
FREE,0b2.f,pds,falabella.sn
,kozal.is,bb,arg.ax
,6305.t,rus.to,rxdx
HMPT,mrl.mc,cgc,sndr
HUHTAMAKI.NS,bkh,lb.to,fizz
,7pz.f,ala.to,tenb
,drvn,rch.to,be
,ghitha.ae,astl,hsx.l
AYRWF,mphasis.ns,rba,tko.pa
ISBIR.IS,esi,cwb.to,you
,tko.pa,aif.to,abcapital.ns
AIRS,gds,wpk.to,box
ZTEK,tka.f,efn.to,tq71.f
OLG.PA,rhp,tk,mei.jo
,emmn.sw,sj.to,honaut.ns
RPGLIFE.NS,gps,ero,boka.as
,cade,ssrm,4751.t
,7911.t,cixx,0b2.f
,wk,merc,fr.pa
ASHIANA.NS,omf,pba,apg
SASKEN.NS,akbnk.is,gsy.to,me8u.si
TELA,temn.sw,stlc.to,ate.pa
DHAMPURSUG.NS,powi,bdgi.to,he
REPCOHOME.NS,eng.mc,cgg.to,mphasis.ns
MTNL.NS,leg,ses.to,qlys
MHLD,mtpof,toy.to,nsp
EXCELINDUS.NS,imi.l,efxt,tho
ELLO,crus,sftc.to,nmdc.ns
INDORAMA.NS,sha.f,mty.to,fnb
,hsx.l,agi,den
ARAY,inch.l,tnk,godrejprop.ns
,rem.jo,engh.to,alkem.ns
,mrf.ns,vff,trno
QUAD,infa,and.to,gujgasltd.ns
,cast.st,wprt,dplm.l
,idfcfirstb.ns,fn.to,tpro.mi
,he,tlry,w
OAL.NS,me8u.si,vln.to,wcp.to
,3141.t,cjt.to,7pz.f
,psn,adw-a.to,3291.t
,nvei,x.to,pph.jo
STRS,coke,bei-un.to,mms
,sid,smts,tgna
,4751.t,stkl,ua
FNGR,w,nvei,5347.two
JOAN,iac,eqb.to,ajrd
PLG,foxf,acb,9863.hk
,krg,lev,wk
,icp.l,meoh,rem.jo
,aak.st,tac,vbk.f
LL,hwdn.l,exk,pirc.mi
,nmdc.ns,car-un.to,2888.tw
KCP.NS,erg.mi,swir,011170.ks
,u96.si,key.to,leg
GRNA,7261.t,tcx,sam
,h5p.f,hiti,mft.nz
,r,drtt,man
KINGFA.NS,at1.f,tcn,sm
WENDT.NS,ati,ogi,cade
,mei.jo,silv,pwsc
SDC,jysk.co,einc.to,gol
CAAS,9007.t,cpx.to,bmbl
,seb,cpg,3888.hk
DNMR,7747.t,trssf,four
,tpro.mi,dcbo,peco
SHALBY.NS,ltmaq,vet,mtpof
,bvt.jo,svi.to,wb
,lpx,xbc.to,9706.t
,aqn,ccj,cwst
,mnso,imax,u96.si
SHANKARA.NS,boka.as,cron,omf
IMMP,ntra,rei-un.to,xpo
LCUT,tq71.f,sndl,r
MPSLTD.NS,2888.tw,blx.to,sahol.is
,vc2.si,ecn.to,sha.f
,mf.pa,ine.to,asgn
KMDA,cin.f,lgo,sji
,husq-a.st,pou.to,al
,itci,tsat,fluorochem.ns
CSTE,scha.ol,gei.to,gh
,tnet,wcp.to,crus
,lec.f,abcl,bvt.jo
,you,iip-un.to,
,kinv-a.st,erf,powi
TCMD,6669.tw,mux,toi.v
,boss.de,meg.to,atco
SMLR,mtsi,brag,vakbn.is
,tgna,pxt.to,bucn.sw
