01-DDD-change1y,00-avengers-change_1_year,04-iGMM-change_1year
-39.12_perc,4.12_perc,
-32.14_perc,43.36_perc,
-8.65_perc,-26.11_perc,-27.12_perc
13.05_perc,-23.60_perc,
4.03_perc,-20.13_perc,14.04_perc
23.56_perc,-9.63_perc,-24.88_perc
12.61_perc,-30.86_perc,-19.75_perc
none,-32.41_perc,9.54_perc
-42.22_perc,-12.17_perc,62.06_perc
-20.57_perc,-58.81_perc,3.74_perc
-52.03_perc,41.67_perc,-16.22_perc
-37.18_perc,-14.31_perc,-43.15_perc
-31.52_perc,-17.13_perc,
-42.14_perc,-11.30_perc,
-27.99_perc,22.00_perc,
-51.59_perc,9.06_perc,
47.61_perc,14.73_perc,-26.81_perc
3.87_perc,-64.52_perc,
37.50_perc,-4.94_perc,
-42.02_perc,-14.92_perc,
-63.94_perc,-60.20_perc,-33.78_perc
0.65_perc,8.69_perc,5.23_perc
-23.80_perc,-21.67_perc,
-15.95_perc,-6.06_perc,
-33.91_perc,-49.10_perc,
22.81_perc,-17.59_perc,
-71.45_perc,7.63_perc,-30.40_perc
33.33_perc,17.90_perc,-2.75_perc
-0.23_perc,9.54_perc,-4.15_perc
-12.50_perc,-25.16_perc,-11.84_perc
247.20_perc,-13.68_perc,15.68_perc
-17.25_perc,20.86_perc,9.24_perc
0.00_perc,-82.88_perc,2.16_perc
-24.34_perc,19.80_perc,
3.36_perc,-24.93_perc,-2.32_perc
-33.37_perc,19.30_perc,-1.63_perc
-10.64_perc,23.71_perc,-23.03_perc
-13.80_perc,-25.21_perc,-25.87_perc
none,11.63_perc,-50.74_perc
-37.73_perc,-24.38_perc,
-39.01_perc,-0.91_perc,
-50.53_perc,50.25_perc,
-18.26_perc,15.68_perc,
0.25_perc,-23.69_perc,-38.57_perc
-57.55_perc,76.52_perc,-15.03_perc
-20.36_perc,-14.11_perc,
56.10_perc,-19.40_perc,
-29.79_perc,-11.05_perc,-63.24_perc
309.15_perc,10.31_perc,-21.90_perc
-43.45_perc,-4.94_perc,-39.93_perc
0.09_perc,-33.33_perc,-23.33_perc
-45.15_perc,-50.82_perc,-34.22_perc
66.67_perc,8.67_perc,
-7.15_perc,-2.08_perc,
-39.20_perc,7.42_perc,-35.27_perc
-4.76_perc,-7.04_perc,
1.72_perc,-27.33_perc,35.02_perc
-69.59_perc,-61.78_perc,
-18.00_perc,-3.07_perc,
-20.00_perc,-20.23_perc,-26.45_perc
0.83_perc,2.49_perc,55.73_perc
-15.77_perc,7.90_perc,
-8.06_perc,4.75_perc,-40.37_perc
-40.78_perc,-19.47_perc,-27.60_perc
-24.66_perc,2.53_perc,1.22_perc
-22.14_perc,34.76_perc,-21.21_perc
148.72_perc,-25.06_perc,-27.43_perc
-4.75_perc,26.00_perc,-32.66_perc
-35.54_perc,-43.92_perc,-7.48_perc
30.23_perc,-8.94_perc,
-2.69_perc,-21.51_perc,-23.96_perc
2.92_perc,-11.99_perc,-25.81_perc
-15.15_perc,-31.22_perc,
-44.85_perc,-24.27_perc,
26.55_perc,-24.04_perc,
10.23_perc,-4.30_perc,20.66_perc
3.68_perc,-19.62_perc,-18.46_perc
9.52_perc,-4.90_perc,
-27.29_perc,16.79_perc,
-33.47_perc,25.63_perc,-9.43_perc
-42.91_perc,11.53_perc,-14.83_perc
-31.75_perc,-56.31_perc,60.93_perc
-55.15_perc,38.78_perc,-11.71_perc
-36.67_perc,-51.58_perc,-11.01_perc
-5.18_perc,-22.84_perc,-17.27_perc
-28.09_perc,8.04_perc,-32.16_perc
none,-54.32_perc,
-16.18_perc,-15.17_perc,-2.37_perc
-22.81_perc,-91.48_perc,-44.21_perc
-35.37_perc,-21.45_perc,7.69_perc
-5.79_perc,-9.04_perc,-17.07_perc
-10.89_perc,-0.55_perc,-16.07_perc
-15.43_perc,14.37_perc,-7.00_perc
-3.23_perc,-13.66_perc,
-12.28_perc,-22.06_perc,
33.14_perc,-33.10_perc,-2.82_perc
-14.13_perc,10.91_perc,
-14.34_perc,-19.14_perc,
-57.70_perc,2.88_perc,
0.72_perc,24.15_perc,
20.83_perc,3.97_perc,
-20.60_perc,-3.97_perc,31.11_perc
39.31_perc,-28.77_perc,111.26_perc
1.78_perc,2.28_perc,-35.38_perc
-24.06_perc,-25.24_perc,-22.36_perc
-13.97_perc,8.76_perc,93.40_perc
1.23_perc,-3.74_perc,-37.58_perc
-5.33_perc,12.14_perc,-14.56_perc
-8.71_perc,-15.18_perc,
-30.45_perc,,
-36.21_perc,-5.94_perc,-18.81_perc
-3.28_perc,-13.40_perc,-40.03_perc
-24.08_perc,-65.72_perc,-9.13_perc
-51.14_perc,15.47_perc,-43.01_perc
10.94_perc,6.84_perc,-14.90_perc
25.68_perc,6.03_perc,
-22.02_perc,8.00_perc,-33.89_perc
0.00_perc,23.31_perc,
-40.52_perc,-21.35_perc,-30.42_perc
