00-avengers-market_cap,03-gren-market_capitalization_usd,01-DDD-marketcap,04-iGMM-marketcap,05-MalPatSaj-marketcap,09-wissel-marketcap,06-MarScoToc-master_cap,02-GioPonSpiz-pricecap
doll_88.10 b,125300000000.0,doll_2.85 b,,doll_122.63 b,doll_0.15 b,doll_126.35 b,doll_128.29 b
doll_87.19 b,125290000000.0,doll_2.84 b,,doll_122.28 b,doll_2.19 b,doll_123.67 b,doll_127.61 b
doll_90.17 b,124020000000.0,doll_2.84 b,,doll_122.03 b,doll_60.60 b,doll_123.22 b,doll_126.64 b
doll_90.96 b,123030000000.0,doll_2.85 b,,doll_122.02 b,doll_1.56 b,doll_123.10 b,doll_126.29 b
doll_91.80 b,122450000000.0,doll_2.84 b,doll_42.66 B,doll_121.55 b,doll_4.80 b,doll_122.11 b,doll_125.69 b
doll_91.49 b,121520000000.0,doll_2.82 b,doll_42.84 B,doll_121.22 b,doll_1.03 b,doll_122.01 b,doll_125.51 b
doll_92.00 b,121330000000.0,doll_2.85 b,doll_42.14 B,doll_120.21 b,doll_11.79 b,doll_121.34 b,doll_124.31 b
doll_93.28 b,120350000000.0,doll_2.85 b,,,doll_12.79 b,doll_120.91 b,doll_124.26 b
doll_93.10 b,120050000000.0,doll_2.86 b,,doll_117.68 b,doll_2.90 b,doll_120.75 b,doll_123.57 b
doll_92.04 b,118560000000.0,doll_2.86 b,,doll_117.56 b,doll_0.58 b,doll_120.59 b,doll_123.07 b
doll_94.93 b,117870000000.0,doll_2.85 b,,doll_117.29 b,doll_22.37 b,doll_120.56 b,doll_122.91 b
doll_94.57 b,117800000000.0,doll_2.85 b,doll_43.11 B,doll_116.62 b,doll_2.82 b,doll_119.91 b,doll_122.64 b
doll_94.99 b,117650000000.0,doll_2.86 b,,doll_116.58 b,doll_0.23 b,doll_117.38 b,doll_120.80 b
doll_95.45 b,113590000000.0,doll_2.85 b,,doll_116.02 b,doll_0.51 b,doll_116.17 b,doll_119.81 b
doll_98.93 b,113550000000.0,doll_2.87 b,,doll_115.28 b,doll_0.27 b,doll_114.51 b,doll_119.63 b
doll_96.20 b,113320000000.0,doll_2.87 b,doll_43.40 B,doll_115.15 b,doll_5.46 b,doll_114.48 b,doll_118.15 b
doll_102.13 b,112210000000.0,doll_2.89 b,,doll_115.03 b,doll_5.73 b,doll_114.31 b,doll_117.88 b
doll_100.03 b,110840000000.0,doll_2.89 b,,doll_113.80 b,doll_1.30 b,doll_113.37 b,doll_116.38 b
doll_102.65 b,110470000000.0,doll_2.89 b,,doll_112.22 b,,doll_113.28 b,doll_115.35 b
doll_102.68 b,109910000000.0,doll_2.88 b,,doll_112.19 b,doll_10.36 b,doll_112.97 b,doll_114.47 b
doll_103.02 b,108580000000.0,doll_2.88 b,doll_34.50 B,doll_111.13 b,doll_1.16 b,doll_111.82 b,doll_113.48 b
doll_102.87 b,107670000000.0,doll_2.89 b,doll_34.50 B,doll_110.87 b,doll_2.16 b,doll_111.07 b,doll_112.91 b
doll_105.90 b,107550000000.0,doll_2.89 b,doll_34.47 B,doll_110.09 b,doll_1.00 b,doll_110.90 b,doll_112.52 b
doll_105.29 b,107450000000.0,doll_2.88 b,,doll_107.88 b,doll_0.49 b,doll_108.91 b,doll_110.82 b
doll_105.71 b,104370000000.0,doll_2.87 b,doll_34.62 B,doll_107.27 b,doll_0.53 b,doll_108.05 b,doll_110.46 b
doll_107.07 b,103540000000.0,doll_2.87 b,,doll_106.86 b,doll_3.29 b,doll_107.62 b,doll_108.39 b
doll_108.84 b,103120000000.0,doll_2.90 b,doll_34.79 B,doll_105.69 b,doll_0.16 b,doll_107.21 b,doll_108.20 b
doll_107.08 b,101890000000.0,doll_2.91 b,,doll_104.90 b,doll_26.22 m,doll_106.83 b,doll_107.75 b
doll_107.94 b,101730000000.0,doll_2.90 b,,doll_104.80 b,doll_9.75 b,doll_106.64 b,doll_107.46 b
doll_108.98 b,101530000000.0,doll_2.88 b,,doll_102.36 b,doll_4.98 b,doll_105.37 b,doll_107.19 b
doll_109.16 b,99620000000.0,doll_2.88 b,,doll_102.32 b,doll_0.99 b,doll_105.05 b,doll_106.16 b
doll_111.66 b,99460000000.0,doll_2.93 b,,doll_101.84 b,doll_3.35 b,doll_104.11 b,doll_105.95 b
doll_111.96 b,98830000000.0,doll_2.91 b,,doll_101.36 b,doll_1.69 b,doll_103.08 b,doll_103.84 b
doll_113.15 b,98610000000.0,doll_2.91 b,,doll_100.58 b,doll_6.04 b,doll_102.45 b,doll_103.07 b
doll_113.81 b,96970000000.0,doll_2.92 b,,doll_100.44 b,doll_1.71 b,doll_101.71 b,doll_101.78 b
doll_114.09 b,96780000000.0,doll_2.92 b,,doll_100.28 b,doll_1.05 b,doll_101.60 b,doll_101.31 b
doll_115.00 b,95580000000.0,doll_2.93 b,,doll_99.17 b,doll_14.43 b,doll_100.47 b,doll_100.55 b
doll_114.59 b,95550000000.0,doll_2.92 b,,doll_98.79 b,doll_4.89 b,doll_98.95 b,doll_99.04 b
doll_115.97 b,94980000000.0,doll_2.93 b,,doll_97.43 b,doll_3.98 b,doll_98.38 b,doll_98.71 b
doll_115.89 b,94130000000.0,doll_2.93 b,doll_33.97 B,doll_96.05 b,doll_2.59 b,doll_97.62 b,doll_98.32 b
doll_117.12 b,93710000000.0,doll_2.93 b,,doll_95.03 b,doll_20.94 b,doll_96.96 b,doll_98.03 b
doll_117.22 b,92880000000.0,doll_2.93 b,,doll_94.32 b,doll_31.14 b,doll_96.53 b,doll_96.68 b
doll_120.11 b,92540000000.0,doll_2.92 b,doll_28.99 B,doll_94.16 b,doll_1.19 b,doll_95.46 b,doll_96.40 b
doll_120.50 b,91830000000.0,doll_2.91 b,,doll_91.95 b,doll_7.07 b,doll_94.27 b,doll_96.06 b
doll_120.57 b,91630000000.0,doll_2.92 b,doll_29.25 B,doll_91.85 b,doll_4.86 b,doll_94.15 b,doll_95.92 b
doll_121.37 b,90970000000.0,doll_2.93 b,doll_29.45 B,doll_91.61 b,doll_0.61 b,doll_92.75 b,doll_95.34 b
doll_120.89 b,90620000000.0,doll_2.94 b,,doll_89.99 b,doll_1.04 b,doll_92.55 b,doll_94.29 b
doll_122.12 b,89930000000.0,doll_2.95 b,,doll_89.05 b,doll_74.45 m,doll_91.90 b,doll_94.20 b
doll_122.88 b,89730000000.0,doll_2.95 b,,doll_89.01 b,doll_0.28 b,doll_91.54 b,doll_94.03 b
doll_123.07 b,89720000000.0,doll_2.93 b,,doll_88.92 b,doll_12.69 b,doll_91.48 b,doll_93.01 b
doll_122.92 b,88010000000.0,doll_2.95 b,doll_29.63 B,doll_87.43 b,doll_2.34 b,,doll_92.83 b
doll_75.56 b,87180000000.0,doll_2.94 b,,doll_87.30 b,doll_5.14 b,doll_90.73 b,doll_91.57 b
doll_76.63 b,85660000000.0,doll_2.94 b,doll_29.66 B,doll_87.09 b,doll_0.60 b,doll_90.36 b,doll_91.49 b
doll_77.08 b,84790000000.0,doll_2.93 b,doll_29.70 B,doll_86.89 b,doll_0.11 b,doll_90.16 b,doll_90.87 b
doll_77.51 b,84530000000.0,doll_2.95 b,,doll_86.20 b,doll_3.59 b,doll_89.24 b,doll_90.60 b
doll_77.98 b,84290000000.0,doll_2.95 b,,doll_85.49 b,doll_0.49 b,doll_88.79 b,doll_89.68 b
