,column_name,type_of_data,type_of_string,avg_mon_values (0 if not monetary),avg_length_of_field,var_length,std_dev_length,ratio_white_space_length,ratio_num_val,is_country,is_sector,min_val(int),max_val(int),avg(int),variance,std_dev,incremetal_int,is_year
144,valuetoday-annual_results_for_year_ending,0,6,0.0,18.936063936063935,56.151756335572216,7.493447560073548,0.09232767232767176,0.2732800532800516,0,0,0.0,0.0,0.0,0.0,0.0,0,0
145,valuetoday-employees_2022,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,31.0,1335000.0,29763.883720930233,9487034675.863562,97401.41003016107,2,0
146,valuetoday-sector,0,6,0.0,13.785214785214785,19.463357821000315,4.411729572514652,0.03490813339810271,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0
147,valuetoday-market_value_jan_2020,0,4,0.28187805194805193,16.91708291708292,33.92419368842991,5.824447929926913,0.06448653313684807,0.48403883828459426,0,0,0.0,0.0,0.0,0.0,0.0,0,0
148,valuetoday-market_value_jan_2021,0,4,0.046899630369630366,16.91908091908092,33.16727827616982,5.759103947331548,0.06437255023324104,0.4850195981340715,0,0,0.0,0.0,0.0,0.0,0.0,0,0
149,valuetoday-annual_revenue_usd,0,4,5.168016879120884,12.285714285714286,20.98330241187405,4.580753476435296,0.07358344656047006,0.38405201562044333,0,0,0.0,0.0,0.0,0.0,0.0,0,0
150,valuetoday-annual_net_income_usd,0,4,0.4964537602397608,11.566433566433567,9.841990177654601,3.1371946349652267,0.07589616475644283,0.35717247511229316,0,0,0.0,0.0,0.0,0.0,0.0,0,0
151,valuetoday-founded,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1786.0,2020.0,1972.0963455149501,2114.0870630566988,45.97920250566226,2,1
152,valuetoday-founders,0,6,0.0,28.322677322677322,443.01376146331154,21.047892090737058,0.09827136344736741,4.44000444000444e-05,0,0,0.0,0.0,0.0,0.0,0.0,0,0
153,valuetoday-revenue,0,4,-3.872385494505494,15.765234765234766,29.32250766216813,5.415026099860289,0.06900432662084872,0.4476281279805284,0,0,0.0,0.0,0.0,0.0,0.0,0,0
154,valuetoday-market_capitalization_2022,0,4,3.3200782217782225,14.211788211788212,27.24785304605467,5.219947609512443,0.07251920980192712,0.4114380631763239,0,0,0.0,0.0,0.0,0.0,0.0,0,0
155,valuetoday-total_assets_in_usd,0,4,0.11297836363636371,17.03796203796204,31.26729015240543,5.591716208142669,0.0637170115192103,0.49026390784631807,0,0,0.0,0.0,0.0,0.0,0.0,0,0
156,valuetoday-total_equity_in_usd,0,4,0.18722682017982037,15.746253746253746,29.615932519029066,5.442052234132732,0.06911168817925922,0.4463506522649903,0,0,0.0,0.0,0.0,0.0,0.0,0,0
157,valuetoday-total_liabilities_in_usd,0,4,0.1584106403596407,15.778221778221779,28.156608626138905,5.306280111918226,0.06864861005720217,0.4508111195423821,0,0,0.0,0.0,0.0,0.0,0.0,0,0
158,wikipedia-founded,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,2015.0,1929.1760797342192,40831.7397600468,202.06865110661477,2,1
159,wikipedia-area_served,0,6,0.0,16.886113886113886,748.2507662167885,27.35417273866619,0.015527745608492304,0.004761840665317718,0,0,0.0,0.0,0.0,0.0,0.0,0,0
160,wikipedia-notes,0,6,0.0,18.727272727272727,172.0484969575878,13.116725847466196,0.05882707208283863,0.008519334303573343,0,1,0.0,0.0,0.0,0.0,0.0,0,0
161,wikipedia-name,0,6,0.0,11.995004995004996,49.739235789185926,7.052604893880411,0.044937053530534475,0.0022094279542713455,0,0,0.0,0.0,0.0,0.0,0.0,0,0
162,wikipedia-headquarters,0,6,0.0,8.093906093906094,15.052120706466468,3.8797062654879517,0.009497392865851028,0.0016610734143201675,0,0,0.0,0.0,0.0,0.0,0.0,0,0
163,wikipedia-industry,0,6,0.0,14.016983016983017,41.66504624246853,6.454846724939991,0.041681571667902505,6.66000666000666e-05,0,1,0.0,0.0,0.0,0.0,0.0,0,0
