,categories,ceo,code,country,employees,founded,gbp,headquarters,headquarters_continent,headquarters_country,id,industry,link,market_cap,market_capitalization_usd,market_value_apr_2022,marketcap,mastercap,name,net_income,official_name,rank,revenue,sector,stock
id,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
industry,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.07692307692307693,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.08333333333333333
market_cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3448275862068966,0.25,0.6428571428571429,0.2777777777777778,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0
market_capitalization_usd,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.3448275862068966,1.0,0.16279069767441862,0.22580645161290322,0.08571428571428572,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0
market_value_apr_2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.16279069767441862,1.0,0.21428571428571427,0.0625,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0
marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,0.22580645161290322,0.21428571428571427,1.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mastercap,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.041666666666666664,0.029411764705882353,0.03125,0.0,0.0,0.0,0.2777777777777778,0.08571428571428572,0.0625,0.29411764705882354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
name,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.23529411764705882,0.0,0.07142857142857142,0.0,0.0
net_income,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.02631578947368421,0.029411764705882353,0.0,0.0,0.2,1.0,0.08,0.0,0.05,0.0,0.0
official_name,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.08,1.0,0.0,0.043478260869565216,0.0,0.0
rank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.08333333333333333
revenue,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.05,0.043478260869565216,0.07142857142857142,1.0,0.0,0.0
sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142
stock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.07142857142857142,1.0
