,link,name,country,industry,revenue,employees,founded
129,https://www.befitfood.com.au/,Be Fit Food,Australia,Health,5.21,25,2015
130,https://www.comma-entertainment.com/,Comma Entertainment,South Korea,Advertising,1.47,10,2015
131,https://www.tangerinetelecom.com.au/,Tangerine Telecom,Australia,Telecoms,13.62,90,2014
132,https://www.luotocompany.com/,Luoto Company,Finland,Technology,"14,338,668",49,2016
133,https://www.journiapp.com/,Journi Print,Austria,Ecommerce,"6,851,839",29,2014
134,https://www.bunq.com,bunq,Netherlands,Fintech,"8,808,633",96,2014
135,https://www.nbwm.nl,NBWM,Netherlands,Fintech,6.7,30,2013
136,https://wolt.com/,Wolt Enterprises,Finland,Technology,30.07,293,2014
137,https://bolt.eu/,Bolt Technology,Estonia,Technology,79.68,700,2013
138,https://whatfix.com/,Whatfix,India,Technology,13.45,471,2013
139,https://sprintlaw.com.au/,Sprintlaw,Australia,Law,1.70,25,2017
140,file:///Users/chris.campbell/Downloads/NA,Metal Heart,South Korea,Retail,14.73,3,2017
141,https://saaslabs.co/,SaaS Labs,India,Technology,1.93,52,2016
142,https://www.topreform.jp/,Top Reform,Japan,Construction,6.56,13,2015
143,https://shopline.hk/,Shopline,Hong Kong,Ecommerce,21.85,301,2013
144,https://www.portify.fr/,Portify,France,Support Services,"11,583,215",228,2017
145,https://tibber.com/,Tibber,Norway,Energy,"30,886,935",45,2015
146,https://bolt.eu,Bolt Technology,Estonia,Technology,"148,227,430",1438,2013
147,https://de.scalable.capital,Scalable Capital,Germany,Fintech,"7,065,436",115,2014
148,https://www.bis-renovation-energie.com,Bis Rénovation Energie,France,Construction,13.5,80,2013
149,https://elementsgs.com/,Elements Global Services,Spain,Support Services,26.25,38,2015
150,https://www.les-eco-isolateurs.com/,Les Eco-Isolateurs,France,Construction,32.98,67,2013
151,https://www.driveyello.com/,Drive Yello,Australia,Transport,7.84,60,2015
152,https://www.dmil.kr/,"Different Millions , Inc",South Korea,Beauty,4.52,38,2017
153,https://www.stayg.jp/,Stay Gold,Japan,Property,9.40,3,2010
154,https://www.upgrad.com/,upGrad,India,Education,23.05,1100,2015
155,https://www.capitalindia.com/,Capital India Finance,India,Financial Services,14.59,Not found,1994
156,https://www.i-goods.co.jp/,IGOODS,Japan,Sales & Marketing,6.26,20,2016
157,https://www.rascalindustry.pl/en/,Rascal Industry,Poland,Fashion,"9,008,822",18,2013
158,https://www.pegasosecurity.it/,Pegaso Security,Italy,Support Services,"8,375,180",509,2017
159,https://kubrickgroup.com,Kubrick Group,UK,Management Consulting,"21,304,174",335,2016
160,https://gojob.com,Gojob,France,Management Consulting,"23,062,711",105,2015
161,https://www.donatella.de,Donatella*,Germany,Food & Beverage,7.5,10,2014
162,https://gismart.com/,Gismart,United Kingdom,Games industry,57.65,150,2013
163,https://picocela.com/,PicoCELA,Japan,Technology,2.03,25,2008
164,https://parcelport.co.nz/,Parcelport,New Zealand,Ecommerce,3.98,10,2012
