09-wissel-company_code,05-MalPatSaj-symbol,04-iGMM-code,02-GioPonSpiz-codice
sncy,d,crbg,adanient.ns
bill,khc,tpia.jk,snps
enph,601012.ss,csl,6098.t
colb,7974.t,9735.t,edf.pa
hli,san,dabur.ns,sre
cgnx,bajfinance.ns,zbra,kdp
apa,dpw.de,xekt.mc,atgl.ns
you,shop,plzl.me,7010.sr
cccs,anz.ax,re,itc.ns
altg,aph,qbe.ax,tak
res,7010.sr,acm,601328.ss
ccrn,panw,para,601012.ss
plug,6367.t,aci,ing
kro,hsy,crda.l,stla
ofg,bam,ttc,shop
dakt,byra.f,zi,wds
kbh,8058.t,2884.tw,ls4c.f
lsi,snow,con.de,7974.t
cdre,ntes,bap,002415.sz
sun,tak,min.ax,muv2.de
vlgea,psx,tap,aep
bset,dxcm,ccl,itub
newr,atgl.ns,gblb.vi,psx
eght,adyen.as,amun.pa,gis
jamf,scco,gddy,adm
negg,4661.t,afxa.f,mqg.ax
sgfy,stla,601336.ss,ew
evcm,002415.sz,gl,8058.t
cano,cnc,0316.hk,fab.ae
boot,sber.me,sgro.l,4661.t
msge,kmb,wtc.ax,1211.sr
epac,ew,tlx.de,6367.t
exp,smfg,bill,bidu
pacw,nvtk.me,3692.hk,fmg.ax
masi,ctas,nbix,aig
nwbi,8001.t,ggg,aph
nfg,aig,kmx,rop
oge,rop,hei.de,000660.ks
dfin,abev,sap.to,fdx
out,8031.t,entg,isp.mi
box,fdx,awl.ns,jci
mstr,atd.to,imp.jo,spg
ares,ngg,mktx,hes
evr,601328.ss,ihg,atd.to
hees,vlo,mmp,umg.as
apo,wday,0019.hk,hsy
wsfs,wds,jnpr,a
axon,2317.tw,096775.ks,ngg
hele,jci,armk,cdns
fivn,a,bol.st,207940.ks
wafd,muv2.de,2603.tw,6501.t
boh,bas.de,srpt,kmb
neog,cdns,ema.to,8001.t
cde,enph,barn.sw,ctas
neu,bntx,an,trv
prgs,mqg.ax,2801.t,8031.t
iboc,kotakbank.ns,7532.t,adyen.as
vrex,spg,6146.t,byra.f
crmt,207940.ks,nws,snow
kfrc,umg.as,cg,afl
atro,nxpi,5819.kl,600030.ss
incy,msi,solb.vi,ifx.de
kop,azo,rno.pa,2317.tw
ftdr,payx,cube,ctva
mdc,stz,jazz,bajfinance.ns
trex,ing,lscc,600309.ss
cacc,ctva,003550.ks,601899.ss
ffbc,afl,viv.pa,002352.sz
vrns,trv,fgr.pa,nxpi
curv,meli,red.mc,msi
insw,ifx.de,futu,azo
ebc,adsk,gfl,300059.sz
pld,4519.t,xgj.f,byan.jk
doma,fis,5713.t,ecl
prdo,rsg,alle,su
bxc,1211.sr,sca-b.st,o
rdi,ecl,1821.hk,000001.sz
qtwo,fmg.ax,cday,puk
prg,cmg,zen,kotakbank.ns
fhb,sq,7202.t,cnc
htlf,exc,wynn,1876.hk
rock,lulu,lha.de,bsbr
abmd,ftnt,bwa,payx
cmp,trp,bldr,adsk
tndm,itub,xpev,2359.hk
embc,mlyby,ymm,nem
azek,000660.ks,bn4.si,exc
innv,hes,kbank.bk,race
fhi,isp.mi,0322.hk,o39.si
tr,su,alo.pa,wday
neo,mchp,pag,sq
cmtl,8766.t,vst,trp
homb,cpg.l,010130.ks,abev
ida,syy,sdr.l,bce
cflt,biib,oc,dxcm
usna,bce,cma,nda-fi.he
six,lhx,034730.ks,kmi
hsii,bidu,pstg,cmg
ttd,002352.sz,dwni.de,8766.t
qlys,600309.ss,srf.ns,tt
fbk,wmb,imcd.as,npsny
amot,o39.si,9104.t,lvs
rmbl,race,ald.ax,panw
banf,1876.hk,jhx,002304.sz
forr,hmc,uu.l,apo
avpt,600030.ss,7701.t,sika.sw
pxd,ajg,umi.vi,mfg
rngr,kmi,aap,dvn
,tt,oci.as,bbva
spsc,lng,6506.t,stz
iosp,o,tatapower.ns,biib
do,dvn,qnbfb.is,ajg
gva,rost,9201.t,fis
evbg,6902.t,3045.tw,dogef
gel,anet,cold,rost
powl,gmkn.me,bbl.bk,dow
banr,lkoh.me,au,iqv
aub,msci,2890.tw,mchp
bl,iqv,halo,4519.t
payo,apo,indt.st,600276.ss
gatx,ntr,dnp.wa,cpg.l
slca,dogef,g13.si,3382.t
pahc,tel,car,002714.sz
sbny,sika.sw,6965.t,ph
rgen,xel,oge,adanigreen.ns
ichr,adanigreen.ns,sbs,syy
hcp,0016.hk,usfd,lyg
cg,nda-fi.he,nvcr,nue
ngvt,team,fnd,msci
bmi,u11.si,jd.l,0016.hk
rmni,601899.ss,9531.t,lulu
ufpt,ph,3064.t,as7.f
frme,lyg,p9o.f,wmb
vrm,nue,rrx,lonn.sw
pipr,volvf,sbsw,hmc
nbtb,1024.hk,bcvn.sw,idxx
ctos,neste.he,pnb.ns,bk
rely,pru,wms,1024.hk
s,cm,che,cm
prpl,nem,s68.si,wxxwy
rdn,300059.sz,3037.tw,rsg
lake,lt.ns,010950.ks,tel
krus,lvs,otp.f,cof
xper,002714.sz,7259.t,volvf
tmst,j36.si,4707.kl,et
tbla,2914.t,isday,ntr
appn,yum,rl,xel
wrby,puk,eregl.is,lng
onew,dp4a.f,kt,hal
hov,cof,dci,wes.ax
syna,7741.t,1101.tw,carr
mth,3382.t,ori,dp4a.f
plnt,lonn.sw,cu.to,ftnt
amph,hlt,bergepaint.ns,051910.ks
tcbi,wes.ax,gfc.pa,6902.t
bw,carr,masi,neste.he
mcft,bsbr,rgld,team
lpsn,se,9042.t,hlag.de
amcx,000001.sz,3816.kl,xiacf
ess,et,1cov.f,u11.si
four,asianpaint.ns,009155.ks,lhx
plab,mrvl,phnx.l,2388.hk
ddd,engi.pa,unionbank.ns,dd
hlly,bk,cpfe3.sa,tdg
be,051910.ks,sbny,stm
swbi,hln,g1a.f,adanitrans.ns
mmp,002304.sz,pnr,pru
ovv,dow,manh,cve
dcgo,wcn,5201.t,600690.ss
blbd,xiacf,urw.as,hlt
phr,adanitrans.ns,gail.ns,2454.tw
arc,pcar,ska-b.st,lt.ns
cpt,gfs,geti-b.st,hln
crnc,idxx,knsl,all
prch,cve,docs,yum
irtc,bbva,heromotoco.ns,hcltech.ns
aprn,2454.tw,st,j36.si
rm,stm,musa,alc
indb,2388.hk,alx.ax,gmbxf
blnd,wba,amp.mi,7741.t
ncno,ed,egp,300015.sz
idt,axisbank.bo,asrnl.as,csu.to
chpt,alc,fr,pcar
