09-wissel-company_code,05-MalPatSaj-symbol,04-iGMM-code,02-GioPonSpiz-codice
hyzn,900945.ss,mrx.f,asx.ax
tcfc,asx.ax,adth,cgnx
teum,sdr.l,lazy,adib.ae
axsm,get.pa,real,bel.ns
airi,stor,rvlp,org.ax
ssbk,ade.ol,hear,mocorp.he
peak,9104.t,fobk.f,3402.t
unb,rec.mi,vxrt,leco
grts,adt,geojitfsl.ns,jef
vld,033780.ks,ci7.f,nov
allk,jhx,rrgb,bbl.bk
dtil,aos,qmco,fertiglb.ae
kala,pnw,seel,g13.si
mgy,zg,sang,sof.vi
blnk,xpev,idex,vacn.sw
gcbc,ipn.pa,cdzi,has
optn,2016.hk,capacite.ns,froto.is
fmtx,sign.sw,vate,sign.sw
advm,cch.l,mlvf,awl.ns
hnst,cgnx,quickheal.ns,havells.ns
rexr,frt,trhc,rrx
gne,cpn.bk,opof,stor
goss,ivz,atha,6506.t
tblt,oc,smsi,imcd.as
mbcn,plug,mnov,3008.tw
rmbi,celh,indnippon.ns,601021.ss
ciso,evk.de,3546.two,pen
wpc,imcd.as,2630.tw,elisa.he
hour,havells.ns,fonr,mnhvf
boxl,6506.t,arec,sbicard.ns
ttoo,pag,jaybarmaru.ns,fnd
hrow,9201.t,dakt,mndi.l
kopn,elisa.he,aku,cma
hrmy,dwni.de,spro,lii
px,mztf.ta,trx,yndx.me
utmd,keskoa.he,vln.to,rec.mi
tsha,7701.t,pcyg,aap
xl,2395.tw,asxc,fph.nz
bioc,3045.tw,earn,mztf.ta
plbc,0101.hk,blissgvs.ns,adt
zntl,000876.sz,rdi,frt
mass,legn,alata.pa,3045.tw
arct,aal,plse,ar
ee,srf.ns,ped,vst
ctmx,bz,whg,9143.t
eols,mndi.l,3723.t,051905.ks
fbio,org.ax,prty,hii
tgtx,uu.l,jz,2395.tw
nly,jbss3.sa,dmtk,rdy
mirm,tatapower.ns,rvp,9104.t
oflx,rco.pa,4334.t,knx
pvbc,dbx,snce,logi
kymr,a17u.si,sncr,ffiv
mrsn,034730.ks,clsd,cch.l
gami,pum.de,prds,saga-b.st
ssti,nst.ax,rbl.ns,2016.hk
msgm,pen,syrs,ctlt
vabk,arx.to,cris,000876.sz
rigl,azrg.ta,armp,ivz
nbn,fph.nz,oesx,cfr
sol,p9o.f,galt,otex
aytu,cma,3760.t,009155.ks
fsbc,mez.ax,lucd,5802.t
sppi,aap,freq,mb.mi
fr,dnp.wa,xfor,get.pa
jan,chdn,ds,cbsh
strc,leco,fbio,a17u.si
gwh,fnd,6899.hk,7202.t
rgti,010130.ks,emkr,dcp
hst,cfr,achv,g
biol,skm,rfl,lsi
pei,bajajhldng.ns,ainc,9201.t
amtx,mnhvf,crvs,gfc.pa
aqst,bcvn.sw,atxg,adports.ae
mnsb,4324.t,lptx,pac
utrs,dish,nls,034730.ks
mrin,c07.si,sybx,sbsw
rvlp,sgfy,vtsi,fnlpf
ater,g,aqst,rnr
enta,au,wwr,oc
corr,ctlt,isr,6988.t
lgnd,9531.t,sls,enx.pa
pcsb,ttek,trib,033780.ks
qsi,jef,kirk,1cov.f
agm,cbsh,3907.t,1101.tw
asxc,has,snax,uu.l
shpw,swch,aprn,8795.t
coll,g13.si,cgrn,mez.ax
rckt,nnn,cycn,0zq.f
plmr,xp,nh,cuervo.mx
hlgn,7272.t,lpth,urw.as
gbio,paa,tisi,xpev
gaia,mb.mi,nxtmh.he,itrk.l
calb,rhi,derm,wsm
vbiv,seic,tphs,tataconsum.ns
max,bsmx,tgl,ugi
gthx,babwf,pmd,lifco-b.st
aris,pso,3672.t,pnw
mrai,1099.hk,hpco,8tra.de
tmdx,dcp,clvs,bsmx
ymab,ugi,mnpr,034020.ks
pr,marico.ns,rkly,nnn
arqt,iob.ns,smts,0101.hk
dgly,oge,ppsi,pag
ahpi,froto.is,ycbd,011200.ks
samg,mocorp.he,3064.two,icicipruli.ns
huma,7202.sr,acst,sgfy
halo,034020.ks,hyre,rgld
srrk,exas,airi,010130.ks
ivac,vips,jagx,paa
clpr,oci.as,carv,rhi
exfy,apollohosp.ns,idai,jll
star,unitdspr.bo,xela,cold
crnx,lifco-b.st,vine,whr
plse,clf,nnvc,o2d.de
kspn,itrk.l,3664.t,9503.t
rytm,enx.pa,apm,celh
valu,aa,astc,chp-un.to
rdvt,rrx,omi.v,chdn
pmd,011200.ks,mrin,azrg.ta
prax,pnb.ns,lotz,usfd
ades,6965.t,aezs,qnbfb.is
kdny,chp-un.to,any,casy
ahh,usfd,aim,0151.hk
fdmt,nvcr,vvpr,seic
nhtc,0151.hk,gns,dbx
jnce,009155.ks,imh,otp.f
agfy,swav,gpl,0004.hk
hnvr,nov,aemd,wbs
fgi,whr,sozap.st,4716.t
rocc,otex,avgr,4324.t
vor,car,gfai,9531.t
pdm,jll,blph,7701.t
kids,rnr,imte,stj.l
cgrn,fbhs,vrvr,pnr
isee,icicipruli.ns,qiiwi.st,qan.ax
lpro,fdj.vi,asns,c07.si
mntk,sof.vi,yten,indt.st
ambc,enkai.is,athx,iag.ax
cldx,halo,drct,0384.hk
bwfg,iag.ax,otrk,swch
visl,cold,hall,cpri
rbot,unm,rmed,adm.l
ftk,bbl.bk,ifmk,masi
izea,cuervo.mx,fnhc,unm
albo,indt.st,trul,dnp.wa
whg,wbs,gnca,fdj.vi
qngy,dia.mi,ygyi,acs.mc
prph,4716.t,play.cn,agl
al,2897.t,frzt,pso
dhil,yesbank.ns,kuu.v,ogn
tals,sjx.f,alnaq,lea
akli,xro.ax,vs,tatapower.ns
ptgx,051905.ks,bxrx,midd
sldp,saga-b.st,gmvd,asr
nktx,adro.jk,pun.wa,sjx.f
ses,urw.as,tapm,nfe
rpt,fnlpf,vip.ax,skm
rna,pac,qtnt,coty
syrs,gail.ns,mob,ally
rex,010950.ks,ozon.me,bcvn.sw
bior,achc,ints,0288.hk
smlr,ccl-b.to,teum,ords.ae
pirs,0384.hk,nbevq,1099.hk
naut,wsm,jewl,icbp.jk
imvt,8951.t,tbl.wa,pstg
akr,adm.l,grom,oge
kura,8tra.de,adxs,pnb.ns
eras,sbsw,kspn,ccl-b.to
tela,6963.t,htgm,bajajhldng.ns
trda,manh,ient,megacpo.mx
bsvn,che,cnxa,ac.pa
avro,pshzf,wbev,srf.ns
eypt,9503.t,ensc,010950.ks
uavs,idbi.ns,edbl,marico.ns
cccc,eregl.is,efoi,fbhs
ctic,icbp.jk,zvo,car
phun,stj.l,ati.jo,6965.t
fhtx,ntnx,phas,skf-b.st
krys,lea,brsh,see
zvia,gfc.pa,inkw,ocdo.l
pct,9005.t,ampe,2897.t
evfm,glob,kern,ttek
mnts,masi,qngy,hr
krtx,jd.l,mkl.ax,shp.jo
acor,see,yvr,xray
seer,ally,prfx,pshzf
stor,bery,pt,tuprs.is
egy,2890.tw,east,xro.ax
ue,aia.ax,ladylu.st,aia.ax
rcel,qan.ax,vive,gail.ns
otcm,hood,ahpi,rl
tcrx,5876.tw,bntc,achc
ivt,unionbank.ns,cetx,036570.ks
rani,cpri,snoa,6033.kl
aveo,5201.t,pte,hood
mrns,shp.jo,weii.v,grfs
verv,midd,hils,g1a.f
dss,phnx.l,cfrx,crox
bfs,acs.mc,ncpl,radl3.sa
prld,6033.kl,phio,7272.t
mpw,abb.ns,man.wa,dia.mi
wmpn,ornav.he,utrs,oln
grph,g1a.f,biol,irdm
locl,pnr,sint,ednr.mi
vxrt,4188.t,blbx,arx.to
prov,cien,msgm,ypf
pke,asr,jan,amr.ae
plrx,cholafin.ns,cyto,wex
yorw,cu.to,nbrv,2890.tw
irmd,eslt,ptpi,4755.t
ocx,nrg,bhat,dish
carv,gtlb,ibio,zion
finw,mtss.me,evfm,mpw
cvrx,oln,tops,mtz
tgan,gmed,inpx,raa.f
vuzi,0288.hk,adil,ale.wa
verb,skf-b.st,svre,ornav.he
lian,1cov.f,gmgt,phnx.l
alvr,wms,akan,5201.t
tell,orklf,8282.hk,manh
uba,bsac,pik,path
olpx,otp.f,evok,eslt
imgn,hr,lucy,cu.to
inbx,4280.sr,opgn,8697.t
ibio,insp,nept,4280.sr
vici,bkw.sw,8267.hk,mro.l
two,icicigi.ns,vvd.wa,377300.ks
ycbd,1101.tw,staf,amkr
kalv,4707.kl,nuze,apollohosp.ns
athx,8697.t,fthw.v,7202.sr
sldb,sbny,hsdt,wf
newt,kt,bkyi,cien
pola,kog.ol,clxt,bsac
aqb,9042.t,glmd,hesm
tngx,rgld,gnln,icicigi.ns
uuuu,wex,kala,9502.t
akus,3092.t,gif.wa,mhk
bysi,ori,onfo,1548.hk
hymc,pcor,agrx,ake.pa
stok,3064.t,qnrx,0656.hk
anab,4755.t,gmbl,dci
grom,rl,xpon,cnxc
egrx,ednr.mi,cala,3816.kl
vygr,dci,rkda,bery
mgld,ogn,tyde,5876.tw
ivvd,3816.kl,agfy,plnt
eman,7203.sr,whsi,abb.ns
sd,sbs,gop.wa,iob.ns
kron,raa.f,ahi,sym
kod,agl,ttoo,wtb.l
codx,path,kins,9005.t
seac,9502.t,cing,rrtl.f
morf,asels.is,cemi,sbny
lidr,7259.t,tivc,atr
wbev,uwmc,hscs,gmed
rgco,wf,bioc,ori
pkbk,bergepaint.ns,rmti,3064.t
slgg,caci,vyne,insp
oprx,3037.tw,jumpnet.ns,6963.t
gevo,s68.si,6626.two,jindalstel.ns
ionq,2609.tw,alrn,4188.t
hasi,vmi,iinn,che
kros,1878.t,fami,0017.hk
xbit,isday,atnf,8951.t
mvis,canbk.ns,rebn,orklf
harp,zion,ispc,bkw.sw
prtc,us.mi,aytu,eregl.is
itos,kbr,gcor.st,unitdspr.bo
dawn,0017.hk,jfbr,wms
,ohi,dffn,idbi.ns
opgn,mpw,aust,amrt.jk
kins,hesm,olb,s68.si
aehr,0293.hk,mf,nrg
ppsi,ac.pa,acor,1157.hk
idya,4904.tw,deal.v,baln.sw
htgc,mgnt.me,1792.hk,futu
derm,o2d.de,sobr,3p7.f
abeo,atr,gigm,4707.kl
trc,2883.tw,rvsn,us.mi
pcvx,npi.to,onvo,sbs
vaxx,roku,fuv,mdka.jk
wsr,eme,erna,cx
idai,krtx,tcda,osh
btai,hsz.f,pulm,swav
doc,dlb,fsc.ns,7259.t
pbfx,upl.ns,clsn,itt
snti,009830.ks,frza,7020.sr
sens,emp-a.to,tgm.v,eme
pavm,iot,acrx,goto.jk
inuv,docs,vinc,009830.ks
rapt,plnt,0484.hk,cpfe3.sa
aese,alv,sdig,edu
htgm,run,ttnp,igm.to
lxrx,mtz,rdhl,bzi.f
pet,grfs,6169.two,2883.tw
sgbx,klh.f,uihc,skx
mbi,rrc,pei,dlb
clsk,coty,nitro.st,canbk.ns
orgn,ocdo.l,3639.t,vmi
acet,asnd,mgam,oci.as
stag,003495.ks,apcx,gnrc
ardx,radl3.sa,sckt,i93a.f
nuvb,swn,sgbx,kt
alpn,baln.sw,itrm,ska-b.st
wina,xray,ruby,sol.ax
abus,2269.t,afn.l,mat
sybx,4021.t,lase,4904.tw
cara,brx,tgames.co,1878.t
mxct,mindtree.ns,ncty,roiv
src,tuprs.is,hgen,wch.f
oric,4091.t,art.wa,rh
ccel,gpk,trvn,5019.t
xfor,5019.t,ontx,bid.jo
egp,nxst,vrax,twe.ax
prvb,7951.t,2022.hk,090430.ks
knte,amrt.jk,tpst,cib
mlvf,5486.t,nerv,yesbank.ns
este,9602.t,crbp,reh.ax
pk,alx.ax,pshg,dws.f
main,mtdr,verb,003495.ks
pays,tiindia.ns,visl,dva
bxrx,fr,whlr,pcor
omga,cflt,aptx,medp
ofed,banb.sw,dgly,2269.t
apdn,megacpo.mx,prpo,7203.sr
rsvr,egp,ekso,6488.two
aclx,ote.f,slhg.v,qholding.ae
sonm,igm.to,4199.t,mtdr
cogt,amp.mi,hzn,ctc.to
pixy,spsn.sw,bvxv,roku
phat,asrnl.as,zkin,kgha.f
hyre,sol.ax,apdn,5411.t
cprx,li.pa,ulg.wa,sbry.l
rlj,9697.t,6468.two,3092.t
xxii,3769.t,seac,slm.jo
bnl,jindalstel.ns,stry,0293.hk
hifs,ake.pa,sonm,2609.tw
annx,hog,wtrh,li.pa
mark,5411.t,mrai,asels.is
gnca,itt,sft,wal
imrx,036570.ks,ecor,glob
xlo,dva,dtea,kbr
atex,heromotoco.ns,3935.t,tx
nrgv,irctc.ns,fcp.ls,egp
tnxp,arw,fretail.ns,2310.sr
nnn,holm-b.st,9421.t,arw
freq,8795.t,slgg,alx.ax
olma,4704.t,endpq,9042.t
rxdx,7gg.f,tnxp,cholafin.ns
acrs,bokf,igc,mindtree.ns
pnt,6479.t,gene,spsn.sw
mdgl,txrh,gree,unionbank.ns
hqi,cna.l,age,alv
nymt,zomato.ns,bysi,npi.to
ohi,6488.two,biaf,wcc
nuwe,ska-b.st,og,kog.ol
rcat,sym,cntx,nxst
panl,twe.ax,mark,caci
gern,isctr.is,sreinfra.ns,3034.tw
armp,mdka.jk,cfms,n2iu.si
bfri,cwen,sngx,st
east,sise.is,alg.wa,cna.l
roic,aiz,canf,klh.f
fngr,wtb.l,fgi,wdh1.f
wrap,hdg.as,boxl,fr
avgr,3p7.f,nvcn,emp-a.to
surf,2615.tw,ogen,nem.f
aadi,cae,harp,krtx
pcyg,3626.t,mito,gpk
isr,levi,cocp,bokf
ubx,torntpharm.ns,lci,banb.sw
cnce,ctc.to,dlpn,clvt
bmra,1157.hk,siox,6586.t
uec,reyn,imv,bmed.mi
inn,nep,btcm,fybr
aple,mur,3624.t,pb
avir,skx,vtgn,asrnl.as
cala,cpfe3.sa,apre,amp.mi
smti,st,qncx,ote.f
sbow,ingr,wter,2615.tw
cyn,medp,bsgm,rxl.pa
lxp,9532.t,pxmd,halo
xair,industower.ns,pola,aiz
aiv,7211.t,4198.t,024110.ks
prds,wal,rgls,cwen
dice,3283.t,rave,heromotoco.ns
nn,7020.sr,cyn,tpx
lyra,cw,6482.two,ohi
cris,hrb,bfri,txrh
brmk,garan.is,lode,gntx
evex,naukri.ns,sos,8601.t
phas,cnxc,zyne,7gg.f
imux,amkr,sien,nmdc.ae
sndx,irdm,cmc.v,gtlb
cbay,nvt,6860.hk,hli
ispc,gntx,stsa,knsl
pte,mhk,3928.t,cae
prok,bid.jo,scb.ls,mksi
efoi,g07.si,drtt,bergepaint.ns
ladr,n2iu.si,sidu,cpin.jk
selb,2357.tw,tblt,tel2-a.st
batl,6415.tw,hepa,rail3.sa
rkda,wdh1.f,bbgi,brx
lctx,nem.f,dss,voya
nuvl,wcc,shpw,sf
adc,259960.ks,zeelearn.ns,259960.ks
next,hli,atnx,adc
tcda,i93a.f,sgma,hdg.as
caba,clh,inuv,hog
drct,wch.f,albt,wwe
ocgn,dws.f,salm,7181.t
vinc,sbry.l,lov,x
peb,rrtl.f,mbot,evd.f
kzr,gme,aau,dxc
bcab,6383.t,irnt,9697.t
scyx,gnrc,pev,sise.is
clxt,stwd,c0m.f,nvt
prpo,piind.ns,chg,3769.t
brsp,goto.jk,avct,2357.tw
apld,3003.t,avro,sobi.st
ekso,9041.t,rnwk,upl.ns
pev,rbc,0434.hk,rba
qncx,trq,uavs,swn
repx,mro.l,optt,nycb
optt,0656.hk,frag.st,nclh
pmvp,sf,uph,4091.t
ecbk,musa,revrq,nep
dea,soi.pa,bwen,holm-b.st
elme,evd.f,ptn,mur
sckt,nclh,8fe.sg,isday
epr,reh.ax,usau,levi
rei,6586.t,bcs.wa,cmc
igc,adc,ccel,ingr
lqda,sobi.st,lpcn,tih.to
aura,xm,vcnx,002555.sz
alxo,rba,bbt.wa,clh
glyc,wfg,lumo,asnd
ecor,boschltd.ns,gti.kh,g07.si
jagx,saia,nm,onon
trin,uty.f,maia,torntpharm.ns
ampx,knsl,megl,3626.t
rfl,nztcf,husa,4704.t
dsgn,slm.jo,sopa,6415.tw
bkyi,tel2-a.st,arbk,ozl.ax
asti,pb,frsx,heln.sw
vrdn,wh,idn,wh
bsgm,mgy,trirf,prio3.sa
agnc,phi,ubx,9532.t
life,chh,swvl,rbc
idn,dxc,4174.t,bald-b.st
janx,srtransfin.ns,aud,1590.tw
watt,bzi.f,3810.t,5332.t
vstm,024110.ks,nile,1128.hk
strs,7181.t,xpl,bkt.mc
capr,sgp.ax,spi,mgy
quik,pii,jnce,agnc
vigl,mdu,sktas.is,algm
vive,stag,aumn,stwd
nvec,ozl.ax,ppsp.kh,wwd
alt,trent.ns,izea,stag
oblg,2310.sr,bmix,saia
zom,beij-b.st,beat,dds
tars,8601.t,sve.v,3038.t
wter,bean.sw,rekr,chh
rlyb,tih.to,4728.t,6383.t
bbig,edr,zordix-b.st,adro.jk
ovid,algm,cmbtn.is,trq
muln,377300.ks,corz,reyn
mnrl,cib,zev,alk
rain,090430.ks,bior,chx
amps,invr.l,ncna,nwl
trvn,cx,hrtg,sgp.ax
acrx,lstr,aqb,2290.sr
bcli,bmed.mi,vapo,cov.pa
sho,lnw,corr,bean.sw
kulr,lodha.ns,augx,cw
lptv,dooo,mogo,6479.t
sbra,lad,3851.t,tpg.ax
spro,flo,grfx,lad
crbp,byd,nhtc,amg
tcrt,ale.wa,5pg.ol,land.l
mnmd,9766.t,mep.ns,enlc
etnb,rh,aacg,rli
aptx,fybr,okyo,dkng
srg,3034.tw,nymx,srtransfin.ns
imgo,kgha.f,ici.ax,gxo
asns,saic,imux,002007.sz
ruby,8952.t,tess,irctc.ns
plym,hapv3.sa,nbifin.ns,motherson.ns
vcnx,clvt,3667.t,nztcf
rum,9064.t,sldb,docs
siga,dkng,nxtdigital.ns,ofc
vtgn,tpg.ax,bmra,kfi1.f
cfrx,1548.hk,4175.t,csan
vrca,heln.sw,surf,iag.to
cim,mat,mesa,mdu
pstl,elan,gaia,ned.jo
eprt,5332.t,3912.t,uwmc
akro,1128.hk,ades,hsz.f
sidu,acc.ns,mgld,dooo
pepg,4768.t,bnox,lu
lptx,1590.tw,gp,xm
indt,nycb,hmvl.ns,4021.t
sint,tvsmotor.ns,aspi,3037.tw
whlr,cpin.jk,aerc,ctec.l
sesn,voya,eagr.to,2887.tw
clsd,4922.t,aese,gme
swkh,axfo.st,blgo,m
fsp,coup,rgs,iot
xhr,2801.tw,cmcm,tiindia.ns
trno,ned.jo,gan,tol
atha,crox,vntr,9435.t
gpmt,002007.sz,ortx,peo.wa
ptn,4204.t,ocx,boschltd.ns
lumo,iag.to,akba,ssb
lode,dsgx,indo,elan
cycn,lumn,pog.l,osk
atnm,rxl.pa,brds,edr
mtnb,pageind.ns,koss,map.mc
blgo,tx,rwlk,mgr.ax
pik,son,abeo,bami.mi
ppta,pdce,bcli,fsv
pcyo,4005.t,,pii
gty,ash,geos,2801.tw
koss,nfg,ctso,7951.t
virx,amg,scp.ls,ssab-b.st
hpk,ofc,vrar,ntnx
nuze,2290.sr,tals,car-un.to
olb,nykaa.ns,ltrn,pdce
agrx,geti-b.st,elvt,4204.t
chct,ctec.l,txmd,vvv
crmd,rail3.sa,pepc.kh,nati
yten,9435.t,ctm,3283.t
clsn,mgr.ax,lrfc,lfus
vera,embrac-b.st,pavm,isctr.is
rgld,m,balajitele.ns,9602.t
ht,dxs.ax,sirc,musa
drh,motherson.ns,life,ppc
zyne,jswenergy.ns,kavl,faf
vyne,axta,culp,lumn
crvs,2887.tw,plx,lodha.ns
onl,slgn,xbc.to,lstr
rgls,timb,popr.v,wfg
gmre,cacc,scyx,byd
scph,2638.hk,3086.two,konn.f
skyx,land.l,btbt,kgc
immr,apls,magi.st,crfb3.sa
ac,exls,znog,ash
avxl,dnb,gnpx,ehc
antx,tpx,xlo,leg.de
eqc,map.mc,neclife.ns,rrc
fpi,rli,rail,oled
ltc,src,rcat,ctpnv.as
avte,3462.t,unitech.ns,9041.t
stsa,ssb,tlsa,mlco
nog,alk,advm,egie3.sa
kmph,agnc,apyx,aden.sw
rebn,cr,atip,coup
sava,ehc,ncsm,cr
rave,prio3.sa,cei,dsgx
ptpi,crfb3.sa,7060.t,industower.ns
pulm,emi.si,impp,piind.ns
bsig,8046.tw,4644.t,beij-b.st
znog,kfi1.f,3758.t,axta
dc,m44u.si,loan,raw.f
feam,lfus,vtvt,awc.bk
lase,tol,eman,uty.f
rmed,3jda.f,6542.two,2588.hk
pdsb,indhotel.ns,vgz,4768.t
svra,x,2706.t,naukri.ns
iipr,tom.ol,apto,hun
urg,cov.pa,rcom.ns,bsl.ax
aim,tecn.sw,soho,3003.t
gato,estc,pirs,son
xpon,1402.tw,lgvn,352820.ks
cinc,cybr,vlta,bdsb.f
mdv,cmc,rpid,bld
dare,ypf,viot,site
hepa,ayi,sctl,sek.ax
blph,nyt,virx,geti-b.st
mbot,x.to,ssl.mi,hapv3.sa
lwlg,hcp,sunw,run
atom,csan,borg.st,edv.to
nhi,egie3.sa,quik,smds.l
hsdt,concor.ns,dare,flo
dx,ubl.ns,watt,dxs.ax
sach,opch,nnbr,4005.t
asrt,osk,pxlw,8952.t
lgvn,ppc,gecc,az2.f
ampe,vly,embk,iel.ax
apcx,gbci,8737.t,mol.bd
bntc,wwd,1022.hk,axfo.st
ient,mksi,spencers.ns,src
trul,000800.sz,gifi,emi.si
mgam,az2.f,iren,hrb
nnvc,gpt.ax,enob,2408.tw
vgz,nwl,tast,auy
sprb,2408.tw,dla,gpt.ax
lmpx,onon,flxs,invr.l
tpst,3038.t,snd,2638.hk
gnpx,enlc,orn,m44u.si
glpi,chx,kinz,cpf.bk
cldt,chrd,bned,eqtl3.sa
alnaq,4062.t,6bo.sg,mng.l
vktx,bkt.mc,asiantiles.ns,cflt
dffn,cig,knw,ac.to
sdig,faf,iobt,r90.f
ctre,awc.bk,root,tixt
thrd,ssab-b.st,owlt,bros
cing,smar,hhs,lnw
adil,bsl.ax,axdx,apls
ctxr,efn.to,sj,9766.t
lpcn,qdel,ebixforex.ns,nvst
hlvx,car-un.to,cweb.to,sim
knw,mpl.ax,wejo,blco
blbx,nvst,asm,vac
seel,pnfp,pol,slgn
wwr,dtm,acr,saic
abos,aden.sw,snti,soi.pa
ontx,vvv,vstm,tvsmotor.ns
biaf,edu,atos,colm
frph,1812.t,pet,yal.ax
ltrn,9684.t,phvs,abbotindia.ns
aldx,bepc,ater,iq
aemd,mp,kxin,snv
adxs,cccs,snal,exls
astc,c09.si,eose,sigi
ped,osh,mnts,fti
sngx,site,3iinfoltd.ns,bc
cocp,4938.tw,3687.two,tit.mi
fcuv,sim,sy,pnfp
frzt,knbe,tmq,1402.tw
blte,eqtl3.sa,flnt,pspn.sw
snoa,gxo,expr,stn
xoma,mol.bd,grov,cohr
btbt,oled,star-b.st,vly
phio,stn,toi,weir.l
hscs,fcn,brag,dnb
siox,airc,lmpx,besi.as
enob,kgc,pwfl,svw.ax
hgen,pghh.ns,rent,tkr
whsi,bald-b.st,1961.hk,4938.tw
arec,cpf.bk,ship,2327.tw
ttnp,wwe,tmdi,cgpower.ns
sls,quinenco.sn,aldne.pa,efn.to
atlx,fsv,slqt,wor.ax
mnov,lnc,myna,ions
mara,pspn.sw,codx,gtls
rlmd,patanjali.ns,sppi,cig
soho,ida,enz,nfg
cdzi,konn.f,vnce,3462.t
erna,2588.hk,apph,vrt
cifr,wu,ftk,x.to
sobr,bwxt,hexo,wrt1v.he
otlk,colm,slben.ls,nyt
tphs,vac,prax,htz
lucy,snv,nrxp,rxdx
onvo,yal.ax,radiocity.ns,3635.t
galt,ions,hyfm,tecn.sw
alrn,polycab.ns,orientppr.ns,gwre
mnpr,post,usas,embrac-b.st
cei,lanc,syz.to,phi
nerv,3281.t,xbit,vas.f
kavl,blco,kron,3jda.f
olp,002555.sz,cgen,tal
brt,novt,stbx,bdev.l
maia,aubank.ns,avya,sk.pa
vtvt,smds.l,fstr,4922.t
nvct,2327.tw,lft,ebo.nz
cnxa,ctpnv.as,phun,valmt.he
scwo,bez.l,oncy,tom.ol
tivc,7912.t,adn,thc
aerc,muthootfin.ns,wrap,psn.l
atos,3618.hk,lake,fcn
loan,3635.t,apex.ns,pr
onfo,dds,lyra,chrd
ensc,auy,farm,qdel
wulf,cwan,bdsx,gil
frza,bc,cps,4250.sr
inva,unvr,ghm,garan.is
age,gwre,sev,ayi
xpl,nsa,parken.co,trex
albt,weir.l,prqr,pri
ogen,ykbnk.is,lway,3618.hk
beat,4739.t,xos,smar
neov,mndy,mdv,timb
anix,1802.t,eypt,car.ax
usau,sigi,capr,9064.t
hoth,htz,wulf,pghh.ns
qnrx,ebo.nz,lee,pbf
evok,bros,prov,zomato.ns
nxrt,iaa,ctmx,9684.t
husa,hun,clls,mpl.ax
pxmd,2633.tw,kokuyocmln.ns,knbe
inkw,hqy,ifrx,tkwy.as
gnl,iel.ax,bitf,falabella.sn
bkuh,6669.tw,cbat,post
pmt,msa,crj.wa,wu
hils,cln.sw,slng,000800.sz
nref,expo,hymc,1812.t
mmlp,ryn,neov,gbci
cion,abbotindia.ns,ttcf,cln.sw
ptmn,svw.ax,asti,pageind.ns
oxsq,ensg,scor,ubsi
capl,ubsi,alld3.sa,hcp
gbtc,mng.l,anup.ns,vnom
rjf,irfc.ns,cvm,qbr-b.to
chg,wor.ax,sesn,ald.pa
hep,sek.ax,usdp,zyduslife.ns
vtsi,schaeffler.ns,4777.t,lanc
vnom,edv.to,mnmd,ensg
dcp,raw.f,unb,cwan
aht,so.pa,hiti,pvh
,9147.t,brg-b.st,acc.ns
ntst,leg.de,kgh.l,4739.t
dkl,vrt,usx,hgty
acre,nati,snda,2350.sr
hesm,aaf.l,ltch,am
prme,roiv,smfr,onb
scm,aqua,thundr.st,unvr
grna,exel,prtk,2379.tw
spb,bami.mi,hour,ida
iiin,pri,talk,airc
dmlp,isdmr.is,nok.bk,quinenco.sn
adbe,2350.sr,manglmcem.ns,lyi.f
dgica,bld,himatseide.ns,jswenergy.ns
apre,wrt1v.he,nvct,gf.sw
ajx,ald.pa,3662.t,c09.si
lft,tkr,impal.ns,hl.l
met,penn,ffie,aaf.l
ari,hekts.is,finw,val
aspi,fti,bbai,cccs
body,mlco,tdup,2633.tw
lrfc,fivn,mg,novt
west,am,bodalchem.ns,key.to
land,cohr,ree,mdgl
gain,cgpower.ns,astr,9107.t
hpco,vnom,prakash.ns,ufpi
atnf,colpal.ns,camp,so.pa
good,ashokley.ns,stertools.ns,nsa
tslx,exp,mtnb,fhzn.sw
glad,car.ax,solo,irfc.ns
arl,tixt,ehth,indhotel.ns
acva,4250.sr,3904.t,hp
pine,mcy.ax,mangchefer.ns,lnc
nrxp,astral.ns,mdxh,fsk
rtl,lhcg,3911.t,iaa
mplx,trex,iti,wtfc
rway,besi.as,pvbc,lun.to
efc,fhzn.sw,rgti,4062.t
opi,akbnk.is,mynz,bez.l
earn,onb,ovid,concor.ns
cqp,hl.l,lvlu,rf.pa
cmtg,bharatforg.ns,navkarcorp.ns,exp
mitt,gil,sripipes.ns,cacc
lsxmb,gtls,bbig,ashokley.ns
ddi,ac.to,sup,hxl
alps,pr,tsq,exel
batrk,7261.t,bfin,7211.t
lbrda,gps,rmbl,balkrisind.ns
cntx,ala.to,rlmd,mcy.ax
iaux,hp,ovbc,msa
jewl,9107.t,mmlp,dtm
safe,ufpi,gepil.ns,grumab.mx
gmgt,tsem,glyc,bepc
sar,valmt.he,rdw,dsy.jo
fsk,ora,pfs.ns,ne
me,wts,loop,ubl.ns
blde,7911.t,arc,wts
slrc,balkrisind.ns,7106.kl,opch
psec,zyduslife.ns,kalv,asai
slam,alit,3656.t,086280.ks
sym,2379.tw,doma,cnm
bxmt,wtfc,xnet,muthootfin.ns
usdp,nhpc.ns,akli,bwxt
aust,dksh.sw,oiim,mp
wlkp,gf.sw,2138.t,trent.ns
edbl,peo.wa,iur.f,ryn
uht,fsk,allt,lyft
affs,pbf,pyr,fr.pa
fnd,asai,nyxh,2702.t
