,id,name,address,nation,hhid,industry,sic_code,type,est_of_ownership
75,e7e6dcbc08eb41628ea75db954747f67,assicurazioni generali spa,"piazza luigi amedeo duca degli abruzzi 2, trieste, 34132, trieste, italy",it00079760328,h-it0009234624,"finance, insurance, and real estate",life insurance carrier (6311),corporation,1831
76,813a01325cc749e3a522e388f414c982,groupe psa italia spa,"via plava 80, torino, 10135, torino, italy",it00882090152,h-it0009740473,retail trade,ret new/used automobiles (5511),corporation,1969
77,6eaece66b49f48dcb618c17996aec218,finanziaria d'investimento fininvest spa,"via pietro paleocapa 3, milano, 20121, milano, italy",it04942331002,h-it0009613331,"finance, insurance, and real estate",misc business credit institutions (6159),corporation,1978
78,7c83583329024e6a86763c53980495b7,cassa depositi e prestiti spa,"via goito 4, roma, 00185, roma, italy",it07756511007,h-it0067760325,"finance, insurance, and real estate",national commercial bank (6021),corporation,1946
79,ebdfea55795d435d9250a06eb4724d03,aurelia srl,"strada statale per novi ligure 3/13, tortona, 15057, alessandria, italy",it01899810061,h-it0038913984,"finance, insurance, and real estate",holding company (6719),corporation,1983
80,5c89c3bef27847dbba03de49fa902d67,a.i.a. agricola italiana alimentare spa,"via valpantena 18/g, verona, 37142, verona, italy",it00233470236,h-it0008022720,wholesale trade,whol meats/products (5147),corporation,1967
81,3a6bebe39bfa4ccfacc7f2d811b38007,banco bpm spa,"piazza nogara 2, verona, 37121, verona, italy",it09722490969,h-it0053576578,"finance, insurance, and real estate",national commercial bank (6021),corporation,2016
82,ffae8944561442849e7bf46047082f84,acea spa,"piazzale ostiense 2, roma, 00154, roma, italy",it05394801004,h-it0025525573,"transportation, communications, electric, gas, and sanitary services",electric services (4911),corporation,1908
83,6f4756d03e37490a9a66c26a19f8a2f2,b&d holding spa,"via giovanni da verrazzano 15, novara, 28100, novara, italy",it02324900030,h-it0005985013,"finance, insurance, and real estate",holding company (6719),corporation,2012
84,42c6ce2e10fb46cea68d15d1229ecdf9,de agostini spa,"via giovanni da verrazzano 15, novara, 28100, novara, italy",it01257120038,h-it0049388177,"finance, insurance, and real estate",holding company (6719),corporation,1901
85,af16c1f6c96e4cbb864aa2f3d78988bd,gs spa,"via caldera 21, milano, 20153, milano, italy",it12683790153,h-it0074764403,retail trade,ret groceries (5411),corporation,1965
86,12647c5e2f5741b4b160ec7a44c573c3,cnp vita assicurazione spa,"via angelo scarsellini 14, milano, 20161, milano, italy",it10210040159,h-it0069629781,"finance, insurance, and real estate",life insurance carrier (6311),corporation,1990
87,6d0934cb43894277ba62f491f017867c,cnp vita assicura spa,"via angelo scarsellini 14, milano, 20161, milano, italy",it09269930153,h-it0061929387,"finance, insurance, and real estate",life insurance carrier (6311),corporation,1988
88,9a5d10be3997400bae828ff55a286777,pac 2000 a soc coop,"via del rame snc, perugia, 06134, perugia, italy",it00163040546,h-it0023035021,wholesale trade,whol groceries (5149),cooperative,1972
89,aeb4b4d8f5324cf8837a67bbd89e2f81,ludo spa,"via antonio fogazzaro 28, milano, 20135, milano, italy",it08566460963,h-it0044271190,"finance, insurance, and real estate",holding company (6719),corporation,2014
90,d81c1a129cc94416942986471692d1db,prada spa,"via lungarno 1213-61, terranuova bracciolini, 52028, arezzo, italy",it10115350158,h-it0026598132,retail trade,ret family clothing (5651),corporation,1990
91,fda6fb7f5f844a70b10ef16e4cdb64d1,acciaierie d'italia spa,"viale certosa 239, milano, 20151, milano, italy",it10354890963,h-it0061222844,manufacturing,blast furnace-steel works (3312),corporation,1995
92,b8f83ba1b9bf46e4a529f027449ef31d,acciaierie d'italia holding spa,"viale certosa 239, milano, 20151, milano, italy",it09520030967,h-it0051081903,manufacturing,blast furnace-steel works (3312),corporation,2016
93,dcf723e289774803a813e4e44302525b,allianz global investors gmbh,"via durini 1, milano, 20122, milano, italy",it08009620967,h-it0007437188,"finance, insurance, and real estate",misc business credit institutions (6159),foreign company,2012
94,1f1a2bae130343308fd174bf35db765e,sony europe b.v.,"via angelo rizzoli 4, milano, 20132, milano, italy",it10496660969,h-it0063085380,wholesale trade,whol non durable goods (5199),foreign company,2018
