name,type,industry,founded,founders,headquarters,key_people,services,revenue,operating_income,total_assets,number_of_employees,website
Target Corporation,['Public'],['Retail'],"['June\xa024, 1902', ' (corporation)', 'January\xa05, 1962', ' (store)']","[' (corporation)', ' & ', ' (store)']","['1000 ', ', U.S.']",[],[],"[' ', ' (2021)']",[' US$6.539 billion (2021)'],[' US$51.248 billion (2021)'],"['409,000 (2020)', '[2]']","['target.com', 'corporate.target.com']"
LVMH Moët Hennessy Louis Vuitton SE,['Public'],['Luxury goods'],['3\xa0June 1987'],"['Bernard Arnault', ' Alain Chevalier ', ' Henry Racamier']",['Paris'],[],['Department stores'],['€'],"[' €17.155 billion (2021)', '[2]']","[' €125.311 billion (2021)', '[2]']","['150,000 (2021)', '[2]']",['lvmh.com']
Woolworths Group Limited,['Public'],['Retailing'],['22\xa0September 1924'],"['Percy Christmas', 'Stanley Chatterton', 'Cecil Scott Waine', 'George Creed', 'Ernest Williams']","['Bella Vista, New South Wales']",[],[],['A$'],"[' ', 'A$', '3.19 billion ', '(2020)']",[],"[' 215,000 (2020)']",['www.woolworthsgroup.com.au']
Dollar General Corporation,['Public'],['Discount retailer'],"['October\xa01939', ' (as J.L. Turner and Son)', 'June\xa01955', ' (as Dollar General)']","['James Luther Turner', 'Cal Turner']","['Goodlettsville, Tennessee']",[],[],['US$'],"[' ', 'US$', '3.220 Billion (', 'Fiscal Year Ended January 28, 2022', ')', '[6]']","[' ', 'US$', '26.327 Billion (', 'Fiscal Year Ended January 28, 2022', ')', '[6]']","['158,000 (2022)']","['www', '.dollargeneral', '.com']"
Costco Wholesale Corporation,['Public'],['Retail'],"['Seattle, Washington']","['James Sinegal', 'Jeffrey Brotman']","['Issaquah, Washington']",[],"['Merchandise', 'Cash & Carry', 'Warehouse club', 'Gas stations']","[' US$226.95', 'billion', '\xa0(2022)']","[' $7.7', '\xa0', 'billion', '[2]', '\xa0(2022)']","[' $64.17', '\xa0', 'billion', '[2]', '\xa0(2022)']","[' 304,000', '[1]', '\xa0(2022)']",[' ']
Inter IKEA Systems B.V.,['Private'],['Retail'],"['28\xa0July 1943', ' in Sweden']",['Ingvar Kamprad'],['Delft'],[],[],[' €41.9 billion (2021)'],[],[],[],[' (retail)']
Casino Guichard-Perrachon S.A.,['Société Anonyme with a board of directors'],['Mass Retail'],['1898'],['Geoffroy Guichard'],"['Saint-Étienne', 'France']",[],[],"[' €14.41 billion (', ')', ' €14.61 billion (', ')', ' €2.03 billion (', ')']","[' €', '-', '656 million ', '(2021)', '[1]']","[' €30.53 billion ', '(2021)', '[1]']","[' 196,307 employees worldwide ', '(2021)', '[1]']","['www', '.groupe-casino', '.fr']"
Auchan Retail International S.A.,['SA'],['Retail'],['Roubaix'],['Gérard Mulliez'],"['Croix', 'Lille Métropole']",[],[],['€'],"[' €1.6 billion (2020)', '[1]']","[' €1.169 billion (2020)', '[1]']","['179,590 (2020)', '[1]']",['auchan-retail.com']
Suning.com,['Public'],['Retail'],"['1990 (predecessor)', '15\xa0May\xa01996', ' (date of incorporation of Suning Domestic Appliance)']",['Zhang Jindong'],['Nanjing'],[],[],"[' ', ' ', '(US$39.610 billion, 2020)']","[' ', '¥−5.015 billion\xa0RMB', '[1]', ' ', '(US$787 million, 2020)']","[' ', '¥212.075 billion\xa0RMB', '[1]', ' ', '(US$33.295 billion, 2020)']","['69,398', '[2]', ' (2 August 2021)']",['suning.cn']
CP All Public Company Limited,['Public'],['Retail (Convenience stores)'],"['7 November 1988; ', '34 years ago']",['Charoen Pokphand Group'],"['Bangkok', 'Thailand']",[],[],['baht'],[],[],"['35,557 ', '(2012)', '[1]', ':\u200a50\u200a']","['www', '.cpall', '.co', '.th']"
Ceconomy AG,[' (AG)'],['Retail'],"['2017', ' (original group was founded in 1996)']",[],['Düsseldorf'],[],[],['€20.8 billion\xa0(2019/20)'],[],[],"['46,186\xa0(2019/20)']",[' ']
"Industria de Diseño Textil, S.A.",['Sociedad Anónima'],['Retailing'],"['A Coruña', 'Galicia', 'Spain']","['Amancio Ortega', 'Rosalía Mera']","['Arteixo', 'A Coruña', 'Spain']",[],[],[' €20.4 billion (2020)'],"[' €4.8 billion (2020)', '[2]']","[' €19.621 billion (2020)', '[1]']","[' 162,450 (2020) ', '[1]']","['www', '.inditex', '.com']"
Conad,['Supermarket'],['Department store'],"['Bologna', 'Italy']",[],"['Bologna', 'Italy']",[],[],[],"['15.5 Billion ', '€', ' in 2020', '[2]']",[],"['65,772 in 2020', '[3]']","['www', '.conad', '.it']"
"The Gap, Inc.",['Public company'],['Retail'],"[', U.S.']","['Donald Fisher', 'Doris F. Fisher']","['San Francisco, California', 'U.S.']",[],[],[' '],"[' ', 'US$−862 million', ' (2020)', '[4]']","[' ', 'US$13.769 billion', ' (2020)', '[4]']","['117,000 (2021)', '[4]']","['gap', '.com', 'gapinc', '.com']"
Otto GmbH & Co KG,['Private'],[],[],['Werner Otto'],"['Hamburg', 'Germany']",[],[],['14.3 Billion EUR (2019/2020)'],[],[],"['51′982 (2019/2020)', '[1]']","['www', '.ottogroup', '.com', '/en', '/index', '.php']"
"Nike, Inc.",['Public'],"['Apparel', 'Accessories', 'Sports equipment']","['January\xa025, 1964']","['Bill Bowerman', 'Phil Knight']","['Beaverton, Oregon']",[],[],"[' ', 'US$', '46.71 ', 'billion', ' (2022)']",[' US$6.86 billion (2022)'],[' US$40.32 billion (2022)'],"['c.', '\u200979,100', ' (May 2022)']",['nike.com']
Macy's,['Subsidiary'],['Retail'],"['New York, New York']",['Rowland Hussey Macy'],['New York City'],[],[],[],[],[],[],"['macys', '.com']"
"AutoZone, Inc.",['Public company'],['Retail'],"['Forrest City, Arkansas']",['Pitt Hyde'],"['Memphis, Tennessee']",[],[],['US$'],"[' ', 'US$', '2.417 Billion (', 'Fiscal Year Ended August 29, 2020', ')', '[1]']","[' ', 'US$', '14.423 Billion (', 'Fiscal Year Ended August 29, 2020', ')', '[1]']","['~87,000\xa0(2017)']","['autozone', '.com']"
"Fomento Económico Mexicano, S.A.B. de C.V.",['Sociedad Anónima Bursátil de Capital Variable'],"['Beverage', 'Retail']",['1890'],[],"['Monterrey', 'Nuevo León', 'Mexico']",[],[],['MXN$'],[],"[' MXN$637.5 billion ', '(2019)']","['+230,000']",[]
dm-drogerie markt GmbH + Co. KG,['GmbH & Co. KG'],['Retail'],['1973'],[],"['Karlsruhe', 'Germany']",[],[],['€12.265\xa0billion (2021)'],[],[],"['66,076 (2021)', '[1]']","['dm', '.de']"
ICA Gruppen AB (publ),"['Private', 'Aktiebolag']",[],['1938'],[],"['Solna', 'Stockholm', 'Sweden']",[],[],['€'],[],[],"['23,000', '[1]']","['www', '.icagruppen', '.se', '/en', '/']"
"El Corte Inglés, S.A.",['Sociedad Anónima'],['Retail'],['Madrid'],"['Ramón Areces', 'César Rodríguez']","['Madrid', 'Spain']",[],[],[' €15.783 billion '],[],[],"[' 90,004 ', '(2018)', '[1]']",[' (International)']
Shoprite Holdings,['Public'],['Retail'],['1979'],[],['Brackenfell'],[],[],['R'],[],[],"['over 145,000 (As end July 2022)']",['https://www.shopriteholdings.co.za/']
Kering S.A.,"['Public', 'Société Anonyme']",['Luxury'],['1963'],['François Pinault'],"['40 rue de Sèvres, Paris 7e, France']",[],[],['billion'],['€3.13 billion (2019)'],['€27.148 billion (2020)'],"['38,000 (2019)']","['kering', '.com']"
"Hy-Vee, Inc.","['Private', 'employee-owned']","['Retail', 'grocery']","['Beaconsfield, Iowa']","['Charles Hyde', 'David Vredenburg']","['West Des Moines, Iowa']",[],['Gas station'],[' $12.0 billion (2021)'],[],[],"['93,000', '[1]']",['www.hy-vee.com']
"Coupang, Inc.
",['Public'],"['E-commerce', 'digital distribution']","['1\xa0July 2010', ' as Coupang Co., Ltd.']",['Bom Kim'],"['Jamsil-dong', 'Songpa-gu', 'Seoul', 'South Korea']",[],"['Rocket Delivery (e-commerce) ', 'Rocket Fresh {grocery delivery} ', 'Coupang Eats (restaurant delivery) ', 'Coupang Play (streaming service) ', 'Coupang Pay (digital payments)']","[' ', '\xa0(2021)']",[],[],"['68,000', '[1]', '\xa0(2021)']","['coupang', '.com']"
Decathlon S.A.,['Private'],['Retail'],['1976'],['Michel Leclercq'],"[""Villeneuve d'Ascq"", 'France']",[],[],['US$'],[],[],"['93 710 (2020)', '[1]']",['www.decathlon.com']
Aashirvad Cinemas,['Privately held company'],['Motion picture'],['2000'],[],['Kochi'],[],[],[],[],[],[],"['www', '.aashirvadcinemas', '.in']"
Balaji Telefilms Ltd.,['Public'],['Television'],['11 November 1994'],['Jeetendra'],['Mumbai'],[],[],"[' ', ' (US$73\xa0million) (2020)']","[' ', '₹', '576.62 crore', ' (US$72\xa0million) (2020)', '[1]']","[' ', '₹', '1,213 crore', ' (US$150\xa0million) (2020)', '[1]']",[],['Balaji Telefilms']
Bombay Talkies,[],['Entertainment'],['22 June 1934'],"['Himanshu Rai', 'Devika Rani']","['Malad', 'Maharashtra']",[],[],[],[],[],[],[]
Chilsag Entertainment Network,['Privately held company'],['Entertainment'],['India'],['Sachin Gupta'],"['Mumbai', 'India']",[],[],[],[],[],[],"['www', '.chilsag', '.com']"
Illuminati Films,['Private Limited Company'],[],['2009'],"['Saif Ali Khan', 'Dinesh Vijan']","['Mumbai', 'Maharashtra', 'India']",[],"['Production', 'Distribution']",[],[],[],[],[]
Sagafilm,[],['Film'],['1978'],[],"['Reykjavík', 'Iceland']",[],[],[],[],[],[],"['sagafilm', '.is']"
Geetha Arts,['Private'],['Entertainment'],['Hyderabad'],[],"['Hyderabad, Telangana']",[],[],[],[],[],[],['Geetha Arts']
S Pictures,['Film Production'],"['Entertainment', 'Motion picture']",['1999'],['S.Shankar'],"['Chennai', 'India']",[],[],[],[],[],[],[]
Cape of Good Films,['Private'],"['Entertainment', 'Motion picture']",['March\xa02008'],['Akshay Kumar'],"['Mumbai, Maharashtra']",[],[],[],[],[],[],[]
Red Chillies Entertainment,['Private Limited Company'],['Motion picture'],"['2002 (Formerly called ', ' in 1999)']","['Shah Rukh Khan', 'Gauri Khan']","['Mumbai', 'India']",[],"['Production', 'Distribution']",['est. ₹800 crore'],[],[],[],['redchillies.com']
Sun Pictures Pvt. Ltd,['Sun Network'],['Film'],['2000'],[],"['Chennai', 'Tamil Nadu', 'India']",[],[],[],[],[],[],"['sunpictures', '.in']"
Zee Entertainment Enterprises Limited,['Public'],"['Mass media', 'Entertainment']",['15\xa0December 1991'],"['Subhash Chandra', 'Jeon Boram']","['Mumbai', 'Maharashtra']",[],[],"[' ', ' (US$1.0\xa0billion) (2022)']","[' ', '₹', '1,460 crore', ' (US$180\xa0million) (2022)', '[2]']","[' ', '₹', '13,239 crore', ' (US$1.7\xa0billion) (2022)', '[2]']","['3,429 (2021)', '[2]']",['zee.com']
Sudha Productions,[],[],"['Mumbai', 'Maharashtra', 'India']","['Anuya Mhaiskar, Sachin Awasthee']","['Mumbai', 'Maharashtra', 'India']",[],[],[],[],[],[],[]
YNOT Studios,['Private'],"['Entertainment', 'Motion picture']","['January\xa029, 2010']",[],"['Chennai', 'Tamil Nadu']",[],[],[],[],[],[],['YNOT Studios']
Reliance Entertainment Pvt Ltd,['Division'],"['Entertainment', 'Mass media']",['15\xa0February 2005'],[],"['Mumbai, Maharashtra']",[],[],[],[],[],[],['Reliance Entertainment']
Qube Cinema Technologies,[],"['Film, TV Technology']",['1986\xa0'],"['Senthil Kumar, Jayendra Panchapakesan']",['India'],[],[],[],[],[],['650'],['\xa0']
R. K. Films,['Private'],['Bollywood'],['1948'],['Raj Kapoor'],"['Chembur', 'Mumbai', 'Maharashtra']",[],[],[],[],[],[],[]
Fuuse,[],"['Film', 'Media', 'Music']","['October, 2010']",['Deeyah Khan'],['Oslo'],[],[],[],[],[],[],[]
Studio Ghibli Inc.,['Private'],"['Motion pictures', 'Video games', 'TV commercials']",['Tokyo'],"['Hayao Miyazaki', 'Toshio Suzuki', 'Isao Takahata']","['Koganei, Tokyo']",[],[],[],[],"['¥15.77 billion', ' (2011)']",['182\xa0(2021)'],"['www', '.ghibli', '.jp']"
"Regal Entertainment, Inc.",['Private'],['Film production'],"['New Manila', 'Quezon City', 'Philippines']",[],"['Pasig', 'Philippines']",[],[],[],[],[],[],"['regalfilms', '.com']"
Silverbird Group,['Private'],['Mass media'],['1980'],['Ben Murray-Bruce'],['Victoria Island'],[],"['Real estate', 'Entertainment']",[],[],[],[],"['www', '.silverbirdgroup', '.com']"
Sverdlovsk Film Studio,['Corporation'],['Motion pictures'],"['February 4, 1943']",[],"['Ekaterinburg', 'Russia']",[],[],[],[],[],[],['http://stranamedia.com/']
Lesta Studio,[],['Video games'],['22\xa0December 1991'],[],['Saint Petersburg'],[],[],[],[],[],['150\xa0(2012)'],['lesta.ru']
Reyna Films,[],['Motion pictures'],"['Manila', 'Philippines']",[],"['Manila', 'Philippines']",[],[],[],[],[],[],[]
Kinostudiya LenFilm,['Corporation'],['Film industry'],['1914'],[],"['St. Petersburg, Russia']",[],[],[],[],[],[],"['www', '.lenfilm', '.ru']"
Gorky Film Studio,['Corporation'],['Motion pictures'],['1915'],[],['Moscow'],[],[],[],[],[],[],"['www', '.gorkyfilm', '.ru']"
Art Pictures Studio,[],['Motion pictures'],"['1992, reorganized in 2006']",[],"['Moscow', 'Russia']",[],[],[],[],[],[],['art-pictures.ru']
Proline Film,[],['Cinema'],['2004'],['Andrey Sigle'],['Saint-Petersburg'],[],[],[],[],[],[],[]
Cape Town Film Studios,['Independent'],['Film'],['2010'],[],"['Cape Town', 'South Africa']",[],[],[],[],[],[],"['www', '.capetownfilmstudios', '.co', '.za']"
Soyuzmultfilm,['JSC'],['Animated Films.'],['10\xa0June 1936'],[],"['Akademika Korolyova str.', 'Moscow', 'Russia']",[],[],"['$2.76\xa0million', '\xa0(2017)']","['-$8.58\xa0million', '[1]', '\xa0(2017)']","['$15.4\xa0million', '[1]', '\xa0(2017)']",['\xa0(February 2020)'],[]
Sidus Corporation,['Private'],['Film'],['September\xa01995'],['James Hyung Soon Kim'],"['Nonhyeon-dong', 'Gangnam District', 'Seoul', 'South Korea']",[],"['distribution', 'film production']",[],[],[],[],[]
Pink International Company d.o.o.,['d.o.o.'],['Media'],['25\xa0June 1998'],[],['Belgrade'],[],[],['€'],[],"[' €164.78 million ', '(2018)', '[2]']","['924 ', '(2018)']","['www', '.rtvpink', '.com']"
Soho Media,['Production company'],"['production', 'TV-production', 'entertainment', 'sketch shows', 'TV shows', 'sitcoms']",['1993'],[],['Moscow'],[],[],[],[],[],[],[]
Svarog Films (Сварог Фильм),['Corporation'],['Motion pictures'],['1998'],[],"['Saint Petersburg', 'Russia']",[],[],[],[],[],[],['http://www.svarog-film.com/']
Showbox Entertainment,['Joint-stock'],"['Entertainment, media']","['Seoul', 'South Korea']",['Yoo Jung-hoon'],"['Nambusunhwan', 'Gangnam']",[],['Film distribution'],"['12,327,000,000 won\xa0(2014)']","['2,086,000,000 won']",[],[],"['www', '.showbox', '.co', '.kr']"
Star TV,[],[],[],[],"['Istanbul', 'Turkey']",[],[],[],[],[],[],['www.startv.com.tr']
DNA Films,[],['Film'],['1997'],"['Andrew Macdonald', 'Duncan Kenworthy']","['London, England']",[],[],[],[],[],[],['DNAFilms.com']
BBC Film,[],['Film'],['18 June 1990'],['David M. Thompson'],['Broadcasting House'],[],['Film'],[],[],[],[],"['www', '.bbc', '.co', '.uk', '/bbcfilm']"
ITC Entertainment,[],['Media'],['1954'],"['Lord Grade', 'Prince Littler', 'Val Parnell']","['London, United Kingdom']",[],['Distribution'],[],[],[],[],[]
Shepperton Studios,['Subsidiary'],"['Film, television']","['1931', ' (as Sound Film Producing & Recording Studios)']",[],['Shepperton'],[],[],[],[],[],[],[]
40 Acres and a Mule Filmworks,['Production company'],"['Film', 'television']",['1979'],"['Spike Lee', 'Monty Ross']","['Brooklyn, New York']",[],"['Film production', 'television production']",[],[],[],[],"['40acres', '.com']"
Dragon Studios Wales,[],['Film and television production'],['2006'],[],"['Bridgend', 'Wales']",[],[],[],[],[],[],[]
Sahamongkol Film International Co. Ltd.,['Private'],['Motion pictures'],['1970'],[],"['Bangkok', 'Thailand']",[],[],[],[],[],[],['www.sahamongkolfilm.com']
Working Title Films Limited,['Subsidiary'],['Film production'],['1983'],"['Tim Bevan', 'Sarah Radclyffe']","['London', 'England']",[],[],[],[],[],[],['Official website']
Warp Films,[],['Feature Films and TV Drama'],['1999'],"['Rob Mitchell', 'Steve Beckett']",['Sheffield'],[],[],[],[],[],[],"['warpfilms', '.com']"
Vertigo Films,['Private'],"['Film, television']","['London, United Kingdom ', ' (July 2002)']",[],['London'],[],[],[],[],[],[],"['vertigofilms', '.com']"
Cinemation Industries,[],['Exploitation film studio'],['1965'],[],"['New York City', 'United States']",[],[],[],[],[],[],[]
"Blue Sky Studios, Inc.",['Subsidiary'],"['Computer animation', 'Motion pictures']","['February\xa022, 1987']","['Carl Ludwig', 'Eugene Troubetzkoy', 'Alison Brown', 'David Brown', 'Michael Ferraro']","['Greenwich, Connecticut']",[],[],[],[],[],"['450', '[6]', '\xa0(2021)']","['blueskystudios.com', 'Wayback Machine']"
Twickenham Studios Limited,['Limited company'],['Film and TV'],['1913'],[],"['St Margarets, London']",[],[],[],[],[],[],"['www', '.twickenhamstudios', '.com']"
Cedar Grove Productions,['Entertainment'],[],['1996'],"['Tim Toyama', 'Chris Tashima', 'Chris Donahue']",['United States'],[],[],[],[],[],[],['www.cedargroveproductions.com']
First National Pictures,[],"['Motion picture exhibition, distribution and production']",['1917'],"['Thomas L. Tally', 'J. D. Williams']",['United States'],[],[],[],[],[],[],[]
Famous Players-Lasky Corporation,[],['Film'],"['June\xa028, 1916']","['Adolph Zukor', 'Jesse L. Lasky', 'Frohman brothers']","['Hollywood, California', 'United States']",[],[],[],[],[],[],[]
The Famous Players Film Company,[],['Motion pictures'],"['May\xa08, 1912']",['Adolph Zukor'],"['Hollywood, California']",[],[],[],[],[],[],[]
First Look Studios,['Private'],"['Film production', 'Home video']",['1980'],"['Robert Little', 'Ellen Little']","['Century City, California']",[],[],[],[],['$25 million'],[],[]
Fine Line Features,['Division'],['Film production'],['1991'],['Ira Deutchman'],['4000 Warner Blvd'],[],[],[],[],[],[],[]
Entertainment One Ltd.,"['Subsidiary', 'Division', 'Division']","['Entertainment', 'Film production', 'Television production']","['1970', '2007', '1980']","['Laszlo Barna', 'Laura Alper']","['Toronto', 'Ontario', 'Toronto', 'Ontario', 'Toronto', 'Ontario']",[],[],['£941.2 million (2019)'],[],[],[],"['\xa0', '\xa0']"
DreamWorks Animation LLC,"['Division', 'Subsidiary']","['Animated', 'films']","['October 12, 1994', ' (as a division of ', ')', 'October 27, 2004', ' (as DreamWorks Animation SKG)']","['Steven Spielberg', 'Jeffrey Katzenberg', 'David Geffen']","['Glendale, California']",[],[],[],[],[],"['1,400 (2022)', '[2]']","['dreamworks', '.com']"
Film Booking Offices of America,['Corporation'],['Motion pictures'],['1922'],[],"['723 Seventh Avenue, New York, NY']",[],[],[],[],[],[],[]
Goldwyn Pictures,[],['Film studio'],"['November\xa019, 1916']","['Samuel Goldwyn', 'Edgar Selwyn', 'Archibald Selwyn']","['Fort Lee, New Jersey']",[],[],[],[],[],[],[]
"The Cannon Group, Inc.",['Private'],['Film production'],"['October\xa023, 1967']","['Dennis Friedland ', 'Christopher C. Dewey']","['United States', '(Also owned studios and cinema chains throughout the UK, Israel and Europe)']",[],[],[],[],[],[],[]
Gnome Motion Picture Company,['Private'],['Film studio'],['1910'],[],"['The Bronx', 'New York City', 'New York']",[],[],[],[],[],[],[]
"Gener8Xion Entertainment, Inc.",['Inc'],['Entertainment'],['1993'],['Matthew Crouch'],"['Hollywood, California', 'United States']",[],[],[],[],[],[],['www.8X.com']
"Searchlight Pictures, Inc.",['Subsidiary'],['Film'],['1994'],['Tom Rothman'],"['Century City, Los Angeles, California', 'United States']",[],[],[],[],[],['100+'],"['searchlightpictures.com', '[a]']"
Samuel Goldwyn Productions,['Independent'],['Film'],['1923'],['Samuel Goldwyn'],['United States'],[],['Film production'],[],[],[],[],[]
Magnolia Pictures,['Subsidiary'],['Motion pictures'],['2001'],"['Bill Banowsky ', ' Eamonn Bowles']","['New York City', 'New York', 'United States']",[],[],[],[],[],[],"['magpictures', '.com']"
Lions Gate Entertainment Corporation,['Public'],"['Entertainment', 'Home video']","['Vancouver', 'British Columbia']","['Frank Giustra', 'Stephen Shellen']","['Santa Monica, California', 'Santa Monica, California']",[],"['Film production', 'Video on demand', 'Television broadcasting', 'Broadcast programming', 'Digital distribution']",[' US$3.597 billion\xa0(2022)'],[' US$79 million\xa0(2022)'],[' US$9.088 billion\xa0(2022)'],"['3,500\xa0(2018)']","['lionsgate.com', 'www', '.lionsgate', '.com']"
Lightstorm Entertainment,['Private'],['Film'],['1990'],"['James Cameron', 'Lawrence Kasanoff']","['Santa Monica', 'California', 'U.S.']",[],[],[],[],[],[],[]
Lubin Manufacturing Company,[],['Motion pictures'],['1896'],['Siegmund Lubin'],"['Philadelphia, Pennsylvania', 'United States']",[],[],[],[],[],[],[]
Lightyear Entertainment,"['Film distributor', 'music distributor']",['Entertainment'],[],[],"['Studio City', 'California']",[],[],[],[],[],[],"['lightyear', '.com']"
"Marvel Studios, LLC",['Subsidiary'],"['Film', 'Television', 'Animation']","['December\xa07, 1993']","['Avi Arad', 'Toy Biz']",['500 South Buena Vista Street'],[],[],[],[],[],[],"['www', '.marvel', '.com', '/movies']"
Lucasfilm Ltd. LLC,['Subsidiary'],"['Film', 'Television']","['December\xa010, 1971', ' in San Francisco, California, United States']",['George Lucas'],['Letterman Digital Arts Center'],[],[],[],[],[],"['2,000 (2015)', '[2]']",[' ']
Pacific International Enterprises,['Private'],"['Production company', 'Film distributor']",['1974'],[],"['Medford, Oregon', 'United States']",[],[],[],[],[],[],[]
"Overture Films, LLC","['Private', 'subsidiary company']",['Motion pictures'],['November\xa02006'],"['Chris McGurk', 'Danny Rosett']","['Beverly Hills, California']",[],[],[],[],[],[],[]
Limelight Department,['Subsidiary'],['Motion pictures'],"['Melbourne', 'Australia']",[],"['Melbourne', 'Australia']",[],[],[],[],[],[],[]
