Name,Industry,Sector,Headquarters,Founded
Lindex,Consumer services,Apparel retailers,Gothenburg,1954
Linjeflyg,Consumer services,Airlines,Stockholm,1957
LKAB,Basic materials,General mining,Luleå,1890
Loomis,Industrials,Business support services,Stockholm,1997
Lundin Petroleum,Oil & gas,Exploration & production,Stockholm,2001
Luxor AB,Consumer goods,Consumer electronics,Motala,1923
MachineGames,Technology,Software,Uppsala,2009
Mälarenergi,Utilities,Conventional electricity,Västerås,1861
Maratone Studios,Consumer services,Broadcasting & entertainment,Stockholm,2001
Massive Entertainment,Technology,Software,Malmö,1997
Mecel,Technology,Software,Gothenburg,1982
Meda AB,Health care,Pharmaceuticals,Solna,1954
Micromy,Basic materials,Specialty chemicals,Täby,2009
Modern Times Group,Consumer services,Broadcasting & entertainment,Stockholm,1987
Mojang,Technology,Software,Stockholm,2009
Mölnlycke Health Care,Health care,Medical equipment,Gothenburg,1849
Monark,Consumer goods,Recreational products,Vansbro,1908
MySQL AB,Technology,Software,Uppsala,1995
Najad Yachts,Consumer goods,Recreational products,Henån,1971
Nanoradio,Technology,Semiconductors,Kista,2004
Nasdaq Nordic,Financials,Investment services,Stockholm,2003
NCC AB,Industrials,Heavy construction,Solna,1988
Neogames,Consumer services,Publishing,Gothenburg,2006
Neonode,Telecommunications,Computer hardware,Stockholm,2001
Nextjet,Consumer services,Airlines,Stockholm,2002
Nobia,Consumer goods,Durable household products,Stockholm,1996
Nobina,Consumer services,Travel & tourism,Stockholm,1999
NOHAB,Industrials,Diversified industrials,Trollhättan,1916
Nordiska Kompaniet,Consumer services,Broadline retailers,Stockholm,1864
Nordstjernan,Conglomerates,-,Stockholm,1890
NorthStar,Industrials,General industries,Stockholm,2000
Nudie Jeans,Consumer goods,Clothing & accessories,Gothenburg,2001
Nyby bruk,Basic materials,Iron & steel,Torshälla,1829
Nyfors,Technology,Telecommunications equipment,Stockholm,1987
Nynas,Oil & gas,Exploration & production,Stockholm,1928
Odd Molly,Consumer goods,Clothing & accessories,Stockholm,2002
Öhlins,Consumer goods,Auto parts,Upplands Väsby,1976
Onoff,Consumer services,Broadline retailers,Upplands Väsby,1971
Orexo,Health care,Pharmaceuticals,Uppsala,1995
Oriflame,Consumer goods,Personal products,Stockholm,1967
Orrefors glassworks,Industrials,Building materials & fixtures,Orrefors,1898
Oskarshamn Shipyard,Industrials,Commercial vehicles & trucks,Oskarshamn,1863
Ovako,Basic materials,Iron & steel,Stockholm,1969
Pågen,Consumer goods,Food products,Malmö,1878
Paradox Interactive,Technology,Software,Stockholm,1999
Peab,Industrials,Heavy construction,Förslöv,1959
Peltarion,Technology,Software,Stockholm,2004
Phadia,Health care,Medical equipment,Uppsala,1971
Pharmacia,Health care,Pharmaceuticals,Stockholm,1911
Polarbröd,Consumer goods,Food products,Älvsbyn,1972
PostNord,Industrials,Delivery services,Solna,2009
PostNord Sverige,Industrials,Delivery services,Solna,1636
Primus AB,Consumer goods,Household goods,Stockholm,1892
Pripps,Consumer goods,Brewers,Gothenburg,1828
Profoto,Industrials,Building materials & fixtures,Stockholm,1968
PS Communication,Industrials,Business support services,Stockholm,1997
Ratos,Financials,Real estate holding & development,Stockholm,1933
ReadSoft,Technology,Software,Helsingborg,1991
Recipharm,Health care,Pharmaceuticals,Haninge,1995
Rederi AB Slite,Consumer services,Travel & tourism,Gothenburg,1947
Remograph,Technology,Software,Linköping,2005
Resurs Holding,Financials,Banks,Helsingborg,2001
Saab Automobile,Consumer goods,Automobiles,Trollhättan,1945
Saab Group,Industrials,Aerospace,Stockholm,1937
SamLogic,Technology,Software,Stockholm,1992
Sandvik,Industrials,Industrial engineering,Stockholm,1862
SAS Group,Consumer services,Airlines,Solna,1946
SCA,Basic materials,Paper,Stockholm,1929
Scalado,Technology,Software,Lund,2000
Scandic Hotels,Consumer services,Hotels,Stockholm,1963
Scania AB,Consumer goods,Automobiles,Södertälje,1891
Seavus,Technology,Software,Malmö,1999
SEB Group,Financials,Investment services,Stockholm,1972
Sector3 Studios,Technology,Software,Lidköping,2003
Securitas,Industrials,Business support services,Stockholm,1934
Securitas Direct,Industrials,Business support services,Malmö,1988
Semcon,Industrials,Business support services,Gothenburg,1980
SF Studios,Consumer services,Broadcasting & entertainment,Stockholm,1919
SIBA,Consumer services,Specialty retailers,Gothenburg,1951
Silva compass,Consumer goods,Recreational products,Stockholm,1932
Simogo,Technology,Software,Malmö,2010
SJ AB,Consumer services,Travel & tourism,Stockholm,2001
Skandia,Financials,Investment services,Stockholm,1855
Skandinaviska Banken,Financials,Banks,Gothenburg,1864
Skanska,Industrials,Heavy construction,Stockholm,1887
Skellefteå Kraft,Utilities,Conventional electricity,Skellefteå,1906
SKF,Industrials,Industrial suppliers,Gothenburg,1907
Skygoblin,Technology,Software,Gothenburg,2005
Smart Eye,Technology,Software,Gothenburg,1999
Södra,Basic materials,Paper,Växjö,1938
Specma,Industrial,Industrial Engineering,Gothenburg,1918
Spendrups,Consumer goods,Brewers,Stockholm,1897
Spotify,Technology,Internet,Stockholm,2006
SR International – Radio Sweden,Consumer services,Broadcasting & entertainment,Stockholm,1938
SSAB,Basic materials,Iron & steel,Stockholm,1978
Starbreeze Studios,Technology,Software,Stockholm,1998
Stena Line,Consumer services,Travel & tourism,Gothenburg,1962
Stena Sphere,Conglomerates,-,Gothenburg,1939
Stiga,Consumer goods,Durable household products,Eskilstuna,1934
Stockholm Stock Exchange,Financials,Investment services,Stockholm,1863
Stockholms Enskilda Bank,Financials,Banks,Stockholm,1856
Studsvik,Utilities,Conventional electricity,Nyköping,1947
Sveriges Television,Consumer services,Broadcasting & entertainment,Stockholm,1956
Sweco,Industrials,Business support services,Stockholm,1997
Swedbank,Financials,Banks,Stockholm,1820
Swedish Match,Consumer goods,Tobacco,Stockholm,1915
Swedish Meats,Livestock,Meat,Stockholm,
Swedish Orphan Biovitrum,Health care,Health care providers,Stockholm,2001
Swedish Space Corporation,Industrials,Aerospace,Solna,1972
Swegon,Industrials,Industrial machinery,Gothenburg,2005
Symsoft,Telecommunications,Mobile telecommunications,Stockholm,1989
Syncron International AB,Technology,Software,Stockholm,1990
Tarsier Studios,Technology,Software,Malmö,2004
Tele2,Telecommunications,Fixed line telecommunications,Stockholm,1993
Telelogic,Technology,Software,Malmö,1983
Telia Company,Telecommunications,Mobile telecommunications,Stockholm,2003
Teracom,Consumer services,Broadcasting & entertainment,Stockholm,1992
TerraNet AB,Telecommunications,Mobile telecommunications,Lund,2004
Tetra Pak,Industrials,Containers & packaging,Lund,1951
Thule Group,Consumer goods,Automobiles,Hillerstorp,1942
Tradedoubler,Technology,Internet,Stockholm,1999
Transmode,Telecommunications,Fixed line telecommunications,Stockholm,2000
Trelleborg,Industrials,Business support services,Trelleborg,1905
Truecaller,Technology,Software,Stockholm,2009
Trustly,Financials,Banks,Stockholm,2008
TV4 Group,Consumer services,Broadcasting & entertainment,Stockholm,1984
Uddeholms AB,Basic materials,Iron & steel,Hagfors,1668
Umeå Energi,Utilities,Conventional electricity,Umeå,1887
Urbanears,Consumer goods,Recreational products,Stockholm,2009
V&S Group,Consumer goods,Soft drinks,Stockholm,1917
Vabis,Industrials,Diversified industrials,Södertälje,1891
Vattenfall,Utilities,Conventional electricity,Stockholm,1909
Vida AB,Basic materials,Forestry,Alvesta,1969
Volvo,Industrials,Commercial vehicles & trucks,Gothenburg,1927
Volvo Buses,Industrials,Commercial vehicles & trucks,Gothenburg,1968
Volvo Financial Services,Financials,Investment services,Gothenburg,2001
Volvo Penta,Consumer goods,Auto parts,Skövde,1907
Volvo Trucks,Industrials,Commercial vehicles & trucks,Gothenburg,1928
VSM Group,Consumer goods,Durable household products,Huskvarna,1872
Wallenius Lines,Industrials,Marine transportation,Stockholm,1934
Wasabröd,Consumer goods,Food products,Skellefteå,1919
Wayne's Coffee,Consumer services,Restaurants & bars,Stockholm,1994
WESC,Consumer goods,Clothing & accessories,Stockholm,1999
WG Film,Consumer services,Broadcasting & entertainment,Malmö,1994
WM-data,Technology,Software,Stockholm,1969
X5 Music Group,Consumer services,Broadcasting & entertainment,Stockholm,2003
3scale,Technology,Software,Barcelona,2007
Abengoa,Conglomerates,-,Seville,1941
Abertis,Conglomerates,-,Barcelona,2003
Acciona,Industrials,Heavy construction,Alcobendas,1997
Acerinox,Basic materials,Iron & steel,Madrid,1970
ACS Group,Industrials,Heavy construction,Madrid,1997
Afinsa,Consumer services,Specialty retailers,Madrid,1980
Akamon Entertainment,Technology,Software,Barcelona,2011
Almirall,Health care,Pharmaceuticals,Barcelona,1943
Amadeus IT Group,Technology,Software,Madrid,1987
Astilleros y Talleres del Noroeste,Industrials,Shipbuilding,Fene,1944
Atresmedia,Consumer services,Broadcasting & entertainment,San Sebastián de los Reyes,1988
Balay,Consumer goods,Durable household products,Zaragoza,1947
Banco Bilbao Vizcaya Argentaria,Financials,Banks,Bilbao,1857
Banco Popular Español,Financials,Banks,Madrid,1926
Banco Sabadell,Financials,Banks,Sabadell,1881
Banco Santander,Financials,Banks,Santander,1857
Banesto,Financials,Banks,Madrid,1902
Bankinter,Financials,Banks,Madrid,1965
Bassols 1790,Consumer goods,Textiles,Vic,1790
Bolsas y Mercados Españoles,Financials,Banks,Madrid,1831
BRB Internacional,Consumer services,Broadcasting & entertainment,Alcobendas,1972
Budgetplaces,Consumer services,Travel & tourism,Barcelona,2003
Calidad Pascual,Consumer goods,Food & beverage,Madrid,1969
CATUAV,Industrials,Aerospace,Moià,2007
Chupa Chups,Consumer goods,Food products,Barcelona,1958
CIE Automotive,Consumer goods,Auto parts,Bilbao,2002
Cintra,Industrials,Heavy construction,Madrid,1998
Cepsa,Oil & gas,Exploration & production,Madrid,1929
Compañía Logística de Hidrocarburos,Utilities,Oil & gas distribution,Madrid,1927
Construcciones Aeronáuticas SA,Industrials,Aerospace,Madrid,1923
Construcciones y Auxiliar de Ferrocarriles,Industrials,Commercial vehicles & trucks,Beasain,1917
Copisa,Industrials,Heavy construction,Barcelona,1959
Correos,Industrials,Delivery services,Madrid,1716
Cortefiel,Consumer services,Apparel retailers,Madrid,1880
Cupra,Consumer goods,Automobiles,Martorell,2018
Curaxys,Health care,Biotechnology,Cádiz,2009
Deoleo,Consumer goods,Food products,Córdoba,1955
DIA,Consumer services,Food retailers & wholesalers,Las Rozas,1979
Ebro Foods,Consumer goods,Food products,Madrid,1998
Ebro trucks,Consumer goods,Automobiles,Barcelona,1954
El Corte Inglés,Consumer services,Food retailers & wholesalers,Madrid,1940
Enagás,Utilities,Oil & gas distribution,Madrid,1972
Endesa,Utilities,Conventional electricity,Madrid,1944
Eroski,Consumer services,Food retailers & wholesalers,Elorrio,1969
Euskaltel,Telecommunications,Fixed line telecommunications,Derio,1995
Fagor,Consumer goods,Durable household products,Mondragón,1956
Ferrovial,Industrials,Heavy construction,Madrid,1952
Festina,Consumer goods,Clothing & accessories,Barcelona,1902
Fierro Group,Conglomerates,-,Madrid,1961
Fomento de Construcciones y Contratas,Industrials,Heavy construction,Barcelona,1900
Gamesa,Oil & gas,Renewable energy equipment,Zamudio,1976
Naturgy,Utilities,Oil & gas distribution,Madrid,1991
GMV Innovating Solutions,Conglomerates,-,Tres Cantos,1984
Grundig mobile,Technology,Telecommunications equipment,Málaga,2005
Grupo Agbar,Utilities,Water,Barcelona,1867
Grupo Antolin,Consumer goods,Auto parts,Burgos,1950
Grupo Calvo,Consumer goods,Food products,Carballo,1940
Grupo Gea Perona,Utilities,Oil & gas distribution,Murcia,1927
Grupo Lo Monaco,Consumer goods,Furnishings,Granada,1996
Grupo Puma,Industrials,Building materials & fixtures,Madrid,1985
Hijos de Rivera,Consumer goods,Brewers,A Coruña,1906
Hipercor,Consumer services,Food retailers & wholesalers,Madrid,1979
Iberdrola,Utilities,Conventional electricity,Bilbao,1992
Iberia,Consumer services,Airlines,Madrid,1927
Idilia Foods,Consumer goods,Food products,Barcelona,1940
Inditex,Consumer services,Apparel retailers,Arteixo,1985
Indra Sistemas,Industrials,Aerospace,Madrid,1993
Inmobiliaria Colonial,Financials,Real estate holding & development,Madrid,1946
Irizar,Industrials,Commercial vehicles & trucks,Ormaiztegi,1889
Joma,Consumer goods,Clothing & accessories,Portillo de Toledo,1965
Kelme,Consumer services,Apparel retailers,Elche,1977
La Caixa,Financials,Banks,Valencia,1990
La Casera,Consumer services,Food retailers & wholesalers,Madrid,1949
Lacasa,Consumer goods,Food products,Zaragoza,1852
Lladró,Consumer goods,Recreational products,Tavernes Blanques,1953
Llaollao,Consumer goods,Food products,Murcia,2009
Mahou San Miguel,Consumer goods,Brewers,Madrid,1890
Majorica,Consumer goods,Clothing & accessories,Palma,1890
Mango,Consumer services,Apparel retailers,Palau-solità i Plegamans,1984
Mapfre,Financials,Full line insurance,Majadahonda,1933
Marfeel,Technology,Software,Barcelona,2011
Mediaset España Comunicación,Consumer services,Broadcasting & entertainment,Madrid,1989
Meliá Hotels International,Consumer services,Hotels,Palma,1956
Mercadona,Consumer services,Food retailers & wholesalers,Tavernes Blanques,1977
Mondragon Corporation,Conglomerates,-,Mondragón,1956
Mutua Madrileña,Financials,Full line insurance,Madrid,1930
Naipes Heraclio Fournier,Industrials,Recreational products,Vitoria-Gasteiz,1868
Natra,Conglomerates,-,Valencia,1943
Navantia,Industrials,Shipbuilding,Madrid,2005
NH Hotel Group,Consumer services,Hotels,Madrid,1978
Nodosa Shipyard,Industrials,Shipbuilding,Bueu,1982
Obrascón Huarte Lain,Industrials,Heavy construction,Madrid,1999
Orbea,Consumer goods,Recreational products,Mallabia,1931
Pacha Group,Consumer services,Travel & tourism,Ibiza,1967
Pescanova,Consumer goods,Food products,Redondela,1960
Planeta Group,Consumer services,Publishing,Barcelona,1949
Porcelanosa,Industrials,Building materials & fixtures,Villarreal,1973
PRISA TV,Consumer services,Broadcasting & entertainment,Tres Cantos,1989
Private Media Group,Consumer services,Broadcasting & entertainment,Barcelona,1965
Prosegur,Industrials,Business support services,Madrid,1976
Pyro Studios,Technology,Software,Alcobendas,1996
Red Eléctrica de España,Utilities,Conventional electricity,Alcobendas,1985
Renfe,Consumer services,Travel & tourism,Madrid,2005
Repsol,Oil & gas,Integrated oil & gas,Madrid,1987
RTVE,Consumer services,Broadcasting & entertainment,Madrid,2007
RIU Hotels,Consumer services,Hotels,Majorca,1953
Sacyr,Industrials,Heavy construction,Madrid,1999
Santana Motor,Consumer goods,Automobiles,Linares,1956
SEAT,Consumer goods,Automobiles,Martorell,1950
SENER,Industrials,Heavy construction,Getxo,1956
Sener Aeronáutica,Industrials,Aerospace,Getxo,1956
Talgo,Industrials,Commercial vehicles & trucks,Las Rozas de Madrid,1942
Técnicas Reunidas,Oil & gas,Oil equipment & services,Madrid,1959
Telefónica,Telecommunications,Fixed line telecommunications,Madrid,1924
Telepizza,Consumer services,Restaurants & bars,Madrid,1987
Terra,Technology,Internet,Madrid,1999
Uralita Group,Industrials,Building materials & fixtures,Madrid,1907
Vidal,Consumer goods,Food products,Molina de Segura,1963
Vitelcom,Consumer goods,Consumer electronics,Málaga,2001
Vodafone Spain,Telecommunications,Mobile telecommunications,Madrid,2000
Vueling,Consumer services,Airlines,Barcelona,2004
Zara,Consumer services,Apparel retailers,Arteixo,1974
Zinkia Entertainment,Consumer services,Broadcasting & entertainment,Madrid,2001
Academa,Technology,Software,Ljubljana,1992
Adria Airways,Consumer services,Airlines,Zgornji Brnik,1961
Adria Mobil,Consumer goods,Automobiles,Novo Mesto,1965
Akrapovič,Consumer goods,Automobiles,Ivančna Gorica,1990
Alpina Žiri,Consumer goods,Footwear,Žiri,1948
Amebis,Technology,Software,Kamnik,2012
AMIS,Telecommunications,Fixed line telecommunications,Maribor,1995
BTC,Consumer services,Broadline retailers,Ljubljana,1954
Elan,Consumer goods,Recreational products,Begunje na Gorenjskem,1945
Goodyear Dunlop Sava Tires,Consumer goods,Automobiles,Kranj,1998
Gorenje,Consumer goods,Durable household products,Velenje,1950
Iskra (company),Industrials,Diversified industrials,Kranj,1946
Istrabenz,Conglomerates,-,Koper,1948
Krka,Health care,Pharmaceuticals,Novo Mesto,1954
Litostroj,Industrials,Industrial machinery,Ljubljana,1946
Ljubljana Jože Pučnik Airport,Industrials,Transportation services,Ljubljana,1963
Mercator,Consumer services,Food retailers & wholesalers,Ljubljana,1949
Mobitel,Telecommunications,Mobile telecommunications,Ljubljana,1991
Petrol Group,Consumer services,Specialty retailers,Ljubljana,1947
Port of Koper,Industrials,Transportation services,Koper,1957
Post of Slovenia,Industrials,Delivery services,Maribor,1995
Slovenian Railways,Industrials,Railroads,Ljubljana,1991
Slovenija ceste Tehnika,Industrials,Construction & materials,Ljubljana,1943
Solinair,Consumer services,Airlines,Ljubljana,1991
Tomos,Consumer goods,Automobiles,Koper,1954
XLAB d.o.o,Technology,Software,Ljubljana,2001
ZootFly,Technology,Software,Ljubljana,2002
Air Slovakia,Consumer services,Airlines,Bratislava,1993
Cestné a Stavebné Mechanizmy Tisovec,Industrials,Defense,Detva,1955
Doprastav,Industrials,Heavy construction,Bratislava,1953
Elnec,Industrials,Electronic equipment,Prešov,1991
ESET,Technology,Computer services,Bratislava,1992
Glass LPS,Consumer goods,Durable household products,Medzilaborce,1999
Istrobanka,Financials,Banks,Bratislava,1992
J&T Finance Group,Financials,Investment services,Bratislava,1993
JTRE,Real estate,Real estate management & development,Bratislava,1996
JJ Electronic,Industrials,Electrical components & equipment,Čadca,1993
Komerční banka Bratislava,Financials,Banks,Bratislava,1995
Matador,Consumer goods,Tires,Púchov,1947
"OFZ, a.s., Istebné",Basic materials,Iron & steel,Istebné,1999
Orange Slovensko,Telecommunications,Mobile telecommunications,Bratislava,1997
Penta Investments,Financials,Investment services,Bratislava,1994
Poštová banka,Financials,Banks,Bratislava,1992
Šariš Brewery,Consumer goods,Brewers,Veľký Šariš,1964
Slovak Airlines,Consumer services,Airlines,Bratislava,1995
Slovak Telekom,Telecommunications,Fixed line telecommunications,Bratislava,1999
Slovalco,Basic materials,Aluminum,Žiar nad Hronom,1993
Slovart Music,Consumer services,Broadcasting & entertainment,Bratislava,1993
Slovenská pošta,Industrials,Delivery services,Banská Bystrica,1993
Slovenská sporiteľňa,Financials,Banks,Bratislava,1819
Slovenské elektrárne,Utilities,Conventional electricity,Bratislava,1942
Slovenský plynárenský priemysel,Oil & gas,Exploration & production,Bratislava,2006
Slovnaft,Oil & gas,Exploration & production,Bratislava,1949
Sygic,Technology,Software,Bratislava,2004
Tatra banka,Financials,Banks,Bratislava,1990
O2 Slovakia,Telecommunications,Mobile telecommunications,Bratislava,2006
Topvar,Consumer goods,Brewers,Veľký Šariš,1957
Transpetrol AS,Oil & gas,Pipelines,Bratislava,1954
U.S. Steel Košice,Basic materials,Iron & steel,Košice,2000
Vagónka,Industrials,Commercial vehicles & trucks,Trebišov,1922
Železničná spoločnosť Slovensko,Industrials,Railroads,Bratislava,2004
Zlatý Bažant,Consumer goods,Brewers,Hurbanovo,1969
Adevărul Holding,Consumer services,Publishing,Bucharest,2008
Angst,Consumer services,Food retailers & wholesalers,Buftea,1990
Antibiotice Iași,Health care,Pharmaceuticals,Iași,1955
Apulum,Consumer goods,Durable household products,Alba Iulia,1970
Arctic S.A.,Consumer goods,Durable household products,Găești,1968
Automobile Dacia,Consumer goods,Automobiles,Mioveni,1966
Banca Comercială Română,Financials,Banks,Bucharest,1990
Banca Transilvania,Financials,Banks,Cluj-Napoca,1993
Blue Air,Consumer services,Airlines,Bucharest,2004
BRD – Groupe Société Générale,Financials,Banks,Bucharest,1923
Căile Ferate Române,Industrials,Railroads,Bucharest,1880
Continental Hotels,Consumer services,Hotels,Bucharest,1991
Dedeman,Consumer services,Retail services,Bacău,1992
European Drinks & Foods,Consumer goods,Food products,Ștei,1993
Farmec,Consumer goods,Personal products,Cluj-Napoca,1993
Ford Romania,Consumer goods,Automobiles,Craiova,1976
GeCAD Software,Technology,Software,Bucharest,1992
Grup Feroviar Român,Industrials,Railroads,Bucharest,2001
Intact Media Group,Consumer services,Media agencies,Bucharest,1991
Jolidon,Consumer goods,Clothing & accessories,Cluj-Napoca,1993
Mangalia shipyard,Industrials,Commercial vehicles & trucks,Mangalia,1997
Mega Image,Consumer services,Food retailers & wholesalers,Bucharest,1995
Metrorex,Consumer services,Travel & tourism,Bucharest,1976
Mobexpert,Consumer services,Specialty retailers,Bucharest,1993
Napolact,Consumer goods,Food products,Cluj-Napoca,1905
Orange Romania,Telecommunications,Mobile telecommunications,Bucharest,1997
Petrom,Oil & gas,Integrated oil & gas,Bucharest,1991
Petromidia Refinery,Oil & gas,Exploration & production,Năvodari,1974
Poșta Română,Industrials,Delivery services,Bucharest,1862
Raiffeisen Romania,Financials,Banks,Bucharest,1998
RCS & RDS,Telecommunications,Fixed line telecommunications,Bucharest,1993
Realitatea-Cațavencu,Consumer services,Media agencies,Bucharest,2006
Regiotrans,Consumer services,Travel & tourism,Brașov,2005
Roman,Industrials,Commercial vehicles & trucks,Brașov,1921
Rompetrol,Oil & gas,Exploration & production,Bucharest,1974
Romstal,Industrials,Industrial suppliers,Bucharest,1994
Romtelecom,Telecommunications,Fixed line telecommunications,Bucharest,1989
SIVECO Romania,Technology,Software,Bucharest,1992
