Name,Industry,Sector,Headquarters,Founded
Fábrica Nacional de Munições de Armas Ligeiras,Industrials,Defense,Lisbon,1947
Galp Energia,Utilities,Gas distribution,Lisbon,1999
Glintt,Technology,Software,Lisbon,2008
Grupo José de Mello,Conglomerates,-,Lisbon,1986
Iberomoldes,Industrials,General industries,Marinha Grande,1975
Impresa,Consumer services,Media,Oeiras,1972
Jerónimo Martins,Consumer services,Retail,Lisbon,1792
Lactogal,Consumer goods,Food & beverage,Porto,1996
Logoplaste,Industrials,Diversified industrials,Cascais,1976
Martifer,Industrials,Heavy construction,Oliveira de Frades,1990
Media Capital,Consumer services,Broadcasting & entertainment,Oeiras,1988
Medinfar,Health care,Pharmaceuticals,Lisbon,1970
MEO,Telecommunications,Mobile telecommunications,Lisbon,1991
Montepio,Financials,Banks,Lisbon,1840
Mota-Engil,Industrials,General industries,Porto,1946
Move Interactive,Technology,Software,Cascais,2008
NOS,Telecommunications,Fixed line telecommunications,Lisbon,1994
Novabase,Technology,Software,Lisbon,1989
Novo Banco,Financials,Banks,Lisbon,2014
Pingo Doce,Consumer services,Food retailers & wholesalers,Lisbon,1980
Porto Editora,Consumer services,Publishing,Porto,1944
Portugal Telecom,Telecommunications,Fixed line telecommunications,Lisbon,1994
Quidgest,Technology,Software,Lisbon,1988
Rádio e Televisão de Portugal,Consumer services,Broadcasting & entertainment,Lisbon,1935
Redes Energéticas Nacionais,Utilities,Conventional electricity,Lisbon,1994
Renova,Basic materials,Paper,Torres Novas,1939
SAPO,Telecommunications,Fixed line telecommunications,Lisbon,1995
Semapa,Industrials,Building materials & fixtures,Lisbon,1991
Simoldes,Industrials,Diversified industrials,Oliveira de Azeméis,1959
Soares da Costa,Industrials,Heavy construction,Porto,1918
SIC,Consumer services,Broadcasting & entertainment,Lisbon,1992
Sonae Indústria,Industrials,Diversified industrials,Maia,1959
Sonae,Conglomerates,-,Maia,1959
Sovena Group,Consumer goods,Farming & fishing,Oeiras,1956
Sumol + Compal,Consumer goods,Food products,Oeiras,2008
Tabaqueira,Consumer goods,Tobacco,Lisbon,1927
TAP Air Portugal,Consumer services,Airlines,Lisbon,1945
Televisão Independente,Consumer services,Broadcasting & entertainment,Oeiras,1993
The Navigator Company,Basic materials,Paper,Setúbal,2001
Tranquilidade,Financials,Full line insurance,Lisbon,1871
Tupam editores,Consumer services,Publishing,Lisbon,1977
UMM,Industrials,Diversified industrials,Lisbon,1977
