,Name,Industry,Sector,Headquarters,Founded
41,Boghammar Marin AB,Industrials,Commercial vehicles & trucks,Lidingö,1906
42,Boliden,Basic materials,General mining,Stockholm,1931
43,Bolinder-Munktell,Industrials,Commercial vehicles & trucks,Eskilstuna,1932
44,Bona AB,Industrials,Building materials & fixtures,Malmö,1919
45,Bonnier Group,Consumer services,Broadcasting & entertainment,Stockholm,1804
46,Braathens Regional Aviation,Consumer services,Airlines,Malmö,1981
47,Bredbandsbolaget,Telecommunications,Fixed line telecommunications,Stockholm,1998
48,Brio,Consumer goods,Toys,Malmö,1884
49,Bure Equity,Financials,Investment services,Stockholm,1992
50,Camfil,Industrials,Industrial machinery,Stockholm,1963
51,Carnegie Investment Bank,Financials,Investment services,Stockholm,1803
52,Casino Cosmopol,Consumer services,Gambling,Stockholm,1999
53,Cederroth,Health care,Health care providers,Upplands Väsby,1895
54,Cheap Monday,Consumer goods,Clothing & accessories,Stockholm,2000
55,Clas Ohlson,Consumer services,Home improvement retailers,Insjön,1918
56,Clavia,Consumer goods,Recreational products,Stockholm,1983
57,Cloetta,Consumer goods,Food products,Stockholm,1862
58,Columbitech,Technology,Software,Stockholm,2000
59,Com Hem,Telecommunications,Fixed line telecommunications,Stockholm,1983
60,Comviq,Telecommunications,Fixed line telecommunications,Stockholm,1981
61,Coop Norden,Consumer services,Food retailers & wholesalers,Stockholm,2001
62,Danir AB,Financials,Investment services,Malmö,1986
63,Dataphone,Telecommunications,mobile telecommunications,Stockholm,2001
64,Datasaab,Industrials,Business support services,Linköping,1954
65,DeLaval,Industrials,Commercial vehicles & trucks,Tumba,1883
66,Destination Gotland,Consumer services,Travel & tourism,Visby,1998
67,Diamyd Medical,Health care,Biotechnology,Stockholm,1994
68,Dockstavarvet,Industrials,Commercial vehicles & trucks,Docksta,1905
69,Domnarvet,Basic materials,Iron & steel,Borlänge,1872
70,Doro,Technology,Telecommunications equipment,Malmö,1974
71,Draim,Technology,Software,Nacka,2003
72,EA DICE,Technology,Software,Stockholm,1992
73,Elanders,Industrials,Business support services,Mölnlycke,1908
74,Electrolux,Consumer goods,Durable household products,Stockholm,1919
75,Elekta,Health care,Health care providers,Stockholm,1972
76,Elektron,Consumer goods,Recreational products,Gothenburg,1998
77,Elfa International,Consumer goods,Furnishings,Malmö,1948
78,Ellos,Consumer services,Broadline retailers,Borås,1947
79,ENEA AB,Technology,Software,Kista,1968
80,Eniro,Technology,Internet,Stockholm,2000
81,Epidemic Sound,Technology,Internet,Stockholm,2009
82,Ericsson,Technology,Telecommunications equipment,Stockholm,1876
83,ESAB,Industrials,Business support services,Gothenburg,1904
84,Eskilstuna Energy and Environment,Utilities,Conventional electricity,Eskilstuna,1993
85,Esselte,Industrials,Industrial suppliers,Stockholm,1913
86,European Spallation Source,Industrials,Business support services,Lund,2013
87,Fagerhult Group,Industrials,Building materials & fixtures,Habo,1945
88,Fatshark,Technology,Software,Stockholm,2008
89,Fjällräven,Consumer goods,Clothing & accessories,Örnsköldsvik,1960
90,FKAB,Industrials,Business support services,Uddevalla,1961
